	HT29_G1_1B_2	HT29_G1_1B_3	HT29_G1_2A_2	HT29_G1_2A_3	HT29_G1_3E_3	HT29_G1_4C_3	HT29_G1_4F_3	HT29_G1_5A_2	HT29_G1_5A_3	HT29_G1_5B_2	HT29_G1_5B_3	HT29_G1_5C_1	HT29_G1_5C_3	HT29_G1_5D_1	HT29_G1_5D_3	HT29_G1_5E_1	HT29_G1_5E_3	HT29_G1_5F_1	HT29_G1_5F_2	HT29_G1_5F_3	HT29_G2_4G_1	HT29_G2_4G_2	HT29_G2_4G_3	HT29_G2_5E_3	HT29_G2_5F_2	HT29_G2_5F_3	HT29_G2_5G_3	HT29_G2_5H_3	HT29_G2_6A_1	HT29_G2_6A_2	HT29_G2_6B_1	HT29_G2_6B_2	HT29_G2_6C_2	HT29_G2_6C_3	HT29_G2_6D_1	HT29_G2_6D_2	HT29_G2_6D_3	HT29_G2_6E_2	HT29_G2_6E_3	HT29_G2_6G_2	HT29_G2_6G_3	HT29Root1_2	HT29Root1_3	HT29Root2_3
HT29_G1_1B_2	0	0.0966862365420759	0.00720174756937091	0.00231128481512118	0.00732991194477837	0.00465485506756822	0.00573390273651916	0.00899838338275831	0.00806097523320165	0.00937657864915281	0.00860935933465173	0.0186789726015619	0.00671881260063348	0.00822969204765422	0.00756224563856348	0.0131781861084111	0.00277997262236554	0.0131896062667181	0.00578452883892313	0.00300216855272555	0.014299903009305	0.00175990346072442	0.0077195597278048	0.0205748695448887	0.00517195587905101	0.0107858072302782	0.0109242568415995	0.0122786254688926	0.0231823533275891	0.012109693829421	0.00950189987858858	0.0129068034608206	0.00810561147287811	0.0125098286546422	0.0103593345580631	0.00715462297884716	0.0165569022093234	0.00756136960543625	0.00983026601832228	0.00646974005648546	0.0179410176051583	0.00743237058329022	0.011562142016563	0.00773148624030196
HT29_G1_1B_3	0.0966862365420759	0	0.100636788279217	0.0948129624426339	0.089996764697252	0.0997046651740827	0.0909718336955438	0.105445051356883	0.0975122815794927	0.0873447348865243	0.0974124033887975	0.0782577817256185	0.100166627177946	0.0896153513791386	0.0913450487012348	0.0840440314870357	0.0940749702761523	0.0891070757010444	0.0982466572887098	0.0996765442992784	0.0858600556267428	0.0949371056199081	0.0991936798283764	0.101751764771805	0.100241756652611	0.0912594759478354	0.0898891869974385	0.0949275775767404	0.0920484632168398	0.0966532854706043	0.087907015809921	0.0870045982903304	0.0993399208709322	0.106865316469555	0.0912813557664407	0.0895956483663371	0.107965146514215	0.0928331208883258	0.088357214505693	0.0912997530156924	0.108548526723872	0.0912163276589245	0.092228695101302	0.104302172562447
HT29_G1_2A_2	0.00720174756937091	0.100636788279217	0	0.00742692544660794	0.0138390029275832	0.0097522716109409	0.0113612334246587	0.00648260007947235	0.0145500016829394	0.0146411775191871	0.00422686979062172	0.0226002298144311	0.0119775824419942	0.0111649437891034	0.0146364109001991	0.0167594282491652	0.00825834840231069	0.0203578139605973	0.00242898144534945	0.00625647074749002	0.0211929405243928	0.00835442966771147	0.00198463788093941	0.0142378670334898	0.00994500025540637	0.0100967192085472	0.011170570587109	0.00862396588522939	0.0302340204065091	0.0187770724284116	0.0129432618276314	0.0198349012188048	0.0139556792566332	0.0150352819859405	0.0175562824372199	0.0128791541849628	0.00948016281930159	0.00786614215306346	0.0123298041867379	0.00962783726701323	0.0215539890738366	0.0144647888422192	0.00981266342575954	0.0062628208220888
HT29_G1_2A_3	0.00231128481512118	0.0948129624426339	0.00742692544660794	0	0.00641245682730179	0.00691154203292482	0.00409580931759506	0.0106836703511316	0.00967650994025113	0.00765962875356607	0.00760773477506096	0.0166668270802639	0.00886532605060891	0.00593589602348933	0.00745260101830703	0.0110428407349547	0.000844859593194393	0.0132606352690594	0.00540126480657376	0.00508924492251227	0.0138003638181598	0.00146559431854506	0.00733041741403322	0.0196463295247546	0.00744656675630842	0.00868088588046479	0.00869525231950343	0.0107037621467259	0.0239535681685751	0.0134611232393908	0.00728359130668857	0.012461713900749	0.0100309144552906	0.0148196037322552	0.0106527147484944	0.00562182539034556	0.016896630716257	0.00548995485619629	0.00753033757247437	0.00416307172722294	0.0201616626472261	0.00723360713106825	0.00960357637914126	0.00952818193808596
HT29_G1_3E_3	0.00732991194477837	0.089996764697252	0.0138390029275832	0.00641245682730179	0	0.00974951982610408	0.00294539611504954	0.0162663169367836	0.00892698111846473	0.00364476754836298	0.0134724308915935	0.0128964234167808	0.0105153759501365	0.0068726950376076	0.00265446180372253	0.00861264499061765	0.00558599909713007	0.00762550548386149	0.0117517424523596	0.0101413972439423	0.00746144354840822	0.00569053874922575	0.0136245890127886	0.0251764706631484	0.0102978509157722	0.0119104494828982	0.0110736190446499	0.0154510139743419	0.0191673364588371	0.0110012944474173	0.00659294824561274	0.00618502545951415	0.0103561572913007	0.0173654414116015	0.00580012076585026	0.0021379261178993	0.0233055368070266	0.00958778353357376	0.0079839851641265	0.00642949726832854	0.0210556746628005	0.00232216279644784	0.0133498687766961	0.0149501458870195
HT29_G1_4C_3	0.00465485506756822	0.0997046651740827	0.0097522716109409	0.00691154203292482	0.00974951982610408	0	0.00937877460118067	0.00805823843202382	0.00509420256974125	0.0127659714748157	0.0124673040682224	0.0223136341052327	0.00227924001564413	0.0126811157914242	0.00861938484299105	0.0171729768858576	0.00717886955273212	0.0130431341467868	0.00932994172038824	0.00351064830233508	0.0151769058315219	0.00585302691387152	0.010998152383074	0.0239358020413603	0.000576110906914587	0.0154195910983335	0.0155774704156977	0.016541339452081	0.0210833317388814	0.00928730992155497	0.0137465887490588	0.0137922627315541	0.004208969765583	0.0080466862035943	0.0101008307147825	0.0104773813142835	0.0180135316927839	0.0121952228887425	0.0142892123332006	0.0109890573598549	0.0132897870013171	0.00867693675892384	0.0161227782335656	0.00668839390978462
HT29_G1_4F_3	0.00573390273651916	0.0909718336955438	0.0113612334246587	0.00409580931759506	0.00294539611504954	0.00937877460118067	0	0.014655126469158	0.0101126963105236	0.00364524770344804	0.0106029120304786	0.0130325569714842	0.0107322837703147	0.00434627860373359	0.00510856119464394	0.00780547440427749	0.00326484945241049	0.0105422456497337	0.00913141022635583	0.00873442914262626	0.0103113457148694	0.00397834750914273	0.0109266306169988	0.0222352444452269	0.00995481135306904	0.00911825763761662	0.00843034129045398	0.0125166802403951	0.021977307392376	0.0129823520497853	0.0046881016149167	0.0090849370100714	0.0111535901962859	0.0173849050937917	0.00848719477024754	0.001530533154013	0.0207442018843431	0.00665349600174701	0.0057380257469492	0.00354714703104806	0.0218719677669213	0.00478729024814734	0.0105011042796553	0.0134323155536284
HT29_G1_5A_2	0.00899838338275831	0.105445051356883	0.00648260007947235	0.0106836703511316	0.0162663169367836	0.00805823843202382	0.014655126469158	0	0.0130123559893654	0.018290453716893	0.010703669388341	0.0272943820689394	0.00954480352375926	0.0160840986319269	0.0159829381758767	0.0215619969873715	0.0114496404419784	0.0209772961322584	0.00820558004125206	0.00613438804506738	0.0227759959417278	0.0107414172223962	0.00846716463646667	0.0192244621723159	0.00784750568840584	0.0162652215727392	0.0171372072630858	0.0150995328672614	0.0288837787773858	0.0170190713984264	0.0177017529377545	0.0213688856368403	0.0116696003625666	0.00964946071149517	0.0180183230791075	0.0161235569276272	0.0108922407386817	0.013578148471384	0.0175175096698164	0.0143175666751695	0.0163318007113609	0.0159437432287136	0.0161813274954795	0.00138923493647845
HT29_G1_5A_3	0.00806097523320165	0.0975122815794927	0.0145500016829394	0.00967650994025113	0.00892698111846473	0.00509420256974125	0.0101126963105236	0.0130123559893654	0	0.0125431604045803	0.0166478586903822	0.0217172094965199	0.00358463608682525	0.0142998452579164	0.00665058399192991	0.0174685635578647	0.00949046700525486	0.00899405989873943	0.0136862074022526	0.00835145197804888	0.011824474130625	0.00823243861824278	0.0155297820512239	0.028505648721659	0.00518818882662229	0.0182361831085121	0.01799354627736	0.0202875938819225	0.0159899998216714	0.00423824332127471	0.0147926993988861	0.0105819098428196	0.00188618149296647	0.00946399226954849	0.00634317035146781	0.010555515742001	0.0230972614508405	0.0151203122824152	0.0158022498570604	0.0129575615326703	0.0121515932057672	0.00689236600381786	0.01926116414382	0.0116785818476875
HT29_G1_5B_2	0.00937657864915281	0.0873447348865243	0.0146411775191871	0.00765962875356607	0.00364476754836298	0.0127659714748157	0.00364524770344804	0.018290453716893	0.0125431604045803	0	0.0131859242162516	0.00955150748995966	0.0138488424282102	0.00484373336582875	0.00622565746126373	0.00497101211217942	0.00685673076227005	0.0100936843354454	0.0122952779313721	0.0123747229715175	0.00867090934456466	0.00761846256060819	0.0139305951356867	0.0240974815162622	0.0133368768256318	0.00996855234406339	0.00880065370829771	0.0140971739141184	0.0217954930831659	0.0145754634925475	0.00373920590849453	0.00778436979748681	0.0138980511105712	0.0206463747816586	0.00899247360811551	0.00229581837137781	0.0238325731867552	0.00851188122945484	0.00532731116647289	0.00541990819603737	0.0246367207916557	0.00590825427833815	0.0115402925338867	0.0170755879490502
