	HT29_G1_1B_1	HT29_G1_1B_2	HT29_G1_1B_3	HT29_G1_2A_1	HT29_G1_2A_2	HT29_G1_2A_3	HT29_G1_3E_1	HT29_G1_3E_2	HT29_G1_3E_3	HT29_G1_3F_1	HT29_G1_3F_2	HT29_G1_3F_3	HT29_G1_4A_1	HT29_G1_4A_2	HT29_G1_4A_3	HT29_G1_4B_1	HT29_G1_4B_2	HT29_G1_4B_3	HT29_G1_4C_1	HT29_G1_4C_2	HT29_G1_4C_3	HT29_G1_4F_1	HT29_G1_4F_2	HT29_G1_4F_3	HT29_G1_5A_1	HT29_G1_5A_2	HT29_G1_5A_3	HT29_G1_5B_1	HT29_G1_5B_2	HT29_G1_5B_3	HT29_G1_5C_1	HT29_G1_5C_2	HT29_G1_5C_3	HT29_G1_5D_1	HT29_G1_5D_2	HT29_G1_5D_3	HT29_G1_5E_1	HT29_G1_5E_2	HT29_G1_5E_3	HT29_G1_5F_1	HT29_G1_5F_2	HT29_G1_5F_3	HT29_G2_4G_1	HT29_G2_4G_2	HT29_G2_4G_3	HT29_G2_4H_1	HT29_G2_4H_2	HT29_G2_4H_3	HT29_G2_5A_1	HT29_G2_5A_2	HT29_G2_5A_3	HT29_G2_5B_2	HT29_G2_5B_3	HT29_G2_5E_1	HT29_G2_5E_2	HT29_G2_5E_3	HT29_G2_5F_1	HT29_G2_5F_2	HT29_G2_5F_3	HT29_G2_5G_1	HT29_G2_5G_2	HT29_G2_5G_3	HT29_G2_5H_1	HT29_G2_5H_2	HT29_G2_5H_3	HT29_G2_6A_1	HT29_G2_6A_2	HT29_G2_6A_3	HT29_G2_6B_1	HT29_G2_6B_2	HT29_G2_6B_3	HT29_G2_6C_2	HT29_G2_6C_3	HT29_G2_6D_1	HT29_G2_6D_2	HT29_G2_6D_3	HT29_G2_6E_1	HT29_G2_6E_2	HT29_G2_6E_3	HT29_G2_6F_1	HT29_G2_6F_2	HT29_G2_6F_3	HT29_G2_6G_1	HT29_G2_6G_2	HT29_G2_6G_3	HT29Root1_1	HT29Root1_2	HT29Root1_3	HT29Root2_1	HT29Root2_2	HT29Root2_3
HT29_G1_1B_1	0	0.00812411363460954	0.0188575943643636	0.00645926114375419	0.0218286333329835	0.0113474787400004	0.00705918630357175	0.0042147297001541	0.00355271288498694	0.00601513319371407	0.0086907337421389	0.0018100792118677	0.00225909627740227	0.00665535563463466	0.00636974907499664	0.00597731289096193	0.0140136178423241	0.00592994214809138	0.00299717374173788	0.0064747501012167	0.0137923448711311	0.00556141333711047	0.00821929410958863	0.0104557191282714	0.00288469794022933	0.00281180800278688	0.00634141237369795	0.00792148521396637	0.00532199470324675	0.00658824701012309	0.012104601252426	0.00887020366693023	0.00681396273601636	0.00571419694877772	0.00542431077610266	0.0256305096421159	0.0659823439220444	0.0549693197431488	0.0486567436823316	0.00669044297756867	0.00676099554629971	0.00740558466322669	0.00711502805187406	0.0112590421968289	0.010274411280943	0.00286037084785695	0.0032080734094076	0.01443566694659	0.00860900631681755	0.00840109801722764	0.0144938361788341	0.00316414514401509	0.0160672581713367	0.00511842908886409	0.00841798229623111	0.0147952886840375	0.00899555492197824	0.00344776293240183	0.0121173282870415	0.00334955969651244	0.00585675179919783	0.0089547216883983	0.00755775728583508	0.00488010015584271	0.014718397184331	0.0103265028314856	0.00550087822846707	0.031631266637754	0.0061814605672624	0.00485957938162461	0.0221386898856552	0.0128052499055587	0.0158140097223011	0.00517442900600086	0.0083794028579318	0.0269414428437745	0.00156649622840829	0.00595706557255951	0.016343200067296	0.00842628786016829	0.00935433374390359	0.019136167828775	0.010417238645524	0.00551495472121126	0.0248803726095962	0.00568315089753779	0.00588750968454422	0.00486696820324282	0.00563754892616484	0.0111061144876159	0.00192698337266633
HT29_G1_1B_2	0.00812411363460954	0	0.0129737207816487	0.00970295541315193	0.0143980433260297	0.00623249784546825	0.00553433687725957	0.00802482595617036	0.00592347113350504	0.0117357662411413	0.00444001436038462	0.0088096136106821	0.00696799116806015	0.0140246810794751	0.0121903001968516	0.0138025129903522	0.0202723170641063	0.00992007060474622	0.0105637381874813	0.0142732137403391	0.021514920496663	0.013069002428347	0.00612756910003296	0.0163491593980203	0.00885259273533959	0.00838171118738856	0.00440053960941175	0.0138165389113287	0.00809536451276593	0.00434202884949746	0.00622106450354096	0.00507774533403695	0.00678616993568045	0.00307797789752855	0.0104564799023465	0.0179335674336949	0.0735999025793692	0.0626830456024779	0.0563548681176033	0.00551425899761629	0.00896316150750354	0.0119640235827573	0.0133429777657272	0.00511894618388286	0.0114058776530248	0.00911673261548373	0.00982237797221661	0.0161849527873306	0.00566578220884482	0.0103940740644623	0.0135272140606777	0.00625821758064598	0.0162120671395603	0.00939626164975313	0.00294239454642542	0.0152276474015452	0.00429504366759266	0.00769287142496587	0.00740055142858446	0.0095604441708169	0.00567870173691264	0.00970494295368035	0.00375202442759877	0.00685303640152083	0.0127436307532719	0.0177017016198888	0.00503841949494713	0.0256501530312919	0.0140526553398737	0.00480761618367594	0.0184628550077613	0.00797241874940476	0.0119245189026959	0.0128099350305045	0.0109484523350019	0.0237110275484332	0.00872623581525994	0.00580698138525233	0.0157163184850165	0.0163738230949784	0.0134958012469064	0.0172578533275789	0.0164775831340407	0.00980425429604727	0.021367037136563	0.00814888274518236	0.0105747711931912	0.00403667060665044	0.00317876933610139	0.00555106373604921	0.00907818069764901
HT29_G1_1B_3	0.0188575943643636	0.0129737207816487	0	0.0223503199371931	0.0104292930452928	0.00882305788345213	0.01197685519158	0.0168139966773026	0.0162267726955345	0.0203447425780339	0.0157971072169468	0.020205991015584	0.0170406768552706	0.0236186896431451	0.0244109209972163	0.0245130593003006	0.0325680411074123	0.0198394146762935	0.021738008423596	0.0251258441326965	0.0302264101347648	0.0231679590022	0.0188421631265512	0.0222156949683339	0.0182313265807882	0.0199781838036959	0.0132046425051648	0.0253826395127353	0.0193740796401594	0.0142482792973668	0.0156908489310729	0.0144848575373127	0.0140624470854092	0.0140460205828079	0.02217708165379	0.0101043262901191	0.0841650386271786	0.0729633043405167	0.0665752147363846	0.012528298036969	0.021855701740122	0.0175831224091964	0.0254792842528861	0.0104580066122992	0.0145137942502117	0.0197594599339673	0.0186267368760442	0.0166335315049702	0.0174591053551173	0.0148971519174205	0.0114882101826691	0.0183180715930104	0.0151643963766809	0.0218441470402883	0.0149969196007621	0.0144283415463423	0.0166422733776988	0.0194932567087661	0.00804527769769048	0.0194965668022821	0.0165871351724737	0.015352932422217	0.0164839317294846	0.0159535267350115	0.00945262448574984	0.026786159423306	0.0159542010416351	0.0137415391170992	0.0239202852850027	0.0151839084122971	0.00888281658462283	0.00712346657485413	0.00732843201980427	0.0228128517554799	0.0156221796136923	0.0137730361432551	0.0195422867516472	0.0179724212080701	0.0128239131093974	0.0269525598579129	0.0262298635749015	0.0141797427504858	0.0286986111297137	0.0167512344926142	0.0103477754747727	0.0153623019861187	0.0228461632441049	0.0145085694640401	0.013658463802388	0.0167875853814447	0.0188063621038904
HT29_G1_2A_1	0.00645926114375419	0.00970295541315193	0.0223503199371931	0	0.022454779045563	0.0149196549785117	0.0119400799245438	0.0100581026783331	0.00773898728190517	0.0113209139804471	0.00828632887762037	0.0053748575015196	0.00807096644250835	0.0107696288431344	0.0048933937065383	0.00814909361242066	0.011017085910149	0.00904862019750365	0.00598996431506784	0.00775254849127664	0.0169918595812987	0.00936895833076574	0.00540824632531477	0.0163289814716255	0.00890414221068343	0.00426569297908118	0.0100896116098707	0.00552046067720114	0.00681909877933628	0.00995476983531642	0.0103935792482477	0.0108261539156894	0.0116200808575969	0.00895661619052172	0.0037103019705488	0.0272746649779573	0.0653309577882242	0.0547400755880987	0.0484735816913765	0.0115559629279467	0.002219479660452	0.0137164904533887	0.00472605979788259	0.0136562408915185	0.0162769759327589	0.00687407884260354	0.00908277684224655	0.0206344283911773	0.00692945485480494	0.0145619834732117	0.0202574119270852	0.00455300080841922	0.0219015212016411	0.00316212029135769	0.00834573873195721	0.0208903257701551	0.00805681229993015	0.00413021997194768	0.0161761225079922	0.00861556583695296	0.00801829470902293	0.0142342686573294	0.00729257936992007	0.00994019663428578	0.0201123731381333	0.013952751500015	0.00804096413535779	0.0351513122478366	0.00896803972899344	0.00868331272045902	0.0271417971729578	0.0167393000333687	0.0205243777476588	0.00930698026805678	0.0146399586750882	0.0322008708175725	0.00600140664141444	0.00551779527065879	0.0222732910129203	0.00982244298451892	0.00492923980953652	0.0243777758800031	0.00716167736626996	0.0117933703477959	0.0299382586955037	0.0116252525195234	0.00483526194316233	0.00845907975277951	0.00902121029781505	0.00923689650586079	0.0082354683074047
HT29_G1_2A_2	0.0218286333329835	0.0143980433260297	0.0104292930452928	0.022454779045563	0	0.0140226517474985	0.0168989069436089	0.0215034870863471	0.0192061861792746	0.0254508448216955	0.0158109423603353	0.0227521992218209	0.0207305518176274	0.0279883953091475	0.0260629464530846	0.0275819024636707	0.0334412554651941	0.0233760145805806	0.0245179592943563	0.0276878322719628	0.0352166177225326	0.0271188564267817	0.0181022279013367	0.0288303044609203	0.0224142755719201	0.0216550933663727	0.016292249723215	0.0260268513005274	0.0217701493565392	0.0175402868074247	0.012610573705464	0.0171630488237034	0.019014339298419	0.0168595217363312	0.0229833239144947	0.00904414950267364	0.0873523646026468	0.0765427296523663	0.0701467004637372	0.017335546150527	0.0220436326734897	0.0236829369577949	0.0267269694700146	0.0134948631558722	0.0220013247757482	0.0228352373804754	0.0224888260578091	0.0253503146530581	0.0168579979521806	0.021736656864016	0.0205015943690275	0.0198719897722903	0.0243026593936474	0.0231478120452969	0.0151215496825971	0.0235428700978803	0.0166055112784702	0.020856115518614	0.0143861352176512	0.0235646582056326	0.0190660952800207	0.0217318156093081	0.0171813007514662	0.0204307765457474	0.0185956781886155	0.0316550362716878	0.0185049229904371	0.0185044098369288	0.0269371381059678	0.0184889221364667	0.0191400368415561	0.0137180637480069	0.0164963767488444	0.026791553845467	0.0224359283013465	0.0237158397357584	0.0222092896164827	0.0185333434260756	0.0224618268311176	0.0298784597358852	0.0264893857460472	0.0234259878581225	0.0293859921097181	0.0221968662049582	0.0200916020636111	0.0207217953312194	0.0244974450879022	0.01731231623019	0.0164314202506075	0.0150182989384606	0.0226292768928752
HT29_G1_2A_3	0.0113474787400004	0.00623249784546825	0.00882305788345213	0.0149196549785117	0.0140226517474985	0	0.00519492746762525	0.0095129214364414	0.00834733967760526	0.0125847779113717	0.00842838988647023	0.0126199016629357	0.0094524128469993	0.0161688781910993	0.0166354426582549	0.0166680264789535	0.0246562399025444	0.0111982812783541	0.0139187458805139	0.0175664490315557	0.0228139801915661	0.0153073135468951	0.0122124487153774	0.0158517146927994	0.0104368606307809	0.0128238091830216	0.00739017059609632	0.0183802366246247	0.0107650216928388	0.00768703744800522	0.0108711988586104	0.00595064350590701	0.00575264834902077	0.00700958766101868	0.0153522058879931	0.0156116908771501	0.0763702608972419	0.0653142637037568	0.0587230142566486	0.0050486105366775	0.014398747413812	0.0111409098806919	0.0177033557865403	0.00281584115079802	0.00938666564998298	0.0116087376033772	0.0116706299079653	0.0124431634444082	0.0102173985248022	0.00871415966874552	0.0100061156233876	0.0109934789524264	0.0116136282096868	0.0137588433673947	0.00791390316748236	0.0114416022329221	0.00987818226953125	0.0125068409699126	0.00495684403770792	0.0115097816899095	0.00802145982083175	0.0085185254431943	0.00903341938299402	0.00784170898379334	0.00740855488684493	0.0193584561727294	0.00751521982348787	0.0218861850862209	0.0167729687192335	0.00690217189439603	0.0132720801247421	0.002105757526948	0.00721454745272886	0.0151609554983255	0.00970664241300133	0.0183309401354703	0.0118803582842009	0.0115778682202357	0.01131240887356	0.0193792453298912	0.0187613188527094	0.0133077927009011	0.0211146151160418	0.00964663447714765	0.0162399644307108	0.00872973340379358	0.0152339738544444	0.00690714773863627	0.00637233259666469	0.011253312157635	0.0115206088577877
HT29_G1_3E_1	0.00705918630357175	0.00553433687725957	0.01197685519158	0.0119400799245438	0.0168989069436089	0.00519492746762525	0	0.00514784024571232	0.00500590148885599	0.00893156933220346	0.00841481391627171	0.00851325945824116	0.00513351778866994	0.0118285010184305	0.0129568965017671	0.0125917500357873	0.0210153877729711	0.00897596752614604	0.00987732173059089	0.0133138685368377	0.0187652984653683	0.0112533505125473	0.0104107352951735	0.0120155648005458	0.00634927955577467	0.00878838657662275	0.00344312598753813	0.0144161515758991	0.00870839984390789	0.00464959344445947	0.0111934177839627	0.00686583175653708	0.00379527600871925	0.00388585656883301	0.0113806216491928	0.0195943166574232	0.0723485621598461	0.0611956174159749	0.0548430090239374	0.0011705582943479	0.0116575526910854	0.00723201715760747	0.0140268895160499	0.00650404355387354	0.0066397804694614	0.0081297634759346	0.00703878299578444	0.0110697770015723	0.00964452775871338	0.00539633945865508	0.00892561001396799	0.00746358202210657	0.0116682373365404	0.0108367869874254	0.00764745723070767	0.0102978731692569	0.00916377552455456	0.00862159052452431	0.00559414133412059	0.00766129981643888	0.00661994999769043	0.00636280320966629	0.00801896205659421	0.00460466204770133	0.00844544692860261	0.0152053657527531	0.0058311583453305	0.0247792017885378	0.0123136971594215	0.00429614491537757	0.0153588785910906	0.00610610230711275	0.00910262403895133	0.0108808303438333	0.0060205960242619	0.020375944291602	0.00789404457687635	0.00846613386304333	0.0110006635892796	0.0150740287560618	0.0154789541968612	0.0139336506722373	0.0173548836576393	0.00552552843322182	0.0181064443013752	0.00413390590144983	0.0117084087823691	0.00379103023047664	0.00336011911965084	0.0109226504667823	0.00686835670562657
HT29_G1_3E_2	0.0042147297001541	0.00802482595617036	0.0168139966773026	0.0100581026783331	0.0215034870863471	0.0095129214364414	0.00514784024571232	0	0.00490244325395815	0.00444396125993784	0.0100138985292522	0.00515825683343835	0.00235536471385102	0.00690642955755485	0.00917548582743937	0.00859832756936765	0.0172054994798985	0.00669236170655577	0.00610090375974753	0.00966075139388235	0.0143268471210645	0.00665586600138824	0.0101704823368171	0.00861912615671879	0.00304970141691687	0.00665095670664034	0.00581757564278166	0.0119529619727677	0.00692658267215756	0.00498016438235141	0.0135845275416901	0.00820511984644407	0.00496654077641554	0.00512357759343098	0.00925839615889358	0.023914029624316	0.0676708654535495	0.056466460327606	0.0502749638465199	0.00490542706470374	0.00963327312926742	0.00573412427329484	0.0107138388947965	0.010194131770336	0.00630249165290225	0.00541336901919442	0.00493913222726366	0.011195264716258	0.0106266980883444	0.00484381692695031	0.0108625057161094	0.00612663228255881	0.012517898886703	0.00822185566722398	0.00941062435371483	0.0110210815802852	0.00962452363874133	0.00688108040800388	0.009429807386962	0.00338284077992326	0.00656532368049473	0.00493446625964479	0.00831919729135123	0.00262778926946244	0.0117267983787056	0.0103414768607118	0.00615598005206551	0.0289299610792481	0.00916344351083418	0.00461959720052569	0.0188251850252934	0.0107122190975852	0.0125014198761047	0.00620394815494787	0.00474558758876998	0.0234473814857729	0.00548975522392635	0.00787163392260923	0.0126450196328511	0.0111035467996118	0.0123285668847938	0.0150341737955191	0.0139992477618635	0.00376476795350842	0.0218904611477824	0.0020043029364039	0.00810783413023562	0.00533147562029664	0.00563849525128696	0.0120587680736426	0.00314442488645561
HT29_G1_3E_3	0.00355271288498694	0.00592347113350504	0.0162267726955345	0.00773898728190517	0.0192061861792746	0.00834733967760526	0.00500590148885599	0.00490244325395815	0	0.00732310020183227	0.00615163102767475	0.00495099680295379	0.00289105297199017	0.00953579932811712	0.0091249362031853	0.00871212416506142	0.0166205769857777	0.00528655272846707	0.00599166391729386	0.00936137958951688	0.0162231109181403	0.00817547986472568	0.00800419737546448	0.0117500396134596	0.00369380750607666	0.00512752290989055	0.00521106080149663	0.0102944213929252	0.00446398969768869	0.0059735714731024	0.0101321183347414	0.00614798553443356	0.00431826958865674	0.00432536809043533	0.00773999686914722	0.0229885836202405	0.0687968746681493	0.0578522603407851	0.0512951046556809	0.00430030434874287	0.00795221135447554	0.00739915504482369	0.00963017930589073	0.00807550074394436	0.00983472126030431	0.00373516823356498	0.00459096050150736	0.0135507832303216	0.00663226309568941	0.00778056514077813	0.0134509284248326	0.00393814845783625	0.0146824827367513	0.00641212892788654	0.00609445640113681	0.0139097620482519	0.00788698384243622	0.00526888649285583	0.010226976551601	0.00492526927128698	0.00333848631680719	0.00836920862506184	0.00617840781672788	0.00383476768484865	0.0125511386220203	0.0130006615782809	0.00268146013553886	0.0294361218999009	0.00878460027487151	0.00219452949820954	0.0201126728665924	0.00990951460121946	0.0138104350115515	0.00804957445660129	0.00825236138867983	0.025018930206588	0.00360562074566914	0.00651177483853844	0.0151026738940699	0.0113250553658237	0.0116626137774826	0.0180538598234404	0.0130238056335474	0.0052519169077688	0.0228145849678146	0.00575715657840123	0.00839434289692432	0.00207761482536605	0.00323259619647855	0.00997634144232783	0.00453073841420017
HT29_G1_3F_1	0.00601513319371407	0.0117357662411413	0.0203447425780339	0.0113209139804471	0.0254508448216955	0.0125847779113717	0.00893156933220346	0.00444396125993784	0.00732310020183227	0	0.0125478358381221	0.00642067698702472	0.00541516788930894	0.00441165682963001	0.00899940870358964	0.00674858228894613	0.0156997477740399	0.00557399998001195	0.00586921694820186	0.00847578885713804	0.0105850187636329	0.00401794810838507	0.0129358967383232	0.00595397003901334	0.00385412134028221	0.00856576773154489	0.0101041514807627	0.0123700053767221	0.00722852838537471	0.00912532909926957	0.0168793542024636	0.0103189777689957	0.00706481378616036	0.00915210936326598	0.0107849377584064	0.0275638465663629	0.0642024183983064	0.0530004320641277	0.0466237313558017	0.00834367618639312	0.0111271899380257	0.00564119920692994	0.0102878102852642	0.0131260299747051	0.00800192784812556	0.00543932470433937	0.00614666437276107	0.0109192177569231	0.012931301259934	0.00638979937956725	0.0131790101269696	0.00869706428436945	0.0126921155452682	0.00871650998534696	0.0124201874070131	0.0119499978240089	0.0126191711963018	0.00922064024276982	0.0132290435195985	0.00286448617768638	0.00824053755571854	0.00638862061968657	0.0111144981287787	0.00510834423048685	0.013749268463977	0.00686965690302269	0.00826965448935073	0.0323516990170208	0.00829938223367944	0.00737333870595164	0.0212959586131687	0.0137791040110931	0.0153702959482899	0.00408962913229888	0.00619761963163488	0.0254202609487803	0.00655422849907456	0.0111139074542513	0.01404835260079	0.00917999319162624	0.0126932364543491	0.0165178902938863	0.0133827367158539	0.00472134181859058	0.0244213484753063	0.00576669631551255	0.00874989676317828	0.00865764360472105	0.00934937323793533	0.0153368546509338	0.00478921384894679
