	HT29_G1_1B_1	HT29_G1_1B_2	HT29_G1_1B_3	HT29_G1_2A_2	HT29_G1_2A_3	HT29_G1_3E_1	HT29_G1_3E_2	HT29_G1_3E_3	HT29_G1_3F_1	HT29_G1_3F_2	HT29_G1_3F_3	HT29_G1_4A_2	HT29_G1_4A_3	HT29_G1_4B_1	HT29_G1_4B_2	HT29_G1_4B_3	HT29_G1_4C_1	HT29_G1_4C_2	HT29_G1_4C_3	HT29_G1_4F_1	HT29_G1_4F_2	HT29_G1_4F_3	HT29_G1_5A_2	HT29_G1_5A_3	HT29_G1_5B_1	HT29_G1_5B_2	HT29_G1_5B_3	HT29_G1_5C_1	HT29_G1_5C_2	HT29_G1_5C_3	HT29_G1_5D_1	HT29_G1_5D_2	HT29_G1_5D_3	HT29_G1_5E_1	HT29_G1_5E_3	HT29_G1_5F_1	HT29_G1_5F_2	HT29_G1_5F_3	HT29_G2_4G_1	HT29_G2_4G_2	HT29_G2_4G_3	HT29_G2_4H_1	HT29_G2_4H_2	HT29_G2_4H_3	HT29_G2_5A_1	HT29_G2_5A_2	HT29_G2_5A_3	HT29_G2_5B_2	HT29_G2_5B_3	HT29_G2_5E_1	HT29_G2_5E_2	HT29_G2_5E_3	HT29_G2_5F_1	HT29_G2_5F_2	HT29_G2_5F_3	HT29_G2_5G_1	HT29_G2_5G_2	HT29_G2_5G_3	HT29_G2_5H_2	HT29_G2_5H_3	HT29_G2_6A_1	HT29_G2_6A_2	HT29_G2_6B_1	HT29_G2_6B_2	HT29_G2_6C_2	HT29_G2_6C_3	HT29_G2_6D_2	HT29_G2_6D_3	HT29_G2_6E_1	HT29_G2_6E_3	HT29_G2_6F_1	HT29_G2_6F_2	HT29_G2_6F_3	HT29_G2_6G_1	HT29_G2_6G_2	HT29_G2_6G_3	HT29Root1_2	HT29Root1_3	HT29Root2_1	HT29Root2_2	HT29Root2_3
HT29_G1_1B_1	0	0.00881888177290902	0.024601924565433	0.00982483542861806	0.0641587792652599	0.0368595420690543	0.0312927258362057	0.0162701868673572	0.0257941629211235	0.0303999496943713	0.014933610534897	0.00664558290270468	0.0122144813695198	0.012574045142696	0.00686070176770948	0.0499386497050735	0.00918749142865962	0.0140745909880222	0.00793610076389078	0.0152260940441158	0.0096502372572097	0.0178228903082002	0.00761476049367168	0.00339694658702364	0.00531390904545114	0.00732300604393581	0.0175111497670097	0.00425359628454145	0.00661291038610974	0.00709642602375453	0.021232404680999	0.0274734937785122	0.00514591449153576	0.00429439106170602	0.00617019503589204	0.0177353749158979	0.0258094862592667	0.012862933230046	0.00834913785882165	0.0177724944992276	0.0164520760296155	0.0128876232387285	0.0190438174379166	0.00898638505403946	0.00842415123970681	0.00843124940886437	0.0102809493549589	0.00455399459925546	0.0080096005105793	0.017603441498344	0.0338006730445119	0.00671383168454688	0.0144345588518722	0.00976448606062177	0.0106276846305205	0.00772443703989271	0.0102321644404794	0.0146525824979246	0.0200338240508238	0.0152584480577917	0.00789522472373061	0.0105156706372647	0.00907869995648733	0.0127744579453285	0.0135826729900986	0.00516740811969152	0.0106141605943092	0.00659741526713751	0.0288919795363647	0.0108982873622834	0.0216120596597615	0.00556434379427167	0.0125582642640264	0.0128983650460374	0.0223567922497962	0.0338930647371526	0.0159638167076654	0.0230167175489592	0.0119685392394241	0.0176896531314778	0.0144113243243152
HT29_G1_1B_2	0.00881888177290902	0	0.0158596721728824	0.00264915043820148	0.055676842295063	0.028084841339108	0.0227220250148941	0.00986666498402849	0.0173313072927175	0.0216146793586544	0.00675430398400098	0.00405182882715247	0.00603836673699736	0.00432399537995969	0.00983202087914226	0.0420789398283247	0.00477130488586185	0.00642199031954548	0.0106581002639232	0.0158278965134764	0.00364023270922387	0.0108097772461822	0.00391865901012185	0.0100277398722947	0.00468080777744375	0.00438870925719462	0.0231416253029757	0.00547519337746418	0.00535641873508124	0.00446384026624405	0.0133192437154314	0.0206452205145893	0.0130980658540738	0.00603133380375436	0.0107810990423678	0.0090297427601914	0.0174699568123937	0.00780572390737694	0.0006372641375399	0.0089882559969961	0.00783768539315002	0.00572773674101129	0.0115403067050448	0.00467801133664086	0.00511040884338461	0.00132997024365347	0.00729830391547062	0.0106854410933978	0.00216060881291273	0.0113917438859831	0.0250781177725991	0.00384592663473109	0.00800585503128736	0.00473940245107045	0.003959805762102	0.00811054094860135	0.00470459826809482	0.00711392031136043	0.0117706290984602	0.00702553904122074	0.00813030467676382	0.00452964454469445	0.0162396569620632	0.00758094930316172	0.00545404475021708	0.00857657684603631	0.00564197082087564	0.0103453675550094	0.0207179011001541	0.00426171217365443	0.0156366312463776	0.00777443351531283	0.0121624305679023	0.0191482607853987	0.0136571690789707	0.0251357258288371	0.00758461430073385	0.01483949803602	0.00728755787208972	0.0116902178426695	0.00626944775216634
HT29_G1_1B_3	0.024601924565433	0.0158596721728824	0	0.0158277667111032	0.0409643014778504	0.0125563752145111	0.00807477998103989	0.0145180833513908	0.00430314787007019	0.00707482070366913	0.0116436324595455	0.0189327976305366	0.0146803663784379	0.0123569745346037	0.023835196396769	0.0277520225468133	0.0179098521676793	0.013262787772936	0.0250560336701016	0.024440618220318	0.0158343177564171	0.0134486202499438	0.0177049731269634	0.0257873675551924	0.020301760967936	0.0183419353401448	0.0375039552859227	0.0207427752567138	0.0200144564016351	0.018996445622994	0.00695464545644927	0.017468265002568	0.0283031608237567	0.0212507257856065	0.0247687441196356	0.00789370154193889	0.00930262460048165	0.0173714197846001	0.0163948301662622	0.00707196294131516	0.00944386466202462	0.0144331415477572	0.00923372212270497	0.017736085482834	0.0178271538813029	0.0161860184689322	0.0195603541985098	0.0254835724294933	0.0171316941895782	0.0122403282339356	0.0094391949650885	0.0188344180039685	0.0127694244654626	0.0164905056050615	0.0158541904622854	0.0223518078247305	0.0169749679985938	0.0123758664807381	0.00717832752454119	0.0110381831362472	0.0220248045164546	0.0164977017936505	0.0312803089209516	0.0169384818591931	0.0126995556371679	0.0236675783924847	0.0161317883383561	0.0253232803702218	0.00728302171117678	0.0147514091504182	0.0172934040145555	0.0218588636912471	0.0240355459564092	0.0341026152918908	0.00356667850810749	0.0108961985467646	0.0105389711531141	0.0097405379902849	0.0159021645762988	0.0162871000464768	0.0106772117891153
HT29_G1_2A_2	0.00982483542861806	0.00264915043820148	0.0158277667111032	0	0.0549768672219146	0.02774439977316	0.0227609837316265	0.0092349146261044	0.0176867051309816	0.0209486636335224	0.00526780291119114	0.00535548046451499	0.0067179377718002	0.00517843258663929	0.0112447433958204	0.0428234979875863	0.00411771644394593	0.00438687911079879	0.00959007264084233	0.0184497599777995	0.00518210564796673	0.00883556523185414	0.00647934383656436	0.0101601262405349	0.00477742310292987	0.00662344565082113	0.022257211934077	0.00735873963639136	0.00525484671096443	0.00463163699244699	0.0143536599221189	0.0186547453211532	0.0145468621317289	0.00735020846684926	0.0129093292394982	0.00860814957620166	0.0161784803008503	0.00519462161256474	0.00255376105925358	0.00882666658884702	0.00688715595687972	0.00395702255848099	0.0123559324028679	0.00525523959945462	0.0075471091760935	0.00396763830959352	0.00578376169429051	0.0124932347983251	0.00255044636812217	0.0133830992853467	0.0249543175333565	0.00429289788539788	0.0101087311375902	0.00671080859515309	0.00132315393043272	0.00684931873084895	0.00278396043427597	0.00725302893867096	0.0121225250063234	0.00660605072480385	0.00717212344802733	0.00192624613371617	0.0167069493078264	0.00640661623933032	0.00388258468750981	0.00847788604287594	0.00780132216351059	0.00955068416484911	0.0214091913217591	0.00556951666995625	0.0137289514155625	0.0100181037489755	0.010045966777619	0.0186634850387541	0.0134160854610864	0.0243324288274983	0.00661639234009507	0.0132100677914993	0.00965049885535249	0.00932316123363127	0.00729259267075339
HT29_G1_2A_3	0.0641587792652599	0.055676842295063	0.0409643014778504	0.0549768672219146	0	0.0313686616473854	0.037923561252895	0.0537925195250774	0.0421091687130323	0.0348485384284677	0.0497915335262597	0.0592353128817607	0.0524869682708007	0.0517816996077482	0.0645652331106696	0.0314863313005433	0.0576444468917423	0.0516649878698042	0.0623020083311022	0.0628606702260938	0.0547942829085031	0.0480168263264494	0.0580137801187876	0.0648406713637183	0.0596880042651317	0.0588876901320516	0.0749445915825424	0.060630959173342	0.0582884380077262	0.0574510291637065	0.0468312265118777	0.0465968993972398	0.0677471346502851	0.0603228340295997	0.064711678741528	0.0479600834448516	0.0422079879889136	0.0541141320121834	0.0562041734781569	0.0469018040750554	0.0481841060245754	0.0535024614741854	0.0463765510491665	0.0580760749051533	0.0584620800215786	0.0561665286865703	0.0584266696705681	0.0656383019684515	0.0562586944548715	0.0513191398896969	0.0340901273475879	0.0576240750730447	0.0530735430509304	0.0572838917505159	0.0545144863270231	0.060811423963874	0.0560532114221184	0.0528187162251622	0.0476668853886623	0.0511401318541291	0.0592352280009283	0.0548895080674811	0.0686443399283835	0.0561777795049858	0.051774934241057	0.061675984782264	0.0569856138790737	0.0633287955048143	0.0399015825975229	0.053579695622292	0.0517650169357691	0.0618507493515354	0.0600011403397218	0.0726685299173191	0.0422138131127662	0.0334484264401266	0.0500054204380827	0.043507645713405	0.0566091169762174	0.0519691934687311	0.0503118464951244
HT29_G1_3E_1	0.0368595420690543	0.028084841339108	0.0125563752145111	0.02774439977316	0.0313686616473854	0	0.00688533933337973	0.0240669095719611	0.0120625739939654	0.00817802960645615	0.0232345617208041	0.0308267035803258	0.0270967951557275	0.0248377189126372	0.0353781145506837	0.0208045424899337	0.0293031472803439	0.0243948306579663	0.0367422125937271	0.0358807227757588	0.0283490838321284	0.0237509659768478	0.0299690850521569	0.0378062853229119	0.0323051094433765	0.0303904865695473	0.0482224589464134	0.0330812592543586	0.0322458716985942	0.0312891225675661	0.0175364146971075	0.0210983107744821	0.0407080383300948	0.0336993570556509	0.0370346704386719	0.0193147104774609	0.0143372649825488	0.0283181030387687	0.0285669550283566	0.0193405887450931	0.0211605163807115	0.0255185541267844	0.0211287917052695	0.0292228445454732	0.0298559178074622	0.0285051072546795	0.0304633298725271	0.0376912909301599	0.0293709983934749	0.023573553819873	0.00363212912530812	0.031138789917694	0.024684109435317	0.0282577427173364	0.0275676906302284	0.0337523297429909	0.0283552552552296	0.0233124600204445	0.0176101530349449	0.0222000513696138	0.0339502727299003	0.0281250426979003	0.0436883995248043	0.0273919091352425	0.0241640639963768	0.0358585175604984	0.0278762270519068	0.0370540633901543	0.0118395178016293	0.0272738605274625	0.0241438223870302	0.0341825994082176	0.0346578044273756	0.0452636418233191	0.0153918817433234	0.00568688592650829	0.0216172976792433	0.0174067541517971	0.0275966251143571	0.0253022745652862	0.0232277563539615
HT29_G1_3E_2	0.0312927258362057	0.0227220250148941	0.00807477998103989	0.0227609837316265	0.037923561252895	0.00688533933337973	0	0.0186163473936596	0.00579388239562103	0.0083077644880677	0.0189462522688075	0.0251000584372974	0.0224764392312581	0.0197692560670758	0.0292111751773713	0.022670287488295	0.0239347863132041	0.0198825097354546	0.0321765889207051	0.0297235609868728	0.0232436820169719	0.0207139209867614	0.0241317940323278	0.0325045446433033	0.0270230990520336	0.0244492692068501	0.0433869074457548	0.0274041460714229	0.0273786702559064	0.0263748367080836	0.0112399884020015	0.0194517812342655	0.0349519768452036	0.0283669216760174	0.0310101206338681	0.0142136106320805	0.0118396319813993	0.0242815107968998	0.023195916421809	0.0145696583992853	0.0167637072638725	0.0206074058128185	0.0167566936615206	0.0235011611435047	0.0237924710435	0.0229950041331081	0.0254438511516755	0.0316869739735333	0.0242851320825823	0.0175839216205091	0.00388889739218579	0.0260989517877754	0.018583856401404	0.022195847506625	0.0228150928200234	0.0288478417528667	0.023359395322293	0.0175357273432815	0.0114813053742843	0.0168209592970778	0.0294487728472546	0.0234611967619772	0.0386820979751864	0.0221847204620893	0.0193744803326054	0.0309686847874855	0.0216853665597319	0.032213272350117	0.00696084372302996	0.0222612956225923	0.0206114967072642	0.0282722154476662	0.030637218555619	0.0400624756666261	0.0115706707564883	0.00822449813132455	0.0166733471887115	0.014923087926298	0.0212723941094877	0.021639713038944	0.0180610918552286
HT29_G1_3E_3	0.0162701868673572	0.00986666498402849	0.0145180833513908	0.0092349146261044	0.0537925195250774	0.0240669095719611	0.0186163473936596	0	0.0146433752714905	0.0191283268326854	0.00967091917761364	0.00986247816380164	0.0144630779273755	0.0110898013417455	0.0134090027821175	0.040387925132884	0.00739184444757778	0.00746574823623167	0.0168601934915901	0.0224459186730426	0.0130660679013955	0.0132971540417924	0.0117438425743883	0.0164418821255193	0.0117666969107849	0.0108306634621716	0.0252008451995763	0.0138444450441776	0.0141731442393751	0.0136490421272642	0.0127977950222928	0.0139635615141688	0.0208523392232232	0.0152763921879527	0.0182705092021249	0.0074450477155299	0.0122182504027998	0.0110569522118714	0.00982154859026303	0.010299629664546	0.00949445974659019	0.00586312391752435	0.0162665755657631	0.00736404176259776	0.0111819614698444	0.0105968512309539	0.00813235887904356	0.0176139735740828	0.0113617196486113	0.0151581614338684	0.0215972131919981	0.0131028543996977	0.0121480905578948	0.00877565205934487	0.00930642317861274	0.0122515857722495	0.00774080746767764	0.00400353828852416	0.00849017904102697	0.00488111250136703	0.0157389346667175	0.00971463485234995	0.0246254613322585	0.00438237027516142	0.00712727439732411	0.0167306492428647	0.00947647877584837	0.0161842547164318	0.0195529207682942	0.0130685246764917	0.00838132899607656	0.0157068660116284	0.0150680071193868	0.0219770357491287	0.0140032979383911	0.0207751384016891	0.00584736407515075	0.0120368161096683	0.0112684787073947	0.00852472911013253	0.0116720299724262
HT29_G1_3F_1	0.0257941629211235	0.0173313072927175	0.00430314787007019	0.0176867051309816	0.0421091687130323	0.0120625739939654	0.00579388239562103	0.0146433752714905	0	0.0094463416784306	0.0143430406537081	0.0197688340180146	0.0171294717112705	0.0143356992691226	0.023922403725138	0.0259379613161706	0.0190167507573379	0.0154235824489973	0.0272322130052093	0.0241388407883728	0.0177166977785794	0.0169525794356435	0.0184953873410738	0.0272252401833492	0.0217769788520057	0.0189179119184284	0.0388712829728359	0.0218049960741046	0.0220908874862738	0.0210451197275901	0.00553998487469175	0.0189660322904361	0.0292786644469029	0.0228038684851664	0.025288475772539	0.00951095943367326	0.0110320445199718	0.0199333171103709	0.017833961784154	0.00959029643971967	0.0121466529280843	0.0160318216773528	0.0116779355292954	0.018402713541602	0.0181934843184593	0.0174790068234778	0.0208796233125364	0.0260505338350626	0.0189680340848099	0.0119443574005658	0.00861961448681071	0.0207346241704406	0.0128108476211374	0.0167601223793133	0.0179217975964008	0.0240249275082634	0.018569787921791	0.0126892126740299	0.00647531523795249	0.0120595217355767	0.0243969455152524	0.0186289421359816	0.0331722520567995	0.0178187169085588	0.0146654591487322	0.0256741632895441	0.0161709899860711	0.0271980593359969	0.0052452388831	0.0167594540857123	0.0184097534884053	0.0225601961659391	0.0263632514672322	0.0352641461746164	0.0075746398402349	0.0117517828912707	0.0121609730613356	0.0127632025227911	0.0156470517389616	0.0183719877507454	0.0125233963170764
HT29_G1_3F_2	0.0303999496943713	0.0216146793586544	0.00707482070366913	0.0209486636335224	0.0348485384284677	0.00817802960645615	0.0083077644880677	0.0191283268326854	0.0094463416784306	0	0.0160010050027411	0.0248124090677401	0.0200568785570276	0.0181956862840543	0.0300159324605536	0.0265954129137639	0.0231164469946211	0.0175165606126789	0.0294467428401378	0.0313884690705412	0.0216279891457276	0.0158598120202741	0.0240641432826742	0.0311003804077871	0.0256838231826996	0.0246400475819271	0.0416588591391871	0.0268418895356269	0.0251429114966352	0.024246413117796	0.0138678851425465	0.0164738367967057	0.0344343681848334	0.0270263729488475	0.0312966688421661	0.0132244062770044	0.00888242285175603	0.0209682913803156	0.0221000691236176	0.0127229974895433	0.0140957855324728	0.0190614709732369	0.0149196400953169	0.0234179775326617	0.0243297586145677	0.0221886912669667	0.0241219446814224	0.031843115827882	0.0225515381592239	0.0192323089190178	0.00690701703885155	0.0242176816947525	0.0197331124128684	0.0228313799748349	0.0206088074322618	0.0269665432922852	0.021777128919935	0.0180194663525833	0.0132842277665165	0.0163640118878461	0.0265556926198153	0.0210945770912021	0.0365434579245325	0.0215729349528753	0.0174484188919761	0.0287147286710016	0.0226845167653158	0.0299995060944485	0.0109690313646681	0.0205245887316652	0.0189551844787723	0.0283016649245697	0.0274015161232547	0.0388221318230108	0.00850311894323449	0.00511240953135149	0.0153365887757385	0.0102388901851853	0.0227389548367517	0.018703134934176	0.0168728231186503
