	HT29_G1_1B	HT29_G1_2A	HT29_G1_3E	HT29_G1_3F	HT29_G1_4A	HT29_G1_4B	HT29_G1_4C	HT29_G1_4F	HT29_G1_5A	HT29_G1_5B	HT29_G1_5C	HT29_G1_5D	HT29_G1_5E	HT29_G1_5F	HT29_G2_4G	HT29_G2_4H	HT29_G2_5A	HT29_G2_5B	HT29_G2_5E	HT29_G2_5F	HT29_G2_5G	HT29_G2_5H	HT29_G2_6A	HT29_G2_6B	HT29_G2_6C	HT29_G2_6D	HT29_G2_6E	HT29_G2_6F	HT29_G2_6G	HT29Root1	HT29Root2
HT29_G1_1B	0	0.00982483542861806	0.0312927258362057	0.0303999496943713	0.00664558290270468	0.012574045142696	0.0140745909880222	0.0178228903082002	0.00761476049367168	0.00732300604393581	0.00661291038610974	0.021232404680999	0.00617019503589204	0.0177353749158979	0.0177724944992276	0.00898638505403946	0.00843124940886437	0.00455399459925546	0.00671383168454688	0.00976448606062177	0.00772443703989271	0.0152584480577917	0.00789522472373061	0.00907869995648733	0.0135826729900986	0.0106141605943092	0.0108982873622834	0.0125582642640264	0.0223567922497962	0.0230167175489592	0.0144113243243152
HT29_G1_2A	0.00982483542861806	0	0.0227609837316265	0.0209486636335224	0.00535548046451499	0.00517843258663929	0.00438687911079879	0.00883556523185414	0.00647934383656436	0.00662344565082113	0.00525484671096443	0.0143536599221189	0.0129093292394982	0.00860814957620166	0.00882666658884702	0.00525523959945462	0.00396763830959352	0.0124932347983251	0.00429289788539788	0.00671080859515309	0.00684931873084895	0.00660605072480385	0.00717212344802733	0.0167069493078264	0.00388258468750981	0.00780132216351059	0.00556951666995625	0.010045966777619	0.0134160854610864	0.0132100677914993	0.00729259267075339
HT29_G1_3E	0.0312927258362057	0.0227609837316265	0	0.0083077644880677	0.0251000584372974	0.0197692560670758	0.0198825097354546	0.0207139209867614	0.0241317940323278	0.0244492692068501	0.0273786702559064	0.0112399884020015	0.0310101206338681	0.0142136106320805	0.0145696583992853	0.0235011611435047	0.0229950041331081	0.0316869739735333	0.0260989517877754	0.022195847506625	0.0288478417528667	0.0168209592970778	0.0294487728472546	0.0386820979751864	0.0193744803326054	0.0216853665597319	0.0222612956225923	0.030637218555619	0.0115706707564883	0.014923087926298	0.0180610918552286
HT29_G1_3F	0.0303999496943713	0.0209486636335224	0.0083077644880677	0	0.0248124090677401	0.0181956862840543	0.0175165606126789	0.0158598120202741	0.0240641432826742	0.0246400475819271	0.0251429114966352	0.0138678851425465	0.0312966688421661	0.0132244062770044	0.0127229974895433	0.0234179775326617	0.0221886912669667	0.031843115827882	0.0242176816947525	0.0228313799748349	0.0269665432922852	0.0163640118878461	0.0265556926198153	0.0365434579245325	0.0174484188919761	0.0226845167653158	0.0205245887316652	0.0274015161232547	0.00850311894323449	0.0102388901851853	0.0168728231186503
HT29_G1_4A	0.00664558290270468	0.00535548046451499	0.0251000584372974	0.0248124090677401	0	0.00821306921125575	0.00894996344616601	0.014176713499811	0.0038335292970777	0.00259244804459112	0.00666155728551201	0.0155308447515099	0.00890159550695181	0.0117058793439892	0.0123904123765105	0.00254566013371153	0.00395046146767475	0.00811215807536864	0.0055189841601987	0.00378943543997594	0.00691061666006	0.00893744929150668	0.00905042307819561	0.0153597735349132	0.00816316513333529	0.00509800223559566	0.0079285644808232	0.0121819622348421	0.0171419103174825	0.0176909373559764	0.00985729127863378
HT29_G1_4B	0.012574045142696	0.00517843258663929	0.0197692560670758	0.0181956862840543	0.00821306921125575	0	0.00656477340167618	0.00914640469331272	0.00660589744462738	0.00771533749799307	0.00797310052682924	0.0105699866117902	0.0135148786955526	0.00698243934135283	0.00561669820402529	0.00836218536526623	0.00451453886004539	0.0140311331148538	0.00666682477038009	0.00730166492658082	0.0118571556863242	0.00666738902147715	0.0105560453687984	0.0189717293112807	0.00544898727258414	0.00748702148227774	0.00268461775844039	0.0148316473398042	0.00987822711482657	0.0128114469856445	0.0022612494255823
HT29_G1_4C	0.0140745909880222	0.00438687911079879	0.0198825097354546	0.0175165606126789	0.00894996344616601	0.00656477340167618	0	0.00629190891501082	0.0101428627256252	0.0101567069122738	0.00924110264646362	0.0133803079805333	0.0170958834734521	0.00593937164284518	0.00689090422955485	0.00769639300283265	0.00765933129224016	0.0166884831669452	0.00852021991528001	0.00925537710476092	0.009460378282379	0.00465242103093639	0.0103723262368588	0.0207319894251458	0.001405011346136	0.0101745249114899	0.00826811952892722	0.0109466964777494	0.0109826547286545	0.00900395538003959	0.00794467508164792
HT29_G1_4F	0.0178228903082002	0.00883556523185414	0.0207139209867614	0.0158598120202741	0.014176713499811	0.00914640469331272	0.00629190891501082	0	0.0145845460361838	0.0151534051371691	0.0115510309042502	0.016032787828903	0.0210669693497281	0.00917141489178474	0.00836684224016445	0.013562510984479	0.0119005136288261	0.0209273139908348	0.0113990765791307	0.0147025229851436	0.0132512402315088	0.0099488280379017	0.0117275042516368	0.0223507845968389	0.00709751707106067	0.0154310926119695	0.0103121019410649	0.0124620984792389	0.0102958880543207	0.00767068681660997	0.0101201208759008
HT29_G1_5A	0.00761476049367168	0.00647934383656436	0.0241317940323278	0.0240641432826742	0.0038335292970777	0.00660589744462738	0.0101428627256252	0.0145845460361838	0	0.00179341275595504	0.00711540774785523	0.0136885087812186	0.00745824020181013	0.0115274740356428	0.0114247459480174	0.00551115865765742	0.00269562060956159	0.00779896532478484	0.00562246335730364	0.00348728963270741	0.0100566871460516	0.00948433940775453	0.0102072524190305	0.0156141731936641	0.00903061288647023	0.00378731447547207	0.00583270196919326	0.0149676068030957	0.0159148083384766	0.0182440511470709	0.00779149203709961
HT29_G1_5B	0.00732300604393581	0.00662344565082113	0.0244492692068501	0.0246400475819271	0.00259244804459112	0.00771533749799307	0.0101567069122738	0.0151534051371691	0.00179341275595504	0	0.007678758852349	0.0142265352004786	0.00759980232952552	0.0117506447640126	0.0121076480148614	0.0042164993472771	0.00353215645357264	0.00747471343219672	0.00628381090070422	0.00258030081041227	0.00936836781653303	0.00931626876673048	0.0105399432522832	0.0159194860112558	0.00910378950099194	0.00331096859532672	0.0072911975454454	0.0145619384053163	0.0167188265255272	0.0184595502528834	0.00895078278680054
HT29_G1_5C	0.00661291038610974	0.00525484671096443	0.0273786702559064	0.0251429114966352	0.00666155728551201	0.00797310052682924	0.00924110264646362	0.0115510309042502	0.00711540774785523	0.007678758852349	0	0.0182470556388751	0.0106115688582301	0.0135017867235145	0.0129770787341105	0.00828230772696401	0.00568280381920998	0.0101562850372362	0.00161365685722103	0.00933157836075104	0.00642070810843948	0.0117567156564041	0.00321027185894407	0.0116582725807937	0.00897623972308362	0.0102956847555319	0.00630747981881664	0.00960411380249985	0.0172448778666249	0.0176176962721158	0.0101431961099195
HT29_G1_5D	0.021232404680999	0.0143536599221189	0.0112399884020015	0.0138678851425465	0.0155308447515099	0.0105699866117902	0.0133803079805333	0.016032787828903	0.0136885087812186	0.0142265352004786	0.0182470556388751	0	0.0200604685486058	0.00796533542403234	0.00767336228261701	0.0145785565083583	0.0131498069699472	0.0210028067744961	0.0167542314450155	0.0122187946839007	0.0207395413762473	0.00963389113337824	0.0209432696672274	0.0287059038597401	0.0122489981590038	0.0113794660954373	0.0126871282692418	0.0239563010661946	0.00815783744719913	0.0142068249647538	0.0086231632294599
HT29_G1_5E	0.00617019503589204	0.0129093292394982	0.0310101206338681	0.0312966688421661	0.00890159550695181	0.0135148786955526	0.0170958834734521	0.0210669693497281	0.00745824020181013	0.00759980232952552	0.0106115688582301	0.0200604685486058	0	0.0189771039811702	0.0187037473959129	0.011230489152608	0.00971144578345442	0.00245411406421495	0.00999726863402768	0.00987965817917324	0.0132521376761166	0.0168319890921686	0.0129300368747988	0.0121026055948018	0.0161688436047291	0.00989737111718393	0.0117783035254063	0.0183935722249279	0.0229863097108064	0.0255635462269886	0.0146006796509007
HT29_G1_5F	0.0177353749158979	0.00860814957620166	0.0142136106320805	0.0132244062770044	0.0117058793439892	0.00698243934135283	0.00593937164284518	0.00917141489178474	0.0115274740356428	0.0117506447640126	0.0135017867235145	0.00796533542403234	0.0189771039811702	0	0.00311183031978626	0.0102070830737435	0.00967617730247025	0.0191373701247811	0.0123098560523051	0.00988570656106664	0.0147270317578718	0.00326170128828566	0.0154395158769594	0.0250390876757228	0.00520133600526445	0.0100480518083355	0.00965057204112419	0.0168676061770055	0.00665274044504727	0.0078414717439027	0.00652254184459671
HT29_G2_4G	0.0177724944992276	0.00882666658884702	0.0145696583992853	0.0127229974895433	0.0123904123765105	0.00561669820402529	0.00689090422955485	0.00836684224016445	0.0114247459480174	0.0121076480148614	0.0129770787341105	0.00767336228261701	0.0187037473959129	0.00311183031978626	0	0.0114685698320872	0.00947923887873304	0.019167432042447	0.0118208548845504	0.0106546932772843	0.0154986660774941	0.00559129327541841	0.0150158636729399	0.0243845727169819	0.00610135123559712	0.0106590175634598	0.0081790706073269	0.017509344072564	0.00476763820828683	0.00851501715430679	0.00462675375744207
HT29_G2_4H	0.00898638505403946	0.00525523959945462	0.0235011611435047	0.0234179775326617	0.00254566013371153	0.00836218536526623	0.00769639300283265	0.013562510984479	0.00551115865765742	0.0042164993472771	0.00828230772696401	0.0145785565083583	0.011230489152608	0.0102070830737435	0.0114685698320872	0	0.00502555993667599	0.0104100336734466	0.00714564355522689	0.0036747631672537	0.00731083845203337	0.00714291512386034	0.0103772480964626	0.0176431604827015	0.00694202212004341	0.00510573329627731	0.00886545224844773	0.012176388015304	0.0161998389333068	0.0161125903055223	0.00983611754219817
HT29_G2_5A	0.00843124940886437	0.00396763830959352	0.0229950041331081	0.0221886912669667	0.00395046146767475	0.00451453886004539	0.00765933129224016	0.0119005136288261	0.00269562060956159	0.00353215645357264	0.00568280381920998	0.0131498069699472	0.00971144578345442	0.00967617730247025	0.00947923887873304	0.00502555993667599	0	0.0098213239875421	0.00407706819502019	0.00421352014934979	0.00888990662879993	0.00775893596921399	0.00869833154789377	0.0159639083140336	0.0066058994736687	0.0049133397096359	0.00405309771343102	0.0132078984623227	0.014080464231492	0.0158622721381368	0.0062221067701309
HT29_G2_5B	0.00455399459925546	0.0124932347983251	0.0316869739735333	0.031843115827882	0.00811215807536864	0.0140311331148538	0.0166884831669452	0.0209273139908348	0.00779896532478484	0.00747471343219672	0.0101562850372362	0.0210028067744961	0.00245411406421495	0.0191373701247811	0.019167432042447	0.0104100336734466	0.0098213239875421	0	0.00971394823278619	0.00982712346906894	0.0116875636707107	0.0166989232109997	0.0121200342904211	0.0113130234389306	0.0158904535872185	0.0101546145555852	0.0124254743082078	0.0169050412453671	0.023657669836539	0.025442934965555	0.015375106702993
