	HT29_G1_1B_1	HT29_G1_1B_2	HT29_G1_1B_3	HT29_G1_2A_1	HT29_G1_2A_2	HT29_G1_2A_3	HT29_G1_3E_1	HT29_G1_3E_2	HT29_G1_3E_3	HT29_G1_3F_2	HT29_G1_3F_3	HT29_G1_4A_1	HT29_G1_4A_2	HT29_G1_4B_3	HT29_G1_4C_1	HT29_G1_4F_1	HT29_G1_4F_2	HT29_G1_4F_3	HT29_G1_5A_1	HT29_G1_5A_2	HT29_G1_5A_3	HT29_G1_5B_1	HT29_G1_5B_2	HT29_G1_5B_3	HT29_G1_5C_2	HT29_G1_5C_3	HT29_G1_5D_1	HT29_G1_5D_2	HT29_G1_5D_3	HT29_G1_5E_1	HT29_G1_5E_2	HT29_G1_5E_3	HT29_G1_5F_3	HT29_G2_4G_1	HT29_G2_4G_2	HT29_G2_4G_3	HT29_G2_4H_1	HT29_G2_4H_2	HT29_G2_4H_3	HT29_G2_5A_1	HT29_G2_5A_2	HT29_G2_5A_3	HT29_G2_5B_2	HT29_G2_5B_3	HT29_G2_5E_1	HT29_G2_5E_2	HT29_G2_5E_3	HT29_G2_5F_1	HT29_G2_5F_2	HT29_G2_5F_3	HT29_G2_5G_1	HT29_G2_5G_2	HT29_G2_5G_3	HT29_G2_5H_1	HT29_G2_6A_1	HT29_G2_6B_1	HT29_G2_6B_2	HT29_G2_6B_3	HT29_G2_6C_2	HT29_G2_6C_3	HT29_G2_6D_1	HT29_G2_6D_2	HT29_G2_6D_3	HT29_G2_6E_1	HT29_G2_6E_2	HT29_G2_6E_3	HT29_G2_6F_1	HT29_G2_6F_2	HT29_G2_6F_3	HT29_G2_6G_1	HT29_G2_6G_2	HT29_G2_6G_3	HT29Root1_3	HT29Root2_1	HT29Root2_2	HT29Root2_3
HT29_G1_1B_1	0	0.00671971362307299	0.00575155328064565	0.00100708959580255	0.00558772919579711	0.00813313806979982	0.029450256302583	0.00410458660218422	0.00933943472506367	0.00337862163420671	0.00704025374395491	0.00234049289827169	0.00623037044461392	0.0108742402027659	0.00697308943522393	0.0111322266245749	0.0108374906179188	0.0147282438447607	0.0145473229201678	0.0134601003921035	0.0041245806377658	0.0110176744560616	0.00493258217818159	0.0158981788463346	0.0168963160317116	0.00465363093921568	0.0134525437936575	0.00631475197768892	0.00431654601574007	0.00970708744966036	0.00449855823749275	0.00833478930539252	0.00840877621466285	0.0314446016388811	0.00696997326795375	0.010314107341419	0.0144413080466546	0.000671012540434981	0.010800483682596	0.0124521538574029	0.00502116032192741	0.00942361700829018	0.00983424804875078	0.00867055888323684	0.00720377504503135	0.0109919541672854	0.00759177094750448	0.00637051860504751	0.011434226236727	0.0107180968486977	0.0108828696110995	0.00846610324451467	0.00788576163301038	0.00943196389821649	0.0469475475911721	0.00760356412429414	0.00228177731161105	0.00783755134317654	0.00799839040359039	0.00540321308273715	0.00505116977980229	0.0146561203362697	0.0103427851639947	0.00179782007647204	0.0125107639173576	0.0011747538298364	0.00512179043684874	0.000423374254944392	0.0111288841873976	0.00473914669240321	0.00853588767617452	0.0127573479515025	0.0113073848273262	0.00779866395501849	0.0179749048156982	0.00211402751004001
HT29_G1_1B_2	0.00671971362307299	0	0.0117870262631266	0.00575524661877452	0.00841067121667766	0.00680273906803198	0.0241142618074417	0.0063014578629831	0.00565288094323314	0.00430040256356546	0.00554938564994444	0.0067608675961364	0.00286210481643818	0.00481393607904748	0.000410894362901857	0.00823083771831402	0.00836920035025938	0.0171735618966473	0.00797573580475856	0.0126994246727686	0.00887852550422385	0.00605830885160502	0.00245560945976851	0.0214971420824585	0.0103264446003696	0.00272132868989646	0.00769215895290286	0.000965341619465866	0.00693332892633421	0.00556526771299057	0.00224545319542429	0.00642242108896473	0.00848173976817209	0.0248548548580278	0.000953346847742302	0.00458086073361951	0.00777410469079446	0.00615189831831811	0.00416009205469789	0.00832620434848792	0.00169899850571598	0.00477987933131424	0.00605814452898396	0.00501037706192785	0.00193519159433247	0.0101160268927164	0.00642421151861752	0.0103071463505136	0.00471627457926173	0.0086205782058339	0.0042171269998643	0.00459598708215288	0.00563173579456417	0.00330073156612451	0.0407523826229128	0.000888052697481299	0.00729857943962642	0.00585288874654956	0.00607729380031295	0.00325790108905081	0.0023238855332405	0.00993993131264106	0.0145964950533649	0.00636535691526929	0.0106186066118771	0.00559115831200922	0.00320567696985365	0.00633086067801474	0.00501254316320918	0.00232653882903811	0.00329466564769013	0.00654352667740835	0.00567303411929742	0.00385005862912414	0.0113001267225923	0.00637691709920091
HT29_G1_1B_3	0.00575155328064565	0.0117870262631266	0	0.00669128273654324	0.005330220070347	0.00981722984860857	0.0351806620527141	0.0061786494712394	0.012161629126184	0.00912120336339045	0.0127503518997562	0.0050403491648525	0.0101960996231787	0.0149590647416763	0.0121230126673369	0.0129148180915458	0.0123756266190044	0.0111571497514297	0.0189356982854539	0.0129821190702207	0.00329814756427566	0.0142835753524884	0.0104988352462375	0.010150148869387	0.0211994083826414	0.0102483522202008	0.0190527388805448	0.0116411827444788	0.00571714951983799	0.0127168503213372	0.00978766542118586	0.0103450092736206	0.00883935187381736	0.0366066308222694	0.0122763218976293	0.0142309087961054	0.0195165790870776	0.00641725910846582	0.0159415149483343	0.0148609530658747	0.0101693569727405	0.0128203167430885	0.0125721550524396	0.0116910049718811	0.0127033518744126	0.0112266646365363	0.00943044577266921	0.003979399401921	0.0163777834984852	0.0120095082845952	0.015602265249927	0.0116823569066043	0.013617411281968	0.0137514410275088	0.0524624527589874	0.0126063322050466	0.00448950339560467	0.0101263505273543	0.0101675074133806	0.00930996137193155	0.0105997157709672	0.0204006412987794	0.00573522484362453	0.00543109373713984	0.0131813414647436	0.00684431271455603	0.00914342524417861	0.00596942083817547	0.0165913020632769	0.00949161387444408	0.0125008138847581	0.0168007239901014	0.0150110680053822	0.013512059156884	0.0224990179333802	0.00760641332264863
HT29_G1_2A_1	0.00100708959580255	0.00575524661877452	0.00669128273654324	0	0.00586607864999182	0.00782782273321448	0.0284933768198609	0.00408103439979933	0.00875995815434385	0.00243754543365084	0.00620978660116644	0.00264966087887378	0.00550507295339705	0.010032368332616	0.0059949013993871	0.0107095523275799	0.0104681283943999	0.0151812828054678	0.0136358970753296	0.0133987675651282	0.00474796647342523	0.0103192762621102	0.00392586745840093	0.0168209475428244	0.0159882796781975	0.00364806275276854	0.0124539180843604	0.00531855044571026	0.00442774307464035	0.00908169204805155	0.00351976569308108	0.00795365782080755	0.00833858650221612	0.0304427720578494	0.00597360283365647	0.00950764198846741	0.0134514388143339	0.000400261131876209	0.00981032326148296	0.0118880043290272	0.00406148372962376	0.00872887128261425	0.00925900361335856	0.00806945583549327	0.00619670607184482	0.0108610987088906	0.00728082611819915	0.00691927964690923	0.0104629754131087	0.0103985058721964	0.00994215846645396	0.0078306460972759	0.00702227085742749	0.00856520591471399	0.0459463760869126	0.00664204861906149	0.00280340962059199	0.0074195169416355	0.00759851299924724	0.00473184725386223	0.00404414067998663	0.0137119753474286	0.0110351895715534	0.00200530420353207	0.0122630771349292	0.000168313681029569	0.00443655860473179	0.000722230846863492	0.0101218738133145	0.00387745933871292	0.0077478597090967	0.011906432044238	0.0105264574849824	0.00682652889260812	0.017036401783948	0.00176444158247576
HT29_G1_2A_2	0.00558772919579711	0.00841067121667766	0.005330220070347	0.00586607864999182	0	0.00452317914020554	0.0325216345803129	0.0021998881521124	0.00705300601207691	0.00779570991259782	0.0116033070702167	0.00326076952635981	0.00598142778003157	0.0103245395601471	0.0088132640514937	0.00758667374819274	0.00704626471038026	0.00939947662083937	0.0143457746477941	0.00826900037422147	0.00233166959788664	0.00924588113612876	0.00821569553562032	0.0134509535343647	0.0164894476303073	0.00808628166020499	0.0161020968055956	0.00867718288189775	0.00160308442099623	0.00764905658692366	0.00711990847336626	0.00509225734681416	0.00358454635282269	0.032470883866587	0.00918829806076943	0.00953005575141835	0.0155684877835805	0.0059160333505279	0.0122576777225319	0.00957284004879975	0.00720127853555241	0.00791804173277751	0.00741571619173365	0.00669111046946704	0.00993546755127361	0.00612629587283338	0.00418618672460736	0.00203929392264091	0.0124159937517963	0.00669020598801965	0.0114471439032548	0.00677510366722497	0.0122576534003244	0.00937185434757754	0.0488471373878749	0.00903533484491559	0.00336118253614356	0.00496372958824952	0.00496508415942968	0.00525211515352005	0.00825463448762253	0.0181618712440795	0.00619743544907792	0.00387574104218715	0.00799163789249058	0.00591299118359077	0.00523190397805362	0.00540954143710671	0.0134146285293345	0.00620022180102962	0.00796507341375475	0.0120539182266856	0.0101459961453837	0.0113687383179839	0.0179188852581243	0.00758213826575791
HT29_G1_2A_3	0.00813313806979982	0.00680273906803198	0.00981722984860857	0.00782782273321448	0.00452317914020554	0	0.0301014675726713	0.00422550406923398	0.00279501729485139	0.00861472030988706	0.0117280577765967	0.00615280449956165	0.00396889471290342	0.00658738133913999	0.00718868050563063	0.00316706707540722	0.00274737482936134	0.0108092652209207	0.0104580410009419	0.00602246480267129	0.0066123556921543	0.00498005210948916	0.00796560505462428	0.0174419148198201	0.0124169815776405	0.00800363738661861	0.0139419720389823	0.00752009728124934	0.00437460738615596	0.0034227981009643	0.0068155917991586	0.000666025181419375	0.00198255531062946	0.028741800244343	0.00775322155967796	0.00576216121624188	0.0123593035029645	0.00809213277394511	0.00959839236607741	0.00505077424259635	0.00650735088973161	0.00397751472296216	0.00304282370540782	0.00272470244937408	0.0087174457517237	0.00338380188505948	0.00054712439179843	0.00637354827714744	0.00939945522600805	0.00258505127818932	0.00827224705401278	0.00300826046858312	0.0120877040873955	0.00611988952582458	0.0454589524979545	0.00701369871532457	0.00661433502943746	0.000999968579790369	0.00081150885101406	0.00394939966801227	0.00792623706861697	0.0165853758441329	0.0097700627811289	0.00644126844393248	0.00445134630073243	0.0077729629555356	0.00419044501835658	0.00777300135531411	0.011230726415866	0.00552236257188286	0.0046920278040493	0.00806302060759873	0.00608713786511482	0.0105671998899113	0.0139522400917075	0.00950769682415967
HT29_G1_3E_1	0.029450256302583	0.0241142618074417	0.0351806620527141	0.0284933768198609	0.0325216345803129	0.0301014675726713	0	0.0303910309538016	0.0276996594585849	0.026072868330866	0.0226954757345024	0.0304851934520698	0.0267195119130811	0.0238831870121461	0.0237115429623569	0.0297338158114114	0.0302573617012043	0.0409027882310657	0.0210532793188752	0.0348602646787899	0.0327460981758833	0.0261481223783656	0.02475957964785	0.0452719983087322	0.0205162970673101	0.02498605999713	0.0164235462770435	0.0239087643598656	0.0310230591651779	0.0271746771989093	0.0256456719853906	0.0295140402259189	0.0320473799685116	0.0124543291594297	0.0233565502231958	0.0246389793989653	0.0180258563609848	0.0287802121202418	0.0205262665610498	0.0281607175572232	0.0254221363714414	0.0263595101827286	0.0277632089428182	0.0274723637847511	0.0226983938507874	0.0327860214708248	0.0299152459212817	0.0343884278280635	0.0207292331540919	0.0307565353235726	0.0218838428053009	0.0271288348030981	0.0217723144789744	0.0240015330406742	0.0192111034428969	0.0235286866882818	0.0309269456987169	0.0291125207553398	0.0292902868684231	0.0273220208324005	0.0246742259920003	0.0148125086920619	0.0386961422446175	0.0299426935549031	0.0322569892300617	0.0283395762704321	0.0273067927913448	0.0292145186155917	0.0191240490731786	0.0263574191207961	0.0254116384096813	0.0231533568993857	0.0248216694656709	0.0216754922202728	0.0190081509434893	0.0278247248909088
HT29_G1_3E_2	0.00410458660218422	0.0063014578629831	0.0061786494712394	0.00408103439979933	0.0021998881521124	0.00422550406923398	0.0303910309538016	0	0.006100284379489	0.00571704782601535	0.0094660559974546	0.00193708540461868	0.00413022361292688	0.00880276348530137	0.00669600967274971	0.00736637430587097	0.00697276376770783	0.0115252180724992	0.0128043833642559	0.00936260109867645	0.0029042012430402	0.00814962714763055	0.00601922467687101	0.0152906536145467	0.0150422643033622	0.00589632235886659	0.0139769411970984	0.00650592887170602	0.000632538608161323	0.00661566461415089	0.00492022114243848	0.00457328715127348	0.00430539695789826	0.0307174407898838	0.00703789269447328	0.00806042854959373	0.0136958025139438	0.00423677462284065	0.010271723566879	0.00901834761809239	0.00501560357747276	0.00665328254846917	0.00654777503501633	0.00556744329003627	0.0077551971825215	0.00689032519095984	0.0037173110338814	0.00400603684928484	0.010529104711129	0.00677392726616337	0.00963724375949398	0.00552430559315575	0.010091947508925	0.00766646590606906	0.0469257111105309	0.00698211318598356	0.00239075636383132	0.00419952826578692	0.00430146493340029	0.00329640062288141	0.00605623624988644	0.0159729303145144	0.00831043692401972	0.00231810785644333	0.00846692950430148	0.00408537443805188	0.00320854807014724	0.00380915443517031	0.0113136008645886	0.0040372982506938	0.00635437081828478	0.0106297347642065	0.0088338764218522	0.00916898256488754	0.0163795553551057	0.00584544714350053
HT29_G1_3E_3	0.00933943472506367	0.00565288094323314	0.012161629126184	0.00875995815434385	0.00705300601207691	0.00279501729485139	0.0276996594585849	0.006100284379489	0	0.00877062874366873	0.0111293781411065	0.00783113788360381	0.00347562148609108	0.00390227880971211	0.00595358977151868	0.00258824247328256	0.00282623359112642	0.0133398446211678	0.00767598192419942	0.00743845359482963	0.0088705557864219	0.00221021641459293	0.00754892942845901	0.0202157339532148	0.00962401806038557	0.00768952618887192	0.0118474759143466	0.00656348593949923	0.00646709369295879	0.000627822172547298	0.00658561300556083	0.00212931927716599	0.00471992455006773	0.0259597169144721	0.00656169520891527	0.00309635001451095	0.00977798129757082	0.0091037910357233	0.0073927405856424	0.00312896033080643	0.00608548406843832	0.00134139964570987	0.000499711737091939	0.000718448930687221	0.00754344654932111	0.00511149597067526	0.00293030414373338	0.00901662538842529	0.0069926912250654	0.00320398280631034	0.00582668349052379	0.00108266093983759	0.0112790797708849	0.00379037955519062	0.0427252414479818	0.00551250601795627	0.00837936388307386	0.00209300991314094	0.00212527068838699	0.00406611684313299	0.00746470921376332	0.014738683978608	0.0125616643378829	0.0079158657566075	0.00508821620753445	0.00865754979270959	0.0043692308997303	0.00892978579602434	0.00922638635504373	0.00539421568539005	0.00260453641222099	0.00527401509276766	0.00329723485599815	0.00947714207319536	0.0111579898017699	0.0102083673998688
HT29_G1_3F_2	0.00337862163420671	0.00430040256356546	0.00912120336339045	0.00243754543365084	0.00779570991259782	0.00861472030988706	0.026072868330866	0.00571704782601535	0.00877062874366873	0	0.00386270729398113	0.00482983849743881	0.00529508184956563	0.00904504372803933	0.00439984204385431	0.0110799830175139	0.0109837746066465	0.0171945240354784	0.0122414007549191	0.0145394423584887	0.0070664038569438	0.00987715124862677	0.00193309207685346	0.0192570521698266	0.0145821452708167	0.00163317559866867	0.0101487029462933	0.00356555963875257	0.00622237436660516	0.00893383373637556	0.00228387494025643	0.00855164502721623	0.00959821460575531	0.0283687430394431	0.00417336636048406	0.00868993937259365	0.0115600516485709	0.00270832963438779	0.00796094766406748	0.0118259114792731	0.00288032298024902	0.00836784251050996	0.00925823856291066	0.00805224672474607	0.00411021963531282	0.0119130583572249	0.00808754724714317	0.0091329802689646	0.00876265349701491	0.011039116152753	0.00845706009811901	0.00771964644610159	0.00462360639744134	0.00752137333549079	0.0436514012382383	0.00514638394427801	0.00511957068106895	0.00795764752277037	0.00817102788457421	0.00482384783638063	0.00207316965003636	0.0112806598203669	0.0133528389757031	0.00419369982615809	0.0130204349186699	0.00229359616904644	0.00453427798970229	0.0031586914379983	0.00796355981532022	0.00337650741265072	0.00709304204658866	0.0108276035177349	0.0097743176817918	0.00443077845052082	0.0154630766801986	0.00217290152242279
