	HT29_G1_1B_1	HT29_G1_1B_2	HT29_G1_1B_3	HT29_G1_2A_1	HT29_G1_2A_2	HT29_G1_2A_3	HT29_G1_3E_1	HT29_G1_3E_3	HT29_G1_3F_1	HT29_G1_3F_2	HT29_G1_3F_3	HT29_G1_4A_1	HT29_G1_4A_2	HT29_G1_4A_3	HT29_G1_4B_2	HT29_G1_4B_3	HT29_G1_4C_1	HT29_G1_4C_2	HT29_G1_4C_3	HT29_G1_4F_1	HT29_G1_4F_2	HT29_G1_4F_3	HT29_G1_5A_1	HT29_G1_5A_2	HT29_G1_5A_3	HT29_G1_5B_1	HT29_G1_5B_2	HT29_G1_5B_3	HT29_G1_5C_1	HT29_G1_5C_2	HT29_G1_5C_3	HT29_G1_5D_1	HT29_G1_5D_2	HT29_G1_5D_3	HT29_G1_5E_1	HT29_G1_5E_2	HT29_G1_5E_3	HT29_G1_5F_1	HT29_G1_5F_2	HT29_G1_5F_3	HT29_G2_4G_1	HT29_G2_4G_2	HT29_G2_4G_3	HT29_G2_4H_1	HT29_G2_4H_2	HT29_G2_4H_3	HT29_G2_5A_1	HT29_G2_5A_2	HT29_G2_5A_3	HT29_G2_5B_2	HT29_G2_5B_3	HT29_G2_5E_1	HT29_G2_5E_2	HT29_G2_5E_3	HT29_G2_5F_1	HT29_G2_5F_2	HT29_G2_5F_3	HT29_G2_5G_1	HT29_G2_5G_2	HT29_G2_5G_3	HT29_G2_5H_1	HT29_G2_5H_2	HT29_G2_5H_3	HT29_G2_6A_1	HT29_G2_6A_2	HT29_G2_6A_3	HT29_G2_6B_1	HT29_G2_6B_2	HT29_G2_6B_3	HT29_G2_6C_2	HT29_G2_6C_3	HT29_G2_6D_1	HT29_G2_6D_2	HT29_G2_6D_3	HT29_G2_6E_1	HT29_G2_6E_2	HT29_G2_6E_3	HT29_G2_6F_1	HT29_G2_6F_2	HT29_G2_6F_3	HT29_G2_6G_1	HT29_G2_6G_2	HT29_G2_6G_3	HT29Root1_1	HT29Root1_2	HT29Root1_3	HT29Root2_1	HT29Root2_2	HT29Root2_3
HT29_G1_1B_1	0	0.0126434303673405	0.0118930436685776	0.0129122870117176	0.00116068018904684	0.0160296399126208	0.00820782846941088	0.00979854956580118	0.0164903681869316	0.00778212795941596	0.00668929107504078	0.00781769142480884	0.00894734687540436	0.00249256139195642	0.0181636749945216	0.0103462388595715	0.0139835104437247	0.00659741546070629	0.00697059434618899	0.0141678810882986	0.0135821807899964	0.0103810466409018	0.00211096243577795	0.00965894328630314	0.00804791012731586	0.00182141026044581	0.0121560408832883	0.00762312924773404	0.0151397433435716	0.0172610312628003	0.0156669662301357	0.0157290939456065	0.0174596730139941	0.00194149785092649	0.0137722591269441	0.00344637520919992	0.0149770706845656	0.0244088895544051	0.00777377237077018	0.00224751694364522	0.000603304281565811	0.0144312951425238	0.00204858647080356	0.00807328957111412	0.013898388890278	0.00755999942524922	0.00482897238774109	0.0180870743022331	0.0215282958059091	0.0109497150243629	0.0163170727754992	0.00529945683256645	0.00665297345425652	0.00601611070197673	0.00414942387331524	0.0108283162367037	0.00997941987542348	0.00363033385575753	0.00336852634066225	0.0130372978270573	0.00198349062403278	0.00228542510150301	0.0049289798194131	0.012340275674913	0.0141233918629056	0.0106753480457058	0.0146791859910511	0.0191597865856735	0.0107538413217753	0.0576900732471842	0.0626294595417932	0.0134162285828759	0.0207705225701516	0.0104648095148996	0.0026352153917772	0.0182081945948262	0.0198856931794923	0.0244779874961521	0.0089182917716771	0.0104095613427177	0.00627189863437639	0.0247672558962274	0.00895805093445175	0.0215194159230605	0.00577834242405736	0.0170339230085936	0.00780475838383881	0.00713169666807352	0.00699975764348954
HT29_G1_1B_2	0.0126434303673405	0	0.0107091290232879	0.00659051150786155	0.0123942621946958	0.00619693290108703	0.0208499761682586	0.00444452962951249	0.00495827600356853	0.00641738390360036	0.0156490916684485	0.0199886011886746	0.0214210992670649	0.0149481363065948	0.00569228380149612	0.00439022241129413	0.00229753398766624	0.00766544188122952	0.00871544891540787	0.00714295357334547	0.0254476620291515	0.00253910596868573	0.0147202220688296	0.0216978330625723	0.00847534379841806	0.0144637147050688	0.0220823326242706	0.00634672402321963	0.00886822246268615	0.00797280166403951	0.00815385462273176	0.00573935372551088	0.00504558775860563	0.0122961326674755	0.00167789940564974	0.0156795691610605	0.00544675067978583	0.0129338707889944	0.0048872696767114	0.0109083105633742	0.0127682164089572	0.00829858501487094	0.0107092649345634	0.00512865595064362	0.0064439560142313	0.00751692622805619	0.00967112490767657	0.0054880278508269	0.0329370643526971	0.00169493379165794	0.0288791787222897	0.0078363617200505	0.00602787143321632	0.0182964495730441	0.0166321491406855	0.00641591345596546	0.0218640152518019	0.0149903406190063	0.0155847110347052	0.0253177974144033	0.0140639933363103	0.0142024736164127	0.0146675515217443	0.00406046876832983	0.00238894485722287	0.0115728287643944	0.00463434777142794	0.00653163538842261	0.00196373205620951	0.0454938312178638	0.0512406612617147	0.00489381181521133	0.0329023298006629	0.0113325201207011	0.0137807106975379	0.00745376714760967	0.0112780716979247	0.0137625745587434	0.00563441674678207	0.00510208398229716	0.00652318833252286	0.0143281996729793	0.0121321639207302	0.00893264861113104	0.00854025527170342	0.029671844592051	0.00696648951999443	0.0195649734761898	0.0124420607884519
HT29_G1_1B_3	0.0118930436685776	0.0107091290232879	0	0.00479211756307648	0.0108374567214259	0.00838751972461869	0.0181191154544263	0.00665072435772702	0.0104621454073747	0.00612111134247193	0.00940940578379505	0.0156303530742587	0.0197791349124481	0.0127246925057399	0.0153410644251673	0.00645568325096299	0.00980329344330205	0.0127237684307878	0.00519087656314707	0.00533472115168825	0.0249341188124383	0.00879272364920024	0.0129953047686745	0.0210584793712354	0.00422790810211903	0.0130552612772892	0.024042028467156	0.0122868475559696	0.004918504572728	0.00843215596674017	0.00613958778989534	0.00843664028612576	0.0125303307993188	0.0101452040419564	0.0102275863983469	0.0127585070210921	0.0160350896952122	0.0160095831824658	0.00965722115295824	0.0120164970857054	0.011505923189502	0.00458067314282414	0.0113315995189768	0.0074947913901606	0.00572254384870424	0.0134724904281905	0.0071610557168469	0.0136551592001712	0.0329682538163371	0.0100395603013574	0.0262842418738532	0.00794533594073368	0.00983934907865389	0.0145796776958302	0.0138692904057285	0.00430002144751957	0.0214837992763239	0.0113501126673333	0.0151182864386479	0.0239410289506362	0.0117488530847513	0.0141780341078126	0.00973547682995491	0.0068940647354178	0.0098808444027601	0.0185484866071295	0.00822726606204714	0.0153574695632118	0.00945237486463377	0.048928283684994	0.052521148869851	0.00676837454418811	0.0315612191623747	0.0018662787881358	0.014421407705252	0.0104445680519904	0.00961461276504375	0.0151507755136232	0.0128325520864006	0.00568997470799308	0.0103755924963482	0.0151244375037783	0.00388201906252681	0.0162260162493383	0.00659155540932477	0.0262926875372407	0.00554550869002192	0.0182341379473938	0.00587935679005539
HT29_G1_2A_1	0.0129122870117176	0.00659051150786155	0.00479211756307648	0	0.0121218047976787	0.00382888920694942	0.0204143286802067	0.00392796840721845	0.00568847126853186	0.00521929286810343	0.0127915002591031	0.018518107518288	0.0216700647597761	0.014508573891592	0.0106265460248707	0.00339555650566207	0.0051975182570022	0.0111561189932185	0.00623365806453515	0.00125851855399783	0.0264889644373299	0.00545675143776506	0.0145716386854259	0.0225630136840079	0.00527421809887962	0.0144909788486148	0.0245068457332154	0.0102702565904766	0.00265938736610816	0.00450104546395701	0.00277510079589011	0.00377345731481288	0.00773854405163438	0.0116333697129124	0.00571803625043795	0.0148640752194239	0.0120352959453841	0.0121095658624234	0.0075743814934921	0.0121713879146023	0.0127260312771542	0.00193690087238609	0.0116269691405685	0.00566999149611856	0.00112115503176828	0.011599108928111	0.00827587080324989	0.00886534422694919	0.0344312333574315	0.00649181086017296	0.0287282514325345	0.00776613065345397	0.0082841321306488	0.0171473934064274	0.0159776047209012	0.0020880955351052	0.0228905066027332	0.0136781805346855	0.0162772813472436	0.0258364596182724	0.01349191982781	0.015070514184181	0.0125330133183525	0.00253132309427969	0.00525308152788277	0.0165591577348359	0.00343608563154274	0.0105739919955344	0.00595497553668278	0.0454748347580384	0.0498522708780484	0.00201113157048045	0.0335759879758722	0.00612529914281419	0.0150305866917327	0.00606470333768664	0.00699175013621823	0.0117599935031172	0.0103492324912	0.00285592842423772	0.00894174320517325	0.0119568203765626	0.00772192036181889	0.0114930707339688	0.0071693551221072	0.029050328187498	0.00510898432842213	0.0199343885122782	0.00906338403272925
HT29_G1_2A_2	0.00116068018904684	0.0123942621946958	0.0108374567214259	0.0121218047976787	0	0.0153764528612393	0.0085699715486445	0.00922473130021536	0.0159892371310372	0.00710297964393186	0.0056992889424876	0.00769341255762073	0.00957276292327295	0.0025709045231066	0.0180037689989208	0.0097483241420138	0.01357161975412	0.00698683855474001	0.00604011007963439	0.0133693641530506	0.014397998613159	0.0100288532311637	0.00247655757860429	0.0104703680121505	0.0071112830780042	0.00236943053951377	0.0132469069448969	0.00786577578160394	0.0142592377349129	0.0165326001120466	0.0148511881002541	0.0150979280136436	0.0170825052884028	0.000780861052711459	0.0134124590365532	0.0033044421192694	0.0151348858390394	0.0238044950936073	0.00760544903447124	0.00287727846007269	0.00066930797717311	0.0135642923668952	0.0024009295748575	0.0075939388758731	0.0131411867720572	0.00799380777486417	0.00389698009579838	0.01777057148752	0.0223904832374782	0.0107145688775786	0.0168135461675266	0.0047451522441583	0.00653566555959598	0.00594117681314699	0.00424170132189077	0.0100339726350445	0.0108303831835927	0.00300410989493527	0.00429823129270428	0.0137236353240629	0.00167902642813804	0.00337687646405472	0.00395873971054421	0.0117372665838565	0.0137110934050076	0.0115093210257452	0.0140886306669292	0.0189249973488889	0.0104614926942749	0.0571496547976174	0.0619237939854711	0.0127624029122079	0.0214670534816678	0.00936238369739378	0.00379242758596716	0.0175892673803618	0.019058933472611	0.0237810559120297	0.00915194160912972	0.00973731576719866	0.00625838929046979	0.0240395356626901	0.00781466420202053	0.0211810293283903	0.00495265278981289	0.0173993221723398	0.0070448836745658	0.00781472973524791	0.00584075350845556
HT29_G1_2A_3	0.0160296399126208	0.00619693290108703	0.00838751972461869	0.00382888920694942	0.0153764528612393	0	0.023851522291362	0.00627461472751952	0.00247255990374752	0.00827413878152384	0.0165752325649353	0.0221567479517328	0.0249390849537383	0.0178668632289847	0.00803726444593461	0.00570484004269431	0.00394978020652323	0.0129264575559347	0.00979299247877031	0.00305501685100796	0.0295549439096677	0.00660400328715807	0.0178525522970838	0.0256543671507958	0.00893274529268189	0.017720286052873	0.0270358337948107	0.011777840970334	0.00411465101581507	0.00177628597650648	0.00284270743293569	0.000457719176684154	0.00465270214382875	0.0149808269406631	0.00462467506554788	0.0183227220360145	0.0110560341476754	0.00846358335008188	0.00941477935892082	0.0149289360877433	0.015931793001349	0.00401441365374372	0.0144862960772601	0.00810504965014603	0.0027346151550219	0.0130889961722998	0.0116830440322965	0.00581544997027878	0.0373842595229254	0.00705659483788093	0.0321515381922966	0.0107343845022209	0.0104018915098704	0.0207111988824003	0.0194153085101578	0.00563969056346049	0.0259323726669617	0.0172283263725234	0.0193399724307229	0.0290610875691497	0.016863564672367	0.0180509025891126	0.0162192304766222	0.00373444281980312	0.00389409102717913	0.0176139607729457	0.00163258768929336	0.00754980622930473	0.00673984132720181	0.0418757351430846	0.0466325880278856	0.00261543448123067	0.0367950500817363	0.00989300093403941	0.0178784977821418	0.00227505241661121	0.00508151609792539	0.00847861373118708	0.0114325421277932	0.00563961064432528	0.0110529294666691	0.00884409074660547	0.0115477186643189	0.00788979798924714	0.010500827008061	0.0325840352578655	0.008380021761526	0.0231504143976323	0.0128603100040068
HT29_G1_3E_1	0.00820782846941088	0.0208499761682586	0.0181191154544263	0.0204143286802067	0.0085699715486445	0.023851522291362	0	0.0177795837640929	0.0245549820700506	0.0156111531188139	0.00920952438347185	0.00345786729355379	0.00237813448229482	0.00601263701304378	0.0263511196560694	0.0182908050147178	0.0221312370800019	0.0143295900317559	0.0141827894934184	0.0216278416710144	0.007486399760952	0.0185598174890652	0.00614440090278622	0.00448499434632053	0.0151784457318896	0.00638715501056109	0.00999853314005489	0.015534625959485	0.0222822499389922	0.0248971449479014	0.0230499782960012	0.0235961006513736	0.0256310017702778	0.00888141348789279	0.021950791259127	0.00555093834074048	0.0228616224808174	0.0323057318792515	0.0159792088737832	0.0101220695980627	0.00811213655249117	0.0216427096247156	0.0101841967460579	0.016162174229796	0.0214843462511048	0.0151463912510805	0.0121780679995497	0.0262841535110805	0.0152676784469302	0.019156675645744	0.00831618427690256	0.0133147123993874	0.014853285966565	0.00361569015649559	0.00444124632733602	0.0183521756685427	0.00508912009485219	0.00681727837118834	0.00570064371579165	0.0060037117057314	0.0069980119271893	0.00700849193255369	0.00840891268746309	0.0202694020398106	0.0222708988386456	0.0165438474932278	0.022621402928644	0.0273647335898008	0.0189535010379254	0.0656731413168323	0.0702151012947364	0.0212493918901564	0.013454035076052	0.0163343143897353	0.00772926241081994	0.0260906835759363	0.0271809656761562	0.0321635234400549	0.0168011954431616	0.0182265298780808	0.0144412424853875	0.0323654079951716	0.0143698060515001	0.0297099240194944	0.0133521366958939	0.00883766280365692	0.015473053473608	0.00262370962778278	0.0122588537702319
HT29_G1_3E_3	0.00979854956580118	0.00444452962951249	0.00665072435772702	0.00392796840721845	0.00922473130021536	0.00627461472751952	0.0177795837640929	0	0.00679133336143168	0.00226235254286335	0.0114859277053836	0.0164047677689649	0.0187383870595788	0.0117676031429117	0.00990035203185713	0.000585603681196655	0.00462088367874117	0.00722947515565025	0.00440934688980282	0.00507493255280866	0.0232872010786306	0.00216741297419171	0.0116931488494368	0.0193924563882548	0.00404452157085389	0.0115301024979687	0.0208625844669586	0.0063603190227027	0.0065827944090252	0.00766814593297355	0.00655800872094209	0.00594854998095201	0.00812364463458396	0.00891306867632485	0.00468427789547272	0.0123232259260879	0.00947771792184576	0.0146118083136083	0.00364866753236751	0.00866134260515873	0.00974299919684989	0.00584862187080308	0.00821204487934853	0.0018567323896818	0.00457135267440151	0.00768265064561568	0.00580055573939532	0.00899032443870505	0.0311138600758406	0.00343001919264919	0.0260362960812069	0.00450355232022444	0.00438628224807873	0.0148320849325709	0.0133783725726579	0.00252413861770366	0.0196632152229996	0.0113812742911125	0.0130807194612576	0.02283249368944	0.0107889064761028	0.0117808525170619	0.0107159994185064	0.00254921483846255	0.00475209025224141	0.0126847973727764	0.00488094800878386	0.010423056218184	0.00284868488109855	0.0479367808775223	0.052894643005273	0.00369427927297106	0.0305575167461725	0.00698706661017221	0.0116062328259388	0.0084146275069102	0.0106456050044214	0.0147526998387791	0.00654716024855792	0.00113337329902626	0.00504903215189742	0.0150998321469519	0.00768809442042074	0.012258482020165	0.00459004210754921	0.0265850153312377	0.00266201783910915	0.0169297221511276	0.00809300797781429
HT29_G1_3F_1	0.0164903681869316	0.00495827600356853	0.0104621454073747	0.00568847126853186	0.0159892371310372	0.00247255990374752	0.0245549820700506	0.00679133336143168	0	0.00902212495762539	0.0179404409020354	0.0231665097230912	0.0254322216413812	0.0185445432257253	0.00557605804576021	0.00631473509232293	0.002763528704367	0.0124344487481704	0.0109146877735747	0.00526608622098938	0.029796639565953	0.00629653828848767	0.0184445061151824	0.0259521083992237	0.0102149193760249	0.0182596812405593	0.0268122847045546	0.0111679630673915	0.0065451960160654	0.00389073808749572	0.00530804780693302	0.00219345660132324	0.00219119319148021	0.0157013171701347	0.00328900766057183	0.019113697949483	0.00906386755106842	0.00812196269818575	0.00919303478372467	0.0150966254444661	0.0164821180201876	0.00635538912234858	0.0147534788299558	0.00841905327200404	0.00475900532797433	0.0124025443478464	0.0125615315557612	0.0033581533418932	0.0374714016804951	0.00629175874945793	0.0327846031495848	0.0112459060766049	0.010292802879065	0.0216162006499923	0.0201655030500388	0.00704635818770787	0.026178079961316	0.0181554103639727	0.0196847514896992	0.0294736840301411	0.017573370411018	0.0183401231197683	0.017372051510221	0.00442967409336215	0.00263996651428579	0.0165094445306964	0.00228685623834301	0.00509921528848383	0.00617249200087417	0.0412194793259748	0.0465340829576614	0.00385172415641638	0.0371616352957086	0.011791137956731	0.0180515264613224	0.00258122133392499	0.00692978420666108	0.00880778457189862	0.0105693332306549	0.00654762286125723	0.010896514015249	0.00937132490211222	0.0132596785017324	0.00583062189008348	0.0113492143036192	0.0333686135626087	0.00929604062932238	0.0236023486368151	0.0143092609033511
HT29_G1_3F_2	0.00778212795941596	0.00641738390360036	0.00612111134247193	0.00521929286810343	0.00710297964393186	0.00827413878152384	0.0156111531188139	0.00226235254286335	0.00902212495762539	0	0.00928244097724545	0.0141519147354329	0.0166677588471963	0.00960831734366742	0.0120308271517226	0.00270761969832755	0.00687337547957783	0.00664350975211344	0.00231012743900363	0.00647511049986958	0.0213537057297917	0.00389967882774113	0.00957943192185182	0.0174361577623379	0.00234898615393572	0.00944851799197427	0.0193014422975082	0.00616811095189626	0.00766952637152905	0.00948173624255072	0.00799425508627485	0.00799728588209094	0.0103843440753702	0.00673015138646441	0.00689560664312223	0.0101167845044696	0.0109542661298571	0.0167082432553256	0.00359999770332942	0.00695546951941353	0.00766090808456123	0.00692809056079865	0.0064086041635483	0.00156799298159305	0.00614411352469027	0.00735632918112696	0.00354362353851685	0.0112364743018398	0.0292581866439347	0.00505976331369172	0.0238965550947802	0.00254908559568987	0.00372469448585541	0.0125963984958474	0.0111886709216241	0.00319966145765315	0.0177402967824635	0.00913443325423096	0.0111258309750374	0.0207990058658134	0.00861365597862044	0.00988319530861555	0.00845925483605444	0.00466222366651803	0.00700621263408086	0.0124402885896006	0.00701299908331637	0.0126336569197026	0.00455564819961769	0.0500841399100418	0.0548615469427248	0.00565964426816327	0.028538728003034	0.0058443489094896	0.00981531559488111	0.0104906830070603	0.0122063520954711	0.0167003584174427	0.00678531786589196	0.00263564469255987	0.00428774002486133	0.0169869750906875	0.00601929178543194	0.0145197903374075	0.00233124840888375	0.024391927385086	0.000658789175503417	0.014885766452807	0.00603618309641456
