	HT29_G1_1B_2	HT29_G1_1B_3	HT29_G1_2A_1	HT29_G1_2A_2	HT29_G1_2A_3	HT29_G1_3E_1	HT29_G1_3E_2	HT29_G1_3E_3	HT29_G1_3F_1	HT29_G1_3F_2	HT29_G1_3F_3	HT29_G1_4A_1	HT29_G1_4A_2	HT29_G1_4A_3	HT29_G1_4B_1	HT29_G1_4B_2	HT29_G1_4B_3	HT29_G1_4C_1	HT29_G1_4C_2	HT29_G1_4C_3	HT29_G1_4F_1	HT29_G1_4F_2	HT29_G1_4F_3	HT29_G1_5A_1	HT29_G1_5A_2	HT29_G1_5A_3	HT29_G1_5B_1	HT29_G1_5B_2	HT29_G1_5B_3	HT29_G1_5C_1	HT29_G1_5C_2	HT29_G1_5C_3	HT29_G1_5D_1	HT29_G1_5D_2	HT29_G1_5D_3	HT29_G1_5E_1	HT29_G1_5E_2	HT29_G1_5E_3	HT29_G1_5F_1	HT29_G1_5F_2	HT29_G1_5F_3	HT29_G2_4G_1	HT29_G2_4G_2	HT29_G2_4H_1	HT29_G2_4H_2	HT29_G2_5A_1	HT29_G2_5A_2	HT29_G2_5A_3	HT29_G2_5B_2	HT29_G2_5B_3	HT29_G2_5E_1	HT29_G2_5E_2	HT29_G2_5E_3	HT29_G2_5F_1	HT29_G2_5F_2	HT29_G2_5F_3	HT29_G2_5G_1	HT29_G2_5G_2	HT29_G2_5G_3	HT29_G2_5H_1	HT29_G2_5H_2	HT29_G2_5H_3	HT29_G2_6A_1	HT29_G2_6A_2	HT29_G2_6A_3	HT29_G2_6B_1	HT29_G2_6B_2	HT29_G2_6C_2	HT29_G2_6D_1	HT29_G2_6D_2	HT29_G2_6D_3	HT29_G2_6E_1	HT29_G2_6E_2	HT29_G2_6E_3	HT29_G2_6F_1	HT29_G2_6F_2	HT29_G2_6F_3	HT29_G2_6G_1	HT29_G2_6G_2	HT29Root1_1	HT29Root1_2	HT29Root2_1	HT29Root2_2	HT29Root2_3
HT29_G1_1B_2	0	0.0176213457503232	0.0111204014191754	0.012004881945149	0.00359489612663973	0.0102622010587709	0.00348864265905517	0.00931982522322121	0.0116146742915499	0.0256012970961151	0.00996636876942387	0.0124270847935728	0.0111372983043525	0.0121380985036564	0.033324356340678	0.0116182197773018	0.0128580277475724	0.0072909512838707	0.0146898772357363	0.0212770587056348	0.0774104281212123	0.0531003018841157	0.0503729877010145	0.010610050158548	0.0116942598179456	0.00724691366580955	0.00705536779801846	0.00306897201320397	0.00893495572252602	0.00782331752698726	0.00878542912368674	0.000899277560251865	0.0131810100432794	0.0127272472344066	0.00528952859536798	0.00898313163904268	0.00353632214769188	0.00646966307765919	0.008399070322619	0.00429042249828677	0.0109532882763036	0.0152244852931773	0.0152271180710592	0.016690680876835	0.00448052689113761	0.0161613499919499	0.00926450981048753	0.00655964483524675	0.0211309218203499	0.0105327326356591	0.00685967525650353	0.00336202337996244	0.0137894835026288	0.00834685848401601	0.0179817748061029	0.0065963271307394	0.00658211941766299	0.012695422759487	0.0126035724400669	0.00654475266575254	0.00728172884711221	0.00797939401200461	0.00857772573973125	0.00888348260212122	0.0133773910197671	0.0171181743050611	0.00345055828827519	0.011687512848353	0.00387927402578736	0.00562567106227527	0.0109604485759629	0.00357153581982522	0.00566860866523696	0.00984276861632157	0.00843978948652961	0.0162508935592148	0.0149817781347312	0.00926251347980846	0.0127670648535268	0.00846466807104292	0.00546004329042366	0.0190206915752299	0.00324853829825527	0.0185716765447053
HT29_G1_1B_3	0.0176213457503232	0	0.0110809682917789	0.0129541640462985	0.018508211289947	0.0206509385092057	0.0149570064734908	0.0101108750397659	0.023482037705805	0.0394378776672508	0.0113666234447416	0.0254237428800883	0.0128225787780053	0.0138802287540272	0.0468296802669392	0.0206598292901838	0.0231604581111544	0.0108695498372129	0.0268870413544882	0.0155381815756661	0.0927291971790177	0.0693340013137456	0.0654642570771121	0.00983983753939938	0.026427192528839	0.0200754063765369	0.0168975171137309	0.0158718059551315	0.026488558199588	0.0117855738978059	0.0247566668818008	0.0174404944877832	0.00947074555260666	0.0278440136833347	0.0152783253709213	0.01088945538644	0.0176127316143001	0.0117450774873281	0.0167053689493463	0.0136121230657519	0.0221960865248025	0.0252933783167062	0.00394917864084619	0.0257906541665293	0.0217541430757275	0.0297080987701951	0.0196492981394151	0.0150307174699004	0.0082183091865822	0.0145278480671342	0.0120455573330247	0.0172043868733566	0.00714969892411487	0.0115975854332815	0.0327510343231382	0.0168421601568528	0.0213034466759049	0.00689477006528249	0.0134218396933744	0.0175742533473101	0.0190660191740679	0.0100351791561553	0.0211178147726685	0.0167524688227273	0.0251583416030969	0.00658129748264677	0.0169321300556271	0.0243160715011003	0.0149428773053366	0.01249123645967	0.0187780425386025	0.0177869679448348	0.0129128505601077	0.0130095548520686	0.0108972602672243	0.00793661656527767	0.00429983709608828	0.0253934526045257	0.0245659382217621	0.0220911975154654	0.0125891382059856	0.0319873607358308	0.0172779398960202	0.0150386865051936
HT29_G1_2A_1	0.0111204014191754	0.0110809682917789	0	0.0136537366314692	0.0114881206923471	0.00980276683436104	0.00878974535652952	0.0107368072537722	0.013309530847924	0.0286731104840421	0.0117711059841027	0.0147339134759599	0.00740970887806396	0.00956779498690807	0.0360721554398176	0.0107875161566064	0.0136114963484545	0.00502812884615897	0.0160606387863711	0.0179355737837963	0.0819941352264793	0.0590048573980773	0.0547008865553858	0.00320136314094807	0.0161675051090214	0.010190514112574	0.00695928372814236	0.0103638168065862	0.0191861534530827	0.00459886477116585	0.0157759348011784	0.0105174790928268	0.00305735871936037	0.018252583284748	0.00894795250640363	0.00930359133571925	0.0092075708925445	0.00598598606969629	0.00622216276020405	0.00934969505674404	0.0115877986351745	0.0142418189484343	0.00744638616833682	0.0148319075352185	0.0138162989821196	0.0189828325448003	0.00998510137256609	0.00573428990067381	0.0182288031959048	0.00640075553300892	0.00739503734058799	0.0102531467087359	0.004699718133698	0.00444945886158967	0.022294449738597	0.00856063828649777	0.0118529995062355	0.00593495787090164	0.00333482935415511	0.00954097506638438	0.00936493646018536	0.00691970700427578	0.0107243192759865	0.00608012114725601	0.0157385976163751	0.0113666214111141	0.011015761678851	0.0164999696957746	0.00740588275197172	0.00867758955861894	0.00931746458027155	0.00932238436258087	0.00559759700090051	0.00651887105361757	0.0105243696673759	0.0151331950087597	0.00714531645186057	0.0161507194579454	0.0139433392327674	0.0132400868138167	0.00786808732156609	0.0210539233814088	0.00929044307174859	0.0166029775919116
HT29_G1_2A_2	0.012004881945149	0.0129541640462985	0.0136537366314692	0	0.0111624577675723	0.0189439207375017	0.00934005770499453	0.00875443237194162	0.0223052348152554	0.036322150799974	0.00324755180218416	0.0224147714173135	0.00890920787667712	0.00820709227385414	0.0441817524168569	0.016408399459299	0.0175916316899896	0.010481057232225	0.0231472988209122	0.0110249965336235	0.0875818001958844	0.0622022733752196	0.0595660664471009	0.0135664475320523	0.0218260821901285	0.0157139934948677	0.0157007020006087	0.00904047980902589	0.0185631084876882	0.00973924130963211	0.0177579148012287	0.011921707902368	0.0150535180932502	0.0209227280235695	0.0140963735063731	0.0122982641584288	0.0128259547058867	0.0111399407940163	0.0146810212357501	0.00887017693787565	0.0185852591821417	0.0240074826320524	0.0118230558597138	0.0254862794009446	0.0154008709386838	0.0265458430114611	0.0148605862573284	0.0122154606643246	0.0140845622707953	0.011503607191275	0.0121467949846728	0.0141650254116285	0.0141235847542025	0.0132304858521298	0.0288539059752745	0.0162367196330924	0.0161253347340988	0.00948647009233133	0.01690424510836	0.0167052184179983	0.0145454863139553	0.0105280044578442	0.0181408336497561	0.0151347153115043	0.0246083204002907	0.00936712083395354	0.00935942538432194	0.0154451251276693	0.012154656484701	0.0074579060976103	0.0146660234603248	0.0130239183501626	0.0108816070600957	0.0160204599045907	0.00591432377963993	0.00951956422739026	0.0132626147648341	0.0188822973792208	0.0204983095845701	0.020037018407319	0.0108172562244516	0.0283235000658698	0.0139453850045555	0.00813791412876319
HT29_G1_2A_3	0.00359489612663973	0.018508211289947	0.0114881206923471	0.0111624577675723	0	0.0100400746169066	0.00366622420109011	0.0111931530333487	0.0125906237361033	0.0253843816410268	0.0100225160324791	0.0120519983494687	0.00947036375340096	0.0100448993532855	0.0332336295020587	0.0092758921067422	0.010065395755228	0.00849481171753259	0.0133125221564719	0.0194712281551621	0.0767714129987643	0.0519438507085441	0.049146580915719	0.0119072938764751	0.0109388221003124	0.00596445126109386	0.00797815888746592	0.00318115841541727	0.00875367903319668	0.00762377806473817	0.00695818352863651	0.00306594895798213	0.0140695095409815	0.0106415246448415	0.00832451027414909	0.0115960079738759	0.0033357993022923	0.00823801473668018	0.00772805549857034	0.00599483426233941	0.00945068423912515	0.0147696829899397	0.015732163701391	0.0165286510913592	0.00452176027468844	0.0158400143906002	0.00695501923727482	0.00607380803884677	0.0223039106029027	0.00881997085191765	0.00931335065056586	0.00655629658306813	0.0147977579032889	0.010025158933864	0.0178024901990078	0.00896399777651752	0.00542252623373106	0.0126973190190158	0.0132084657777731	0.0091264833513469	0.0055725416779815	0.00985954043082203	0.00832398311445874	0.00830233762544194	0.0150367803842497	0.0167093005762024	0.00204707559650498	0.0082363782685029	0.00566935426495043	0.00640898138275266	0.00864148843298016	0.0034134495157501	0.0066470562809146	0.0121089940641022	0.00937419084098896	0.017365176975608	0.0160087904744838	0.00789165045738401	0.0110712245826686	0.0104451268506876	0.0077713065104605	0.0179704544146988	0.00546097770840563	0.0167342219946368
HT29_G1_3E_1	0.0102622010587709	0.0206509385092057	0.00980276683436104	0.0189439207375017	0.0100400746169066	0	0.0104014498442652	0.0166023702925499	0.0052526908353424	0.0189976832232084	0.0173328734540063	0.0049721812169474	0.012491776734149	0.0140832994744694	0.0265720677314618	0.00686109112334825	0.00875405702030308	0.010910799894167	0.00691833283634638	0.024442875694463	0.0722556878168645	0.0494165008548699	0.0450661109247398	0.0112181655236548	0.00697978044215342	0.00444696733343723	0.00461758017655926	0.0114759793765111	0.0139327802440731	0.0101177036071664	0.00921337291641428	0.00955207902334466	0.0121050136279826	0.0105210993812239	0.0100527433372293	0.014617654907769	0.0071650428780083	0.0107400804972077	0.00463031277987456	0.0123700480475436	0.00385699164329912	0.00532238520895563	0.0171248425677157	0.00669224461793018	0.00931504035027823	0.00920318253598818	0.00626348683710606	0.00685726191496552	0.0269632198328262	0.00968096440827598	0.0117247392473488	0.0093539112066798	0.0141517083459889	0.00996967406197561	0.0126165295038161	0.00743258974494757	0.00574049109832487	0.014888847031407	0.00865793254129076	0.00785458658520385	0.00524037265183492	0.0129522857335037	0.00237176783204591	0.00440807648543725	0.00884133841636958	0.0201557432542082	0.0113012288682858	0.0126867488503627	0.00845932297387574	0.0127493366122868	0.00749912617673873	0.00705067654820939	0.00925403772783911	0.0104864939386097	0.0159913633673881	0.0229704073237106	0.0167082905562279	0.00889066699829491	0.00566329806015332	0.00753368310217249	0.0116337700384021	0.0114641305678887	0.00765356246020905	0.0225747974338888
HT29_G1_3E_2	0.00348864265905517	0.0149570064734908	0.00878974535652952	0.00934005770499453	0.00366622420109011	0.0104014498442652	0	0.00786736810137924	0.0130750159359284	0.027499840931397	0.00744398505599244	0.0135932588634022	0.00778310418634906	0.00882373369863575	0.0352999726079449	0.010346669954448	0.0119470187094569	0.00501048899353397	0.0152196632457874	0.0179591888299594	0.079646172994152	0.0552216256559549	0.0521890164755544	0.0087084710143314	0.0132326567652797	0.00733386103195226	0.00696723631784803	0.00159530515597938	0.0117447372643899	0.0047429741832307	0.0102311308430896	0.00302116405241653	0.0110359968021453	0.0138342848427879	0.00614652393423237	0.00826497246262598	0.00371269261904756	0.00483843736302228	0.00707724833798147	0.00281562854436156	0.0108106542269649	0.015629298546208	0.0123281785859635	0.0170849486341064	0.00707707299710006	0.017709404178405	0.00813937484290711	0.0045839057934578	0.0189579009360822	0.00764913007656688	0.00607920325889465	0.00544015776069483	0.0114595484268157	0.00694592127077959	0.0200193618763194	0.00752026963082921	0.00755648957702373	0.00951097536888859	0.0109684884987068	0.00791170434401639	0.00665757388113988	0.00626684897863917	0.00926626536885071	0.00759491760860513	0.0153396110433704	0.0138001118621102	0.00242005129814577	0.0112548632000108	0.00335270724153469	0.00298741530442237	0.00915494127078212	0.00390288346795071	0.00351219008751465	0.00936215555961167	0.00627199589201485	0.0141631608038747	0.012479358347257	0.0109720980529501	0.0128894735309118	0.010777760677639	0.00446731560191644	0.0201128491868017	0.00470098228113194	0.0153711792455456
HT29_G1_3E_3	0.00931982522322121	0.0101108750397659	0.0107368072537722	0.00875443237194162	0.0111931530333487	0.0166023702925499	0.00786736810137924	0	0.0183736805707356	0.0340110456463058	0.00553284324610598	0.0203211499510907	0.0115014507925765	0.012509575028241	0.0415963994966181	0.0174569996050421	0.0194390597220229	0.00622218023019088	0.0225065684994699	0.0180117917055701	0.0864352048089528	0.0623879043242573	0.0595358017241897	0.00864768062192702	0.0204041793332293	0.014728339740184	0.0121397790522458	0.00803905180756096	0.0176795145155949	0.00837998148758294	0.0178166737943406	0.00955313208646207	0.0109806680400003	0.0215877428798268	0.008113833440982	0.0040676142336534	0.0110469079032362	0.00600754792938055	0.0131565142951659	0.0052765357814479	0.0180213002633293	0.0218813888744343	0.00959006106704868	0.0228606005462567	0.0137990567016625	0.024394568264667	0.0155121242565781	0.0106741689451371	0.0119720416499657	0.012751708786109	0.00554061563525207	0.00939864933580317	0.00986472179123249	0.00790039679873184	0.0266429942506313	0.0109476072512468	0.0150427391597337	0.00865961641816344	0.0132879946817777	0.0112716383964097	0.0141013536878672	0.00417383190134692	0.0159549461650955	0.0134731106793517	0.0196633261385732	0.0115206447242766	0.00935887209943408	0.0187362260034342	0.00836539184368979	0.00513291647681493	0.0159123243060987	0.0112029337233713	0.00752260657505674	0.00952552227810075	0.00310832261384047	0.00731523758418486	0.00920373110076529	0.0184221055020098	0.0202877344755628	0.0154011001442224	0.00511407883899096	0.0272803378595099	0.0101902194494683	0.0157616778147321
HT29_G1_3F_1	0.0116146742915499	0.023482037705805	0.013309530847924	0.0223052348152554	0.0125906237361033	0.0052526908353424	0.0130750159359284	0.0183736805707356	0	0.0162933924882026	0.0202370162710159	0.00479416900830719	0.0170640963810818	0.0187166491069221	0.0236035607539667	0.0118345277684434	0.0131893762675875	0.0135492713195658	0.00879652894329298	0.0290533298885628	0.0697092482929436	0.0476677679869351	0.0435209646445381	0.0136715716814221	0.0069569013134027	0.00810849973633157	0.00704467673145733	0.0138596235040172	0.0136356487121822	0.0138053933679076	0.0107266294116333	0.0112359572074889	0.0149282995320782	0.012067946731536	0.0105041777944128	0.0156625967596513	0.00974001168086574	0.0128689298653634	0.00921551488009223	0.0143984512028397	0.00816503832200169	0.00636955484942519	0.0203875451904663	0.00686313121732417	0.0100586492142446	0.00738197294318488	0.0109583534517561	0.0107256359924958	0.0292935834231734	0.0145097066606344	0.0130902077040735	0.00971921454419135	0.016886296989314	0.0120272179361796	0.0100346606669142	0.00755629811067089	0.00811639731772754	0.0185635068625433	0.0116695415394137	0.00739165495553371	0.00940414649177424	0.0149273851125868	0.00520741993457789	0.00905631345986354	0.0036638683869076	0.0240630679645458	0.0138629919067141	0.0161423920741298	0.0104925045679954	0.0153348492722525	0.0125959756179076	0.00956805259476026	0.012022747659708	0.0112844595701015	0.018423767970565	0.0253061538698389	0.0194360816193578	0.00981540756970137	0.00898834863603194	0.00459650506487402	0.0132980981143989	0.0111778097338015	0.00883507378913927	0.0270057723458275
HT29_G1_3F_2	0.0256012970961151	0.0394378776672508	0.0286731104840421	0.036322150799974	0.0253843816410268	0.0189976832232084	0.027499840931397	0.0340110456463058	0.0162933924882026	0	0.0349258225040029	0.0143297138168059	0.0307432449810654	0.0318381670774852	0.00787947425319544	0.0223676198246774	0.0216815290525848	0.029304655882911	0.0144865975774623	0.0421162573128414	0.0536033598829171	0.0329188224357723	0.0279356814338115	0.0296937109428844	0.0145190562895196	0.0208445281916993	0.0227101432921981	0.02784991326283	0.0217751919084858	0.0288227476577789	0.0193468237861234	0.0252758476810113	0.0305715389764849	0.0170995353662474	0.0262662062289375	0.031691892618448	0.0238047159565311	0.028724117763986	0.0234327111207111	0.0293616006741819	0.0188493786880538	0.0149738942524857	0.0360468002993784	0.0149502138794633	0.0218769383643592	0.00996597095080671	0.0226027846727956	0.0253744578695037	0.0453274246119265	0.0279020769510193	0.029092798395881	0.0247882012787599	0.0327201823042376	0.0281504180914529	0.00771247023670319	0.0236294369918995	0.0202083984273366	0.0338597773693743	0.0268158859573197	0.0233022133156159	0.0221903554011586	0.0308888442734972	0.0187811109804555	0.0232997364729879	0.0161565219718646	0.0390479152644909	0.027276258126697	0.0242137846408208	0.0258550538420636	0.0302868991345945	0.0241808392263629	0.0236083707458507	0.0274799727898936	0.0275623902093664	0.0335549817499031	0.0410527785947315	0.0353784434970629	0.0180832558243378	0.0171548347638759	0.019149375830333	0.0289698998078424	0.00938740545634505	0.02386229166033	0.0400927700312566
