	HT29_G1_1B_1	HT29_G1_1B_2	HT29_G1_1B_3	HT29_G1_2A_1	HT29_G1_2A_3	HT29_G1_3E_2	HT29_G1_3E_3	HT29_G1_3F_2	HT29_G1_3F_3	HT29_G1_4A_1	HT29_G1_4A_2	HT29_G1_4A_3	HT29_G1_4B_3	HT29_G1_4C_1	HT29_G1_4F_1	HT29_G1_4F_2	HT29_G1_4F_3	HT29_G1_5A_1	HT29_G1_5A_2	HT29_G1_5A_3	HT29_G1_5B_1	HT29_G1_5B_2	HT29_G1_5B_3	HT29_G1_5C_2	HT29_G1_5C_3	HT29_G1_5D_1	HT29_G1_5D_2	HT29_G1_5D_3	HT29_G1_5E_1	HT29_G1_5E_2	HT29_G1_5E_3	HT29_G1_5F_3	HT29_G2_4G_1	HT29_G2_4G_2	HT29_G2_4G_3	HT29_G2_4H_1	HT29_G2_4H_2	HT29_G2_4H_3	HT29_G2_5A_1	HT29_G2_5A_2	HT29_G2_5A_3	HT29_G2_5B_2	HT29_G2_5B_3	HT29_G2_5E_1	HT29_G2_5E_2	HT29_G2_5E_3	HT29_G2_5F_1	HT29_G2_5F_2	HT29_G2_5F_3	HT29_G2_5G_1	HT29_G2_5G_2	HT29_G2_5G_3	HT29_G2_5H_1	HT29_G2_5H_3	HT29_G2_6A_1	HT29_G2_6B_1	HT29_G2_6B_2	HT29_G2_6B_3	HT29_G2_6C_2	HT29_G2_6C_3	HT29_G2_6D_1	HT29_G2_6D_2	HT29_G2_6D_3	HT29_G2_6E_1	HT29_G2_6E_2	HT29_G2_6E_3	HT29_G2_6F_1	HT29_G2_6F_2	HT29_G2_6F_3	HT29_G2_6G_1	HT29_G2_6G_2	HT29_G2_6G_3	HT29Root1_3	HT29Root2_1	HT29Root2_2	HT29Root2_3
HT29_G1_1B_1	0	0.00120824428976448	0.006416157400392	0.00708997235881537	0.00252468248298474	0.00937969683217951	0.00106634456919255	0.00218551579572573	0.00410352834673768	0.000434557882178988	0.00596582312821893	0.00659052865590122	0.00383804040320886	0.00655679521962872	0.0158778189688443	0.0127024932277088	0.00247585995302013	0.00671958587549992	0.00387970859591496	0.00449277726827226	0.00365410550820717	0.00998388240359186	0.0114669842308106	0.00679150608382844	0.00698121820712731	0.0179845876468236	0.00749504485242832	0.00226336121757173	0.0183922079036084	0.000603065557439976	0.00601596126570852	0.00368277127561663	0.020458292511865	0.00664513194056626	0.00231987520537342	0.0034384078466756	0.0139786005974321	0.00315209761358494	0.0133274486417971	0.0104249294506804	0.000776488758816416	0.00352253311062342	0.00554788954781107	0.00668706367572082	0.00851991268294991	0.0020570458608985	0.000595708755421449	0.00226000450038658	0.00302781364155317	0.00107336946470333	0.00587089523590371	0.00692710944493853	0.0055434691283164	0.00237863315912895	0.0261257438332653	0.00355774030630383	0.0057686048163891	0.0024830277389477	0.00152656983714133	0.000615050096031318	0.0087789166511962	0.00844203468314255	0.00337879141994389	0.00152404996529968	0.00600774859244042	0.0112865431550877	0.00243144956797236	0.00644559398818671	0.00493342321557253	0.00848923758892199	0.000811700211383633	0.00518669230059403	0.00677515478462249	0.0085710786980803	0.0019856869465051	0.00086358418812543
HT29_G1_1B_2	0.00120824428976448	0	0.00520793336252663	0.0082981803749355	0.00373292099590028	0.00817149882337859	0.00014189981301242	0.000977272807428525	0.00289529127869527	0.00164280173548452	0.00475759605036756	0.00538230586022152	0.00504627280135068	0.00534857218081371	0.0146697141911715	0.0114943367358923	0.00126761757486536	0.00551136402256883	0.00267147060795001	0.00328454194385561	0.002445866654088	0.00877569097839081	0.0102588107888083	0.0079997168894847	0.0081894272526527	0.0167765236050072	0.00628682908223614	0.00105511838283326	0.0171841523309834	0.000605178955008858	0.00480773451432496	0.00247453252814514	0.0192502827801694	0.00543690954133326	0.00111163248671472	0.00223016822189905	0.0127704634824926	0.00436033347190343	0.0121193014026888	0.00921674310314167	0.000431755735614967	0.00231429377975124	0.00433965986578629	0.00547884158334322	0.00731170604908513	0.00084880263523821	0.000612535757175513	0.00346824398717263	0.00181957270517405	0.000134874913475435	0.00466266754820127	0.00571888914960882	0.00675169038779195	0.00358687222010092	0.0249178845863115	0.0023495011009303	0.00456037648360077	0.00369126641085807	0.00273481157102515	0.00182329370003737	0.00757071252348977	0.0072338273112691	0.00217055159208886	0.000315805968937723	0.00479952178737315	0.0100783673871163	0.00122320708987257	0.00523737015747503	0.00614164887588229	0.00728103066350846	0.000396544274949687	0.00397846053655871	0.00556693334373504	0.00736287255301301	0.00319392735138764	0.00207182738344882
HT29_G1_1B_3	0.006416157400392	0.00520793336252663	0	0.0135058183287737	0.00894076689284357	0.00296362798999023	0.00534983119490873	0.00423067132648859	0.00231265948620287	0.00685070568139862	0.000450342867513768	0.000174374929541274	0.0102540703325387	0.000140640766944713	0.00946213637068696	0.00628658918541769	0.00394032879557091	0.000303434992159336	0.00253648037065183	0.00192340782985268	0.00276208427627711	0.00356783839863132	0.00505101087419379	0.0132073718667709	0.0133970714652924	0.01156908610484	0.00107891327423572	0.00415282639401541	0.0119767445144587	0.00581310313432303	0.000400203837058021	0.00273341842298779	0.0140430379872036	0.000228979403867618	0.00409631273694911	0.0029777824147205	0.00756277807950759	0.00956815741230648	0.00691158326668381	0.00400890501995654	0.00563968274329416	0.00289365700028438	0.000868283272278005	0.000270912065861903	0.00210381244645663	0.00435914036832413	0.00582045981284025	0.00867609851763099	0.00338837670271732	0.00534280639587017	0.0005452724075776	0.000510963354916607	0.0119594113323908	0.00879472292709358	0.0197111937053534	0.00285844972812118	0.000647564538210823	0.00889911369125343	0.00794268807927378	0.00703119354623954	0.002362825382947	0.00202593183261904	0.00303739892067158	0.00489213142171285	0.000408416657504871	0.00487056046977879	0.003984738967024	2.94371939043851e-05	0.0113493990104844	0.00207313631819949	0.0056044718375078	0.00122948552167525	0.000359005158262608	0.00215498019982059	0.00840179043648772	0.0072797213025778
HT29_G1_2A_1	0.00708997235881537	0.0082981803749355	0.0135058183287737	0	0.00456533177591998	0.0164691161077318	0.00815628545614887	0.00927541490638606	0.0111933351431124	0.00665542496219881	0.0130555154094241	0.0136801770626329	0.00325197740506691	0.013646446065379	0.0229664963590389	0.0197915692374782	0.00956574676717282	0.0138092248774994	0.0109695275085831	0.0115825621498131	0.0107439362750863	0.0170732449240592	0.0185561967479151	0.000298473684943671	0.000108756928110881	0.0250729629002895	0.014584624892495	0.00935325709020098	0.0254805212553613	0.00769302111851811	0.0131056501265961	0.010772600556262	0.0275462750297502	0.0137347763824371	0.00940976870029196	0.0105282496102983	0.0210675246523266	0.00393791990523445	0.0204164516223779	0.0175142489473	0.00786643900664169	0.0106123706245421	0.0126376096527507	0.0137767050586828	0.0156094083625035	0.00914695022093759	0.00768566453710118	0.00483000752685583	0.0101176754267786	0.00816331011740019	0.0129605939445563	0.0140167330797745	0.00154653451793963	0.00471137993117643	0.0332126738776605	0.010647576026822	0.0128583103801747	0.00460698620242367	0.00556343335628063	0.0064749367043834	0.0158683898545276	0.0155315370297453	0.0104686361647615	0.00861397484749707	0.0130974380147955	0.0183757747317271	0.00952133830180482	0.0135352528176546	0.00215658794056721	0.0155787358995678	0.00790164935415512	0.0122764354630442	0.0138647897012685	0.0156605699744095	0.00510432223229449	0.00622640767585901
HT29_G1_2A_3	0.00252468248298474	0.00373292099590028	0.00894076689284357	0.00456533177591998	0	0.0119042377732882	0.00359102214672198	0.00471018511022009	0.00662817612096406	0.0020901257665672	0.00849044112534578	0.00911513471934254	0.0013133644181999	0.00908140195235446	0.0184021340672593	0.0152269315446435	0.00500052660439217	0.00924418935220193	0.00640435936237578	0.00701741953835986	0.00617875916302029	0.0125084067012859	0.0139914638668358	0.00426686109862885	0.00445657599303242	0.020508807573431	0.0100196319127869	0.0047880298389746	0.0209164081890769	0.00312774562268649	0.00854057834102596	0.0062074245705582	0.0229823871583726	0.00916973691463576	0.00484454331404968	0.00596306414299844	0.0165029923320531	0.000627417677808884	0.0158518646404223	0.0129494410312557	0.00330116795679965	0.0060471883906541	0.00807251498416065	0.00921166780818875	0.0110444757548334	0.00458171628554022	0.00312038885575068	0.000264678752193766	0.00555247464150882	0.00359804700035801	0.00839551496109262	0.00945170867510521	0.00301880826508741	0.000146049771025039	0.0286494970394684	0.00608239515574528	0.00829322637844731	4.16548776880945e-05	0.000998114604300094	0.00190963389481488	0.0113034732486818	0.0109665996692881	0.0059034484255986	0.00404872454833212	0.00853236581918598	0.0138110285132236	0.00495611664050289	0.00897020290708245	0.00240875607291328	0.0110138014165999	0.00333637922396481	0.00771132381397424	0.00929975713474675	0.0110956405041041	0.000538996912867352	0.00166110013703944
HT29_G1_3E_2	0.00937969683217951	0.00817149882337859	0.00296362798999023	0.0164691161077318	0.0119042377732882	0	0.00831339382521491	0.00719425464958906	0.0052762696112677	0.00981423468153959	0.00341396861189306	0.00278925377048741	0.0132174979298683	0.00282298780216092	0.00649859712266281	0.00332299146018651	0.00690391687726068	0.00266019417567264	0.00550008792987914	0.00488702206450489	0.00572568909931332	0.000604213542112966	0.00208739818205304	0.0161706829125038	0.0163603741101188	0.00860560143101376	0.00188471768044152	0.00711641101756868	0.00901327184279069	0.00877665610420006	0.00336382986061181	0.00569702360206878	0.011079633307156	0.00273464949972981	0.00705989829332091	0.00594138448083573	0.0045992004028878	0.0125316082689469	0.00394799477853878	0.00104528311773532	0.00860323940463554	0.00585726015803056	0.00383190639965969	0.0026927169885663	0.000859818177493106	0.00732272150578769	0.00878401262414081	0.0116395774874876	0.0063519731397959	0.00830636916771083	0.00350889760238687	0.002452666463382	0.0149227748868614	0.0117581982975123	0.0167480363177313	0.00582205333648717	0.00361118911149948	0.0118625858588692	0.0109061883583817	0.00999471804688132	0.000600804673569402	0.000937698923918521	0.00600100020050072	0.00785570296626864	0.00337204263601175	0.00190694595885068	0.00694832633712934	0.00293419092160083	0.0143127864940852	0.000890494360092015	0.00856802923736444	0.00419310597390196	0.00260462419629376	0.000808650327579304	0.0113652775666858	0.0102432394471169
HT29_G1_3E_3	0.00106634456919255	0.00014189981301242	0.00534983119490873	0.00815628545614887	0.00359102214672198	0.00831339382521491	0	0.00111917254213866	0.00303719046466389	0.00150090209938919	0.0048994942053584	0.0055242035600351	0.0049043747706175	0.00549046990660089	0.0148115987397366	0.0116362271155792	0.00140951726013835	0.00565326162153241	0.00281336988486862	0.00342644095483541	0.00258776601554941	0.00891758525316532	0.0104007030648401	0.00785782162028183	0.0080475322046454	0.0169184035301377	0.00642872602605664	0.0011970181054322	0.0173260312925507	0.000463279162432875	0.0049496326348069	0.00261643187926775	0.0193921565155609	0.00557880719874949	0.00125353220000063	0.00237206765736234	0.0129123516839141	0.00421843498239368	0.0122611907434134	0.00935863681526949	0.000289855931664197	0.00245619318711378	0.00448155829469406	0.00562073920794009	0.00745360199820702	0.000990702388076507	0.000470635964821349	0.00332634500341032	0.00196147226326866	7.02490618481272e-06	0.00480456576759	0.00586078658148237	0.00660979379552426	0.00344497329535713	0.0250597410799527	0.00249140049625637	0.00470227477091317	0.00354936753981965	0.00259291226724704	0.00168139410697637	0.00771260819806516	0.00737572334110626	0.00231245104678921	0.000457705771684368	0.00494141991352994	0.0102202599225422	0.00136510678345471	0.00537926796777962	0.00599975172014787	0.00742292664451251	0.000254644469245156	0.00412035918237893	0.00570883089856214	0.0075047684486286	0.00305202823882065	0.0019299278574277
HT29_G1_3F_2	0.00218551579572573	0.000977272807428525	0.00423067132648859	0.00927541490638606	0.00471018511022009	0.00719425464958906	0.00111917254213866	0	0.00191802119398916	0.00262007242041741	0.00378033204044184	0.00440504464111098	0.00602353055536901	0.00437131080136751	0.0136925384334129	0.0105171225659819	0.000290344948504112	0.00453410342701898	0.00169420002023781	0.00230727285025871	0.00146859560885604	0.00779845147919286	0.00928158423863468	0.00897695399854076	0.00916666273379787	0.0157993785304992	0.00530957257158831	7.78456164162228e-05	0.0162070136684726	0.00158245129087461	0.00383047071446184	0.00149726153827103	0.0182731789750764	0.00445964858407498	0.000134359752246071	0.00125289678566109	0.0117932636121961	0.00533759476338373	0.0111420940441993	0.0082395072361711	0.00140902824351837	0.00133702249055651	0.00336239419960957	0.00450158082913414	0.00633445582472911	0.00012847022581435	0.00158980808491394	0.00444550917427398	0.000842300650133042	0.00111214764689576	0.00368540314724918	0.00474162959042615	0.00772893729600527	0.00456413693499997	0.0239408964142594	0.00137222987539151	0.00358311167102123	0.00466853069865744	0.00371207936558237	0.00280056398891829	0.00659346404733002	0.00625657657381203	0.0011932800557133	0.000661466940972373	0.00382225795293139	0.00910113914983231	0.000245934429956872	0.00426010825728773	0.00711890000051883	0.00630378023634696	0.00137381681408072	0.00300119357534257	0.00458967302163123	0.00638562266890183	0.0041711935765096	0.00304909707414634
HT29_G1_3F_3	0.00410352834673768	0.00289529127869527	0.00231265948620287	0.0111933351431124	0.00662817612096406	0.0052762696112677	0.00303719046466389	0.00191802119398916	0	0.00453808214938031	0.00186231758072078	0.00248703391845903	0.00794150542511271	0.00245329985798708	0.0117746695787584	0.00859918716108092	0.00162767669968545	0.00261609356861046	0.000223821537618745	0.000389252516866026	0.00044942621837467	0.00588047393266409	0.00736362797603476	0.0108948801251564	0.0110845851372361	0.0138815640340955	0.00339156857014827	0.00184017571589859	0.0142892106226132	0.0035004671505348	0.00191245652734434	0.000420760260073649	0.0163554385959022	0.00254163822322228	0.00178366167153576	0.000665125207970783	0.0098753527195613	0.00725557848635543	0.0092241702677067	0.00632153559001574	0.00332704492405285	0.000580999448862153	0.00144437765359648	0.00258357074998221	0.00441646130612529	0.00204649116706243	0.00350782390847967	0.00636350302776474	0.00107572141368454	0.00303016559753572	0.00176738818453475	0.0028236211879279	0.00964688612988482	0.00648212953136561	0.0220233672344685	0.000545792037192524	0.0016650961854381	0.00658652216589484	0.00563008037966908	0.00471857243778937	0.00467547223841003	0.00433858126514323	0.000724741968203483	0.0025794864938244	0.00190424372083351	0.00718318007852419	0.00167208715878404	0.00234209660165534	0.00903685880853939	0.00438578540517971	0.00329183365415498	0.00108317549398397	0.00267166354508173	0.00446762867561296	0.00608919023142315	0.00496710365649375
HT29_G1_4A_1	0.000434557882178988	0.00164280173548452	0.00685070568139862	0.00665542496219881	0.0020901257665672	0.00981423468153959	0.00150090209938919	0.00262007242041741	0.00453808214938031	0	0.00640037266521737	0.00702507642717935	0.00340348541168521	0.0069913430905382	0.016312320941963	0.0131370149457866	0.00291041625339887	0.00715413326110851	0.00431426281025042	0.00492733030322806	0.00408866011556194	0.0104184176669886	0.0119015124910552	0.0063569577916888	0.00654667047954122	0.0184190742093057	0.00792958977029418	0.00269791775890602	0.0188266912731379	0.00103762330192344	0.00645051066717923	0.00411732583425418	0.0208927586497646	0.00707967954954939	0.00275443168457359	0.0038729628090959	0.0144131148860045	0.00271754162531322	0.013761966806552	0.0108594627286401	0.00121104643404971	0.00395708793696126	0.00598244017235025	0.00712161115919746	0.00895445394480459	0.00249160261736404	0.00103026650254651	0.00182544752932935	0.00346236922401952	0.00150792699097999	0.00630544502652761	0.00736165619540731	0.00510891752701449	0.00194407629833838	0.0265601538078369	0.00399229507478121	0.00620315487596329	0.00204847098039425	0.0010920123227956	0.000180492238221167	0.00921345691816799	0.00887657623854949	0.00381334647693726	0.0019586071914449	0.0064422980161922	0.0117210723170077	0.00286600592031549	0.00688014218405829	0.00449887025178517	0.00892377896670689	0.00124625787100491	0.00562124380440764	0.00720970200196794	0.00900561976566287	0.00155112974427873	0.000429026387630242
