	HT29_G1_1B	HT29_G1_2A	HT29_G1_3E	HT29_G1_3F	HT29_G1_4A	HT29_G1_4B	HT29_G1_4C	HT29_G1_4F	HT29_G1_5A	HT29_G1_5B	HT29_G1_5C	HT29_G1_5D	HT29_G1_5E	HT29_G1_5F	HT29_G2_4G	HT29_G2_4H	HT29_G2_5A	HT29_G2_5B	HT29_G2_5E	HT29_G2_5F	HT29_G2_5G	HT29_G2_5H	HT29_G2_6A	HT29_G2_6B	HT29_G2_6C	HT29_G2_6D	HT29_G2_6E	HT29_G2_6F	HT29_G2_6G	HT29Root1	HT29Root2
HT29_G1_1B	0	0.00373292099590028	0.00817149882337859	0.000977272807428525	0.00475759605036756	0.00504627280135068	0.00534857218081371	0.0114943367358923	0.00267147060795001	0.00877569097839081	0.0081894272526527	0.00628682908223614	0.000605178955008858	0.00247453252814514	0.00111163248671472	0.00436033347190343	0.0121193014026888	0.00231429377975124	0.00731170604908513	0.000612535757175513	0.00466266754820127	0.00675169038779195	0.0249178845863115	0.0023495011009303	0.00182329370003737	0.00757071252348977	0.00479952178737315	0.00122320708987257	0.00728103066350846	0.00556693334373504	0.00319392735138764
HT29_G1_2A	0.00373292099590028	0	0.0119042377732882	0.00471018511022009	0.00849044112534578	0.0013133644181999	0.00908140195235446	0.0152269315446435	0.00640435936237578	0.0125084067012859	0.00445657599303242	0.0100196319127869	0.00312774562268649	0.0062074245705582	0.00484454331404968	0.000627417677808884	0.0158518646404223	0.0060471883906541	0.0110444757548334	0.00312038885575068	0.00839551496109262	0.00301880826508741	0.0286494970394684	0.00608239515574528	0.00190963389481488	0.0113034732486818	0.00853236581918598	0.00495611664050289	0.0110138014165999	0.00929975713474675	0.000538996912867352
HT29_G1_3E	0.00817149882337859	0.0119042377732882	0	0.00719425464958906	0.00341396861189306	0.0132174979298683	0.00282298780216092	0.00332299146018651	0.00550008792987914	0.000604213542112966	0.0163603741101188	0.00188471768044152	0.00877665610420006	0.00569702360206878	0.00705989829332091	0.0125316082689469	0.00394799477853878	0.00585726015803056	0.000859818177493106	0.00878401262414081	0.00350889760238687	0.0149227748868614	0.0167480363177313	0.00582205333648717	0.00999471804688132	0.000600804673569402	0.00337204263601175	0.00694832633712934	0.000890494360092015	0.00260462419629376	0.0113652775666858
HT29_G1_3F	0.000977272807428525	0.00471018511022009	0.00719425464958906	0	0.00378033204044184	0.00602353055536901	0.00437131080136751	0.0105171225659819	0.00169420002023781	0.00779845147919286	0.00916666273379787	0.00530957257158831	0.00158245129087461	0.00149726153827103	0.000134359752246071	0.00533759476338373	0.0111420940441993	0.00133702249055651	0.00633445582472911	0.00158980808491394	0.00368540314724918	0.00772893729600527	0.0239408964142594	0.00137222987539151	0.00280056398891829	0.00659346404733002	0.00382225795293139	0.000245934429956872	0.00630378023634696	0.00458967302163123	0.0041711935765096
HT29_G1_4A	0.00475759605036756	0.00849044112534578	0.00341396861189306	0.00378033204044184	0	0.00980375014775654	0.000590983616572476	0.00673692269055177	0.00208613868545166	0.00401817808656919	0.0129467678888237	0.0015292557748847	0.00536276726176787	0.00228307695025848	0.00364597321336323	0.00911783421248331	0.0073619148946805	0.00244331571326776	0.00255415412020268	0.00537012395881729	9.49295517141446e-05	0.0115090995883396	0.0201614501361385	0.00240810839930754	0.00658086107708591	0.00281316677415427	4.19262148577503e-05	0.00353439925237088	0.0025234780234827	0.000809347961297973	0.00795146260791028
HT29_G1_4B	0.00504627280135068	0.0013133644181999	0.0132174979298683	0.00602353055536901	0.00980375014775654	0	0.0103947035946421	0.0165401297733812	0.00771769079903431	0.0138216566462716	0.00314322105346322	0.0113329209078933	0.00444110073302871	0.00752075782928599	0.00615788778615523	0.000685947030182659	0.0171650496530148	0.00736052309439424	0.0123577496350402	0.00443374400325224	0.00970882512668807	0.001705447324139	0.0299623044306474	0.00739572954486364	0.00322299418238552	0.0126167430947727	0.0098456743329839	0.00626946028649051	0.0123270757688636	0.010613055935456	0.0018523606598535
HT29_G1_4C	0.00534857218081371	0.00908140195235446	0.00282298780216092	0.00437131080136751	0.000590983616572476	0.0103947035946421	0	0.00614595108357678	0.00267712066440353	0.00342719847768276	0.0135376994115716	0.000938272577165664	0.00595374147812586	0.00287405864232515	0.00423695229155157	0.00970879164418578	0.00677094572538177	0.00303429715501544	0.00196317196555082	0.00596109815055562	0.000685913148837747	0.0121000418884224	0.0195705791223915	0.00299908989736509	0.00717183077714648	0.0022221849795702	0.000549057409403417	0.00412537858589511	0.00193249582870566	0.000218364396320234	0.00854242616181731
HT29_G1_4F	0.0114943367358923	0.0152269315446435	0.00332299146018651	0.0105171225659819	0.00673692269055177	0.0165401297733812	0.00614595108357678	0	0.00882300031756383	0.00271878057504253	0.0196828338041104	0.00520769321779342	0.0120994738342355	0.00901993131027427	0.0103827700853801	0.0158542731883567	0.000625007293357375	0.00918016396379824	0.00418280381048322	0.0121068301012748	0.00683185009571111	0.0182453175317006	0.0134254015914565	0.00914495800701861	0.0133174914241495	0.00392379231522662	0.00669499740538534	0.0102712013018521	0.00421347974063623	0.00592759058778397	0.0146879950568966
HT29_G1_5A	0.00267147060795001	0.00640435936237578	0.00550008792987914	0.00169420002023781	0.00208613868545166	0.00771769079903431	0.00267712066440353	0.00882300031756383	0	0.00610429149156589	0.0108607772292766	0.00361538874435543	0.0032766468992734	0.000196938731514594	0.00155984044543063	0.00703176269714829	0.00944798218565086	0.000357177934439536	0.00464028056803953	0.00328400366283631	0.00199120932990298	0.00942307486523361	0.0222471355276357	0.000321970519287021	0.00449475328227104	0.00489929123321966	0.00212806480693182	0.00144826589229717	0.00460960469776031	0.00289548422170637	0.00586537271201627
HT29_G1_5B	0.00877569097839081	0.0125084067012859	0.000604213542112966	0.00779845147919286	0.00401817808656919	0.0138216566462716	0.00342719847768276	0.00271878057504253	0.00610429149156589	0	0.0169645040332499	0.00248892983428431	0.00938084507301272	0.00630122647031615	0.00766409572027135	0.013135772451831	0.00334378511584339	0.00646146244477438	0.00146403134763621	0.00938820155283969	0.00411310686466765	0.0155269187456565	0.0161439010247371	0.00642625575235036	0.010598899924267	0.00120501800176998	0.00397625220274981	0.00755252425178848	0.00149470750880466	0.00320883526275224	0.0119694503770017
