	HT29_G1_1B_1	HT29_G1_1B_2	HT29_G1_1B_3	HT29_G1_2A_1	HT29_G1_2A_2	HT29_G1_2A_3	HT29_G1_3E_1	HT29_G1_3E_2	HT29_G1_3E_3	HT29_G1_3F_1	HT29_G1_3F_2	HT29_G1_3F_3	HT29_G1_4A_1	HT29_G1_4A_2	HT29_G1_4A_3	HT29_G1_4B_1	HT29_G1_4B_2	HT29_G1_4B_3	HT29_G1_4C_1	HT29_G1_4C_2	HT29_G1_4C_3	HT29_G1_4F_1	HT29_G1_4F_2	HT29_G1_4F_3	HT29_G1_5A_1	HT29_G1_5A_2	HT29_G1_5A_3	HT29_G1_5B_1	HT29_G1_5B_2	HT29_G1_5B_3	HT29_G1_5C_1	HT29_G1_5C_2	HT29_G1_5C_3	HT29_G1_5D_1	HT29_G1_5D_2	HT29_G1_5D_3	HT29_G1_5E_1	HT29_G1_5E_2	HT29_G1_5E_3	HT29_G1_5F_1	HT29_G1_5F_2	HT29_G1_5F_3	HT29_G2_4G_1	HT29_G2_4G_2	HT29_G2_4G_3	HT29_G2_4H_1	HT29_G2_4H_2	HT29_G2_4H_3	HT29_G2_5A_1	HT29_G2_5A_2	HT29_G2_5A_3	HT29_G2_5B_2	HT29_G2_5B_3	HT29_G2_5E_1	HT29_G2_5E_2	HT29_G2_5E_3	HT29_G2_5F_1	HT29_G2_5F_2	HT29_G2_5F_3	HT29_G2_5G_1	HT29_G2_5G_2	HT29_G2_5G_3	HT29_G2_5H_1	HT29_G2_5H_2	HT29_G2_6A_1	HT29_G2_6A_2	HT29_G2_6A_3	HT29_G2_6B_1	HT29_G2_6B_2	HT29_G2_6C_2	HT29_G2_6D_1	HT29_G2_6D_2	HT29_G2_6D_3	HT29_G2_6E_1	HT29_G2_6E_2	HT29_G2_6E_3	HT29_G2_6F_1	HT29_G2_6F_2	HT29_G2_6G_1	HT29_G2_6G_2	HT29Root1_1	HT29Root1_2	HT29Root1_3	HT29Root2_1	HT29Root2_2	HT29Root2_3
HT29_G1_1B_1	0	0.00163742941748269	0.0170892518553901	0.023847345297452	0.0224163732392205	0.0313862902368613	0.0115471273972855	0.0186939261520654	0.0253303134833609	0.0160769383114673	0.0129496646393957	0.0347027519944999	0.00271471586136701	0.00460436905220172	0.0230157339377851	0.010580657749687	0.00965848223390819	0.0163931951937403	0.0163135677579058	0.00559771801534901	0.004739128754641	0.00954284618665408	0.00703154306698443	0.0231149052090735	0.00634878045613	0.0152453524325372	0.0292686358196958	0.0163953712543519	0.0278516739362662	0.0257912453902038	0.0288131937130983	0.0311983278393467	0.0380696294021558	0.01030673002366	0.0284821626068942	0.0415738945271279	0.0173191900401458	0.0293279363376449	0.0325712624831179	0.0112284003381175	0.0168400274061757	0.0222145521071604	0.00233502620925492	0.00609820079890405	0.0126992143985327	0.00630642743207302	0.0155206413339641	0.0301707295297594	0.0215824794555844	0.0162184159401498	0.0334547581855153	0.0195400343088531	0.0395649572508866	0.0152172939398842	0.0374617165789081	0.044490930409602	0.0207448196550816	0.0333889837437063	0.0380626129326313	0.0137424936163035	0.0280225434483207	0.0410164088694454	0.00758904237196	0.0171379066654283	0.0120799827790496	0.00478468557531571	0.0104895043702249	0.00922774727104764	0.012040737443398	0.0155900466604905	0.0132129388761726	0.0338718589303588	0.0478449606898173	0.0185083370891221	0.0261053121281036	0.0472743717957327	0.006693717285395	0.027142293571408	0.0117795318343169	0.0161564334798142	0.0117417826662532	0.0050588428404962	0.00993640833675118	0.0108227072087796	0.00762902421617951	0.0263539269388881
HT29_G1_1B_2	0.00163742941748269	0	0.015564857818	0.0229853406280618	0.0210611331990953	0.0299802725081569	0.0105209120085979	0.0172869240229945	0.0239270908442161	0.0147528167408861	0.0115049330043649	0.0331670157099988	0.00236454208206321	0.00601487982719246	0.0217920200168758	0.0102929328648049	0.00806725779844972	0.015253856816363	0.0178456989208098	0.00446066149670807	0.00445995376605149	0.00992155786669677	0.00556042041350633	0.021703905626779	0.00585202771559675	0.0143917415450512	0.027822214810195	0.0151711777254336	0.0267569340449993	0.024289355077058	0.0276608765592732	0.0298378564759543	0.0364813018955206	0.00867666628658144	0.0272370197899739	0.0401369163586871	0.0161100435518653	0.0279631205127402	0.0311695631306387	0.0112353662249536	0.016172069867746	0.0207689859473806	0.00307588004218603	0.00613132063928445	0.0115464152059274	0.00484011828018123	0.0141169485547489	0.0291426373356143	0.0205056573224847	0.0148643624454183	0.0340915036210699	0.018030566151039	0.0380388438071692	0.0140644694469568	0.036087219567809	0.0431018214095632	0.0195425382128186	0.0319840233542819	0.0364979656415349	0.0121467382581906	0.0267924721962431	0.0395443952127715	0.00782285586261872	0.0159377565046095	0.0136224912219982	0.00548490292757221	0.0101441268602232	0.0106079294787228	0.0106425424117274	0.0147333078927731	0.0118469863969286	0.0325506706751043	0.0463141753486171	0.0172303334545244	0.0246782995064074	0.0461719997192306	0.00551370393141902	0.0259703713478772	0.0112902701749433	0.0146168051006475	0.0131223528266584	0.00662483360293092	0.0100819526510142	0.00973874369055472	0.00780570452562487	0.025536624882085
HT29_G1_1B_3	0.0170892518553901	0.015564857818	0	0.0144356984325714	0.00701441256406505	0.0152497590853388	0.00907062499785768	0.00358364121450188	0.0138277445114801	0.00497767589020852	0.00459565139614276	0.0181927139739692	0.0150989551512378	0.0205322077034499	0.00906851109925378	0.0145238391373728	0.00769362700480096	0.007441035845398	0.0333767905674249	0.0146545131755032	0.0145495592376222	0.0181371401481209	0.0100734028922572	0.00686168981810702	0.0135034491921722	0.0100261348208839	0.0128200515147957	0.00574792810548953	0.0149383853827921	0.00920608840215634	0.0148594330785508	0.0150186627980908	0.02131424267496	0.00788292100996877	0.0140535069629055	0.0247492458499187	0.00612531580590209	0.0131540915234062	0.0160229089649172	0.0161357834030847	0.0126545372385892	0.0057066758995665	0.0182592471963802	0.0153456377009482	0.00717477563077632	0.0130890558997153	0.00499860969552152	0.0177869087274167	0.0100306399338278	0.00578784238173868	0.0384477254953819	0.00429568764758253	0.0226048469898351	0.00684657294264021	0.021048589171332	0.0279618642593072	0.00791694155088115	0.0175190386343422	0.0212928339089696	0.0051401558669284	0.0136541780660879	0.0241182604658974	0.0172534278064257	0.00616158714227567	0.0289429649565267	0.0176368391807617	0.0137411555628742	0.0260123389152099	0.0060622988159182	0.0114344426170999	0.00609227982790427	0.0181679690921049	0.0318382864888457	0.00537027457440049	0.0107312521836657	0.032896935047283	0.0110342601523616	0.0131530829834093	0.0130150518662632	0.00526599365747927	0.0258410643132378	0.0214150260308452	0.0167385329838993	0.00907949547899609	0.0166414658409474	0.0167203486810318
HT29_G1_2A_1	0.023847345297452	0.0229853406280618	0.0144356984325714	0	0.00958154570566127	0.0148975670224299	0.0126956191200612	0.0111568360969	0.0199553255988783	0.0110559856584108	0.0142393588382393	0.0217480430244186	0.021248205743745	0.0250656094782913	0.0081043415701296	0.0172906277726211	0.0182007069323881	0.00890632989597734	0.0381113655251926	0.0236813146482445	0.0192785704783971	0.018274799852762	0.0184436503999509	0.0121193150458204	0.0176494716208368	0.00914049911957578	0.0145881556940766	0.00952901827907843	0.00600103514724255	0.0147317652176334	0.00905761159705869	0.0135593184735278	0.0262652205536907	0.019388782673959	0.00948800577260194	0.0239465692364705	0.00873403831968983	0.0125595435178172	0.0156957214624288	0.0153138439639728	0.0109231841322794	0.0119017611918649	0.025471262805047	0.0186423250714104	0.0123730977343573	0.0234416807548278	0.0131546328102366	0.0072206533986969	0.00709079775869417	0.0124446386581723	0.0285962392723365	0.0141091486550915	0.0245910856099176	0.00973074056256655	0.0187783966725147	0.0251250873493689	0.00671642129817002	0.0168512264904647	0.025141027413785	0.0185395718487885	0.0086415524566711	0.0251499003131381	0.0196586444724703	0.00887489678591936	0.0333348066404075	0.0221331216878211	0.0152967676850988	0.0319769758506561	0.015827009482309	0.0105552228167085	0.0138160942038599	0.0145337882753007	0.0338448230340039	0.00925073841082743	0.0136225546598269	0.025028322296086	0.0176017183982527	0.00830228773987897	0.0126467692234706	0.0165768742750261	0.0274086737218851	0.0263248217207695	0.0180645986435446	0.0156453402381705	0.0186595252775399	0.00353325376938874
HT29_G1_2A_2	0.0224163732392205	0.0210611331990953	0.00701441256406505	0.00958154570566127	0	0.00943966740623682	0.0117989244124512	0.00393137349440647	0.013559447251488	0.0066739955644596	0.00967364435039713	0.0145196136356787	0.0200918838257916	0.0250957580615592	0.00431604675994094	0.0178415565302212	0.013795748994085	0.00732867433793967	0.0384058705062467	0.0204813579972518	0.0188724274898008	0.0206599544689367	0.0155567246355665	0.0038682870807277	0.0174295798048719	0.0104731421479836	0.00757727566000247	0.00645926305690803	0.00819302295706895	0.00584520787283735	0.00877096620371697	0.0088834808520252	0.0185154210383381	0.0143189276996519	0.00723605572020225	0.0195523256242456	0.00576101374678039	0.0071173081769425	0.0104389534678753	0.018131355815713	0.0130098960969131	0.0023687973661956	0.0237424217168769	0.0191341599821268	0.0103670731086877	0.0195079985860224	0.00805261606831353	0.011043981694578	0.00679198844973024	0.00772393592769251	0.0368864339814577	0.00596599401982733	0.018314075004332	0.00791475323779693	0.0151531873797454	0.0221137710025868	0.0035281052719593	0.0119412767380597	0.0178824516628876	0.0121144980304907	0.00669950929296569	0.0197684550067294	0.0205630344771538	0.00605485795496122	0.0337190755171802	0.0221432225745647	0.0165072885037063	0.0312765162873624	0.0116145863062242	0.0115128098871106	0.00991062752562081	0.0116075941019225	0.0280240094615257	0.00448096584226873	0.00645583763189092	0.0265009173772512	0.0157883933977464	0.0071857608361253	0.014661655947373	0.00987503965479014	0.0295355757341289	0.0262656593980816	0.0197463112979147	0.0134766140070933	0.0198187330243959	0.011525307752176
HT29_G1_2A_3	0.0313862902368613	0.0299802725081569	0.0152497590853388	0.0148975670224299	0.00943966740623682	0	0.0207111913380036	0.0128596629180211	0.0140280736348918	0.0154040355722526	0.0185458156140725	0.00718342111540299	0.029202973704607	0.033950678292961	0.0115802795895718	0.0272333601347725	0.022382662607959	0.0159567756705338	0.0472631503747013	0.0287267120878825	0.0279572191360205	0.0293118506572217	0.024510877347965	0.0105158776140049	0.0264501202807697	0.0195125532060954	0.00265754952994437	0.0157814834582082	0.00952966504134761	0.00667074495619001	0.0105921523443282	0.00483331937332612	0.0119487556048285	0.0225441203740759	0.00568698769036271	0.0121580499513984	0.0150472850717969	0.00545654889233188	0.00548548671912005	0.0271091205622652	0.0217848288562448	0.00971886846898336	0.0324729419813658	0.0282835675956145	0.019759933055478	0.0280284339202364	0.0160671303539279	0.0107957256796046	0.014537679783237	0.0155090259127886	0.0424559151098471	0.0124900133157522	0.0101307695927956	0.0170089415241	0.00814417901396558	0.0138544787753711	0.0120395187117871	0.00288865131449976	0.0104624068512567	0.0202123326386271	0.00632413503591854	0.0135800083535982	0.0290546426482717	0.0153893462268704	0.0424857411659515	0.031461036436227	0.0258207722398832	0.0399685391904332	0.0207526377803307	0.01899447496628	0.0183172108915356	0.00426273394065153	0.0192990169858023	0.0139059792294686	0.00613355015720528	0.0217184994488805	0.024805897589708	0.0104168203533723	0.0234141254799382	0.0166993388785302	0.0387874401028642	0.0354464328761951	0.0290558590428897	0.0228758836968927	0.0284945848375277	0.0158212229755929
HT29_G1_3E_1	0.0115471273972855	0.0105209120085979	0.00907062499785768	0.0126956191200612	0.0117989244124512	0.0207111913380036	0	0.00868544269157625	0.0175319421680508	0.00557350193259531	0.00491012563172583	0.0251984694883228	0.00914401213313996	0.0134687041650908	0.0125628238039312	0.00936754857114023	0.00672770072914794	0.00494758374005861	0.0268594253384903	0.0110444491356182	0.00742043138597966	0.00925611025547403	0.00614445670153837	0.013552464060525	0.00579583637186236	0.00543593685876771	0.0189284329000556	0.0056875936210505	0.0163709305765282	0.0161198944175955	0.0180709428734752	0.020531868317443	0.0292787245702803	0.00819050129500326	0.0171526546786219	0.0313289477827714	0.00646718858789512	0.0187766556437887	0.0221875741930104	0.00802209527704946	0.00944900277016462	0.0123284348595409	0.012970453647248	0.00766437544952968	0.0037666330970791	0.0111776578922003	0.00617348865121442	0.0186670018625374	0.0113806202066988	0.00638236181867499	0.0302266298418329	0.0105758252733924	0.0297997256107587	0.00404459578725773	0.0268073730133746	0.033741287454468	0.0095599365705067	0.022736406361409	0.0288334296191607	0.00973203701503738	0.0166720036210513	0.0313895902485233	0.00888699124501746	0.00643862548311241	0.022084186314547	0.0112346407675328	0.00715102256442312	0.0199986917496836	0.00670674633238773	0.00525058742667713	0.00426724692274852	0.0227748808260307	0.0384360369405082	0.00811154302490664	0.0158738015631367	0.0363992533287957	0.00507755024642068	0.0164279472975879	0.00426603849844799	0.00915580221960043	0.0184840434952553	0.0150067281513861	0.00996497786015482	0.00646571376050349	0.00807711747327792	0.015564958164504
HT29_G1_3E_2	0.0186939261520654	0.0172869240229945	0.00358364121450188	0.0111568360969	0.00393137349440647	0.0128596629180211	0.00868544269157625	0	0.0130865566024013	0.00339485962046322	0.00580807202141728	0.0169610251764047	0.0164712738609767	0.0215778346717198	0.00653058340710935	0.015141603676289	0.00987369586909583	0.00519440768049794	0.0347985092632618	0.0165975963037719	0.0154225230089959	0.0178854587877361	0.0117570212424313	0.00549808167196657	0.0140733546572072	0.0086845377614398	0.0107203819196275	0.00394286781149066	0.0114753974118112	0.00772941228063447	0.0121558875266705	0.0126699008064107	0.0207473140711403	0.0103982939327138	0.0107878987336305	0.0230609986116792	0.0038092205562356	0.010848243507961	0.0140341559668743	0.01570858263637	0.0117729496371178	0.00367483146494198	0.019952276881931	0.0159058551038755	0.00726593066134845	0.0155963528362463	0.00458649211266776	0.0142932069013716	0.00775723259180027	0.00465890744086263	0.0363350928066139	0.00381234575900749	0.0212936181096592	0.00529502497335734	0.0188973435463081	0.0258398560002809	0.00452362680243359	0.0151559662778424	0.020364665776007	0.00850264262168745	0.0103546178802886	0.0229420765383243	0.017411320350934	0.00408532240607624	0.0301634834218449	0.0187803533508251	0.013852782787698	0.0275614471714642	0.00807320019368271	0.00957732046103874	0.00628116804813825	0.0154338678702813	0.0305718579793595	0.00295442787050904	0.00847793194762799	0.0302921756962182	0.0121478978012599	0.0104482589184312	0.0121862940216091	0.00655975874725321	0.0265350437268974	0.0227499339125836	0.0170533355257084	0.010296296965777	0.0167328102987448	0.0135872028516225
HT29_G1_3E_3	0.0253303134833609	0.0239270908442161	0.0138277445114801	0.0199553255988783	0.013559447251488	0.0140280736348918	0.0175319421680508	0.0130865566024013	0	0.0133856468956405	0.015248439925599	0.0140308829973161	0.0240682467937186	0.0275760239531235	0.0178636999998446	0.026310760888641	0.0171730683866511	0.0149237050305879	0.0397944971273594	0.0209208721103914	0.0232012916249657	0.025191131048633	0.0196126186088417	0.0158037121716714	0.0219302759170151	0.0201864899667192	0.0127888611071788	0.0159409617245755	0.0179457518858917	0.0105793360846853	0.0211200877418365	0.0177426896980848	0.018600919904019	0.0166550563546099	0.0146675911723942	0.025097105200155	0.0159078933520757	0.0169714504484525	0.018541936918172	0.025359789705209	0.0242371057043875	0.0128365122295942	0.0254369320520611	0.0242693454815426	0.0185029735443773	0.0216715636434249	0.0119096024309405	0.0197353655358965	0.0199334391739077	0.0114626382204562	0.0419798321339051	0.00974786706118505	0.020158561001762	0.0161037303659998	0.0220144478591407	0.0268464116818842	0.015276611482618	0.0139421585440777	0.0178589175519141	0.016683984853515	0.0154127500467064	0.0257112782654909	0.0232515565508676	0.0163791361881172	0.035125623972924	0.0274054541709914	0.0245440552629287	0.032210071429671	0.018702911855573	0.0156505677617805	0.0137925460161124	0.0178730651543564	0.0241904084625658	0.0157918010800654	0.00883506537683347	0.0355235509331294	0.0200564708040856	0.0199403551264557	0.0210578782016337	0.0103571049980146	0.0351102822984272	0.0300518604031677	0.0274276971533037	0.021424916196163	0.0234578163557305	0.0228791603651819
HT29_G1_3F_1	0.0160769383114673	0.0147528167408861	0.00497767589020852	0.0110559856584108	0.0066739955644596	0.0154040355722526	0.00557350193259531	0.00339485962046322	0.0133856468956405	0	0.00389352048501107	0.0196436547153695	0.0138525018590779	0.0186003307290615	0.00874369052541693	0.013376208028032	0.00798536692157273	0.00272456441184307	0.0319194789789294	0.014132944618484	0.0125819039253825	0.0147468440625006	0.00941875340724092	0.00877529060273364	0.0111180987103457	0.007037909344787	0.0134751325409373	0.00287369135312118	0.0127491718263142	0.0105480528901687	0.0143608090615606	0.0155405917372407	0.0237320926737167	0.00879527428718446	0.0125551878420399	0.0261453184429085	0.00331736526660019	0.01379094075787	0.0170807597438786	0.0130990799474532	0.0110025616992079	0.00696389520222052	0.0172821571463247	0.0130725396904796	0.00536347694685599	0.0137108413934521	0.00235635546600275	0.015365482373268	0.00895391560358239	0.0023288525340676	0.0338360348739662	0.00533068124985659	0.0242773297419148	0.00290954687270485	0.0217932057178978	0.0286608589510474	0.00556026046475023	0.0174631536340471	0.0232621738424229	0.00838345929926894	0.0121780125599635	0.0262122984390958	0.0141374595558311	0.00365440990013916	0.0271845881622224	0.0162687432535535	0.0116735664696038	0.0247267337136814	0.00711597078296381	0.00653697936821851	0.0033719827745037	0.0178557810710506	0.0329887568246595	0.00421246507446629	0.0104846957579283	0.0326282598000982	0.00943874382060199	0.0126610455679806	0.00925592988831498	0.00585922449499023	0.0238929687863579	0.0200813542736146	0.0148103101559104	0.00886996734265226	0.0135264742188128	0.0139702550665482
