	HT29_G1_1B_1	HT29_G1_1B_3	HT29_G1_2A_1	HT29_G1_2A_2	HT29_G1_2A_3	HT29_G1_3E_1	HT29_G1_3E_3	HT29_G1_3F_1	HT29_G1_3F_2	HT29_G1_3F_3	HT29_G1_4A_2	HT29_G1_4A_3	HT29_G1_4B_1	HT29_G1_4B_2	HT29_G1_4B_3	HT29_G1_4C_1	HT29_G1_4C_2	HT29_G1_4C_3	HT29_G1_4F_1	HT29_G1_4F_3	HT29_G1_5A_3	HT29_G1_5B_3	HT29_G1_5C_1	HT29_G1_5C_3	HT29_G1_5D_1	HT29_G1_5D_3	HT29_G1_5E_2	HT29_G1_5E_3	HT29_G1_5F_2	HT29_G1_5F_3	HT29_G2_4G_1	HT29_G2_4G_2	HT29_G2_4G_3	HT29_G2_4H_2	HT29_G2_4H_3	HT29_G2_5A_2	HT29_G2_5A_3	HT29_G2_5B_3	HT29_G2_5E_3	HT29_G2_5F_1	HT29_G2_5F_3	HT29_G2_5G_1	HT29_G2_5G_3	HT29_G2_5H_1	HT29_G2_5H_2	HT29_G2_5H_3	HT29_G2_6A_1	HT29_G2_6A_3	HT29_G2_6B_2	HT29_G2_6C_2	HT29_G2_6C_3	HT29_G2_6D_3	HT29_G2_6E_3	HT29_G2_6F_3	HT29_G2_6G_1	HT29_G2_6G_3	HT29Root1_1	HT29Root1_2	HT29Root1_3	HT29Root2_1	HT29Root2_2	HT29Root2_3
HT29_G1_1B_1	0	0.00416889038774784	0.00725893452396641	0.0068423158308606	0.00727747001361696	0.0190327001487909	0.00634528171186959	0.00541142070533548	0.00946042217333279	0.0064395131062928	0.0099392163523806	0.00858600561042195	0.00648468079509479	0.00603973223644376	0.00971611416356305	0.0195978927557031	0.00691978309209094	0.00241068043582528	0.00531937906840983	0.00504787363915866	0.00538724790876582	0.00544150857973441	0.00599222384244592	0.0097273142158962	0.00949119653836985	0.0101734937592333	0.00629377195573653	0.0117620749260405	0.00687469491010351	0.00740721100045384	0.0112204711235161	0.00565231850973746	0.00931183750374229	0.0126115248448216	0.00234586914097485	0.00995212718916481	0.0115503633028706	0.00986486000603256	0.00514340573393854	0.0123186723590082	0.00572415115292362	0.0160448930802808	0.0137959551204563	0.00802696201142164	0.00597912423471386	0.00838296259381879	0.0175176343324669	0.0153032645624388	0.0051135193146696	0.00904188399804633	0.0144845658862073	0.00743750049239064	0.00705764926658006	0.00583384928270258	0.0178319466008867	0.00588486301472766	0.015079842380267	0.00875428620764253	0.00294060575695844	0.0119621151450994	0.0184043947976045	0.0131692974017714
HT29_G1_1B_3	0.00416889038774784	0	0.0108889961548795	0.00781687638300171	0.00624978736679274	0.0170434109753839	0.00935547826069389	0.00568004859078468	0.00782751986093298	0.00858048499033387	0.0115260830533235	0.00453652869869868	0.00556879121030114	0.00312102182836847	0.0110147445028968	0.0164846947155925	0.00547257730623579	0.00306895081237326	0.00863361712455578	0.00494570136614316	0.00370646591301021	0.00850124432124334	0.00739381611371868	0.0125967751700563	0.0105773464703341	0.0131090008613193	0.00520596641174346	0.0150464598489092	0.00554237791928611	0.00345193990971629	0.0127516343112123	0.00717284176794865	0.0107700345775934	0.00924543637668925	0.00485043710419739	0.0107426399972898	0.0128136884855411	0.0110306129865728	0.00317850031426773	0.00881518017050737	0.00519929374633239	0.0151083581313312	0.0164071293253335	0.00760138754691265	0.00757332749008057	0.00964050429156483	0.0145653330405171	0.0165804030952336	0.00329562620895069	0.00758862623478203	0.0113050279119442	0.00951886525681572	0.0092736311885254	0.00594174936956073	0.0187423559743574	0.00631021412872284	0.0163184444429147	0.0110310480656385	0.0046397816642243	0.0149356579476064	0.015573822475172	0.0145802216373193
HT29_G1_2A_1	0.00725893452396641	0.0108889961548795	0	0.00859090272910882	0.00984792305388551	0.0212079686203914	0.00299721055541554	0.00760869977380834	0.0119480286739153	0.00599143830674714	0.00755956167943764	0.0153987290924091	0.0132063496381618	0.0114992703034386	0.00767999816749483	0.0251267175161922	0.0120639953460556	0.00880206180993486	0.00270009518735505	0.0116204944203129	0.0123778209941308	0.00396964174590545	0.00647577898593965	0.00553852780654733	0.00789230023414748	0.00471909479510949	0.0099712846826566	0.00491316082116939	0.00995844292494727	0.014205592255196	0.0084612044720514	0.00661843623048055	0.00696399345457992	0.0177060171001898	0.007739048285592	0.00939844151930415	0.00865040008415274	0.00856685341840048	0.010072145649633	0.0175790007170163	0.00958719952137889	0.015909686145193	0.00853392789444539	0.0134217676439091	0.00765069243146775	0.00799252806468751	0.0230230661043613	0.0119526122504008	0.0102425651978865	0.012329898851175	0.0192954702649907	0.00584385955697354	0.00574712178672535	0.00834079390979962	0.0152362123293897	0.0111534622445713	0.0114957787880105	0.00753016426671053	0.00751996142838993	0.00580403117788671	0.0214992923187404	0.00967660291074257
HT29_G1_2A_2	0.0068423158308606	0.00781687638300171	0.00859090272910882	0	0.00606443658982878	0.0207553788426582	0.00633416303039136	0.00567693000863252	0.0101712215131812	0.0102988248675078	0.00557718064834811	0.0111827880599765	0.00910253020475224	0.00653440068834224	0.0105837578412097	0.0171349897109526	0.00604953776407802	0.00689113807600884	0.00653411760547051	0.0110779318395367	0.00932331852776726	0.00905443058428356	0.00349554045443697	0.0114228888281807	0.00580286429791706	0.0112558598722139	0.00552781235446388	0.0123097904117394	0.00721602580727517	0.00962573270298419	0.00785944417435532	0.0030824775589037	0.0105656224518695	0.0106222820646442	0.00803108621510392	0.00672252819245249	0.0120520634497503	0.0107371881483891	0.00805943886369492	0.0107754119844569	0.0101860168249278	0.0140253765865292	0.0142056664884812	0.00789176191904673	0.00154859023218139	0.0119950419600425	0.0151341035541743	0.0168514397004788	0.00513255512909798	0.00526621900210613	0.0159202616581938	0.00882500311394434	0.00570917153050949	0.00866588345690759	0.0129378036697209	0.00713404183442493	0.0143409339376732	0.00442159666803963	0.008761425219641	0.0116185342973559	0.0181983669817274	0.0107747236696572
HT29_G1_2A_3	0.00727747001361696	0.00624978736679274	0.00984792305388551	0.00606443658982878	0	0.0155906231987236	0.00750371352413895	0.00242917682617516	0.00456371337295832	0.00816204982124376	0.00716136898778075	0.00896223516813364	0.0107615482356669	0.00431949558845311	0.00759937293159485	0.0174408801296061	0.00717117775460196	0.00679430204937262	0.007698486769028	0.0106507199726041	0.0093886363312341	0.00828430653573605	0.00426788885522782	0.0110426119130262	0.00556992327385483	0.0109063356322662	0.00352594313255793	0.0127626236347723	0.0016472490373305	0.00804125433065804	0.00832750528303743	0.00478574944101285	0.00748639488820137	0.00878624551929441	0.00816910919010426	0.00668881787839903	0.00884855767983139	0.00814793520547192	0.00435722351929384	0.00874582047905698	0.00641656772467528	0.0100520198558792	0.0135898344005941	0.0109475320859297	0.00649952992284789	0.00857104999882221	0.0157122247145292	0.0133700800118528	0.00390199172805977	0.00474139306768497	0.0120661548238811	0.00757354236568818	0.00700232105275951	0.00484419456767922	0.0138109455047079	0.00948947943152008	0.0117760159216519	0.00920083626791212	0.0071045182012542	0.0120885689717842	0.0133841239683004	0.00972189898966443
HT29_G1_3E_1	0.0190327001487909	0.0170434109753839	0.0212079686203914	0.0207553788426582	0.0155906231987236	0	0.0206069708783033	0.0162188272872909	0.0110853743642717	0.0178289618186676	0.0211461826479438	0.0170169908888278	0.0216861548376194	0.0161906784725782	0.0178715568897042	0.0246617688596134	0.0181796540498382	0.0175793377330524	0.0195170537198071	0.018697070759451	0.0185436805225674	0.0190576007452998	0.0189270883002721	0.022278943016088	0.0194162774425884	0.0216530084426458	0.0154733372820999	0.0229805389446034	0.0144916305307655	0.0172094736918837	0.0221253536641824	0.0197130788580516	0.0165570988719571	0.0184831338858278	0.0180337248912886	0.0214514159972303	0.0173063345577548	0.0194767203147876	0.0145336033081466	0.0168408488056615	0.0147800827386413	0.0114581263588447	0.0239022927012994	0.0220846898415235	0.021324856535292	0.0156947428052728	0.0234188872471026	0.0151338654249355	0.0172116876733487	0.0193001012497692	0.0094502105245966	0.019955689123255	0.0215044164645018	0.0159643011032118	0.0268364683607628	0.0231771813012228	0.0206100811318101	0.0241103549660029	0.0169058662746014	0.0234213649144651	0.00718465747054433	0.0215849299066255
HT29_G1_3E_3	0.00634528171186959	0.00935547826069389	0.00299721055541554	0.00633416303039136	0.00750371352413895	0.0206069708783033	0	0.00550152370883811	0.010408179503325	0.00565644594926002	0.00520750400005144	0.0136945470201138	0.0120303736669266	0.00952850445287506	0.00629441113256685	0.0229303757862163	0.0105247867369723	0.00784404452572695	0.00266211496579869	0.0112701937017743	0.0114320545633851	0.00399448046889694	0.0038479518254392	0.00545154209533876	0.00536800241220449	0.0050699714404913	0.00822886848976283	0.00630352835056807	0.00790312151499372	0.0125209908817549	0.00606708155430495	0.00390721040666964	0.00615082203476303	0.0152072834728962	0.00750834311282958	0.00649888237551503	0.00772688007104212	0.00679947852581627	0.00855161642117284	0.0153548309404795	0.00852932998898537	0.0146372346748259	0.00852034772060146	0.012267825573171	0.0053917315222349	0.00774776654775138	0.0209444848034367	0.0124674022770406	0.00816368063436634	0.00956285025365797	0.018147493796613	0.00409966256176466	0.00289576080331003	0.00666236830791965	0.0130238801707707	0.00937023366008204	0.0103304654954689	0.00553121068918206	0.00691882463413733	0.0059795797660379	0.0200746361588456	0.00783373571361727
HT29_G1_3F_1	0.00541142070533548	0.00568004859078468	0.00760869977380834	0.00567693000863252	0.00242917682617516	0.0162188272872909	0.00550152370883811	0	0.00537184205064734	0.00609245531656911	0.00670115899609772	0.00939191411708676	0.0101395770064252	0.00486704715965752	0.00648516611649309	0.0190191951764186	0.00728014664173725	0.00540755518225418	0.00545858499089837	0.00933135934646565	0.00866549605884317	0.00594508753498584	0.00306359140385128	0.0091751223645915	0.00537552710309597	0.00903665995137452	0.00374476038626686	0.0108587165231174	0.00245508895456003	0.00835693565152242	0.00792858147998809	0.00362267129632529	0.00610800512008503	0.010673434161832	0.00631203428663869	0.00671806040472171	0.00793579194962067	0.00720354365473358	0.00380769406535494	0.0105212672802018	0.00519904715782862	0.011203858837845	0.0121314246934452	0.010570841357865	0.00564199423759358	0.00692732897702281	0.0171398266558395	0.0123603130660267	0.00401070717539261	0.00623491527212618	0.0130158945661409	0.00590423293297277	0.00563766240461995	0.00353362624586308	0.0142815388124533	0.00874246871799364	0.0113216105126565	0.00826805606506004	0.00513972889552069	0.0104664551089907	0.0149379788609397	0.00937767584822817
HT29_G1_3F_2	0.00946042217333279	0.00782751986093298	0.0119480286739153	0.0101712215131812	0.00456371337295832	0.0110853743642717	0.010408179503325	0.00537184205064734	0	0.00897801343112764	0.0107460029543909	0.00961822502885368	0.0130535267145422	0.00642857366368522	0.00869207871465747	0.0189760438590485	0.00935595387602489	0.00845575817078243	0.0099301142532044	0.0113509382733128	0.0106379226290409	0.00980939760551196	0.00811644762417744	0.0130132523726246	0.00897111244231251	0.0126567229744167	0.00553663914710114	0.0144427261126072	0.0034842677798304	0.00916712326763495	0.0117485859460023	0.00882803543185774	0.00785934990149399	0.0105586175916801	0.00943278064739673	0.0106295491894746	0.00916664841147566	0.0099197561855023	0.00482461375526071	0.00974536723375668	0.00608982334520599	0.00797882250095015	0.0152932396234076	0.0134972508832062	0.0106144925754327	0.00801304364981454	0.0173341621665218	0.0115294925637291	0.00693931217466844	0.00880327124402632	0.00922551612356574	0.00991938709479126	0.0107143340957281	0.00594359274935005	0.0171469746822969	0.0129944494418555	0.0127278857192409	0.0133561616516388	0.00797883801357486	0.0142603891304301	0.00995627248127352	0.0121117717954246
HT29_G1_3F_3	0.0064395131062928	0.00858048499033387	0.00599143830674714	0.0102988248675078	0.00816204982124376	0.0178289618186676	0.00565644594926002	0.00609245531656911	0.00897801343112764	0	0.00978392203027119	0.0124575707306804	0.0126875939766582	0.00978185608904123	0.00481442145527548	0.0243789704304764	0.0121466786712937	0.00789300589095222	0.00580775459571854	0.00968882952149983	0.0110968932786519	0.00223499913267638	0.00725675390867549	0.00530834729265815	0.00889305687724602	0.00575133114966097	0.00929405232246359	0.00805077943791015	0.00744271581848506	0.0118973809015597	0.00973785906310588	0.00746245735682697	0.00436100878779427	0.0159025117875412	0.00715807699011108	0.00940854197996305	0.00640631299502284	0.00548215442830494	0.00711653815573036	0.0158783016151705	0.00491560117618942	0.0149210546481198	0.00891979667275457	0.014302455809038	0.00944466173263642	0.00276398587855881	0.0224996640803354	0.0101212949329163	0.0090331493742985	0.0116251428706396	0.0165576758397918	0.00384021277984157	0.00683095302470919	0.00405401830010298	0.016680292462445	0.0108461881088528	0.0101758060645396	0.010788798434582	0.00461475740064258	0.00835150703590279	0.0187434125180733	0.0100348501105823
