	HT29_G1_1B_1	HT29_G1_1B_2	HT29_G1_1B_3	HT29_G1_2A_1	HT29_G1_2A_2	HT29_G1_2A_3	HT29_G1_3E_1	HT29_G1_3E_2	HT29_G1_3E_3	HT29_G1_3F_1	HT29_G1_3F_2	HT29_G1_3F_3	HT29_G1_4A_1	HT29_G1_4A_2	HT29_G1_4A_3	HT29_G1_4B_1	HT29_G1_4B_2	HT29_G1_4B_3	HT29_G1_4C_1	HT29_G1_4C_2	HT29_G1_4C_3	HT29_G1_4F_1	HT29_G1_4F_2	HT29_G1_4F_3	HT29_G1_5A_1	HT29_G1_5A_2	HT29_G1_5A_3	HT29_G1_5B_1	HT29_G1_5B_2	HT29_G1_5B_3	HT29_G1_5C_1	HT29_G1_5C_2	HT29_G1_5C_3	HT29_G1_5D_1	HT29_G1_5D_2	HT29_G1_5D_3	HT29_G1_5E_1	HT29_G1_5E_2	HT29_G1_5E_3	HT29_G1_5F_1	HT29_G1_5F_2	HT29_G1_5F_3	HT29_G2_4G_1	HT29_G2_4G_2	HT29_G2_4G_3	HT29_G2_4H_1	HT29_G2_4H_2	HT29_G2_4H_3	HT29_G2_5A_1	HT29_G2_5A_2	HT29_G2_5A_3	HT29_G2_5B_2	HT29_G2_5B_3	HT29_G2_5E_1	HT29_G2_5E_2	HT29_G2_5E_3	HT29_G2_5F_1	HT29_G2_5F_2	HT29_G2_5F_3	HT29_G2_5G_1	HT29_G2_5G_2	HT29_G2_5G_3	HT29_G2_5H_1	HT29_G2_5H_2	HT29_G2_5H_3	HT29_G2_6A_1	HT29_G2_6A_2	HT29_G2_6A_3	HT29_G2_6B_1	HT29_G2_6B_2	HT29_G2_6B_3	HT29_G2_6C_2	HT29_G2_6C_3	HT29_G2_6D_1	HT29_G2_6D_2	HT29_G2_6D_3	HT29_G2_6E_1	HT29_G2_6E_2	HT29_G2_6E_3	HT29_G2_6F_1	HT29_G2_6F_2	HT29_G2_6F_3	HT29_G2_6G_1	HT29_G2_6G_2	HT29_G2_6G_3	HT29Root1_1	HT29Root1_2	HT29Root1_3	HT29Root2_1	HT29Root2_2	HT29Root2_3
HT29_G1_1B_1	0	0.0150385737254194	0.0138736214691032	0.0109902123134275	0.0150736143780021	0.0107494245191741	0.0237713825280356	0.0193245192137084	0.00906417410587469	0.0144936528567007	0.0150799731891248	0.0111182906170311	0.0140943936361604	0.0184893357631744	0.0183860432661104	0.0166332908970812	0.013994889147944	0.0147384640892822	0.0182181666040813	0.00614812426981942	0.0121033042843512	0.0207414342603555	0.024173510373059	0.0157735554127223	0.0272176631457289	0.0221403314137748	0.0109432748027751	0.0210739305416197	0.027632818986626	0.0181957751275574	0.0190174641465258	0.0244913853947096	0.0204312622410063	0.0151185140336616	0.0179075685765588	0.0070637627924016	0.013170297192092	0.0196373509376514	0.0174633082032047	0.0190236017358178	0.0127110499208727	0.0105284117892209	0.00732572703908689	0.0107357139400116	0.0102121192165597	0.0144889916409694	0.0090006499073931	0.011140856259329	0.0171836525045141	0.00862360831010136	0.00948868903670055	0.0125506125410959	0.018060371360588	0.0294352003315921	0.0265369732736873	0.00697416674544907	0.0112855236428531	0.0119441328113546	0.0111504971544882	0.0156287218916215	0.0109526399268793	0.0098638868679099	0.0133031327838778	0.0133752088949023	0.0101473729938514	0.00728182716878831	0.0105853312796995	0.0104421742675715	0.0145252390497575	0.0151050117055312	0.0106062428214775	0.0213064308745491	0.0105198629511589	0.0152894206737011	0.0193038309347858	0.0128263810181047	0.0213092203841315	0.0214975445707894	0.0126218357308384	0.0168328449637581	0.0187957381196307	0.0160448713895297	0.0127941960170714	0.0112549569255321	0.0127432821244505	0.0155921130061257	0.0100485306693697	0.0119845167278497	0.0115222734943897	0.0094255240102567	0.016212054778087
HT29_G1_1B_2	0.0150385737254194	0	0.0107685832308246	0.00612697469127086	0.00687335082145749	0.0140473454628796	0.0132330691478443	0.00974892754440471	0.0187141003479285	0.010386396665481	0.0157951722352862	0.0128812070186586	0.0061560875438769	0.0061805176017523	0.0282578355744935	0.0124928489641286	0.0114951794154196	0.0232559350616733	0.00780003934427793	0.011166471166291	0.0102983951965856	0.00812222450244264	0.0146350631166629	0.0127204892736688	0.0139611844491897	0.0107814543737311	0.0159794988233664	0.00723222663172206	0.0158632695188087	0.0068843861099614	0.00840445806091998	0.0127355703680482	0.00728914691700733	0.00788080424917697	0.00937967055496543	0.0113682472161923	0.00896953435639122	0.00825109800604512	0.00371353966485253	0.00644267104289437	0.0109893649665558	0.0067593432855987	0.0108675267397539	0.00540672981603637	0.0101971353247719	0.00542639396872163	0.0169656300733792	0.0170174561906098	0.00580229285609599	0.00783766083156165	0.0187587527291198	0.00802421954083739	0.00750229176967629	0.0174425278751269	0.0139610078483105	0.0147190352012671	0.0105825398004581	0.00968304848619438	0.00977358122589415	0.00291023222783829	0.0201673394519095	0.0125717447218731	0.0118326685111693	0.0172699351245026	0.00716434342130485	0.0119138056036762	0.00962037638086186	0.0155520633579394	0.00792414033306471	0.00464371720807592	0.0156612528450569	0.0109626021545733	0.00886604515175116	0.0074402956629683	0.00746675831949515	0.00707927897906449	0.0107157081169229	0.00951688637760307	0.00484490416027074	0.00641119406370502	0.00424928991838711	0.011337880766219	0.011577024197679	0.0100055993450149	0.00976694714801625	0.00642536231567112	0.0209131119564577	0.0236407640145839	0.0106057621929735	0.0144275064336789	0.0226790713285053
HT29_G1_1B_3	0.0138736214691032	0.0107685832308246	0	0.00877769932644764	0.0122239864900072	0.00647425656092631	0.0200239819108161	0.0140697026649191	0.0160805536413771	0.0145426650287115	0.00638476186604307	0.00687113033909423	0.00744164886769577	0.0111958814701366	0.0231542497662043	0.0178302065504675	0.0140839019214953	0.0182405735048581	0.0150814556782743	0.00947664474902688	0.00795419152015813	0.0102938707593743	0.0138799743489704	0.00548291989267635	0.0192397851216989	0.0162670198599396	0.00797825152061204	0.0145926607867018	0.0227977650714267	0.0079391964520453	0.0115545345103403	0.020758194934069	0.0105235250473927	0.0143984459416217	0.014034774660256	0.0071529791929823	0.00914719188531754	0.0130630141600283	0.0110142652360509	0.0103191443493811	0.00697598699847124	0.00657478987753899	0.00701236668106497	0.0071206829288896	0.0101972117279396	0.00851483582731134	0.0116902838361332	0.0130261382245936	0.0113766949046058	0.00750543849793852	0.0153547182971594	0.0125486320887697	0.0122842193029541	0.0222774752811642	0.0232669759612782	0.00938388388903011	0.00729984079275813	0.00565422243263169	0.00878102022784301	0.00857242710324837	0.0133000677182525	0.0132832581428163	0.0116290880445493	0.0130519241018711	0.0128281438917196	0.0094794619422923	0.00639604879306297	0.017082775260425	0.0121755800764646	0.00691500438121339	0.0164462422249472	0.0130876806255122	0.0106144613549655	0.00900211965963327	0.0127014942976337	0.0138732782883374	0.0173143719898664	0.0169788659186535	0.00621269633571757	0.00986477451063953	0.0129631056246657	0.0166500522779509	0.00729050283495085	0.00546280617291892	0.0143847341957414	0.0158451449513184	0.0145972096513027	0.0188339204166414	0.00974403932300201	0.00687099876809457	0.0186247767217316
HT29_G1_2A_1	0.0109902123134275	0.00612697469127086	0.00877769932644764	0	0.00627290302720614	0.010064901133139	0.0166782231125991	0.00932642062504146	0.0143384028756053	0.00666903224213232	0.0122843262016501	0.0076563294534704	0.00741079294937662	0.00765689336038887	0.0241352284155898	0.00987035859105698	0.00685740664101844	0.0190050565867568	0.00814830985987677	0.00582548987318368	0.00627730418311424	0.010856097676026	0.0168995328602939	0.0107127586248137	0.0176833406859639	0.0132832450346851	0.011949407452524	0.0107910342142796	0.0188337570190268	0.00915034735723694	0.00904651861502639	0.0158180913781293	0.0105232626210824	0.00895086875814407	0.00831494810264658	0.00775539673568005	0.00421218413315177	0.0113347652463888	0.0072819019401956	0.00925963969508207	0.00961542016892601	0.00613592119279447	0.00668399638515848	0.00365329592903353	0.00548699942286262	0.0055518989499969	0.0116169886268567	0.0135461257947115	0.00753191088677965	0.00530779259783702	0.0138814061317231	0.00767102102362687	0.0106306251555064	0.0205034710060364	0.0176993786877735	0.0101878411870917	0.00510628136817115	0.00589837132969587	0.00581917749751656	0.00618081145373616	0.0160371140293409	0.00816713780363985	0.00768412130265765	0.0141268727564053	0.00480583305358682	0.00617601789388833	0.004670439496118	0.0111023068370771	0.00475626422825411	0.00669110951996698	0.0107306601834957	0.0134302137098458	0.0050520344570357	0.00535938524905161	0.0103268267601289	0.00567128283404745	0.0128273392863759	0.0124210632651776	0.00516526169148277	0.00599411902734277	0.00864994745811248	0.00860501750293334	0.00886312228697014	0.00658007061782789	0.00644671939891205	0.00802626430359148	0.0163747991382807	0.0189170829851424	0.00474929715435238	0.00985896996452976	0.0191212460142514
HT29_G1_2A_2	0.0150736143780021	0.00687335082145749	0.0122239864900072	0.00627290302720614	0	0.0154446567981198	0.011225701916706	0.00520587455103673	0.0201873365533929	0.00695417734284592	0.0146112124246982	0.0114152703417968	0.00751906364855882	0.00624329275049972	0.0301511754032005	0.00795079733569637	0.0082501231538492	0.0250757163170105	0.00592807251169552	0.0110733050694267	0.00695257742286568	0.011484175363221	0.0142506219345439	0.011530456842262	0.0131323781519894	0.00776662818131427	0.0172327387456996	0.00738494103031501	0.0130528450120404	0.00889899515869766	0.00545915777152864	0.0102529604630342	0.00974104167407723	0.00452890459086214	0.00409300525869587	0.0128839203205417	0.00606025594349302	0.00720302594408543	0.00581473476805499	0.00726755953726155	0.0102812566804943	0.0101775512978818	0.0121205226011821	0.00846027033362647	0.0115577525493714	0.00981341508660959	0.0170516501114713	0.0197441561268348	0.00358476555691275	0.0106154361941245	0.0196744609841911	0.00507074113499182	0.00717395744086912	0.0151061636905726	0.0130827956933469	0.0156206318667292	0.00994535764757986	0.00798627200360861	0.0119749742848115	0.00770785736055392	0.0215196505356086	0.0138791221673684	0.0131899251191168	0.0203567230262484	0.0083879050285964	0.0114126943846805	0.00814684267515628	0.0159107948109012	0.00716574820842034	0.00931520467435194	0.0155265807157324	0.00973084470727566	0.0110209313535722	0.00447932577551413	0.00608334601755868	0.0045883678235334	0.00681081688083679	0.00696833717031833	0.00842671066176991	0.00565454244386359	0.00714401751545868	0.00741307665227688	0.00919615455657698	0.00870090861235529	0.0101840465811222	0.00837223643843416	0.0216942777340477	0.0245050146489998	0.00827044962556662	0.0144842547492317	0.0253685615905755
HT29_G1_2A_3	0.0107494245191741	0.0140473454628796	0.00647425656092631	0.010064901133139	0.0154446567981198	0	0.0248735765267951	0.0177040332771795	0.0102961332320236	0.0152222538272777	0.00840713753068984	0.00628606254296261	0.0122376428696348	0.0153488178206185	0.016801117671273	0.0187984035763009	0.0141657909035859	0.0118805196524191	0.0176720782156466	0.00712784934024202	0.0104828809030702	0.0151646414218044	0.0202568147278802	0.0105107602972003	0.0249200502556544	0.0213114739879779	0.00209615729088376	0.0191412391182322	0.0276357412280482	0.0137083631099775	0.0163113786600971	0.0251098568234912	0.0159207723961554	0.0176204986140306	0.0171527414763263	0.00492669176810487	0.0109448516401115	0.0183943694467314	0.0152960746551093	0.0156952606069041	0.0109653945342947	0.00857998256497884	0.00468505582460917	0.00886069697490785	0.00808690787282211	0.0105168722427957	0.00593900205553583	0.00740886420881579	0.0158097279638845	0.00740821869501108	0.00938968214142775	0.0153260121656292	0.0173905473693964	0.027918242490759	0.027256683839577	0.00413255931296958	0.00686757243881887	0.00866327061701723	0.00702385481940778	0.0125641601459656	0.00733726602228467	0.010030431192031	0.0095435296285371	0.00785199619412807	0.0128195968194453	0.00678911788709218	0.00779081870468366	0.0134668718645407	0.0132035149588262	0.0110112313339365	0.0127827218433779	0.0190016954094092	0.00921768055912798	0.012639940409849	0.0178443806627756	0.0154201394478705	0.0217019070275486	0.0214229489789454	0.00969323928985058	0.013562438461976	0.0169455757442111	0.0175813020411879	0.010792481069939	0.0084337850835053	0.0136227736446229	0.0173003173538633	0.00861713468288598	0.0125030769472145	0.0097349019611086	0.00333076939636997	0.0127517911566642
HT29_G1_3E_1	0.0237713825280356	0.0132330691478443	0.0200239819108161	0.0166782231125991	0.011225701916706	0.0248735765267951	0	0.0124763535332429	0.0302253229555518	0.0174282056697495	0.0225353341506702	0.0215261093734471	0.0130624864273611	0.0132335450104025	0.0401272026061316	0.0166645564686153	0.0190924849542455	0.0352325646953861	0.0137089964795724	0.0212784052583589	0.0163988798324237	0.0163136278794638	0.012945396464822	0.0181080048298836	0.00850093387794186	0.00591929868906524	0.0265467407515941	0.0100356325966376	0.00682045305244266	0.0136987851561683	0.0114536289565681	0.0060529859263233	0.0135602459923028	0.00894776433641337	0.0127062613997153	0.0217920359117003	0.0169729226019687	0.00722266554501831	0.011768594055285	0.0114547776042598	0.0161306631347588	0.0176812451003592	0.0215575450227503	0.0171736421560698	0.022052939639088	0.0182013164878515	0.0275169490148455	0.0293211874948255	0.0101145309923828	0.0193267808841834	0.0300895354080145	0.0113370900474424	0.00788260088602119	0.00844129497527255	0.00952047143685956	0.0252399360616807	0.0206243296339566	0.0172039345821126	0.0220845430928903	0.0144386415105397	0.0308230309794609	0.0242985736267107	0.0237408599616875	0.0299083598887464	0.017570214140655	0.0219848286449051	0.0182342021683566	0.0262323207287627	0.0175769008486782	0.0160606676384453	0.0261892287112156	0.00883663082019689	0.0210859845895059	0.0142392887616188	0.00794511229949871	0.0137790266755089	0.00579572412109457	0.00631022576810041	0.0160229381064059	0.014441256847261	0.0118687837327835	0.0167873003124904	0.0164751125615341	0.0173327166556127	0.0202410185095734	0.0151293222699141	0.0312032904398694	0.0345156136160702	0.0193955157797592	0.0239061608096017	0.0352907060843922
HT29_G1_3E_2	0.0193245192137084	0.00974892754440471	0.0140697026649191	0.00932642062504146	0.00520587455103673	0.0177040332771795	0.0124763535332429	0	0.0230972592609287	0.00771967914938981	0.0159453432934393	0.0131653401822587	0.0109068618527076	0.00515846544286964	0.0326093391024945	0.00838513323557565	0.00879806638018304	0.0273302977615235	0.00508528713614164	0.0144037746621638	0.00947246250942266	0.0108535931235946	0.0144244322710998	0.0129778979225602	0.0114291776219774	0.00728025467434625	0.0195921719738756	0.00634146740503615	0.0115483527219336	0.00968671971437657	0.00393381848771891	0.00962616392698033	0.00935445442784717	0.00909652847387076	0.00188619594859273	0.0163909547235885	0.00728411641206853	0.00865486499357984	0.00693082272708994	0.00749921464596713	0.0136611469177649	0.0138266429166431	0.0153927433934153	0.0118205909654079	0.0136948857515819	0.0114051601062153	0.0193689321631043	0.0223380748737272	0.00520747813873209	0.0142281849025846	0.0222379236835911	0.0101567496003131	0.00983162173238761	0.0132997961762352	0.0122823790274432	0.0186840903936742	0.0115110754607589	0.0103894988127165	0.0139325294106566	0.00965785006006624	0.0243650890267359	0.0161768200496981	0.0141409211857524	0.0224840932322808	0.01205241623588	0.0142295214653212	0.0106868031446553	0.0182667999759275	0.00779082472668571	0.0113730111805315	0.0175946083641264	0.0104169120366778	0.0134103106306576	0.00524157541710983	0.00709447962946302	0.00856959435446119	0.00689394642159074	0.00679388393865559	0.0114803947359389	0.00514041815885763	0.00770841126700168	0.00783466083380717	0.0119787410579696	0.0115914696417533	0.0119603181598334	0.0108058759286658	0.0246625080601026	0.0273434974868892	0.00979241426717343	0.0170431879278018	0.027458365656669
HT29_G1_3E_3	0.00906417410587469	0.0187141003479285	0.0160805536413771	0.0143384028756053	0.0201873365533929	0.0102961332320236	0.0302253229555518	0.0230972592609287	0	0.0173050861228634	0.0177494450396536	0.0133657476030132	0.0192050669610155	0.0214110332705757	0.0106369048910861	0.0202714390549169	0.0161760378138241	0.00660980451132241	0.0212457257272579	0.00950167004226828	0.0169806249758903	0.0224671408789164	0.0291050412316994	0.0197808884099911	0.0318263811194325	0.0275144253607674	0.0100416499888463	0.0248047006582851	0.0330058033211712	0.0216085243247849	0.0230717861991587	0.0297513147149298	0.0233055654204159	0.0216591293927355	0.0219055737067104	0.0101957798080217	0.0162890260568185	0.0250751715024748	0.0210824634048066	0.0228566476825011	0.018588933952404	0.0142957665064859	0.00993659986947817	0.0140043865623191	0.00986417313253192	0.0155845614081961	0.00663174505598151	0.005367781435282	0.0217950321572599	0.0117527794127225	0.00235841639931258	0.019474153185386	0.0238373459296898	0.0347639757951397	0.031043512787338	0.00749884392998586	0.0126801166029772	0.0161266794710299	0.0104767150968292	0.0186121635360986	0.00807198653666868	0.00795501585397791	0.0111632049374666	0.00741194244555341	0.0136713940617406	0.0094864859422993	0.0143076540821896	0.00837334038189843	0.0162863395178452	0.0176973492082816	0.00849961233301557	0.0267141407470453	0.0107223181318344	0.0189788262095853	0.0243623013639178	0.0177384602951258	0.0268971866397848	0.0265890317770273	0.0160822985638023	0.0196308246021559	0.0220717576990966	0.0192396448701674	0.0183494541961529	0.0159630914746958	0.0136156440941055	0.0187296580813608	0.0074255842829895	0.00592999967753852	0.0139321031971824	0.0111315729479727	0.00773275012365922
HT29_G1_3F_1	0.0144936528567007	0.010386396665481	0.0145426650287115	0.00666903224213232	0.00695417734284592	0.0152222538272777	0.0174282056697495	0.00771967914938981	0.0173050861228634	0	0.0164045738543464	0.0111364237479088	0.0127924834824561	0.00927485331965121	0.0272779653943561	0.00384926071412072	0.00207030460004914	0.022237252954473	0.00598486613029576	0.00995163706922423	0.00937142833491432	0.014444741517449	0.0203687405463484	0.0151209441290382	0.0184961113961063	0.0137526339567721	0.0169483383189987	0.0116657680802657	0.0176647682990632	0.013557551680886	0.0101905624646942	0.0147026399907321	0.0139329146246539	0.0103234372583349	0.00613843721989711	0.0135590064752714	0.00582470482583824	0.0138840109529319	0.0101616256130005	0.0124066718790927	0.014750789782843	0.0127546085819846	0.0122963390337894	0.0102480184377624	0.00891506400702876	0.0105044857712444	0.0147401024093932	0.0179399912697713	0.00954821161611434	0.0116487661840549	0.0165192454188829	0.0102504965872036	0.0139368435315744	0.0205157921392772	0.0162497927740885	0.0148751544312672	0.00869377795406021	0.0103651466776953	0.0102318714025508	0.0110862117435362	0.0205722518184943	0.0101634131983214	0.0095394159142575	0.0184758885391197	0.00741578586091287	0.0096573371554755	0.00913682174493735	0.0111259340181715	0.00397105394426289	0.0124006456468847	0.0104732447667011	0.0162570361335935	0.00882339506720467	0.00751422689549606	0.0124995249578708	0.00559863239091104	0.0123198177140668	0.0122315009848619	0.0115257099273492	0.00789826467146458	0.0107367601725443	0.00243157921663668	0.0129376178317383	0.0114729188734414	0.00572528486365264	0.0083146028076707	0.0203715192339074	0.0218686465167428	0.00600451116122781	0.0145942852014423	0.0224927172727509
