	HT29_G1_1B	HT29_G1_2A	HT29_G1_3E	HT29_G1_3F	HT29_G1_4A	HT29_G1_4B	HT29_G1_4C	HT29_G1_4F	HT29_G1_5A	HT29_G1_5B	HT29_G1_5C	HT29_G1_5D	HT29_G1_5E	HT29_G1_5F	HT29_G2_4G	HT29_G2_4H	HT29_G2_5A	HT29_G2_5B	HT29_G2_5E	HT29_G2_5F	HT29_G2_5G	HT29_G2_5H	HT29_G2_6A	HT29_G2_6B	HT29_G2_6C	HT29_G2_6D	HT29_G2_6E	HT29_G2_6F	HT29_G2_6G	HT29Root1	HT29Root2
HT29_G1_1B	0	0.00687335082145749	0.0132330691478443	0.0128812070186586	0.0061560875438769	0.0124928489641286	0.011166471166291	0.0127204892736688	0.0139611844491897	0.00723222663172206	0.00840445806091998	0.00788080424917697	0.00371353966485253	0.0067593432855987	0.00540672981603637	0.0170174561906098	0.00580229285609599	0.00802421954083739	0.0174425278751269	0.0105825398004581	0.0125717447218731	0.00716434342130485	0.00962037638086186	0.00792414033306471	0.00886604515175116	0.0074402956629683	0.00951688637760307	0.00641119406370502	0.011577024197679	0.0236407640145839	0.0144275064336789
HT29_G1_2A	0.00687335082145749	0	0.011225701916706	0.0114152703417968	0.00751906364855882	0.00795079733569637	0.0110733050694267	0.011530456842262	0.0131323781519894	0.00738494103031501	0.00545915777152864	0.00452890459086214	0.00581473476805499	0.0101775512978818	0.00846027033362647	0.0197441561268348	0.00358476555691275	0.00507074113499182	0.0151061636905726	0.00994535764757986	0.0138791221673684	0.0083879050285964	0.00814684267515628	0.00716574820842034	0.0110209313535722	0.00447932577551413	0.00696833717031833	0.00565454244386359	0.00919615455657698	0.0245050146489998	0.0144842547492317
HT29_G1_3E	0.0132330691478443	0.011225701916706	0	0.0215261093734471	0.0130624864273611	0.0166645564686153	0.0212784052583589	0.0181080048298836	0.00850093387794186	0.0100356325966376	0.0114536289565681	0.00894776433641337	0.011768594055285	0.0176812451003592	0.0171736421560698	0.0293211874948255	0.0101145309923828	0.0113370900474424	0.00844129497527255	0.0206243296339566	0.0242985736267107	0.017570214140655	0.0182342021683566	0.0175769008486782	0.0210859845895059	0.0142392887616188	0.00631022576810041	0.014441256847261	0.0164751125615341	0.0345156136160702	0.0239061608096017
HT29_G1_3F	0.0128812070186586	0.0114152703417968	0.0215261093734471	0	0.0106386431381467	0.0143525051033886	0.00611035919519743	0.00773614902330939	0.0217902915831902	0.0163159221810766	0.0123718777327378	0.0142611462538894	0.0130456874222255	0.00940171508689756	0.0085907582893815	0.0124585767148455	0.0124425585553024	0.0121211607269371	0.0240932647408039	0.00358297256815323	0.0105227995028959	0.0115128868967532	0.00355909699941902	0.0102812163441046	0.00934957691365062	0.00849246203924661	0.0178018200765768	0.0103650062026289	0.00699783826152828	0.0157797700703629	0.00454866051647794
HT29_G1_4A	0.0061560875438769	0.00751906364855882	0.0130624864273611	0.0106386431381467	0	0.0149680935936255	0.0107166521517566	0.00772006616800419	0.0142352822835762	0.00990105302271149	0.00807653512298143	0.00795962173416062	0.00656114777928809	0.00551566463670699	0.00593632041063103	0.017258689008569	0.00625319003452054	0.00671413008935537	0.0170477256455913	0.0101013491356638	0.0147781549059234	0.0103439359283361	0.00758754982984451	0.0111006512970915	0.0113668237699185	0.00702679163032251	0.0110685506670391	0.00794487853016489	0.00667733589676703	0.0229789043439614	0.0117324444544847
HT29_G1_4B	0.0124928489641286	0.00795079733569637	0.0166645564686153	0.0143525051033886	0.0149680935936255	0	0.0130180841009534	0.0176928082431792	0.0186191297345335	0.0125245061493261	0.0115804074766	0.01037489549549	0.0120229512249222	0.0156575448982059	0.0133044151147689	0.0214098334287658	0.0108797320686325	0.0109972211125879	0.019955926264506	0.012319788828462	0.0133526755647593	0.00967615535736404	0.0122250168623006	0.00742473102191424	0.0122764487412658	0.0099693291329038	0.0118337609895396	0.0104373753580016	0.015100777332482	0.0247654297110714	0.0178577720008089
HT29_G1_4C	0.011166471166291	0.0110733050694267	0.0212784052583589	0.00611035919519743	0.0107166521517566	0.0130180841009534	0	0.0118368866633873	0.0230779896344446	0.0165500699337467	0.0141424056591286	0.0127885334676619	0.012905368856995	0.00737278856624802	0.00642618554032682	0.00981123373200018	0.0128489639043866	0.0105097416436561	0.0256243387197528	0.00522219206631486	0.00629677647912447	0.00708776043374579	0.00534483343184136	0.00920282190478347	0.00574870286678241	0.0100665211945574	0.0177703931118502	0.0114009120527833	0.00957363804969608	0.0134566791223058	0.00626405797798445
HT29_G1_4F	0.0127204892736688	0.011530456842262	0.0181080048298836	0.00773614902330939	0.00772006616800419	0.0176928082431792	0.0118368866633873	0	0.0176078337125095	0.0145766735707734	0.0102121348570812	0.0135124425872499	0.0118515581483033	0.00993004914377017	0.0102667661582544	0.0176453714412442	0.0107732084114033	0.0117552798616155	0.0196989765490867	0.00946833871126002	0.0167753624973318	0.015108241054059	0.00718630894776091	0.0138622447595467	0.014207583872773	0.00861313329649377	0.0158317327217707	0.010515394175628	0.00430543030208654	0.0219674979114587	0.0091867938387567
HT29_G1_5A	0.0139611844491897	0.0131323781519894	0.00850093387794186	0.0217902915831902	0.0142352822835762	0.0186191297345335	0.0230779896344446	0.0176078337125095	0	0.00777865723799684	0.00971737966354066	0.0136691190642676	0.0109303510889954	0.0189277431973562	0.0181189509560336	0.0298811842264963	0.0103129690434855	0.0156429441065841	0.00462684820385359	0.0205947040482236	0.0253133456721878	0.0199178677269655	0.0189956626192966	0.0175127844167001	0.021733402023532	0.0138154772993991	0.00746849840610471	0.0129313652722891	0.0178656904428866	0.0361503243724022	0.0246327541922784
HT29_G1_5B	0.00723222663172206	0.00738494103031501	0.0100356325966376	0.0163159221810766	0.00990105302271149	0.0125245061493261	0.0165500699337467	0.0145766735707734	0.00777865723799684	0	0.00536727820394939	0.00926255157277533	0.0040775952599444	0.0131489160753413	0.011644366035276	0.023165291122372	0.00472175940821527	0.0109787372877973	0.0113256481280557	0.0142634811334582	0.0178533656375403	0.0126806402352902	0.0132946997669295	0.0100957771593415	0.0143437244089823	0.00806768149399729	0.00465633840472259	0.0063478696245274	0.0141575550186111	0.029556426502349	0.0191886769655481
HT29_G1_5C	0.00840445806091998	0.00545915777152864	0.0114536289565681	0.0123718777327378	0.00807653512298143	0.0115804074766	0.0141424056591286	0.0102121348570812	0.00971737966354066	0.00536727820394939	0	0.00874890179424052	0.0051312150284671	0.0119103444877255	0.0104535009847191	0.0215904171883564	0.00321429898860356	0.00942568709361852	0.0122005131586216	0.0111529192865213	0.0167517291728987	0.0125221542634666	0.00973188417810875	0.00917482839482706	0.0134864662459942	0.00423621579254385	0.00672542511932264	0.00428800428079493	0.00993474666936771	0.0271074238026391	0.0157570356223266
HT29_G1_5D	0.00788080424917697	0.00452890459086214	0.00894776433641337	0.0142611462538894	0.00795962173416062	0.01037489549549	0.0127885334676619	0.0135124425872499	0.0136691190642676	0.00926255157277533	0.00874890179424052	0	0.00802163940477488	0.0109273349782437	0.0100173617969607	0.0214737045533114	0.00608676375617854	0.00294325762665803	0.0151720917690553	0.0132074447319501	0.0160747247687542	0.00941163717465554	0.0108308256970589	0.0108299069448878	0.0133312375480542	0.00856000506920507	0.00725986467001831	0.00963025775582406	0.0105229567806019	0.0259502947888317	0.0164458637909712
HT29_G1_5E	0.00371353966485253	0.00581473476805499	0.011768594055285	0.0130456874222255	0.00656114777928809	0.0120229512249222	0.012905368856995	0.0118515581483033	0.0109303510889954	0.0040775952599444	0.0051312150284671	0.00802163940477488	0	0.00911226043573056	0.00761484390802049	0.0192824109906759	0.00323234137011338	0.00874938486405526	0.0144561407649558	0.0109405043421081	0.0145665245207828	0.00964232195324489	0.009910563468335	0.00789447227868337	0.0108750749341899	0.00569842251065173	0.00715432913271515	0.00412099909452425	0.0112934796549994	0.025757878235792	0.0154608613949994
HT29_G1_5F	0.0067593432855987	0.0101775512978818	0.0176812451003592	0.00940171508689756	0.00551566463670699	0.0156575448982059	0.00737278856624802	0.00993004914377017	0.0189277431973562	0.0131489160753413	0.0119103444877255	0.0109273349782437	0.00911226043573056	0	0.00268932481255577	0.0120961324892909	0.00999546462146812	0.00907571058908129	0.0221150860555034	0.00829153263454671	0.0107405768740947	0.00804233872747818	0.00699053393321721	0.0104734764406379	0.00765863729002126	0.00922688451909551	0.0150304820737478	0.00971081280488678	0.00883177454535129	0.0183813399849451	0.00896734030718233
HT29_G2_4G	0.00540672981603637	0.00846027033362647	0.0171736421560698	0.0085907582893815	0.00593632041063103	0.0133044151147689	0.00642618554032682	0.0102667661582544	0.0181189509560336	0.011644366035276	0.0104535009847191	0.0100173617969607	0.00761484390802049	0.00268932481255577	0	0.0122159980738828	0.00860554978639535	0.0084678201694046	0.021319868440154	0.00662646560237661	0.00907173192601869	0.00607979819684738	0.00584478769637812	0.00779565753732601	0.00561163428877399	0.00740484733628833	0.013695764390591	0.00765756407059897	0.00898802355790006	0.0185121317877046	0.00925675098552923
HT29_G2_4H	0.0170174561906098	0.0197441561268348	0.0293211874948255	0.0124585767148455	0.017258689008569	0.0214098334287658	0.00981123373200018	0.0176453714412442	0.0298811842264963	0.023165291122372	0.0215904171883564	0.0214737045533114	0.0192824109906759	0.0120961324892909	0.0122159980738828	0	0.020483692360373	0.0193534459063406	0.0332371762450487	0.0116360208034335	0.00871806987587503	0.0139175536228219	0.013380006541235	0.0158358920071821	0.00989351293733432	0.0177859717040173	0.0256529955222068	0.0180462174683356	0.0172463056392977	0.00870365738226148	0.00967062985697286
HT29_G2_5A	0.00580229285609599	0.00358476555691275	0.0101145309923828	0.0124425585553024	0.00625319003452054	0.0108797320686325	0.0128489639043866	0.0107732084114033	0.0103129690434855	0.00472175940821527	0.00321429898860356	0.00608676375617854	0.00323234137011338	0.00999546462146812	0.00860554978639535	0.020483692360373	0	0.00694243418767323	0.0130015583497905	0.010950137145362	0.0154945543174385	0.010252533146998	0.00922321088139103	0.00845265748613713	0.0120889318784286	0.00447247500982445	0.00568042308239418	0.00450617406422561	0.00962405086689757	0.0261319607735473	0.0152929951592406
HT29_G2_5B	0.00802421954083739	0.00507074113499182	0.0113370900474424	0.0121211607269371	0.00671413008935537	0.0109972211125879	0.0105097416436561	0.0117552798616155	0.0156429441065841	0.0109787372877973	0.00942568709361852	0.00294325762665803	0.00874938486405526	0.00907571058908129	0.0084678201694046	0.0193534459063406	0.00694243418767323	0	0.0172714088761894	0.0114895869650041	0.0146128497807972	0.00852665327411246	0.00879059780127564	0.0106437675758239	0.012054350008468	0.00810525522418783	0.00975095925506135	0.00974603785540058	0.00831730056795476	0.0234529957721488	0.0139129321035223
HT29_G2_5E	0.0174425278751269	0.0151061636905726	0.00844129497527255	0.0240932647408039	0.0170477256455913	0.019955926264506	0.0256243387197528	0.0196989765490867	0.00462684820385359	0.0113256481280557	0.0122005131586216	0.0151720917690553	0.0144561407649558	0.0221150860555034	0.021319868440154	0.0332371762450487	0.0130015583497905	0.0172714088761894	0	0.0232874153484614	0.0283248191870268	0.0226793551068306	0.0213885167734566	0.0203235932698124	0.0249424707364865	0.0163017188052344	0.00927962629780404	0.0160129843599188	0.0195890542815302	0.0388649040267968	0.02717125229442
HT29_G2_5F	0.0105825398004581	0.00994535764757986	0.0206243296339566	0.00358297256815323	0.0101013491356638	0.012319788828462	0.00522219206631486	0.00946833871126002	0.0205947040482236	0.0142634811334582	0.0111529192865213	0.0132074447319501	0.0109405043421081	0.00829153263454671	0.00662646560237661	0.0116360208034335	0.010950137145362	0.0114895869650041	0.0232874153484614	0	0.00793619639427892	0.00895486120166026	0.00344167952036294	0.00708267393281795	0.0062455908669021	0.00702566105300714	0.016229889196469	0.00813518476333861	0.00867709316289211	0.0162764912031089	0.0066006122219775
