	HT29_G1_1B_1	HT29_G1_1B_2	HT29_G1_1B_3	HT29_G1_2A_1	HT29_G1_2A_2	HT29_G1_2A_3	HT29_G1_3E_1	HT29_G1_3E_2	HT29_G1_3E_3	HT29_G1_3F_1	HT29_G1_3F_2	HT29_G1_3F_3	HT29_G1_4A_1	HT29_G1_4A_2	HT29_G1_4A_3	HT29_G1_4B_1	HT29_G1_4B_2	HT29_G1_4B_3	HT29_G1_4C_1	HT29_G1_4C_2	HT29_G1_4C_3	HT29_G1_4F_1	HT29_G1_4F_2	HT29_G1_4F_3	HT29_G1_5A_1	HT29_G1_5A_2	HT29_G1_5A_3	HT29_G1_5B_1	HT29_G1_5B_2	HT29_G1_5B_3	HT29_G1_5C_1	HT29_G1_5C_2	HT29_G1_5C_3	HT29_G1_5D_1	HT29_G1_5D_2	HT29_G1_5D_3	HT29_G1_5E_1	HT29_G1_5E_2	HT29_G1_5E_3	HT29_G1_5F_1	HT29_G1_5F_2	HT29_G1_5F_3	HT29_G2_4G_1	HT29_G2_4G_2	HT29_G2_4G_3	HT29_G2_4H_1	HT29_G2_4H_2	HT29_G2_4H_3	HT29_G2_5A_1	HT29_G2_5A_2	HT29_G2_5A_3	HT29_G2_5B_2	HT29_G2_5B_3	HT29_G2_5E_1	HT29_G2_5E_2	HT29_G2_5E_3	HT29_G2_5F_1	HT29_G2_5F_2	HT29_G2_5F_3	HT29_G2_5G_1	HT29_G2_5G_2	HT29_G2_5G_3	HT29_G2_5H_1	HT29_G2_5H_2	HT29_G2_5H_3	HT29_G2_6A_1	HT29_G2_6A_2	HT29_G2_6A_3	HT29_G2_6B_1	HT29_G2_6B_2	HT29_G2_6B_3	HT29_G2_6C_2	HT29_G2_6C_3	HT29_G2_6D_1	HT29_G2_6D_2	HT29_G2_6D_3	HT29_G2_6E_1	HT29_G2_6E_2	HT29_G2_6E_3	HT29_G2_6F_1	HT29_G2_6F_2	HT29_G2_6F_3	HT29_G2_6G_1	HT29_G2_6G_2	HT29_G2_6G_3	HT29Root1_1	HT29Root1_2	HT29Root1_3	HT29Root2_1	HT29Root2_2	HT29Root2_3
HT29_G1_1B_1	0	0.0163041855326529	0.0345867212577625	0.0124997921687187	0.00629252587459492	0.0111758302053916	0.00466300130717176	0.0143933315686687	0.0152443800028977	0.00736774439083364	0.00346369284549984	0.0157331713886543	0.00584101339149933	0.0126644741866696	0.0152358065813356	0.00312349434527993	0.00629672890988317	0.0185109877791614	0.007213529730241	0.00680821581101809	0.0132847423776618	0.0161370521793921	0.0053118097465087	0.0284148467953525	0.00948560948628347	0.00652142191533151	0.00903327024439765	0.0060185687559621	0.0187466990137988	0.00600686198567508	0.00512137406446423	0.00887561219275014	0.0103104218667468	0.00595242430207459	0.0137686298045911	0.0165313819831669	0.00312971736130089	0.0163369818294487	0.014314561147375	0.0182117463618845	0.0131848683448489	0.00654377462366125	0.00120673805453263	0.0135155169817037	0.00756614527398381	0.00863568285544371	0.00827621988149346	0.0130717645558488	0.00776842698266006	0.00523454574817574	0.0267940859968296	0.0196949598509281	0.0115657698709048	0.00275168039337247	0.011685329614186	0.0126162123024315	0.0168771072365118	0.00894652566824761	0.00779390235747919	0.0151471330878985	0.00778262257597867	0.007352162336613	0.00527488901627635	0.0140024278306157	0.00781870075454442	0.00289968885050403	0.0120054252757483	0.0169794123484757	0.00847892189665652	0.0161896766625794	0.0111812432177911	0.00669948275526612	0.0129157234378536	0.0125237747753503	0.00159784175541275	0.0118909817088034	0.0133677834146663	0.0124170169698078	0.00717893144767779	0.00844914543976011	0.0121089389165609	0.00482436971578967	0.00668400925931475	0.0140307972439845	0.00649945645894115	0.00793786527624686	0.0159693945421582	0.0146957196703318	0.00832320716126575	0.0177578916653316	0.0249188476547371
HT29_G1_1B_2	0.0163041855326529	0	0.0266938950654062	0.0101804210813786	0.0107389731168786	0.00736757723006845	0.014436161500845	0.00547704512856403	0.0102986116299745	0.0092800011642477	0.0142753553344417	0.00801126593978383	0.0184457475537216	0.00378429130797281	0.00899927231335052	0.0132536659275814	0.0116702490946365	0.0137222993221261	0.00915815077684728	0.0103281935078083	0.00811663585183473	0.0201975495424068	0.011069494720593	0.0207725702041918	0.00768827424034616	0.0173072528497596	0.0119588046398072	0.0106510868478802	0.0311587099783472	0.0129514038149457	0.0133752973521674	0.0117737666558089	0.00601033501301235	0.0114374349321022	0.00329487298018921	0.00490083114290685	0.0164827199384737	0.00306445904417736	0.015551744409967	0.0109406128591525	0.00740514193796346	0.0117469970759316	0.0153886845149122	0.00660618300473434	0.0106605481036054	0.00945817557795957	0.014547041250188	0.00923569068739245	0.00907891356254717	0.0115962321906306	0.0168235057039638	0.0150957483741038	0.0146057668469423	0.014520317280574	0.0237492389941917	0.0150939867123273	0.00971427149571289	0.0160683705860984	0.0157793173733023	0.00392037117955267	0.00854940186860043	0.0138428716278281	0.0122346163982203	0.00622213069994604	0.0106644864193411	0.0173137105980912	0.00783877137470422	0.0101087480319185	0.012970400811173	0.00643078774171641	0.00572301269660658	0.0101829310938886	0.00763337230159126	0.00465854949195212	0.0147257984338223	0.0121765370703019	0.00575473476839828	0.00416955441355028	0.00940610841398199	0.0152290155248435	0.00704310770807933	0.0146166654664767	0.00989608905860542	0.00474917173287446	0.01716480392653	0.00854796785649008	0.0102946150952364	0.00922967618214516	0.00846649643608557	0.0103859883434343	0.016837693148475
HT29_G1_1B_3	0.0345867212577625	0.0266938950654062	0	0.0223701004603479	0.0290782844342558	0.0249999777099745	0.0300118387590199	0.0230922977381153	0.0197917607322696	0.0317327227917576	0.0351994735169286	0.0204392225686746	0.0397744836909023	0.0286895353743391	0.0203106466847656	0.0321552737763686	0.0285164020258348	0.016116631730476	0.0296730769051757	0.0329536966156377	0.022413969220159	0.0218465291518806	0.0307317834216044	0.00628912843861559	0.0270090708963269	0.0395332655548553	0.0255664040450746	0.0296764572924631	0.0532462298780849	0.0285849791573164	0.0354617136502118	0.0361484126750585	0.0284746877132758	0.02905716479714	0.0256808457634313	0.0221700372927092	0.036905673788414	0.0238240812415436	0.0208277513051276	0.0171881081069944	0.0228873249465996	0.0282058345766366	0.03339626487426	0.0230707151148814	0.0274162144076207	0.0267334275893159	0.0383730362203216	0.0221235321248352	0.0319722986761916	0.0331540828476714	0.00995538363137994	0.0148958478124372	0.0234043132421395	0.0348932400446581	0.0459016396504286	0.0224782265511925	0.0187147595159401	0.0399172409979743	0.0276427883603111	0.0237476827058825	0.0295865264896626	0.0273598455068291	0.0295301119520835	0.0228925441634106	0.0271176303940582	0.0372135892850666	0.0238024961555351	0.0184540099825761	0.0261360152502391	0.0211631703395868	0.0304154713011163	0.0325550421684566	0.0230133519530872	0.0257908493922999	0.0337390865827256	0.0378111957002455	0.0238059147316153	0.0267392363978753	0.0291107398211263	0.0390187955619653	0.0241792971241116	0.0299072977489663	0.0318986376434326	0.0239730163325031	0.0394278537841263	0.0310106076666145	0.0191746138315546	0.0206614471777999	0.0281195541244645	0.0177669263876291	0.01019347152502
HT29_G1_2A_1	0.0124997921687187	0.0101804210813786	0.0223701004603479	0	0.00671012267155193	0.00355177110444539	0.0082731333277497	0.00488728838184909	0.00275006891503861	0.00982006862311741	0.0128339965944851	0.00401483177035421	0.0174235585512818	0.00917360341318138	0.00306000958233128	0.00983493565538895	0.00623661606432511	0.00631277430354474	0.00752734330775412	0.0109402108520661	0.00216182452683911	0.0100220185750079	0.00837685898721928	0.0161089773669675	0.00516515161685112	0.0171804148674908	0.00373001852436672	0.0073174461662355	0.0309514216644354	0.00660850229783011	0.0131707616609022	0.0144545679478332	0.00747193620449809	0.00671957577317012	0.00703317252425527	0.00670459795247933	0.0145767172602923	0.00787654921717744	0.00542066512749088	0.00574154783701037	0.00280143899384581	0.00596250161986763	0.0112931936510031	0.00361775036648224	0.00506360572759996	0.00440203496150069	0.0163175802327595	0.00108884804535988	0.0101778359232619	0.0108883894256687	0.0143095628227246	0.00768289032833929	0.00463788801376995	0.012535001799867	0.0235522049748204	0.00495239437975714	0.00453244490829861	0.0178021032195569	0.00739594399138691	0.00650477987791264	0.00759764420770733	0.00604529779075771	0.00726626149469486	0.00409814681109833	0.0047724662867487	0.0149503181080142	0.00251036070589187	0.00455959897308648	0.00469915798640749	0.00537672029843165	0.00997972019267125	0.0105124784772775	0.00254994704175703	0.00598937313957449	0.0114719360449452	0.0167520934367212	0.00442585843357243	0.00698386725047884	0.0068711230671505	0.0169232721494747	0.00331974960994271	0.00826228058188454	0.00982983979818906	0.00545028552190053	0.0170778058971911	0.00922321207297712	0.00348799828251645	0.0024384658074351	0.0060399367633442	0.00533433864568659	0.0124655110909789
HT29_G1_2A_2	0.00629252587459492	0.0107389731168786	0.0290782844342558	0.00671012267155193	0	0.00488395971921496	0.00376501115827207	0.00811458703369243	0.00934881444596331	0.00425632445704148	0.00612417026766997	0.00951415220030014	0.0107314292493123	0.00755127716853148	0.00913249381252724	0.00328018835863759	0.00135500074546112	0.0130030817969103	0.0021163846011105	0.00496558856083269	0.00709543750969811	0.0135370327358767	0.00172416190604925	0.0228149384782207	0.00328394495010233	0.0104801620452019	0.004159180561807	0.000706237409364228	0.0242878263198842	0.0026409267419928	0.00657258590801698	0.00861662374863442	0.00490852008721616	0.000770105933083912	0.00781557553750851	0.010277189045067	0.00792424705716576	0.0102424591724722	0.0101776544473948	0.0122150061975964	0.00692751442553952	0.00167003895692495	0.00515167932606609	0.00722566307593719	0.00173579536769485	0.00242555935217516	0.00995617837493864	0.00705530848776116	0.00477461707386065	0.00439687759092911	0.0207655758818112	0.0143323042627878	0.00768980183982113	0.00584285328405053	0.0168542529517469	0.00870780436779444	0.0107979317731074	0.0113445567963696	0.00611956128763656	0.0089701307146957	0.00271124926430751	0.00428601993045027	0.00150666522062689	0.00771015853893259	0.00204499932117661	0.00838791828565533	0.00576293254011572	0.0109475470758062	0.00437680322557856	0.00989833575775226	0.00682128141788387	0.00453689664560975	0.00667286910591328	0.00646684040551826	0.00498360343741371	0.0114154263469758	0.00708974261372927	0.00660229070864961	0.00147016399711713	0.0105029737048192	0.00581908075738087	0.0039799611978119	0.00390491999277296	0.00780628231320964	0.0103804931929428	0.00411294396670974	0.010028356214713	0.00864206268031954	0.00227802400934378	0.0117156574258851	0.0191260945152525
HT29_G1_2A_3	0.0111758302053916	0.00736757723006845	0.0249999777099745	0.00355177110444539	0.00488395971921496	0	0.00789618908647574	0.00329997058015547	0.00535393363644875	0.00674108006359055	0.0106068306317832	0.00478457156266309	0.0152823778412824	0.00569697972077258	0.00469193861426335	0.00813823763907229	0.00517829076433892	0.00935536313431936	0.00474778827856434	0.0079568256991636	0.00258877925097391	0.0132446967185283	0.00618154082125417	0.0187142922790779	0.00202218399965815	0.0147584046464593	0.00461273761749782	0.0052419290388283	0.0288342169832546	0.0062037171060765	0.0105765435606032	0.011263543991485	0.00394402571894861	0.00529240587309813	0.00407277560042228	0.00550954621323996	0.0126118826601696	0.0058642202868665	0.00882182963598939	0.00783077136490645	0.00217097133977893	0.00509743781843015	0.010025686677316	0.00234431907407124	0.00390643304555354	0.002648953490423	0.0133808420788296	0.0031381425949229	0.0070106236566975	0.00826693423490699	0.0161856067331298	0.0108029508090467	0.00737704029481282	0.0104795385591085	0.0213218372067701	0.00801237747149705	0.00632014331894371	0.0149244009262397	0.00853251255943148	0.00445613982211457	0.00459437207080594	0.00666625725621307	0.00606839126619632	0.00282922781258339	0.00377872058621996	0.0131697875761276	0.00123076718024719	0.00655427568241065	0.00565668294719182	0.00501447009250816	0.00643131032209498	0.00755924918017977	0.00199604627746073	0.00275698026022936	0.00984183385507892	0.0133576108602784	0.00230224662776292	0.00360594969965146	0.00432018968236663	0.0140252940789672	0.000941870908715465	0.00800408652297407	0.00690816645172712	0.00321352202533235	0.0146405266627272	0.00604214399353107	0.00587263324034164	0.00436338528954734	0.00320373867537775	0.00727055674507832	0.014857360127714
HT29_G1_3E_1	0.00466300130717176	0.014436161500845	0.0300118387590199	0.0082731333277497	0.00376501115827207	0.00789618908647574	0	0.0111843537989298	0.0110068892082121	0.00738077852686625	0.00659847347262318	0.0119107948211408	0.0103592599888067	0.0113161040812782	0.0112173868593562	0.00343658501440845	0.00279500415096046	0.0140009343919929	0.00575164044919706	0.00761530630127835	0.00947785444163826	0.0118047898218515	0.00430332598043138	0.023883974116105	0.00679648118702266	0.010716193091962	0.00459544989129604	0.00407874047576635	0.0233997591420871	0.00173249100563945	0.00781713486074301	0.0109308904142515	0.00867307703957476	0.00302010173985786	0.0113915019695601	0.0133984734892732	0.00747340257646705	0.0136527828190415	0.00965615768125403	0.0140055962626364	0.00956402306930476	0.00280625978368542	0.00354728664628991	0.010079945219566	0.00399477358749095	0.00526836072256396	0.0114303256841033	0.00902103248591069	0.0079136244644264	0.00638814747283565	0.0225372834091428	0.0151278732766306	0.00690673018783921	0.00597524759286354	0.0163279612035496	0.00796190802988445	0.0127871646871848	0.0125164660011723	0.00344126797452546	0.0122954693065734	0.00638982813175523	0.00269100878801943	0.00226886523754609	0.0106268719956797	0.00412260787001856	0.00749555225507643	0.00839277898305604	0.0128316677596208	0.00388060652299137	0.0127039273463426	0.0104966221245346	0.00726831547838418	0.00925768459047653	0.00999862246447129	0.00430071969585785	0.0139655491355311	0.0101981872690844	0.0102718101131719	0.00521703457083735	0.0118158077964821	0.00873585481410686	0.000276659272550597	0.00681995239617883	0.0110708403056623	0.0106596302680043	0.0075075005288121	0.0117534402012724	0.0106290775770572	0.00598672193448958	0.0136071597563949	0.020493193993427
HT29_G1_3E_2	0.0143933315686687	0.00547704512856403	0.0230922977381153	0.00488728838184909	0.00811458703369243	0.00329997058015547	0.0111843537989298	0	0.00487004704444121	0.00907494440808521	0.0135034600650545	0.00285344353832254	0.0181424445591162	0.00574586198232121	0.00361831262073748	0.0113101480204499	0.0084782016555993	0.00856432713230941	0.00756580030751833	0.0103327260120434	0.00273468711614506	0.0148159318032326	0.00924271970426841	0.0168821425935397	0.00494277874212867	0.0174444188534686	0.00752294094589939	0.00839160838228937	0.031600537360673	0.00947837090944148	0.0132257795798217	0.0131754939768345	0.00549208532033737	0.00857325423464187	0.00282641195227908	0.00221445775826347	0.0156017993563636	0.00299377659791579	0.0101361565048519	0.0061543478340738	0.00210862003101392	0.00839272088385034	0.0132655329526489	0.00130827521802952	0.00720265980164035	0.00594889819952644	0.0156047249323605	0.00385779850513396	0.00919319442096824	0.0109802325674732	0.013750185059195	0.0100028637174037	0.00949234533434005	0.0134672938791472	0.0240627400143421	0.00983675452452107	0.00469885602425736	0.0171839200162655	0.0115192809235325	0.00162760021106613	0.00722350146065428	0.00976157262275818	0.0093587997550943	0.000789310094469944	0.00706195064684871	0.016229513750555	0.00298425287479964	0.00506190994839612	0.00861019975511865	0.00202861014830727	0.00733486313903469	0.00999462346712392	0.00240391307993344	0.00270654237920909	0.0130007892040817	0.014728937914874	0.00102562509253921	0.00365680451792796	0.00732653663420882	0.0162806868820068	0.00245809395989138	0.0112835032594037	0.0094207052245887	0.000927643610969348	0.0173172881027616	0.00828492010904058	0.00497264726202079	0.00377245453535776	0.00615613461075518	0.00555477711531165	0.0129125541219175
HT29_G1_3E_3	0.0152443800028977	0.0102986116299745	0.0197917607322696	0.00275006891503861	0.00934881444596331	0.00535393363644875	0.0110068892082121	0.00487004704444121	0	0.0120565807340504	0.015452472868694	0.00248577872091835	0.0200793629825764	0.0102974839266187	0.00132489160141034	0.0125350258237921	0.00896743160797587	0.00401519363673741	0.00990259476961322	0.013243820801409	0.00283542243510327	0.0105335568254707	0.0109643896731894	0.0135084738927065	0.00730013699351948	0.0197606386543847	0.00643069229729226	0.00991629165673044	0.0336301394472335	0.00935495813417435	0.0156752616143326	0.0166142262122319	0.00918079549234398	0.00942082870967233	0.00761116723895636	0.00586588109187012	0.0172588817874655	0.00748695760944982	0.00589354741682201	0.0029989462927844	0.00349657312076678	0.00870276845688588	0.0140380865973428	0.00404664411699389	0.00776059896437358	0.00696156763171082	0.0186672051131133	0.00233270898569603	0.0123512548668278	0.0133681796584687	0.0115596993697466	0.00547384891476965	0.00635164343478449	0.0151911998675829	0.0261987265564048	0.00621820647510119	0.00196824321373625	0.0201893037648687	0.00984142850809064	0.00637884105332447	0.00986246748074151	0.0086869151378495	0.00999738951974704	0.00421877354775008	0.00747922721787288	0.0176617302874441	0.00412348425167599	0.00188573424323839	0.00733182312309928	0.00423308810363509	0.0115181229178611	0.0128315584192268	0.00349474360583946	0.00699883995529252	0.0141895525318599	0.0186699866988516	0.0049854766292153	0.00806084750416436	0.00932265017737647	0.0192971181945116	0.00467999996946517	0.0109862502488484	0.012162061899878	0.00572934895604674	0.0196528457789022	0.0113825004116619	0.000752066811256038	0.00112813659834461	0.0083564047960333	0.00263392695376351	0.00977797250454749
HT29_G1_3F_1	0.00736774439083364	0.0092800011642477	0.0317327227917576	0.00982006862311741	0.00425632445704148	0.00674108006359055	0.00738077852686625	0.00907494440808521	0.0120565807340504	0	0.00499575993311832	0.0113801313938213	0.00933161050933076	0.00550819289842086	0.0114261766686338	0.00469834998739138	0.00559667578838232	0.0160122005594016	0.00240471953355533	0.00125797984733735	0.0093297082934239	0.0177520351320775	0.00307946228245838	0.0254500216112416	0.00475668863465601	0.0084365824391161	0.00822387828088665	0.00361206251994093	0.022590822445881	0.00677680200273126	0.00425772338514319	0.00464524075288241	0.00372403787108569	0.00491965700164039	0.00739201514832014	0.0108233334886459	0.00720420389792674	0.0100523203230286	0.0141462559715366	0.0145527136171951	0.00885330382081491	0.00592520817694074	0.00669902983293334	0.00875207362640297	0.00571911376551479	0.00561159326267651	0.00664502915544371	0.0097570675798397	0.000535677210575189	0.00232111655619067	0.0227434579206454	0.017435304776944	0.0118174751370961	0.00526615663863385	0.0150553059135456	0.0127925772142428	0.0130308946459464	0.00820012071179348	0.0102793703667817	0.00919115987568087	0.00222254175430032	0.0085223127650683	0.00532727323898835	0.0090364779905594	0.00598980371482507	0.00803780186676705	0.00795507644503964	0.0132827651051957	0.00859928016518248	0.0110999825242767	0.00383038326959252	0.000951064041462253	0.00872257439553465	0.00652525973470883	0.00577658220332793	0.00722154128659312	0.00816468576133355	0.00597037349809608	0.00317792239118868	0.00729768101444613	0.00756016500659134	0.00764743533168567	0.000685056161904216	0.00838002984454241	0.0083037714559896	0.000806259202605414	0.0126072482458156	0.0111012092834671	0.00378233882551503	0.0139815242307202	0.0215749479402108
