	HT29_G1_1B	HT29_G1_2A	HT29_G1_3E	HT29_G1_3F	HT29_G1_4A	HT29_G1_4B	HT29_G1_4C	HT29_G1_4F	HT29_G1_5A	HT29_G1_5B	HT29_G1_5C	HT29_G1_5D	HT29_G1_5E	HT29_G1_5F	HT29_G2_4G	HT29_G2_4H	HT29_G2_5A	HT29_G2_5B	HT29_G2_5E	HT29_G2_5F	HT29_G2_5G	HT29_G2_5H	HT29_G2_6A	HT29_G2_6B	HT29_G2_6C	HT29_G2_6D	HT29_G2_6E	HT29_G2_6F	HT29_G2_6G	HT29Root1	HT29Root2
HT29_G1_1B	0	0.0124997921687187	0.0143933315686687	0.00736774439083364	0.0126644741866696	0.00312349434527993	0.00680821581101809	0.0053118097465087	0.00948560948628347	0.0060185687559621	0.00512137406446423	0.0137686298045911	0.0163369818294487	0.0131848683448489	0.00756614527398381	0.00863568285544371	0.00523454574817574	0.0196949598509281	0.00275168039337247	0.0168771072365118	0.00778262257597867	0.00781870075454442	0.0169794123484757	0.0111812432177911	0.0129157234378536	0.0118909817088034	0.0133677834146663	0.0121089389165609	0.00668400925931475	0.0146957196703318	0.0177578916653316
HT29_G1_2A	0.0124997921687187	0	0.00488728838184909	0.00982006862311741	0.00917360341318138	0.00983493565538895	0.0109402108520661	0.00837685898721928	0.00516515161685112	0.0073174461662355	0.0131707616609022	0.00703317252425527	0.00787654921717744	0.00280143899384581	0.00506360572759996	0.00440203496150069	0.0108883894256687	0.00768289032833929	0.012535001799867	0.00453244490829861	0.00759764420770733	0.0047724662867487	0.00455959897308648	0.00997972019267125	0.00254994704175703	0.0167520934367212	0.00442585843357243	0.00331974960994271	0.00982983979818906	0.0024384658074351	0.00533433864568659
HT29_G1_3E	0.0143933315686687	0.00488728838184909	0	0.00907494440808521	0.00574586198232121	0.0113101480204499	0.0103327260120434	0.00924271970426841	0.00494277874212867	0.00839160838228937	0.0132257795798217	0.00282641195227908	0.00299377659791579	0.00210862003101392	0.00720265980164035	0.00594889819952644	0.0109802325674732	0.0100028637174037	0.0134672938791472	0.00469885602425736	0.00722350146065428	0.00706195064684871	0.00506190994839612	0.00733486313903469	0.00240391307993344	0.014728937914874	0.00102562509253921	0.00245809395989138	0.0094207052245887	0.00377245453535776	0.00555477711531165
HT29_G1_3F	0.00736774439083364	0.00982006862311741	0.00907494440808521	0	0.00550819289842086	0.00469834998739138	0.00125797984733735	0.00307946228245838	0.00475668863465601	0.00361206251994093	0.00425772338514319	0.00739201514832014	0.0100523203230286	0.00885330382081491	0.00571911376551479	0.00561159326267651	0.00232111655619067	0.017435304776944	0.00526615663863385	0.0130308946459464	0.00222254175430032	0.00598980371482507	0.0132827651051957	0.00383038326959252	0.00872257439553465	0.00722154128659312	0.00816468576133355	0.00756016500659134	0.000685056161904216	0.0111012092834671	0.0139815242307202
HT29_G1_4A	0.0126644741866696	0.00917360341318138	0.00574586198232121	0.00550819289842086	0	0.00968651784541651	0.00654422582869808	0.00755487414128911	0.00503861474182934	0.00731578271042505	0.00959588227895854	0.00301149842483662	0.0052350059831177	0.00684105751748285	0.00791656708029528	0.00690542120211326	0.00782858391297298	0.0156603675998566	0.0107654934163102	0.0104362847991612	0.00505663438639961	0.00800842533284539	0.010790515881431	0.00203490383959836	0.00692422272197113	0.00922087489234262	0.00532950426571425	0.00588258548165419	0.00613866065783217	0.00917189188134111	0.0113003889592976
HT29_G1_4B	0.00312349434527993	0.00983493565538895	0.0113101480204499	0.00469834998739138	0.00968651784541651	0	0.00453762482605277	0.00219961846808879	0.00638183139873787	0.00291867941927058	0.00438910972441178	0.0106512132830514	0.0132138325246102	0.0102061484583993	0.00477567465466153	0.00569480664313489	0.00310449485948408	0.0173150703711271	0.00281978498539115	0.0140512467969604	0.00470560651369697	0.00506280558864091	0.0141869376107128	0.00836717751422825	0.00995292289970682	0.0106381514360769	0.0102855292791991	0.00907827316342639	0.00403218031126967	0.0118834267906038	0.0149595486984369
HT29_G1_4C	0.00680821581101809	0.0109402108520661	0.0103327260120434	0.00125797984733735	0.00654422582869808	0.00453762482605277	0	0.00347593014376761	0.00595353165647214	0.00426988882055659	0.00307256430322643	0.00860346686501436	0.0112554434335506	0.0100851743118043	0.00657556305767732	0.00664049425651832	0.00157527011601591	0.0185891949111243	0.00442510130419844	0.0142618398190631	0.0033815894982893	0.00686512813584179	0.0145075848678054	0.00470316863244365	0.00994588094171869	0.00648618069722466	0.00942183054642247	0.00879264020260859	0.00112058144883749	0.0123079671154982	0.0152127971835102
HT29_G1_4F	0.0053118097465087	0.00837685898721928	0.00924271970426841	0.00307946228245838	0.00755487414128911	0.00219961846808879	0.00347593014376761	0	0.00430141989131907	0.00106102624786231	0.0048495240996669	0.00845706390816712	0.0110346427581236	0.00831849832963116	0.00345989375757178	0.00400332447749183	0.00269191349999159	0.016028047177237	0.00430424922307344	0.0123237332500979	0.00252275350223057	0.00376901431547722	0.0124976164927494	0.00638961349194677	0.00809260931894432	0.00995919579633449	0.00822470689402031	0.0071210196194647	0.00254917244834017	0.0101987419194946	0.0132558679224775
HT29_G1_5A	0.00948560948628347	0.00516515161685112	0.00494277874212867	0.00475668863465601	0.00503861474182934	0.00638183139873787	0.00595353165647214	0.00430141989131907	0	0.00346746665851548	0.00855851584319879	0.00459623913802313	0.00696055524766397	0.00418731975402683	0.00298346430094021	0.00187030119831738	0.00625184914841739	0.0126961395406545	0.00855632979462288	0.00834174869524586	0.00257842013614892	0.00302135357812986	0.00857193485907307	0.00514081927516623	0.00401791116724776	0.0115892138631576	0.00392342591343658	0.00291599406849799	0.00489200938288194	0.00635497356322933	0.0092918898836161
HT29_G1_5B	0.0060185687559621	0.0073174461662355	0.00839160838228937	0.00361206251994093	0.00731578271042505	0.00291867941927058	0.00426988882055659	0.00106102624786231	0.00346746665851548	0	0.00590214627944213	0.00785346467958173	0.0103590045409206	0.00734741933913777	0.00242189093692685	0.00295586775702207	0.00370078950628104	0.0149671865718443	0.00530675697916334	0.0113049905980721	0.00231411785758391	0.00272932388213399	0.0114704062605625	0.00641864362570689	0.00710947867284468	0.0107328027518929	0.00736707699841963	0.00618374637696835	0.00322377239687889	0.00916798698847328	0.0122324446687805
