	HT29_G1_1B_1	HT29_G1_1B_2	HT29_G1_1B_3	HT29_G1_2A_1	HT29_G1_2A_2	HT29_G1_2A_3	HT29_G1_3E_1	HT29_G1_3E_2	HT29_G1_3E_3	HT29_G1_3F_1	HT29_G1_3F_2	HT29_G1_3F_3	HT29_G1_4A_1	HT29_G1_4A_2	HT29_G1_4A_3	HT29_G1_4B_1	HT29_G1_4B_2	HT29_G1_4B_3	HT29_G1_4C_1	HT29_G1_4C_2	HT29_G1_4C_3	HT29_G1_4F_1	HT29_G1_4F_2	HT29_G1_4F_3	HT29_G1_5A_1	HT29_G1_5A_2	HT29_G1_5A_3	HT29_G1_5B_1	HT29_G1_5B_2	HT29_G1_5B_3	HT29_G1_5C_1	HT29_G1_5C_2	HT29_G1_5C_3	HT29_G1_5D_1	HT29_G1_5D_3	HT29_G1_5E_1	HT29_G1_5E_2	HT29_G1_5E_3	HT29_G1_5F_1	HT29_G1_5F_2	HT29_G1_5F_3	HT29_G2_4G_1	HT29_G2_4G_2	HT29_G2_4H_1	HT29_G2_4H_2	HT29_G2_4H_3	HT29_G2_5A_1	HT29_G2_5A_2	HT29_G2_5A_3	HT29_G2_5B_2	HT29_G2_5E_1	HT29_G2_5E_2	HT29_G2_5F_1	HT29_G2_5F_3	HT29_G2_5G_1	HT29_G2_5G_2	HT29_G2_5G_3	HT29_G2_5H_1	HT29_G2_5H_2	HT29_G2_5H_3	HT29_G2_6A_1	HT29_G2_6A_2	HT29_G2_6A_3	HT29_G2_6B_1	HT29_G2_6B_2	HT29_G2_6B_3	HT29_G2_6C_2	HT29_G2_6C_3	HT29_G2_6D_1	HT29_G2_6D_2	HT29_G2_6D_3	HT29_G2_6E_1	HT29_G2_6E_2	HT29_G2_6E_3	HT29_G2_6F_1	HT29_G2_6F_2	HT29_G2_6F_3	HT29_G2_6G_1	HT29_G2_6G_2	HT29_G2_6G_3	HT29Root1_1	HT29Root1_2	HT29Root2_1	HT29Root2_2	HT29Root2_3
HT29_G1_1B_1	0	0.0300445304930085	0.0368062368933831	0.0189090451915951	0.0177657506592768	0.0303103456052181	0.0153594165435815	0.00796004107056294	0.0305956601334814	0.0120380485710279	0.0252018214743331	0.0474252436045585	0.0071219003961545	0.0103823520480568	0.0238652918881874	0.00758506807230983	0.0288616715150101	0.0238168692654144	0.00120035775220124	0.00741815477737323	0.0196086455024365	0.00118201516734911	0.0163016233425726	0.0170829766908448	0.0213530118341427	0.00586419234116217	0.0226198747709816	0.0138957389783713	0.00543734464087927	0.0310184089430033	0.00505345656765326	0.00807650369487812	0.0264203817641763	0.00565700344387729	0.0278182767524388	0.00874550501832735	0.0167572672109207	0.0267882951245427	0.00622489032931421	0.016136410007624	0.028446127412342	0.0109439707211891	0.00932057451592476	0.0220576205048949	0.0214336324476176	0.0151680240745612	0.0248922046601074	0.0218209263542543	0.0357678035630649	0.0130426618236485	0.020962997326437	0.0237117165072184	0.0250231935981374	0.0362349225603597	0.00805770828925404	0.0339129381491904	0.028778874940994	0.0190838538254158	0.0166995157188836	0.0343669783323175	0.00294368626703182	1.03059329163043e-05	0.00879352836266111	0.00751135949897972	0.00787510846479156	0.034308219685347	0.00059090759899081	0.0235293210908373	0.0146154652491374	0.0125644387911696	0.0175791677667064	0.00293745376159302	0.00620583021894895	0.0182914136929686	0.00451387739312227	0.00164502870657308	0.0140425950235837	0.000579726033760839	0.00436732704803465	0.0294712079457106	0.00707981615871474	0.0169202968769686	0.00800370209608039	0.010428793388333	0.0316486933342534
HT29_G1_1B_2	0.0300445304930085	0	0.00676577980673724	0.0111388480480103	0.0122822582496511	0.000265945804422111	0.0146886988936756	0.0220872558483352	0.000551403270853693	0.0180099117589653	0.00484467489698194	0.0173944062697845	0.0229251962987518	0.0196654013772963	0.00618160967889917	0.022462141945362	0.0011834116522707	0.00623004587600311	0.03124430516775	0.0226290151632468	0.0104391561702114	0.0312259718160428	0.0137464724194132	0.0129650812624702	0.0086944924577382	0.0241825633720641	0.00742735142682856	0.0161523510655766	0.0354788924250676	0.000974368937385062	0.0249930536611199	0.0219708193315236	0.00362569364736153	0.0243896914455775	0.00222725488688438	0.038784813427692	0.0132908088759951	0.00325764349025299	0.0362659339045199	0.0139116912504196	0.00159913873939541	0.0191038624922375	0.0207270012179221	0.00798973558807513	0.00861385570806496	0.0148800919057802	0.00515439082881093	0.00822648132961518	0.00572661880148656	0.0170053821521482	0.00908458203721463	0.00633522784596889	0.00502336034435587	0.0061940605052581	0.021989610552108	0.00387054629036326	0.00126624514831138	0.0109640180161366	0.0133485632290145	0.00432487100308694	0.0329867105352011	0.0300548316056564	0.0212539461635461	0.0375515405335875	0.0221721691506902	0.00426607513533098	0.0294538941141232	0.00651767306960537	0.0154326457705049	0.0174835693247484	0.0124688560295583	0.0271083214375706	0.0238410229173853	0.0117565472588078	0.0345559932764352	0.0284002308301133	0.0160055006318034	0.0306239802907226	0.0256789597542974	0.000573596310823487	0.0229672699122153	0.0131277705578191	0.0220436046594169	0.0196189670080461	0.00160498790035917
HT29_G1_1B_3	0.0368062368933831	0.00676577980673724	0	0.0179038736383481	0.0190471547374586	0.00649984064613547	0.0214532928836757	0.0288506623735597	0.00621438971195372	0.0247740203662717	0.0116102400775426	0.0106293549090049	0.0296884442059109	0.0264292389396113	0.0129470846776922	0.0292254781067715	0.00794915537644489	0.0129955173584944	0.0380057180658715	0.029392319690814	0.0172042560871865	0.0379873892714185	0.0205111898042282	0.0197298961476861	0.0154597621655826	0.030945564176859	0.0141927304721162	0.0229167407993289	0.0422391930010098	0.00579143258084401	0.031755889426939	0.0287342475130725	0.0103913294444401	0.0311526505016968	0.00899295798101404	0.0455441638350602	0.0200555836510419	0.0100232984232646	0.0430260147328448	0.020676387457923	0.00836486726845434	0.0258677941488673	0.0274906548674346	0.0147550675641024	0.0153791327251927	0.0216446600545904	0.0119199363005887	0.014991792795016	0.00103918405849046	0.0237696458184953	0.0158498157126852	0.0131006916327156	0.0117889142414481	0.000571733029243821	0.0287530352449881	0.00289527681199867	0.00803198594917915	0.0177290625115875	0.0201133308125308	0.00244094961652615	0.039747680106299	0.0368165355270483	0.0280175056060707	0.0443112537148501	0.0289355598234454	0.00249974589566079	0.0362157414619948	0.0132831233132735	0.0221971378483814	0.0242477600670403	0.0192337305513927	0.0338707053340533	0.0306040919194012	0.0185215042798548	0.0413165463607942	0.0351623237971245	0.0227699115472453	0.0373855461411475	0.0324416523369981	0.00733935995602783	0.0297305097270931	0.0198925655048642	0.0288070193144431	0.0263828124349123	0.00516082380425889
HT29_G1_2A_1	0.0189090451915951	0.0111388480480103	0.0179038736383481	0	0.00114349536367847	0.011404775139103	0.00355016600655381	0.0109498548111991	0.0116902115317356	0.0068718082923995	0.00629435996389513	0.0285301175893012	0.0117879632793942	0.00852755997811193	0.0049574257581172	0.0113248150864505	0.00995550893932959	0.00490898917152283	0.0201091701232844	0.0114917218397494	0.000699736283040179	0.0200908312998317	0.00260784130829799	0.00182637666162121	0.0024444851022334	0.0130455974796465	0.0037116649044106	0.00501399150131647	0.0243451199480466	0.0121131440921458	0.0138562694673841	0.0108333955823375	0.00751332156669737	0.0132527712801145	0.00891171520057522	0.0276522399812102	0.00215213403003254	0.0078813621924588	0.025132436194117	0.00277307660430352	0.00953980318883303	0.007965928641436	0.00958934454624389	0.00314926593663766	0.00252512489826563	0.00374158025097681	0.00598464611397358	0.00291251281522834	0.0168648663978338	0.00586713519103272	0.00205437967668699	0.00480380625718843	0.00611567586127439	0.0173322406520703	0.0108521904578281	0.0150090340990934	0.0098726798663591	0.000174841676808467	0.00220989379018617	0.0154633040797701	0.0218521123992781	0.0189193492437486	0.0101163860024423	0.026418506033072	0.0110347847744983	0.0154045154432949	0.0183182422374095	0.00462135907535214	0.00429419783357617	0.00634538920483218	0.00133010852081557	0.0159720463736971	0.0127039826871713	0.00061774328003605	0.0234219071579143	0.0172642914171336	0.00486712254227624	0.0194886621651351	0.0145423351322377	0.0105652890842415	0.0118300455404234	0.00198908066113453	0.0109061950895261	0.00848111782564991	0.0127437095164154
HT29_G1_2A_2	0.0177657506592768	0.0122822582496511	0.0190471547374586	0.00114349536367847	0	0.0125481813872367	0.00240667585634687	0.00980642432266803	0.0128336134350828	0.00572833684121615	0.00743782637753661	0.0296730731153946	0.0106445436409229	0.00738410278122441	0.00610090245322639	0.0101813893502298	0.0110989356328246	0.00605246619699956	0.0189659024053616	0.0103482982720213	0.00184323085517353	0.0189475631598654	0.00146434827770278	0.000682882060775067	0.00358797507064004	0.0119021956650209	0.00485514916365357	0.00387050795604113	0.0232019598696779	0.0132565393647995	0.012712880119627	0.0096899636513942	0.00865677664367107	0.0121093725787455	0.0100551549542097	0.0265091778586193	0.00100863999335987	0.00902481347718516	0.0239892983361186	0.00162958400089629	0.0106832352503563	0.00682246624382024	0.00844589820354559	0.00429275297618011	0.00366861456279732	0.00259809081734842	0.00712811510939535	0.00405600090746668	0.0180081712144879	0.00472365668568121	0.00319787100122776	0.00594728398997626	0.00725914377916966	0.0184755349760619	0.00970875875859224	0.0161523777482848	0.01101610764705	0.00131833689907039	0.00106639986708848	0.0166066386405836	0.0207088865283701	0.0177760549346869	0.00897294554254573	0.0252754059521559	0.00989135534792407	0.016547851195468	0.0171749351066718	0.00576483800216792	0.00315071071730404	0.00520191390680757	0.000186613308827511	0.0148286931533511	0.0115605758482784	0.000525752282726452	0.0222787219039609	0.0161209628014908	0.00372363821767352	0.0183453803789255	0.0133989569316187	0.0117087075036203	0.0106866264684572	0.000845586325875332	0.00976276405837445	0.00733766018450371	0.0138870944744016
HT29_G1_2A_3	0.0303103456052181	0.000265945804422111	0.00649984064613547	0.011404775139103	0.0125481813872367	0	0.0149546124995857	0.0223531300201593	0.000285457489722339	0.0182758095387056	0.00511061702204633	0.0171285061715213	0.0231910650548414	0.019931290123256	0.00644754957145187	0.0227280137178725	0.00144935720076875	0.00649598567789395	0.0315101099120916	0.0228948858554332	0.0107050854966687	0.0314917767216632	0.0140123899522707	0.0132310018618982	0.00896042674677171	0.0244484236438734	0.00769328877029405	0.0164182580766415	0.0357446575673389	0.000708423236123373	0.0252589082373586	0.0222366942407586	0.00389163735150336	0.0246555502786997	0.00249319986321886	0.039050544431881	0.0135567282180882	0.00352358758520642	0.0365316911739406	0.014177608112786	0.00186508409879963	0.0193697543872919	0.0209928837733367	0.00825567163322107	0.00887979020529342	0.0151460046834742	0.00542033248321134	0.00849241680083102	0.00546067771433363	0.0172712850432786	0.00935051529262435	0.00660116744858927	0.00528930220130154	0.00592812024367727	0.0222554853425891	0.00360460258488023	0.00153219066314496	0.0112299456788954	0.0136144823450424	0.00405892784133575	0.0332524995499762	0.0303206466304619	0.0215198255313119	0.0378172846004374	0.0224380427824135	0.00400013189967149	0.0297197141909138	0.00678361231894965	0.0156985560994272	0.0177494698176783	0.0127347784866745	0.0273741603169954	0.0241068855361566	0.0120224722603491	0.0348217674468751	0.0286660595341776	0.0162714083316257	0.0308897904429159	0.025944809372175	0.000839542043455273	0.0232331383913451	0.0133936905330078	0.0223094791081249	0.0198848560177022	0.00133904241804746
HT29_G1_3E_1	0.0153594165435815	0.0146886988936756	0.0214532928836757	0.00355016600655381	0.00240667585634687	0.0149546124995857	0	0.0073998403056588	0.0152400341034508	0.00332168519720683	0.00984440739803975	0.0320784778336487	0.00823797864109217	0.00497747359073553	0.00850751120580117	0.00777481362682499	0.0135054163757283	0.008459075865678	0.0165596192656646	0.00794172635209278	0.00424989664190729	0.0165412792153195	0.000942329344589677	0.00172379530366627	0.00599462321377549	0.0094956624493238	0.00726177951446889	0.00146383932717756	0.0207958840200566	0.0156629441522247	0.0103063694501446	0.00728337712924657	0.0110633282497715	0.00970284497174106	0.0124616679388319	0.0241032931574011	0.00139803766863548	0.0114313554249731	0.0215832656767195	0.000777093475626191	0.0130897291846059	0.0044158286673617	0.00603928701843353	0.00669939174227032	0.00607526169879271	0.000191415596662579	0.00953470297511391	0.00646264296838299	0.0204143640019031	0.00231699477486953	0.00560452377701253	0.00835389562670955	0.00966572877991975	0.0208817035548944	0.00730217263846411	0.0185586607060901	0.0134225910553902	0.00372500644729337	0.00134027781930154	0.0190129004038264	0.0183026835370394	0.0153697212419874	0.00656634433699956	0.0228694469611264	0.00748477317899833	0.018954115733543	0.0147685771636431	0.00817145298348398	0.000744037854289154	0.00279525656613104	0.00222006307834643	0.0124222488857497	0.00915403361427513	0.00293242616071543	0.0198725972627633	0.0137145644362689	0.00131696861817614	0.0159390704526634	0.0109924665987028	0.0141151680551243	0.00828006246921353	0.00156109122117537	0.00735617909826956	0.00493103027065558	0.0162934746823734
HT29_G1_3E_2	0.00796004107056294	0.0220872558483352	0.0288506623735597	0.0109498548111991	0.00980642432266803	0.0223531300201593	0.0073998403056588	0	0.0226385086427497	0.00407820742595292	0.0172435805660611	0.0394731893846858	0.000838164831024272	0.00242241318067542	0.0159068206164044	0.000374984515084567	0.0209041416945473	0.0158583899399992	0.00916035479251884	0.000541902567142231	0.0116495438179229	0.00914201296629652	0.00834213911933305	0.0091235744646246	0.0133941495802287	0.00209589838782482	0.0146612028413966	0.00593603461958109	0.0133970955672905	0.0230613537590146	0.00290664378816855	0.000116466435926645	0.0184623645112449	0.00230309025228747	0.0198605321589128	0.016704966591098	0.00879783017570023	0.0188303479627179	0.0141845800527802	0.00817690910804875	0.0204885108997338	0.00298406245604974	0.00136058490870241	0.01409886239399	0.0134747818925385	0.00720843006009603	0.0169339089978797	0.0138621327811435	0.0278119409885821	0.0050828910745424	0.0130040792685575	0.0157532197631405	0.0170649209982103	0.0282791883412152	9.76704071348541e-05	0.0259565855138366	0.0208213277249997	0.0111246852152322	0.00874007260548268	0.0264107427654274	0.0109035990937492	0.00797034667683257	0.000833517016611115	0.0154709389064634	8.49353153069042e-05	0.0263519688629454	0.00736915094769793	0.0155707943609337	0.00665582164204294	0.00460463348305383	0.00961982029848146	0.00502264669757503	0.0017542548559831	0.0103321484830467	0.0124736939391477	0.00631505411235125	0.00608290270814008	0.00853974726470372	0.00359277729774622	0.021513808063898	0.000880250130055181	0.00896087715257776	4.36624407441076e-05	0.00246885695260708	0.0236917847091022
HT29_G1_3E_3	0.0305956601334814	0.000551403270853693	0.00621438971195372	0.0116902115317356	0.0128336134350828	0.000285457489722339	0.0152400341034508	0.0226385086427497	0	0.018561213861526	0.00539607010921788	0.0168430962246707	0.0234764377903798	0.0202166846031922	0.00673300014385494	0.0230133897320077	0.00173481428692538	0.0067814361486718	0.0317954132062249	0.0231802606952583	0.0109905243506415	0.0317770801905179	0.0142978158545775	0.0135164311249056	0.00924587108191498	0.0247337871616789	0.00797873649619488	0.0167036724723399	0.0360299179816313	0.000422965794480986	0.0255442655702189	0.022522073665153	0.00417709224161226	0.0249409122339885	0.00277865624289178	0.0393357679133732	0.013842156102693	0.00380904292747156	0.0368169430686614	0.0144630332807798	0.00215054094521654	0.0196551522969855	0.0212782715147374	0.00854111791574692	0.00916523477103934	0.0154314253814364	0.00570578503772906	0.00877786244634156	0.00517522480436241	0.0175566949413356	0.00963595848375269	0.006886617696161	0.00557475498484376	0.00564266817839463	0.0225408646378444	0.00331914702891157	0.00181764770604635	0.0115153827006003	0.0138999099818726	0.00377347282873846	0.0335377858072389	0.0306059610640045	0.0218052098046503	0.0381025222111282	0.0227234208177792	0.00371467681297342	0.0300050341000085	0.00706906217115442	0.0159839741200592	0.018034877099284	0.0130202097875938	0.0276595006148767	0.0243922516032677	0.0123079063554382	0.0351070376327826	0.0289513887963104	0.0165568234795937	0.0311750995962587	0.0262301613223934	0.00112499938157273	0.0235185108258782	0.0136791191115855	0.0225948580317669	0.0201702507847928	0.00105358515557611
HT29_G1_3F_1	0.0120380485710279	0.0180099117589653	0.0247740203662717	0.0068718082923995	0.00572833684121615	0.0182758095387056	0.00332168519720683	0.00407820742595292	0.018561213861526	0	0.0131658626879163	0.035398086775815	0.00491636357999297	0.00165580272716495	0.0118290182123429	0.00445318842288364	0.0168266964710728	0.0117805846236155	0.0132383095960486	0.00462010471912354	0.00757152518650296	0.0132199686190147	0.00426400749864765	0.00504546523987148	0.00931620985747137	0.00617407861012294	0.0105833288574104	0.00185785062185499	0.0174748179330341	0.0189840977448344	0.00698480857826052	0.00396174196320506	0.0143847306895691	0.00638126679054134	0.0157830030207398	0.0207824577314079	0.00471971129297742	0.0147527408355455	0.0182622513031613	0.0040987730910477	0.0164110316627795	0.00109415187931819	0.00271763032544294	0.0100209583556909	0.00939684614141189	0.00313027064942082	0.012856170826212	0.00978421651032831	0.0237351773156132	0.00100469448510104	0.00892612073824601	0.0116754081585273	0.0129871913595699	0.0242024787703576	0.00398053783828067	0.0218796170854016	0.0167438756616244	0.00704664546350636	0.00466195205841967	0.0223338229734376	0.0149814669877096	0.0120483537497452	0.00324469611658617	0.0195485213677403	0.00416314199584018	0.0222750427226791	0.0114471822397644	0.0114929719659907	0.00257765069719547	0.00052643119774419	0.00554172667361797	0.0091007583929689	0.00583244076302464	0.00625407912606112	0.0165514730966493	0.0103931243113011	0.00200472119295958	0.0126177300442588	0.00767092689796144	0.0174364141571898	0.00495844836594451	0.0048827630464026	0.00403454535602057	0.00160935887588736	0.0196145880198883
