	HT29_G1_1B_1	HT29_G1_1B_2	HT29_G1_1B_3	HT29_G1_2A_1	HT29_G1_2A_2	HT29_G1_2A_3	HT29_G1_3E_1	HT29_G1_3E_2	HT29_G1_3E_3	HT29_G1_3F_1	HT29_G1_3F_2	HT29_G1_3F_3	HT29_G1_4A_1	HT29_G1_4A_2	HT29_G1_4A_3	HT29_G1_4B_1	HT29_G1_4B_2	HT29_G1_4B_3	HT29_G1_4C_1	HT29_G1_4C_2	HT29_G1_4C_3	HT29_G1_4F_1	HT29_G1_4F_2	HT29_G1_4F_3	HT29_G1_5A_1	HT29_G1_5A_2	HT29_G1_5A_3	HT29_G1_5B_1	HT29_G1_5B_2	HT29_G1_5B_3	HT29_G1_5C_1	HT29_G1_5C_2	HT29_G1_5C_3	HT29_G1_5D_1	HT29_G1_5D_3	HT29_G1_5E_1	HT29_G1_5E_2	HT29_G1_5E_3	HT29_G1_5F_1	HT29_G1_5F_2	HT29_G1_5F_3	HT29_G2_4G_1	HT29_G2_4G_2	HT29_G2_4G_3	HT29_G2_4H_1	HT29_G2_4H_2	HT29_G2_4H_3	HT29_G2_5A_1	HT29_G2_5A_2	HT29_G2_5A_3	HT29_G2_5B_2	HT29_G2_5B_3	HT29_G2_5E_1	HT29_G2_5E_2	HT29_G2_5E_3	HT29_G2_5F_1	HT29_G2_5F_3	HT29_G2_5G_1	HT29_G2_5G_2	HT29_G2_5G_3	HT29_G2_5H_1	HT29_G2_5H_2	HT29_G2_5H_3	HT29_G2_6A_1	HT29_G2_6A_2	HT29_G2_6A_3	HT29_G2_6B_1	HT29_G2_6B_2	HT29_G2_6B_3	HT29_G2_6C_2	HT29_G2_6C_3	HT29_G2_6D_1	HT29_G2_6D_3	HT29_G2_6E_1	HT29_G2_6E_2	HT29_G2_6E_3	HT29_G2_6F_1	HT29_G2_6F_2	HT29_G2_6F_3	HT29_G2_6G_1	HT29_G2_6G_2	HT29_G2_6G_3	HT29Root1_1	HT29Root1_2	HT29Root1_3	HT29Root2_1	HT29Root2_2	HT29Root2_3
HT29_G1_1B_1	0	0.00690885041030762	0.0152767077030254	0.00279606901799921	0.00328091298644238	0.0132587450380299	0.00399299356378261	0.00577904442676423	0.0183632784073691	0.00387657980410962	0.0114132222700606	0.0122603641237631	0.00710012143695315	0.0179284350828542	0.00736002511427764	0.00363418875295978	0.0090518829974461	0.0159599432577831	0.0094770778023137	0.00101248423129092	0.0013552403845969	0.00763233123083031	0.00706918311906005	0.00646113875995916	0.00207751977466598	0.00786657818569604	0.0012998983153961	0.00132921239367942	0.0032930820282345	0.00353633137740693	0.00335195921186771	0.00250547187927893	0.000503760940514651	0.00574190611719568	0.0198219806205386	0.00535708358922765	0.00493114343510023	0.00391907706089094	0.00470351708010351	0.00143724030353435	0.00973239927010758	0.0226087718878128	0.012863254918799	0.018456151979041	0.00249759244493535	0.00545296099818994	4.61531739892732e-05	0.00786355455400272	0.00897765644501362	0.00646306518784613	0.00241595849002885	0.0166473211947088	0.0122838952401549	0.00167629476574974	0.00753839104575331	0.00710284734124736	0.0188387775569159	0.00841311182332853	0.0018432421744581	0.0164395853815389	0.009046067487034	0.0126173040263052	0.0120770949311876	0.0102328271932902	0.00345518744640694	0.00959439866309563	0.0114114260127856	0.009224449505286	0.0152669286358794	0.00302037403512391	0.00791399248206072	0.00553571293021179	0.010392509144681	0.00103710537936737	0.000976649599374131	0.000466263329598601	0.0116915430479278	0.0023901511074086	0.0014639197004064	0.00658649925327211	0.0011590658970681	0.0076093897655774	0.00191248447316555	0.00143509292180451	0.0213406884266506	0.00396331308942324	0.0138923271174198	0.0233162694109224
HT29_G1_1B_2	0.00690885041030762	0	0.0221847302065752	0.00411280933702241	0.00362796634493195	0.0201669426670496	0.0109017379938437	0.0126877162322323	0.0252709940814917	0.0107853284260187	0.0183215624682583	0.0191686409635925	0.0140087294735445	0.0248361968404201	0.0142686195980225	0.010542945890328	0.0021430796503216	0.0228679019073621	0.00256828643595998	0.00792131513187475	0.00555362832255225	0.000723494221954568	0.0139777927468876	0.0133697787085324	0.00898632475707321	0.000957746059401965	0.00820872276686417	0.00557965604627527	0.00361579731299574	0.0033725480089056	0.0102607259023898	0.00440340534277404	0.00640509731545766	0.0126505795917582	0.0267295348514538	0.00155178700838979	0.0118398516645038	0.010827824160231	0.00220535852407424	0.00834606153097214	0.0166408547183996	0.0295159882774281	0.019771484513664	0.0253638576891286	0.00940638568229216	0.0123616472280331	0.00686269800704891	0.0147721218379666	0.015886159124018	0.0133717050432128	0.00932475407730415	0.0235552132722959	0.0191921702695949	0.0052325769656764	0.0144469760367504	0.0140114552374121	0.0257464417652435	0.0153216480010571	0.00875205333302664	0.0233474978247853	0.015954566000342	0.0195255531113019	0.0189853857776025	0.00332405928018483	0.0103639506879266	0.0165028629564302	0.00450270018591303	0.00231565091513113	0.0221749520366046	0.00992915145205583	0.0148225569729042	0.0124443955488076	0.0173009209884011	0.00587175983606316	0.005932214896783	0.00644259438499322	0.00478282821084547	0.00451872555122659	0.00544495008664851	0.0134951330989341	0.00574980071521933	0.0145179709345611	0.00499638916292644	0.00547377658439084	0.028248063338114	0.0108720585945047	0.0208004719279589	0.0302233938738912
HT29_G1_1B_3	0.0152767077030254	0.0221847302065752	0	0.0180725034119287	0.0185572914366728	0.00201810818332947	0.0112839583823373	0.00949796099973361	0.00308687956003335	0.0114003674580103	0.00386372509406487	0.00301654464026124	0.00817690131570412	0.00265198639719359	0.00791699881901905	0.0116427482862086	0.0243274020117211	0.000683294920840611	0.0247525193972406	0.0142643016826035	0.0166318261193528	0.0229080947210423	0.00820783944424993	0.00881587797486957	0.0131993364807796	0.0231423028183423	0.0139769077865271	0.0166058006570864	0.0185694590418345	0.0188126793408474	0.0119249651238231	0.0177819385933115	0.0157804256152717	0.00953509854887412	0.00454576413917232	0.0206331939434954	0.0103458409073806	0.0113578719281251	0.019979716816684	0.0138395751307558	0.00554460153189417	0.00733296896087837	0.00241362160619508	0.00317976404535332	0.0127792881885855	0.00982403724121182	0.0153228570481308	0.00741346958074092	0.00629935834966751	0.00881395157177976	0.0128609175551449	0.0013707377448185	0.00299301233995862	0.0169528487105913	0.00773863327367278	0.00817417542759337	0.00356243558567453	0.00686390938945876	0.0134335996577258	0.00116298177575708	0.00623094629460936	0.00265958612973896	0.00319982284692326	0.0255081264150485	0.0118217416355706	0.00568260516020503	0.0266864910339992	0.0244999373315966	9.779877426922e-06	0.0122565342758203	0.00736303152120092	0.00974128724215286	0.00488447433890052	0.0163137215211466	0.0162532713963458	0.015742931301284	0.0269665502271909	0.0176666303958575	0.0167404947981649	0.00869051901130964	0.0164356705106812	0.00766763461145956	0.0171890143233745	0.0167116708533837	0.00606468670042401	0.0113136376764115	0.0013844852101822	0.00804058511702088
HT29_G1_2A_1	0.00279606901799921	0.00411280933702241	0.0180725034119287	0	0.00048484553433171	0.0160546034712101	0.00678903583957764	0.00857506453283047	0.0211589624006077	0.00667262330561258	0.0142091309459157	0.0150562505808217	0.00989612107640483	0.0207241359714017	0.0101560203195105	0.00643023472052529	0.0062558696383288	0.018755715883364	0.0066810710114739	0.00380854944863424	0.00144083055671022	0.00483629850740049	0.00986518327742654	0.00925714873110109	0.00487357881012532	0.00507054838566055	0.00409596208516826	0.00146685854477657	0.000497014621367292	0.000740264936227446	0.00614800790435888	0.000290597855602014	0.00229230921511406	0.00853792674859241	0.0226176051625672	0.00256102806956598	0.00772717485379305	0.00671512011805172	0.00190745689073089	0.00423330332398646	0.0125283477961125	0.0254042709425816	0.0156591246911439	0.021251832314573	0.00529364842598895	0.00824898562345128	0.00274991596956855	0.0106595407868314	0.0117736210351444	0.009259075129057	0.00521201509197327	0.0194430696533389	0.0150797810596058	0.00111977610088866	0.010334383130264	0.00989884693489188	0.0216344426404711	0.0112090876887131	0.00463930276197695	0.0192353412436274	0.0118420306677889	0.0154131806928357	0.0148729863163703	0.00743683295044766	0.00625123516050757	0.0123903502110048	0.00861545356855643	0.00642843876925243	0.0180627246683863	0.00581642572771969	0.0107099777883792	0.00833173642856272	0.0131884426913529	0.00175896543562204	0.0018194211690356	0.00232980675859833	0.00889557618401556	0.00040591886594793	0.00133215123838037	0.00938250726135053	0.00163700498997052	0.0104053805903089	0.000883586208962138	0.00136097801987339	0.024136246522906	0.00675935568026147	0.0166881667338217	0.0261117341145396
HT29_G1_2A_2	0.00328091298644238	0.00362796634493195	0.0185572914366728	0.00048484553433171	0	0.0165394035012356	0.00727387293471606	0.00905989678363191	0.0216437293278864	0.00715746067849085	0.0146939407207084	0.0155410560288164	0.0103809490386254	0.021208906071434	0.0106408473673174	0.00691507265675672	0.00577103025192557	0.0192404995233277	0.00619623252592757	0.00429339219100611	0.00192567561770236	0.00435145655806751	0.0103500113469316	0.00974197884259009	0.00535841988408895	0.00458570681207605	0.00458080441557287	0.00195170359064198	1.21690862645507e-05	0.000255419434006726	0.00663284647113817	0.000775443351618932	0.00277715366295805	0.0090227591112802	0.0231023609656624	0.00207618344149408	0.008212009540988	0.00719995739008761	0.00142261181892237	0.00471814544753296	0.0130131654216587	0.025889003429189	0.0161439269086538	0.021736598555685	0.00577848873506717	0.00873381884045973	0.00323475998552244	0.0111443659969084	0.0122584418687004	0.00974390523427098	0.00569685555443053	0.0199278487183482	0.0155645863838686	0.00160462132875018	0.010819209537072	0.010383674887636	0.022119206023006	0.0116939107934275	0.00512414423626803	0.0197201217085636	0.0123268512186567	0.0158979842434235	0.0153577927214561	0.0069519962176108	0.00673607349981483	0.0128751684378084	0.00813061995577824	0.00594359974106448	0.0185475127547142	0.00630126500039784	0.0111948028095627	0.00881656940383616	0.0136732573500166	0.00224381029653761	0.0023042659879722	0.00281465117378013	0.00841074338207167	0.000890764338606041	0.00181699635980289	0.0098673369622436	0.00212184993163035	0.0108902067389313	0.0013684315370661	0.00184582312569834	0.0246209899556731	0.00724419284665826	0.0171729631465408	0.0265964602495292
HT29_G1_2A_3	0.0132587450380299	0.0201669426670496	0.00201810818332947	0.0160546034712101	0.0165394035012356	0	0.00926592542529962	0.00747990396512773	0.00510497634206376	0.00938233622857421	0.00184562205576681	0.000998438630695444	0.00615882940769519	0.00467008562153079	0.00589892427913467	0.00962472071593287	0.0223096825155707	0.00270140176993325	0.0227348141716347	0.0122463190446651	0.0146138924700357	0.0208903294279753	0.00618976785597064	0.00679781294886578	0.0111813344080998	0.0211245448865578	0.0119589197447099	0.0145878664259281	0.0165515714119995	0.0167947978638573	0.00990694191981775	0.0157640316168528	0.013762473430991	0.00751704196849227	0.00656385072204339	0.0186153611827526	0.00832779473475039	0.00933984006578484	0.017961866029055	0.0118215845482107	0.00352650744711425	0.00935102744658266	0.000395514111898611	0.00519786027020304	0.0107612788948545	0.00780598426221109	0.0133048953283352	0.00539539021741562	0.00428126960667021	0.00679588652415105	0.0108429096450177	0.00338884256969035	0.000974906262588583	0.0149349223173147	0.00572055698361419	0.00615610349148354	0.00558052938280905	0.0048458251767838	0.0114156017215134	0.0031810872845207	0.00421285703369054	0.000641479177959922	0.00118171739256482	0.0234904471830641	0.00980371682136315	0.00366451199103776	0.0246688539446409	0.0224822235964644	0.00200832831777241	0.0102385163468438	0.0053449516947558	0.00772323321952663	0.00286637625325292	0.0142957808261662	0.0142353293787077	0.0137249783244509	0.024948923441401	0.0156487206605343	0.0147225635886904	0.00667245258901406	0.014417732499736	0.00564955763743313	0.0151710933615597	0.0146937389951117	0.00808275937491499	0.0092956051579987	0.000633623606636193	0.0100586346661303
HT29_G1_3E_1	0.00399299356378261	0.0109017379938437	0.0112839583823373	0.00678903583957764	0.00727387293471606	0.00926592542529962	0	0.00178606544214191	0.0143706591418627	0.000116414397075492	0.00742034854639854	0.00826751403282419	0.00310715904702797	0.0139357958423402	0.00336706657149915	0.00035880665136511	0.0130447105130852	0.0119672203742784	0.0134698918730389	0.00298051358862819	0.00534822373303805	0.0116251999724379	0.00307622028397128	0.00246816772595144	0.00191547940356439	0.0118594405127433	0.00269310018620391	0.00532219598700416	0.00728604179548549	0.00752928743924796	0.000641037384655842	0.00649844250392351	0.00449675131091928	0.00174892673749381	0.0158294323274819	0.00935000664197877	0.000938156403889484	7.391691177474e-05	0.00869645305166753	0.00255575844158614	0.0057394847056173	0.0186163762012788	0.00887042289264394	0.0144635370501057	0.00149540638887676	0.0014599786782053	0.0040391464744888	0.00387060400973324	0.00498472615564581	0.00247009417818721	0.00157704044968044	0.01265462625698	0.00829104583485527	0.00566927493700677	0.00354543525403047	0.00310988499069215	0.0148461807551777	0.00442017082983486	0.00214975697942304	0.0124468818555215	0.00505313855627927	0.0086244645053985	0.0080842395542317	0.0142256161198289	0.000537808740131975	0.0056014811024414	0.0154041725433679	0.013217271625198	0.0112741789464954	0.000972623674557456	0.00392104277861847	0.00154273142815061	0.00639960966101896	0.00503009159009294	0.00496963632184921	0.00445925396227342	0.0156842789320454	0.00638312317549081	0.00545690200579613	0.00259352982389408	0.00515205104414145	0.00361643509402286	0.00590546212197294	0.00542807550709974	0.0173482205258887	2.96806432713452e-05	0.00989952832162424	0.0193239160301138
HT29_G1_3E_2	0.00577904442676423	0.0126877162322323	0.00949796099973361	0.00857506453283047	0.00905989678363191	0.00747990396512773	0.00178606544214191	0	0.012584708672587	0.00190247969881644	0.00563430961838609	0.00648148258361218	0.00132109620431718	0.0121498380243697	0.00158100450069846	0.00214487160675463	0.0148306540632715	0.0101812323240787	0.0152558278580171	0.00476657005205908	0.00713426507880463	0.0134111671426727	0.00129015735501757	0.000682103349784696	0.00370154036312827	0.0136454039589717	0.00447915800395596	0.00710823753732217	0.00907206551899893	0.0093153086173795	0.00242710184274741	0.00828447395913576	0.00628279890622073	3.7138745635396e-05	0.0140435082842554	0.0111360064091365	0.000847909541607269	0.00185998226703717	0.0104824609829105	0.00434181686971992	0.00395343364515832	0.0168305102589144	0.00708439732334886	0.0126775881818344	0.00328146872824986	0.000326087065443236	0.00582519705136709	0.00208454367823261	0.00319867081680623	0.000684029805722335	0.00336310253838205	0.0108686481990988	0.00650501460643434	0.0074553136894854	0.0017593737625308	0.00132382215563534	0.0130602385996647	0.00263411276404588	0.00393581707276152	0.0106609007139832	0.00326708357538069	0.00683843648136818	0.0062982064095169	0.0160115381007242	0.00232387339182368	0.00381542920561885	0.0171900712613649	0.0150032121322695	0.00948818143464967	0.00275868741979119	0.0021349826390931	0.000243334251513588	0.00461356293649483	0.00681613537762538	0.00675568055898827	0.00624530181185669	0.0174701718662019	0.00816915569735487	0.00724294248824258	0.000807465707604062	0.00693809391064198	0.00183037384440677	0.00769149888389206	0.00721411621998897	0.0155623269046495	0.0018157460484863	0.00811351386059052	0.017538066432515
HT29_G1_3E_3	0.0183632784073691	0.0252709940814917	0.00308687956003335	0.0211589624006077	0.0216437293278864	0.00510497634206376	0.0143706591418627	0.012584708672587	0	0.0144870649178167	0.0069505749566138	0.00610340383353128	0.0112636791991535	0.000434894441591133	0.0110037821960031	0.0147294387805367	0.0274135497348764	0.00240358645875734	0.0278386428976023	0.0173509086508114	0.0197183447954635	0.0259943204914308	0.0112946166639047	0.011902641723115	0.0162859791870642	0.0262285160092278	0.0170635246424715	0.0196923203699938	0.0216558963969713	0.02189910591292	0.0150116473462924	0.0208684099827522	0.0188669774460419	0.0126218453172387	0.00145889193820899	0.0237195357342202	0.0134325671781522	0.0144445705959324	0.0230660898655516	0.0169261966481	0.00863142820424205	0.00424612399305438	0.00550048647640662	9.28848133733757e-05	0.0158659443111914	0.0129107768693766	0.0184094260462928	0.0105002631794117	0.00938617258811548	0.011900715363986	0.0159475711006406	0.00171614442207191	0.00607987176980957	0.0200393544768317	0.0108254203350837	0.0112609533694302	0.000475557904782545	0.00995071350960392	0.016520234714595	0.00192390026357989	0.00931776171165519	0.00574644878083236	0.00628668015565912	0.02859420590004	0.0149084269037111	0.00876942965258373	0.0297724994227296	0.0275860752708371	0.00309665940622377	0.0153432065578073	0.0104498261131387	0.0128280289338766	0.00797131085984422	0.0194002527689862	0.0193398050083533	0.0188294845559199	0.0300525412789929	0.0207531066556723	0.0198270091292439	0.0117772856032099	0.0195221969649884	0.010754423120049	0.0202755104493837	0.0197981863394616	0.00297782719340972	0.0144003375974625	0.00447135791764537	0.00495374982184201
HT29_G1_3F_1	0.00387657980410962	0.0107853284260187	0.0114003674580103	0.00667262330561258	0.00715746067849085	0.00938233622857421	0.000116414397075492	0.00190247969881644	0.0144870649178167	0	0.00753676063293305	0.00838392556544867	0.00322357303063585	0.0140522021313602	0.00348348048439458	0.000242392258027794	0.0129283030382421	0.0120836287881037	0.0133534848579609	0.00286409954331749	0.00523181048737532	0.0115087910693236	0.00319263427558754	0.00258458185960444	0.00179906514870563	0.0117430318339879	0.00257668607520328	0.00520578273006664	0.00716962954646899	0.00741287533707147	0.000524623001862179	0.00638202981273668	0.00438033772470936	0.00186534099978433	0.0159458362666913	0.00923359579258233	0.00105457075990599	4.24974845110354e-05	0.00858004172138045	0.00243934430155074	0.00585589771476487	0.0187327761352005	0.00898683399474957	0.0145799427144215	0.00137899207711159	0.00157639298007671	0.00392273272980454	0.00398701776974548	0.00510113950285521	0.00258650831142847	0.0014606261478202	0.0127710339656392	0.00840745735125821	0.00555286183521686	0.00366184911512921	0.00322629897357578	0.0149625859519864	0.00453658439904075	0.00203334276270509	0.0125632897814597	0.00516955187477499	0.00874087578678116	0.00820065121175341	0.0141092099583125	0.000421394352676057	0.00571789417692481	0.0152877678057604	0.0131008643351751	0.0113905880313601	0.000856209312088168	0.00403745652216282	0.00165914571939791	0.00651602233578823	0.00491367821024433	0.00485322291742916	0.00434284036245133	0.0155678745494777	0.00626671042383693	0.00534048880789743	0.0027099439307686	0.00503563771473481	0.00373284893381904	0.00578904913140131	0.0053116622964698	0.0174646223632265	8.67337563084341e-05	0.0100159386189963	0.0194403148432882
