	HT29_G1_1B	HT29_G1_2A	HT29_G1_3E	HT29_G1_3F	HT29_G1_4A	HT29_G1_4B	HT29_G1_4C	HT29_G1_4F	HT29_G1_5A	HT29_G1_5B	HT29_G1_5C	HT29_G1_5D	HT29_G1_5E	HT29_G1_5F	HT29_G2_4G	HT29_G2_4H	HT29_G2_5A	HT29_G2_5B	HT29_G2_5E	HT29_G2_5F	HT29_G2_5G	HT29_G2_5H	HT29_G2_6A	HT29_G2_6B	HT29_G2_6C	HT29_G2_6D	HT29_G2_6E	HT29_G2_6F	HT29_G2_6G	HT29Root1	HT29Root2
HT29_G1_1B	0	0.00362796634493195	0.0126877162322323	0.0191686409635925	0.0140087294735445	0.010542945890328	0.00792131513187475	0.0139777927468876	0.00898632475707321	0.00361579731299574	0.00440340534277404	0.0126505795917582	0.0118398516645038	0.00220535852407424	0.0295159882774281	0.00940638568229216	0.015886159124018	0.00932475407730415	0.0191921702695949	0.0140114552374121	0.0153216480010571	0.0195255531113019	0.0103639506879266	0.00450270018591303	0.00992915145205583	0.0124443955488076	0.00587175983606316	0.00451872555122659	0.0134951330989341	0.00547377658439084	0.0208004719279589
HT29_G1_2A	0.00362796634493195	0	0.00905989678363191	0.0155410560288164	0.0103809490386254	0.00691507265675672	0.00429339219100611	0.0103500113469316	0.00535841988408895	1.21690862645507e-05	0.000775443351618932	0.0090227591112802	0.008212009540988	0.00142261181892237	0.025889003429189	0.00577848873506717	0.0122584418687004	0.00569685555443053	0.0155645863838686	0.010383674887636	0.0116939107934275	0.0158979842434235	0.00673607349981483	0.00813061995577824	0.00630126500039784	0.00881656940383616	0.00224381029653761	0.000890764338606041	0.0098673369622436	0.00184582312569834	0.0171729631465408
HT29_G1_3E	0.0126877162322323	0.00905989678363191	0	0.00648148258361218	0.00132109620431718	0.00214487160675463	0.00476657005205908	0.00129015735501757	0.00370154036312827	0.00907206551899893	0.00828447395913576	3.7138745635396e-05	0.000847909541607269	0.0104824609829105	0.0168305102589144	0.00328146872824986	0.00319867081680623	0.00336310253838205	0.00650501460643434	0.00132382215563534	0.00263411276404588	0.00683843648136818	0.00232387339182368	0.0171900712613649	0.00275868741979119	0.000243334251513588	0.00681613537762538	0.00816915569735487	0.000807465707604062	0.00721411621998897	0.00811351386059052
HT29_G1_3F	0.0191686409635925	0.0155410560288164	0.00648148258361218	0	0.00516040209036236	0.00862631160220538	0.0112479293386168	0.0051913406635014	0.0101829362332635	0.0155532240776908	0.0147656755581963	0.00651862077170397	0.00732937781408029	0.0169635354051888	0.010349431418753	0.00976287759965587	0.00328283598246105	0.00984450894646098	2.35323757320282e-05	0.00515767616316583	0.00384739318590209	0.000356959534416332	0.00880530887846628	0.0236706218375488	0.00924011134222856	0.00672481306613744	0.0132974096653465	0.0146503633610113	0.00567402743256932	0.0136953717779642	0.00163206186834097
HT29_G1_4A	0.0140087294735445	0.0103809490386254	0.00132109620431718	0.00516040209036236	0	0.00346596432939908	0.00608765267808658	3.09388652534724e-05	0.00502262786474672	0.0103931176635444	0.00960553296843956	0.00135823492642667	0.00216900488422738	0.0118034993946238	0.0155095371346391	0.00460255786179673	0.00187757743032659	0.00468419136766684	0.00518393424225564	2.72595137230601e-06	0.00131301818217228	0.00551735800222569	0.00364496562928983	0.0185110191380315	0.00407977835406886	0.00156443027754254	0.00813720564521528	0.0094902156633976	0.000513630691042478	0.00853518363426519	0.00679244355833386
HT29_G1_4B	0.010542945890328	0.00691507265675672	0.00214487160675463	0.00862631160220538	0.00346596432939908	0	0.00262170792863565	0.00343502559206184	0.0015566731306309	0.00692724153939638	0.00613964090919499	0.00210773292050675	0.00129696290072364	0.00833765558384713	0.0189751377034133	0.00113659995320617	0.00534352941882637	0.0012182340421456	0.00864984335346364	0.00346869027077114	0.00477897479469803	0.00898326128942846	0.00017900210109733	0.0150453951888139	0.000613817098914348	0.00190153770684865	0.00467128791802129	0.00602432139791828	0.00295233550207884	0.00506927234426729	0.0102583220335532
HT29_G1_4C	0.00792131513187475	0.00429339219100611	0.00476657005205908	0.0112479293386168	0.00608765267808658	0.00262170792863565	0	0.00605671421432973	0.00106503633411457	0.00430556119983533	0.00351795296454811	0.00472943160273562	0.00391866611633708	0.00571599172111053	0.0215964633407083	0.00148510953956268	0.00796519782660629	0.00140347547080768	0.0112714606539359	0.00609037859526186	0.00740064988910674	0.0116048723016019	0.00244270623296811	0.0124238597649012	0.00200789197197218	0.00452323765782955	0.00204958885160961	0.00340263243576729	0.00557402816203324	0.0024475758990089	0.0128799070773783
HT29_G1_4F	0.0139777927468876	0.0103500113469316	0.00129015735501757	0.0051913406635014	3.09388652534724e-05	0.00343502559206184	0.00605671421432973	0	0.00499168927173847	0.0103621799746184	0.00957459510759054	0.0013272960781776	0.00213806606713505	0.0117725620472779	0.0155404733398264	0.00457161922458839	0.00190851625890481	0.00465325273874871	0.00521487281272648	3.36648203134176e-05	0.00134395703079511	0.00554829653326513	0.00361402690586457	0.0184800840058639	0.0040488396673157	0.00153349143584795	0.00810626749991161	0.00945927777851363	0.000482691825915913	0.00850424556141735	0.0068233819159423
HT29_G1_5A	0.00898632475707321	0.00535841988408895	0.00370154036312827	0.0101829362332635	0.00502262786474672	0.0015566731306309	0.00106503633411457	0.00499168927173847	0	0.00537058884879668	0.00458298324153916	0.00366440179578539	0.0028536339927712	0.00678101350279117	0.0205315949533464	0.000420073440067103	0.00690018221390934	0.000338439315205794	0.0102064677394587	0.00502535379335574	0.00633563122933748	0.0105398821369199	0.00137767116539162	0.013488833298071	0.000942856350244879	0.00345820721466409	0.00311462278642789	0.00446766305855448	0.00450900129638943	0.00351260900218257	0.0118149282086432
HT29_G1_5B	0.00361579731299574	1.21690862645507e-05	0.00907206551899893	0.0155532240776908	0.0103931176635444	0.00692724153939638	0.00430556119983533	0.0103621799746184	0.00537058884879668	0	0.000787612436925622	0.00903492784953454	0.00822417833930344	0.00141044273945863	0.0259011696248395	0.00579065767965998	0.0122706103107076	0.00570902450304256	0.0155767544295888	0.0103958435123119	0.0117060792936474	0.0159101522439192	0.00674824239295039	0.00811845114965862	0.00631343391789083	0.00882873815791305	0.00225597936286297	0.000902933423190266	0.0098795056319069	0.00185799219900647	0.0171851309651722
