	HT29_G1_1B_1	HT29_G1_1B_2	HT29_G1_1B_3	HT29_G1_2A_1	HT29_G1_2A_2	HT29_G1_2A_3	HT29_G1_3E_1	HT29_G1_3E_2	HT29_G1_3E_3	HT29_G1_3F_1	HT29_G1_3F_2	HT29_G1_3F_3	HT29_G1_4A_1	HT29_G1_4A_2	HT29_G1_4A_3	HT29_G1_4B_1	HT29_G1_4B_2	HT29_G1_4B_3	HT29_G1_4C_1	HT29_G1_4C_2	HT29_G1_4C_3	HT29_G1_4F_1	HT29_G1_4F_2	HT29_G1_4F_3	HT29_G1_5A_1	HT29_G1_5A_2	HT29_G1_5A_3	HT29_G1_5B_1	HT29_G1_5B_2	HT29_G1_5B_3	HT29_G1_5C_1	HT29_G1_5C_2	HT29_G1_5C_3	HT29_G1_5D_1	HT29_G1_5D_2	HT29_G1_5D_3	HT29_G1_5E_1	HT29_G1_5E_2	HT29_G1_5E_3	HT29_G1_5F_1	HT29_G1_5F_2	HT29_G1_5F_3	HT29_G2_4G_1	HT29_G2_4G_2	HT29_G2_4G_3	HT29_G2_4H_1	HT29_G2_4H_2	HT29_G2_4H_3	HT29_G2_5A_1	HT29_G2_5A_2	HT29_G2_5A_3	HT29_G2_5B_2	HT29_G2_5B_3	HT29_G2_5E_1	HT29_G2_5E_2	HT29_G2_5E_3	HT29_G2_5F_1	HT29_G2_5F_2	HT29_G2_5F_3	HT29_G2_5G_1	HT29_G2_5G_2	HT29_G2_5G_3	HT29_G2_5H_1	HT29_G2_5H_2	HT29_G2_5H_3	HT29_G2_6A_1	HT29_G2_6A_2	HT29_G2_6A_3	HT29_G2_6B_1	HT29_G2_6B_2	HT29_G2_6B_3	HT29_G2_6C_2	HT29_G2_6C_3	HT29_G2_6D_1	HT29_G2_6D_2	HT29_G2_6D_3	HT29_G2_6E_1	HT29_G2_6E_2	HT29_G2_6E_3	HT29_G2_6F_1	HT29_G2_6F_2	HT29_G2_6F_3	HT29_G2_6G_1	HT29_G2_6G_2	HT29_G2_6G_3	HT29Root1_1	HT29Root1_2	HT29Root1_3	HT29Root2_1	HT29Root2_2	HT29Root2_3
HT29_G1_1B_1	0	0.0152198905652661	0.00973000395869284	0.0158988846466655	0.00398568971580879	0.0103676897432511	0.00954350737165923	0.0205590676509427	0.00907644975069417	0.0102473746221365	0.0047397961375302	0.0102867447040163	0.0106384652534445	0.0105160656804368	0.00932962043391835	0.0174913248914102	0.0069670399673201	0.0214904472567548	0.0334554302242298	0.0231040792221192	0.0114350120142596	0.0187542553918537	0.014481775395899	0.01229241251139	0.0142543129531367	0.0101644677555812	0.0161036296543426	0.0201421713059865	0.00967258060588806	0.0177025735823955	0.0180405889136095	0.0126482313492954	0.0153898236500015	0.00680129175870346	0.0208669310427038	0.0194320316964325	0.00747449021272673	0.00284934079325529	0.00744147784560964	0.00596140839276327	0.0120410777684276	0.022616101454171	0.00294874075957399	0.00830058065760971	0.0105194520329611	0.00985329430332106	0.0122482868388914	0.00425957736782913	0.00707301946977306	0.0151396083290286	0.0116800014823448	0.0165985604574786	0.00979394354054226	0.0108776521519304	0.0129425696308139	0.0056873302308044	0.00667431078964333	0.00921166109840845	0.00477273168100447	0.00656786704930188	0.00652038773028548	0.0170279989683596	0.00841058280267565	0.00562438607685858	0.0101047755920393	0.00985058151136184	0.0126971136960276	0.0109317228562179	0.0117371923472944	0.00613052441305292	0.0113930033244626	0.00961570088362893	0.00693872268330299	0.00766875156046236	0.0120277243420126	0.0180146448225536	0.0212651424538941	0.0162273446865964	0.0119515409521684	0.005639463479803	0.0175931889352467	0.0219651122916125	0.00449101040892656	0.011994761390929	0.0030923094612614	0.00931895600872124	0.0134714906006181	0.0100053300674691	0.0145282843601558	0.00714315397097518	0.0157522447913165
HT29_G1_1B_2	0.0152198905652661	0	0.015366118950805	0.0233914831731014	0.0153923217933869	0.0184803297971637	0.0246484788354585	0.02129157393004	0.00712925909755347	0.0199259471538241	0.0110226299886098	0.0222981440185757	0.0171482563520361	0.0230537176393722	0.0138517230605661	0.0323922460107359	0.0123533678180638	0.00747854300949717	0.0268344389881514	0.0147352414711841	0.0241974514765513	0.0266951846196593	0.0260187286434344	0.0200691488755369	0.0287909765019673	0.02127387559007	0.0229853085678418	0.0290532998483828	0.0237364192896077	0.0221943330406977	0.0314320839829973	0.0271417495134138	0.00717984279512815	0.0215486463520053	0.0244495638521302	0.020752611779236	0.0164010106244661	0.0146861751918554	0.0186829484515525	0.0203782437309036	0.013350928905884	0.012618904299434	0.0161388596851817	0.0181014201671206	0.0198600251894836	0.015534495710749	0.0245393714903342	0.0130218059708594	0.0169180615059778	0.0241311240131562	0.0101551873519165	0.0233770582856963	0.0204410202062289	0.0244000074026907	0.0210933645382516	0.0187336873950344	0.0122397771292405	0.00604991619193863	0.0145519291156334	0.0156850366728378	0.016157484167632	0.00877147508083748	0.0110288720254452	0.0179634525471429	0.0119306129185838	0.0156900006585593	0.0100757875838957	0.0211028415945472	0.0200009560991391	0.0178896456636912	0.0253667398579387	0.0218139875179958	0.0132011776032687	0.013091334187316	0.0237036708906039	0.0304994770030762	0.0250572666734199	0.0167737695436108	0.00578452908082271	0.0148676907577408	0.0151165678669279	0.0278977670184107	0.0127722076274336	0.0105314067924081	0.0127225472594282	0.0217025068017607	0.0205580594913293	0.0158128631784044	0.017911165164092	0.0184137989830156	0.0161573030993579
HT29_G1_1B_3	0.00973000395869284	0.015366118950805	0	0.00994326573633035	0.00695174280427103	0.00389465946315674	0.0157756527800565	0.0126093838913642	0.01044365669889	0.00823086619082666	0.00765684812494366	0.00880497025737185	0.0068640189097036	0.00925393294950234	0.00303171169473207	0.0227364220647001	0.00953799386233711	0.0207753173589667	0.0272090152204022	0.017298027496164	0.0174000641380854	0.0135753581997791	0.0111290021341215	0.00543292745514066	0.0164241761862855	0.00688621532098455	0.00880644500743233	0.0157563479073973	0.0122587965729735	0.0103016913250242	0.0174644160893744	0.0147824075914159	0.011157438624807	0.0112465103265135	0.0138700167276772	0.0114326387714609	0.00332379140229184	0.00694369490007635	0.00634841403700217	0.00984081205529676	0.00625569906823277	0.0173974433678654	0.00851990757063824	0.00408809863681003	0.00633933454488432	0.0052875916491242	0.0103792962373615	0.00795483176864999	0.00815320434553425	0.00967939056202891	0.0157844860697342	0.0114866589828057	0.0176846381014008	0.0120297340212329	0.00574623554464046	0.00788610930769334	0.00886935865797993	0.0115893904248167	0.0098411380349471	0.0051408915142376	0.00401779674646149	0.0125223821990634	0.00445293207302891	0.00726818504964906	0.00907380142049412	0.000919297434942464	0.00784821674979313	0.00814727076192786	0.0190508578969483	0.00655590207286823	0.0128147126302382	0.00882981774446241	0.0130174893345458	0.0028447784191476	0.00951753792116668	0.0168241430075391	0.014756313169243	0.00851033536230264	0.0100496771972605	0.00436354783145018	0.0106370454483822	0.0168132683109107	0.0116674525589594	0.00589156522031425	0.00766381115988747	0.00870584080891094	0.00778254360212433	0.00769497572155659	0.00709208142993396	0.00537428739899601	0.00707584759795537
HT29_G1_2A_1	0.0158988846466655	0.0233914831731014	0.00994326573633035	0	0.0145342043728017	0.0103783035781678	0.0185080233577754	0.00943138505469542	0.0195565777579786	0.0063591735897275	0.0153275759100174	0.00774396129441679	0.0070249799699157	0.00942283698490616	0.00987674894813177	0.0241140278039632	0.0187947936282893	0.0294615882112241	0.0258138696067829	0.0202101166964269	0.022948359556808	0.00365569687039407	0.00983003437245407	0.00478369530609361	0.0164153495643449	0.00944801512166363	0.00270938652998921	0.00607936031058493	0.0153065226049895	0.00421506160490619	0.0131827787932568	0.0141927322778387	0.0181662048755185	0.0145743846309282	0.00684402009833021	0.0083979490220391	0.00927552801816195	0.0134662808380214	0.0124505182000775	0.0135921590821648	0.0103005442119561	0.0216102763768156	0.0153962614341499	0.00865144926121447	0.00542532237236207	0.00813721991779148	0.0111984180465119	0.0164350626645131	0.0161922728550989	0.00283324437333192	0.0250537696767127	0.00299679543583919	0.0245115220439814	0.0146586222233539	0.0067439710632542	0.013419147950295	0.0138179521518597	0.0196598756476739	0.0180776951543329	0.00974718616177596	0.0115902807243992	0.0180970833957201	0.013474054536154	0.0135720151250747	0.0189529015248083	0.00912475038216126	0.0138020851452611	0.00547186827431482	0.026671287667909	0.0129690252625737	0.0116953642026385	0.00810270199743305	0.0215452737880082	0.0118087392959674	0.00717078820227717	0.0106126493588855	0.00727603568338558	0.00915652246116447	0.0189746985350253	0.0124707966806356	0.0124478434923111	0.0075855544323928	0.0195453812528754	0.013740641737642	0.0149068170973499	0.00850040144396837	0.00296399051991549	0.00897614465164883	0.00633105335238237	0.00994415432567952	0.00984488720545914
HT29_G1_2A_2	0.00398568971580879	0.0153923217933869	0.00695174280427103	0.0145342043728017	0	0.00688102370366888	0.0103874058214757	0.0190702409988838	0.00862862605263002	0.0100604546687078	0.00516236765384421	0.00923203080315448	0.0102688667152602	0.00892369805520607	0.00771460413226819	0.0178292521841205	0.00523185736489981	0.0209972436181462	0.0328794218607251	0.0222734543636371	0.0111530661547461	0.0177232664975034	0.0121859771307119	0.0102218871293182	0.013525550145188	0.00755665577402306	0.0141012423469071	0.0192866638633121	0.00835500314190002	0.0161892492098598	0.0171914471473355	0.0122481187938703	0.0143935454399458	0.00660121412568304	0.0196753412719438	0.017887989683162	0.00545754053660171	0.00287354229155361	0.0041305860991148	0.0054311547929714	0.0110922740186763	0.0218157690977332	0.00170847116700939	0.00600227312745585	0.00926763409783773	0.00910687315375442	0.00998343259082274	0.00273890508908665	0.00353941872175511	0.0134954040671038	0.0118082387867589	0.0158551329427191	0.0107940770609044	0.00905661027178065	0.0101654698143162	0.00341288507050393	0.00819352750495062	0.00992929264846775	0.00356934576276267	0.00596121518182369	0.00332734541148412	0.0163047312678773	0.00659250378807138	0.00268215632479031	0.0074716949465613	0.00733350066103679	0.0118182374936023	0.0102087312068147	0.0124182174469543	0.00292231337995034	0.0110588876187926	0.00887657123547609	0.00729663347726484	0.00548199400488397	0.0106272251479473	0.0175160663656193	0.0202998999905586	0.0147675181421095	0.0108822236109041	0.00262790354350744	0.0164286492492015	0.0213903706936966	0.00592676746211702	0.0102161620121113	0.0038467144672636	0.00848477878113457	0.0123154623560738	0.0102439009049495	0.0130948927964497	0.00494756222178786	0.0137376312600005
HT29_G1_2A_3	0.0103676897432511	0.0184803297971637	0.00389465946315674	0.0103783035781678	0.00688102370366888	0	0.0140423076256909	0.0149743672023836	0.0126915677078415	0.00919484589279504	0.00988673917942467	0.00762400176258229	0.0093059755198981	0.00706717145989642	0.00671584822344711	0.0201867953936179	0.0101156286498769	0.0234486813968407	0.0304982684497756	0.020931158625705	0.0153277078040187	0.0137491757336565	0.00810472893199384	0.00568628297087706	0.0136300649302713	0.00410601509839867	0.00889207504999564	0.0155216823815158	0.00960498954261568	0.0117842765789657	0.0150820423449697	0.0124632591515134	0.0147376949930854	0.00960954904194125	0.0154991193737154	0.0137521599097878	0.00460378392526819	0.00797269880580442	0.00408455610617461	0.00841731722852435	0.0100087006946095	0.0210518147846922	0.00826287523444671	0.00375705791707966	0.00678726280105195	0.00825564863759543	0.00719537082028638	0.00873287253602207	0.00674199162933424	0.00906220596591938	0.0170339299974013	0.0126296875149606	0.0168272785003441	0.00898682898182197	0.00414907553482625	0.00634425076148246	0.0116441373105438	0.0143152700822621	0.00982290059510785	0.0070370606837529	0.00390530466524644	0.0162852800052672	0.00763830834710782	0.00584299374023182	0.00978278590444405	0.0042614139336437	0.0117245015140242	0.00836543891904158	0.0183669900458799	0.00502605932806703	0.0109810510209124	0.00795523577852446	0.0135216947630166	0.00586881310226909	0.00789103045984456	0.0152612346554142	0.0164086707850757	0.011610050769807	0.0129485112641578	0.00512077702049416	0.01412876508427	0.0178788322155039	0.0125627925424657	0.00951444297408732	0.00929284033535544	0.00767539496979759	0.00904317254216618	0.0104913641696535	0.0097318842241901	0.00444884366776662	0.0100520297647358
HT29_G1_3E_1	0.00954350737165923	0.0246484788354585	0.0157756527800565	0.0185080233577754	0.0103874058214757	0.0140423076256909	0	0.0261596108468403	0.0180722656040107	0.0137297517434804	0.014098660701287	0.0107906533175707	0.0163170833668391	0.00975162674859164	0.0164808928676093	0.0080192273439325	0.0141373431315	0.0304531250800905	0.0409802042408646	0.0316386310342634	0.00720825137636934	0.0202722299718989	0.0127823837621262	0.0158383850085859	0.00705426617378086	0.0112506962584779	0.0189088398877565	0.0205078945672122	0.00543411693379925	0.0218697298286611	0.0130908588027761	0.00672894000821747	0.024418176376592	0.00457090417287977	0.024975705569911	0.0249434990786451	0.0130071731716816	0.0108648084649204	0.0101723870467858	0.00595804029248077	0.0195909334235317	0.031502083972503	0.00900291958267912	0.0123763427720979	0.0138909429948417	0.0163392357076123	0.0103392000461676	0.0122446494903694	0.0110190722898886	0.0165883582138711	0.019041122555998	0.0197254064204703	0.00999125915420736	0.00707286914763077	0.0155825390838807	0.00810645558072463	0.0152488774980797	0.0186663581329668	0.0111489173358093	0.0129571451515716	0.0119398128252664	0.0260047160577954	0.0166614919463038	0.00897480960845063	0.017028368769371	0.0158043633329377	0.0212451780059483	0.0134061016409493	0.0130272114376118	0.00963540213467664	0.00779729918314767	0.0104254089042203	0.0135009500561967	0.015141584043286	0.0118334949836606	0.0148084106957304	0.0252326849194858	0.0227970864987806	0.0209865600676277	0.0122216837460938	0.0250717624344514	0.0244798898860452	0.0124193531391046	0.0201895193573581	0.0123339948426738	0.0100293779904313	0.0173295383626394	0.016513007748302	0.0202470165581599	0.0106740020093299	0.0223274454080377
HT29_G1_3E_2	0.0205590676509427	0.02129157393004	0.0126093838913642	0.00943138505469542	0.0190702409988838	0.0149743672023836	0.0261596108468403	0	0.0201775669886011	0.0130623485570332	0.0177712905372743	0.016016457537224	0.0106224031075592	0.0176104594984954	0.0116295238184074	0.0326631110419487	0.0215031725484712	0.0263379390274061	0.0169044388274136	0.0125910914627018	0.0294773208214616	0.0110067754737663	0.0180695653860005	0.0108227259365053	0.0252069335448615	0.0164514791290313	0.00910803694760638	0.0135572575318102	0.0229034890982534	0.00523364648665052	0.0225678141664283	0.0230342319604262	0.0145854529080282	0.021807655562384	0.00480463579204591	0.00125393470496512	0.0139272865851565	0.0178494911308619	0.0181658043513738	0.0205148588012037	0.00936861493837683	0.0146731826464887	0.0203767427440546	0.014321065968372	0.0123512597648085	0.01078239610197	0.0191537320517526	0.0198461923621023	0.0207373377316765	0.0118674995659113	0.0264089483295216	0.00887028482498465	0.0297825094716275	0.0223572452983192	0.0125915489656015	0.019500431591004	0.0160470932950426	0.0199841381707307	0.0220466937899055	0.0141524592831208	0.0161635790321857	0.0133864332907949	0.0145365356135633	0.0192166330966656	0.0205047557861921	0.0119716145492555	0.0115186483170701	0.0132493077919246	0.0312862146621464	0.0185233439800622	0.0204710451054064	0.0161673189530881	0.0247302738533978	0.0141149270606242	0.0159064878111445	0.0199438932916132	0.00581553403537723	0.00488982427256989	0.0178546949083425	0.0164905770561416	0.0063764889079931	0.0101679434380254	0.0229185874134148	0.012359833946294	0.0183102372746542	0.0164794911553789	0.00916976201905824	0.0116197011640032	0.0060997276927868	0.016017438768988	0.00649913093586252
HT29_G1_3E_3	0.00907644975069417	0.00712925909755347	0.01044365669889	0.0195565777579786	0.00862862605263002	0.0126915677078415	0.0180722656040107	0.0201775669886011	0	0.0155267367729082	0.00543086553198827	0.0167250479818453	0.0136630007945751	0.017011393628835	0.00978880873030085	0.0256154505152922	0.00527138128600239	0.012525912383521	0.0300669589171455	0.0180302489865251	0.0172763206938773	0.0230205746882064	0.0200065881167012	0.0154774693976288	0.0221280997414643	0.0151994115762252	0.0189884188584387	0.0251375100289708	0.0168917509186051	0.019463982035809	0.0254812164005783	0.0207636749958231	0.00890462461194674	0.0149616990249139	0.0224718505345132	0.0192880530774333	0.0110175339461223	0.00863449421064026	0.0120979424870328	0.0138553887972024	0.0112065392488053	0.0166148544898183	0.00936789714697194	0.0125028474827537	0.0150952979333254	0.0119231986798637	0.0181859401431222	0.00608532241481115	0.00989352465459049	0.019552186871858	0.00628473887623912	0.0201955241091526	0.0141783615525509	0.017585734611799	0.0159783215376968	0.012034656797721	0.0087707639977112	0.00320503455678156	0.00749551223093935	0.0107279906968326	0.00998028016612636	0.0113300372866954	0.00626590073444936	0.0112209969022717	0.00575752374095452	0.0109563203113804	0.00919476739201002	0.0163574855398527	0.0141348619672553	0.011234585540771	0.0193176786301632	0.0162876590286711	0.00683969713868667	0.00791470591264723	0.018143008327588	0.0251888806541628	0.0231625441373752	0.0152936986223202	0.00394889832313641	0.00863958284367991	0.0151213456499139	0.025413201741673	0.0064637927421054	0.00810321899383666	0.00677236591978659	0.016054279383914	0.0168100571247576	0.0127174775183486	0.0152999259386833	0.0124169253837576	0.0142001616711845
HT29_G1_3F_1	0.0102473746221365	0.0199259471538241	0.00823086619082666	0.0063591735897275	0.0100604546687078	0.00919484589279504	0.0137297517434804	0.0130623485570332	0.0155267367729082	0	0.0104702295541426	0.0047291132045216	0.00368097854096407	0.00705913654278498	0.00730650247025435	0.0204552590819257	0.0146947426626222	0.0266605314554783	0.0279324539247962	0.0205167295110592	0.0185697150081869	0.00870876156934612	0.0101740807210277	0.00545008898992796	0.0138806408028143	0.00769067456432289	0.00775110311281559	0.0102247316880672	0.0118523140373301	0.00893467909112615	0.0129765111323797	0.0112560322706667	0.0163824606755585	0.009932884256705	0.0116429765364278	0.0119486789440407	0.00571681626837196	0.00825594556472947	0.0093076493158911	0.00889246571153388	0.00865480550518477	0.0213167634429301	0.0104862548867268	0.00567059484364835	0.00273785236092668	0.00502776830345353	0.00994546533228956	0.0118785793121995	0.012666027409368	0.00641488282150256	0.020530717756649	0.00656294915368073	0.0192812578099756	0.0119264529289847	0.00780958975416461	0.00924310685329537	0.00859441970344621	0.0152083679530746	0.0134475238198866	0.00485759947348821	0.00809802998512987	0.016727254419362	0.0103918217044855	0.00954215605014165	0.0159245841683978	0.00744726878902558	0.0118483908849932	0.00190446461762239	0.0215730826990814	0.00920862075923369	0.00850166524743829	0.00425092422660953	0.0166150760989925	0.00863974169246452	0.00588919668344422	0.0109073732705165	0.0118079291127898	0.0105038340701261	0.0159961297814146	0.0085779693240469	0.0131319506535905	0.0118159987423779	0.0142722568831591	0.0120310667972801	0.00974902568546923	0.00465856780473373	0.00432088536125198	0.004905168511004	0.00764550306599043	0.0062340155034716	0.0111318771246847
