	HT29_G1_1B_1	HT29_G1_1B_2	HT29_G1_1B_3	HT29_G1_2A_1	HT29_G1_2A_2	HT29_G1_2A_3	HT29_G1_3E_1	HT29_G1_3E_2	HT29_G1_3E_3	HT29_G1_3F_1	HT29_G1_3F_2	HT29_G1_3F_3	HT29_G1_4A_1	HT29_G1_4A_2	HT29_G1_4A_3	HT29_G1_4B_1	HT29_G1_4B_2	HT29_G1_4B_3	HT29_G1_4C_1	HT29_G1_4C_2	HT29_G1_4C_3	HT29_G1_4F_1	HT29_G1_4F_2	HT29_G1_4F_3	HT29_G1_5A_1	HT29_G1_5A_2	HT29_G1_5A_3	HT29_G1_5B_1	HT29_G1_5B_2	HT29_G1_5B_3	HT29_G1_5C_1	HT29_G1_5C_2	HT29_G1_5C_3	HT29_G1_5D_1	HT29_G1_5D_2	HT29_G1_5D_3	HT29_G1_5E_1	HT29_G1_5E_2	HT29_G1_5E_3	HT29_G1_5F_1	HT29_G1_5F_2	HT29_G1_5F_3	HT29_G2_4G_1	HT29_G2_4G_2	HT29_G2_4G_3	HT29_G2_4H_1	HT29_G2_4H_2	HT29_G2_4H_3	HT29_G2_5A_1	HT29_G2_5A_2	HT29_G2_5A_3	HT29_G2_5B_2	HT29_G2_5B_3	HT29_G2_5E_1	HT29_G2_5E_2	HT29_G2_5E_3	HT29_G2_5F_1	HT29_G2_5F_2	HT29_G2_5F_3	HT29_G2_5G_1	HT29_G2_5G_2	HT29_G2_5G_3	HT29_G2_5H_1	HT29_G2_5H_2	HT29_G2_5H_3	HT29_G2_6A_1	HT29_G2_6A_2	HT29_G2_6A_3	HT29_G2_6B_1	HT29_G2_6B_2	HT29_G2_6B_3	HT29_G2_6C_2	HT29_G2_6C_3	HT29_G2_6D_1	HT29_G2_6D_2	HT29_G2_6E_1	HT29_G2_6E_2	HT29_G2_6E_3	HT29_G2_6F_1	HT29_G2_6F_2	HT29_G2_6F_3	HT29_G2_6G_1	HT29_G2_6G_2	HT29_G2_6G_3	HT29Root1_1	HT29Root1_2	HT29Root1_3	HT29Root2_1	HT29Root2_2	HT29Root2_3
HT29_G1_1B_1	0	0.0108683220989706	0.0133447928392074	0.00221352084991823	0.00844531629338028	0.0160788417404904	0.0115078654222034	0.00636137297045454	0.0105276738745335	0.00994967867539854	0.00999762997346135	0.00499047838283297	0.00660005364759648	0.0114685662257155	0.0060863084626302	0.0134318788990744	0.0123781098114582	0.00938956445553622	0.00514544050014101	0.0167728649174445	0.00108943762322092	0.0073836104583919	0.00700036466142993	0.00366297973866227	0.00703392912827039	0.00321670307965704	0.0088478303670823	0.00423739607490326	0.00337315246294932	0.00912572940972464	0.0116485599412662	0.0324411327437045	0.00555684837830132	0.0108565650427841	0.00768095245904492	0.00426884412273507	0.00343033133425297	0.005414430092693	0.000934784617662861	0.00369120957997726	0.012084939543388	0.0131494212638664	0.0109913972793709	0.00841381763424062	0.0163932299658091	0.0111932777537066	0.0102879618894919	0.00803282542659569	0.00498273397493442	0.00637140436741304	0.00645751989023562	0.00631902220721248	0.00608118852660319	0.00432984864813301	0.00214604767461298	0.0143955001222687	0.0278521433227582	0.0110119498857067	0.000536715470886195	0.010469158600131	0.0019912942991729	0.0135282978082081	0.0077837713383726	0.00464034279864825	0.00861475837369147	0.0182070264777486	0.0121623635311891	0.00577530267078261	0.0171872470746174	0.00831319236754631	0.0205868354261705	0.00303505819159233	0.0085523281658031	0.00790816473274671	0.00820828190268526	0.0193225640496918	0.00859154667262624	0.00853078383108291	0.000434532335507006	0.00240473522070769	0.0256908501256778	0.00532436188572894	0.0116059521733986	0.00775099321597649	0.00783981565590053	0.00957345217483425	0.0101183018283955	0.0142078694930384	0.00692941020748467	0.00680694382179805
HT29_G1_1B_2	0.0108683220989706	0	0.00444149871465408	0.00904003193639763	0.00397830837276785	0.0132598593956285	0.016037181299603	0.0121454683520367	0.00751307076749897	0.00297998844859944	0.00263260346353367	0.00905244864015182	0.00938804209725134	0.00112720995883302	0.0124524464302968	0.00579693346399619	0.00707347309653521	0.0108122250513527	0.00573820350592626	0.00601744747353459	0.0105733878446694	0.00576747750353837	0.00386825421192659	0.00947023718698527	0.00506725294874455	0.0104423303824857	0.0020226927044744	0.00866094944950128	0.0135040277483306	0.00785539093758599	0.0207448056267687	0.0392651345222724	0.0147550969727018	0.0116171605881791	0.00333775481842128	0.0102584345922625	0.00948505689396013	0.00896325471054862	0.0109343095079639	0.00726949726323226	0.00608777083929265	0.0023322292257517	0.0077088136505053	0.00255979432116959	0.0236483971397779	0.011796101466339	0.000714195564098366	0.00813639810254993	0.010140884694766	0.0087151240222299	0.00651573465093684	0.0156993696943816	0.01587982394816	0.00787367227119687	0.0129635140471081	0.0115854333986769	0.0335549383328381	0.00987134917726841	0.0103317630154822	0.00864790685653351	0.0104833049353549	0.0107507178283911	0.00510463926498669	0.00623779870791838	0.0113108784794771	0.00960594630090483	0.00439787542992483	0.0124032266133791	0.0100664334498691	0.00667443264091354	0.0274202426069413	0.00790184894242116	0.0117922437231152	0.00296851249504663	0.00287567415856478	0.0227805503319488	0.0062683468131324	0.00259065332151465	0.0106267153430553	0.011464525281	0.0311982121779457	0.0058863714434895	0.00900364768970396	0.0127147117159152	0.00653085443409448	0.00694811706941486	0.0025198040161773	0.00731588126555559	0.01280555338319	0.0062328287274884
HT29_G1_1B_3	0.0133447928392074	0.00444149871465408	0	0.0119925853082192	0.00490610702075016	0.00976358939770717	0.0202769132803681	0.0160244589369415	0.00558350553636954	0.00742118181151657	0.00343944107303502	0.0128377213912359	0.00947724880319356	0.0051803686136949	0.0162526048300413	0.00969632280811982	0.0113642389286215	0.00966887812251779	0.00872859967531018	0.0047644473597877	0.0133724536437489	0.00995246064258442	0.00701691694802623	0.0108333581808133	0.00635155292202532	0.0138074694837621	0.00553430467978668	0.0122551733998697	0.0164375389050513	0.00675016718478804	0.0242436271644143	0.0434433189865481	0.0180629013218123	0.016028997852745	0.00703902434690303	0.0138698428105848	0.0109425094095719	0.0128371432464636	0.01368074575929	0.0102363092114495	0.00305038043915416	0.00352894388060886	0.00549982533298125	0.00550472127026968	0.0276468253456015	0.00998470875901157	0.00506798201645946	0.012436251487883	0.0108903220295587	0.00897629419896617	0.00733699090874928	0.0189874244376955	0.0190257094420961	0.00938219437560961	0.0152198775217778	0.00834262426912773	0.0378542325612444	0.0078509197264371	0.0128308371522169	0.00679014490052386	0.0123434290129852	0.00769395527741247	0.00573747736188157	0.0089378902091179	0.0155641224982913	0.00530950345777065	0.00141008828014297	0.016150063004162	0.00564756560248619	0.0062468111666946	0.0315321885642618	0.0107592798809669	0.011128989737088	0.00640543337955906	0.00551337247256249	0.0271886344012116	0.00576990174715254	0.00522795122111906	0.0132233386102762	0.0131707165391445	0.0355068682903813	0.00803033790143312	0.0065678603290033	0.0167656294851305	0.0108154665212157	0.00565554327171337	0.00696109174254802	0.00317879152026319	0.0167187505430255	0.00695502022484738
HT29_G1_2A_1	0.00221352084991823	0.00904003193639763	0.0119925853082192	0	0.00721825383715895	0.0160689513708985	0.0106003074029855	0.00538787221595536	0.0100641217352972	0.007835176299602	0.00856243387490925	0.00312401972422401	0.00696235033278104	0.00952807631879035	0.00530116064182644	0.01123308213191	0.0101706063312898	0.00982911666632406	0.00334691128462936	0.0150331423301678	0.00155781883550269	0.00517074976110127	0.00521927949058712	0.00425181499630831	0.00595895430473729	0.00219828430117206	0.00705362648715079	0.00223040157939692	0.0044956612122375	0.00885857000574025	0.0123489555747714	0.0325523846376204	0.00611663194002977	0.00910056617515658	0.00574397074396297	0.00292399561543182	0.00403338554301345	0.00351887078112921	0.00193647051607659	0.00179150076303546	0.0111820856976018	0.0113619771830122	0.0105264224964801	0.00672776611302047	0.0164682806889429	0.01161609462657	0.00841188190711778	0.00595602992214924	0.00576435950598495	0.00652911746109343	0.00584178794325288	0.00702192992901929	0.00703407115543477	0.00406402249694526	0.00431045436934028	0.01430409487035	0.0276194179780388	0.0110222196727411	0.0017817338773788	0.0102652553418446	0.00332782159836368	0.0133908165094575	0.00681361477432274	0.00305540477754548	0.0070344395327078	0.0170792707508892	0.0109373365182375	0.00505499530087048	0.0163453292897519	0.0077879453093951	0.0205949090117822	0.00123521151264348	0.00935729875020829	0.00608020700441485	0.00659134917704087	0.0184196649202353	0.00795440549075667	0.00690789881413152	0.00182661323807367	0.0041718311507038	0.0253852134263106	0.00410095850773419	0.0113525890123735	0.0066759513319368	0.00564136719140526	0.00905715696295582	0.00803778683895251	0.0132852073897613	0.00606659480787122	0.00611938804934001
HT29_G1_2A_2	0.00844531629338028	0.00397830837276785	0.00490610702075016	0.00721825383715895	0	0.0104912534726419	0.0164848491390933	0.0117661424139057	0.00417427253098424	0.00565920336319769	0.00176721320440022	0.00860050679050471	0.00545357527059326	0.00506829534666577	0.0119032262065711	0.00938124097298597	0.0100263556950324	0.00689098165435034	0.00415983765435902	0.00882178375268047	0.00852403695761078	0.00659544980731841	0.00294177860201034	0.00607331701553327	0.00146375455645099	0.00918416283009272	0.00279570493904511	0.00786174603324047	0.01159199066554	0.00404859961906818	0.0195590633778827	0.0393417113760448	0.0133332096107578	0.012991289595835	0.00359184073952173	0.00942077758576405	0.00615263792208281	0.00870261522168029	0.0088169883863164	0.00553524195696115	0.00414058579463765	0.00560559872221474	0.00451830812555081	0.00214295463586914	0.02335498302297	0.00803123159367588	0.0038946269704834	0.00911662301932311	0.00642478372975713	0.00480261520068754	0.00270828685477486	0.0142395295811006	0.0142227366323031	0.0045443219811655	0.0103180562156032	0.00869228741107729	0.0340396915303326	0.0062946559766796	0.00793582472361217	0.00509858505839166	0.00747322209501523	0.00777105881786508	0.00114310853239075	0.00419205698644886	0.011941243953425	0.00986305927312203	0.00373591231310395	0.0117515024941523	0.00924675266371473	0.0027539831055847	0.0273705432404443	0.0059867085591012	0.00781431802329875	0.00293297945482538	0.00180340175556967	0.0238883118081386	0.00240819283624344	0.00182180451455997	0.00833761732999604	0.00834178613209501	0.0317302973546028	0.00315620937807163	0.00575817708452516	0.0127110932130538	0.00759985006787085	0.00334102883658541	0.00538252351644347	0.00616069140124259	0.0124808708677288	0.00236811941549821
HT29_G1_2A_3	0.0160788417404904	0.0132598593956285	0.00976358939770717	0.0160689513708985	0.0104912534726419	0	0.0264440039577518	0.0213644260594172	0.00637700697740033	0.0158499590580225	0.010804157279388	0.018440320934394	0.00950971511747743	0.0143067004272308	0.0213457947218386	0.0190332397749575	0.0202206266638682	0.00696802088347488	0.0140580256239983	0.0139014827451626	0.0167487677682358	0.0170562916172176	0.013376087325726	0.0124243440289678	0.0108857818394991	0.0182669447854166	0.0130820666605208	0.0175516174457733	0.0193995722093496	0.00724869917822281	0.027638865248972	0.0484908207759137	0.0216346963681855	0.023424042821761	0.0140822347700477	0.0188717937244125	0.0126536703506921	0.0186512757775686	0.0168663389353947	0.0149237466551121	0.00718876812473369	0.0132144733227811	0.00598715910798579	0.0125498142175777	0.0324218235243212	0.00538675950903843	0.0136041235969126	0.01953410842932	0.0112894820549366	0.00971214761476164	0.0103560003773798	0.0223794741330772	0.0220593063547666	0.0120246375938478	0.0169803964296549	0.00181713843490416	0.0436797180959042	0.00507625552449562	0.0157671692928996	0.00583905895860512	0.0142074454165938	0.0027558350196983	0.0100503909493485	0.0137280040778149	0.0221554274456724	0.00896211847725803	0.00903799034955365	0.0211149110524777	0.00633122739357907	0.00849108131516827	0.0365913843273391	0.0150650416206843	0.00844216031079732	0.0134143784675851	0.0122600977036098	0.034094811941377	0.00850399908228448	0.0121959943149816	0.0162339155502302	0.0144253175480475	0.041441909965931	0.0124780390257887	0.00484712776609819	0.0225283100338306	0.0180665128892806	0.00734855264585344	0.0154771619448891	0.00669652872370262	0.0220688579835981	0.0101692141302606
HT29_G1_3E_1	0.0115078654222034	0.016037181299603	0.0202769132803681	0.0106003074029855	0.0164848491390933	0.0264440039577518	0	0.00522701720823898	0.0201801762231909	0.0132462412672268	0.017109836880423	0.0080106545267711	0.017562045435843	0.0157610995651945	0.00542654338314543	0.0137996105152405	0.0113974912641238	0.0204277394158758	0.0124680558601602	0.0213775158994552	0.0104909244854002	0.0103266482670397	0.0136043060928736	0.014788991450971	0.0156875379308635	0.00849897071967834	0.014766170544109	0.00889507537204303	0.00940983367406378	0.0192011945583848	0.00843051348540722	0.0232415882343347	0.00749908466824048	0.0052348393774659	0.0133031876431947	0.00768118031912182	0.0145593636327277	0.00782903163280949	0.0105731301224027	0.0115266734928256	0.0206050359904941	0.0180451496345613	0.0206191071913569	0.0149346021351354	0.00814029799921652	0.0222102473268506	0.0153375597226311	0.00790716489613674	0.0162747025751852	0.0171136871122568	0.0160908989917658	0.00765681819658119	0.00846889774187533	0.0146163989449069	0.012141239069375	0.0246416820557469	0.0176048887219858	0.0214861981619237	0.0115459885042108	0.0206075205180541	0.0134423872809866	0.0237080108718948	0.0165691506022455	0.0127286040952747	0.00472690132708359	0.0255719613681065	0.0196938504023723	0.00573307175691983	0.0255682732666034	0.0179695438604453	0.0114943155262188	0.0114412899657458	0.0198963004238746	0.0139810168030373	0.0150530227911185	0.00783699305209003	0.0180113552652333	0.0152678369317515	0.0111604860962761	0.0138833156013872	0.0152728351092727	0.0139823677114803	0.0216219099174395	0.00393755082680243	0.00950689751717503	0.019170644261389	0.0137034732053384	0.0225166168630747	0.00459314161438015	0.0162807199589357
HT29_G1_3E_2	0.00636137297045454	0.0121454683520367	0.0160244589369415	0.00538787221595536	0.0117661424139057	0.0213644260594172	0.00522701720823898	0	0.015196380048584	0.00977882531190412	0.0126697958850904	0.00319482572238826	0.0123467609533542	0.012162788657578	0.000565506100168446	0.0116995864762987	0.00969701078095308	0.0152146174505651	0.00762049784894873	0.0179716136303816	0.00531030675281382	0.00648245626776761	0.00905466863473433	0.00956239850778667	0.0107923414485689	0.00327354507819832	0.0105258092109266	0.00391542466236709	0.0049680187336015	0.0141194571770804	0.00886356253938183	0.0275817843977156	0.00407597228944589	0.00540097808560337	0.00900795950623788	0.00249564112314806	0.00933297619688857	0.00319772603796376	0.00543297851977862	0.00647285670504203	0.0159021838675029	0.0143786913878703	0.0156474759614466	0.0105265769337694	0.0116348881865723	0.0170033526850239	0.0114324052133445	0.00486077015223144	0.0110503193566163	0.0119149562382439	0.0110264360808388	0.00481907817027221	0.00544590472852187	0.00943259016652922	0.00732250672965646	0.0195771778304979	0.0223824339109905	0.0163559055971891	0.0063524058216359	0.0155308674474024	0.00825181216593207	0.0186510257095014	0.0116819419478466	0.00775590830996773	0.00301250736551456	0.021317041465532	0.0152400104011517	0.000838741754980547	0.0209983393605775	0.0129451381766035	0.0156083250045037	0.00630158991754251	0.01467137673503	0.00962087393121056	0.0105618788083545	0.0130619887543501	0.0130344249280319	0.0108227757573614	0.00598960180003328	0.00876242437297188	0.0201113781537914	0.00899902199668502	0.0165804156045143	0.00139545606281644	0.00602740965730386	0.014181323847384	0.0101768120569652	0.0179140822794684	0.000716892568900071	0.011248799946618
HT29_G1_3E_3	0.0105276738745335	0.00751307076749897	0.00558350553636954	0.0100641217352972	0.00417427253098424	0.00637700697740033	0.0201801762231909	0.015196380048584	0	0.00974395701920721	0.00488622470973055	0.0121733706759972	0.00472138594769986	0.00863350498323993	0.0152314593706461	0.0132618609173003	0.0141364641353025	0.00411680296514927	0.00772871558096566	0.0103462361842167	0.0109921619079863	0.0106876479126671	0.00700796183081943	0.00711191204389294	0.00452504414768561	0.0122369378501481	0.00689449793643339	0.0113174018272357	0.0138975641894	0.00157198934890006	0.0221562599771947	0.04260838008707	0.0159718591446813	0.0170484691552713	0.00775433532888743	0.0127270230351207	0.00730526484851231	0.0123568426501584	0.0111823573589469	0.00872423357263497	0.00264995605918378	0.00823537145549103	0.000465556705350049	0.00629514047075846	0.0265303044116071	0.00448037338440431	0.00768811109698224	0.0131579778482708	0.00650682010560053	0.00450759228600641	0.00422245541163572	0.0167991317242411	0.0166067077706291	0.00621397931431681	0.0118965918251221	0.00456216658217004	0.0375722663246886	0.0024039146355436	0.0101215541522284	0.00122795614713972	0.00891432219096453	0.00362775441080735	0.00367588538437113	0.00746081829714886	0.0158090277938326	0.00855279303192762	0.00425833583441333	0.0150263897282882	0.0069044913126327	0.00227628056050055	0.0306485863655142	0.00895629554679294	0.00568310561609351	0.00710583714026745	0.00597362597242719	0.027765526503637	0.0021694118191773	0.00595397226562496	0.010584446337349	0.00944427047748338	0.0353013885435339	0.00620796112819308	0.00158397450068227	0.0162954497455695	0.0116989392932555	0.00101523094793381	0.00941990422153195	0.00433090397113087	0.0159098440691326	0.00395943322452901
HT29_G1_3F_1	0.00994967867539854	0.00297998844859944	0.00742118181151657	0.007835176299602	0.00565920336319769	0.0158499590580225	0.0132462412672268	0.00977882531190412	0.00974395701920721	0	0.0050546977731355	0.00692090623748916	0.0104010626548242	0.00251546096272407	0.0101609091396348	0.00394354759942421	0.00439433858376092	0.0123991045193661	0.00504959626869108	0.00823813280927256	0.00938137403265341	0.00331440956537083	0.00370495395819041	0.00960561090617124	0.00611867217258952	0.00869566325698647	0.00286559727026561	0.00678808163031433	0.0120170239418623	0.0096933198231204	0.0185860996401824	0.0364768430850799	0.0128797428758718	0.00866510315818204	0.00268778994881662	0.00825744784550936	0.00954691885442208	0.00672781863595508	0.00976454411135356	0.00628277090259774	0.00880319852812092	0.0047995663494072	0.0100279979363419	0.00353226775371286	0.0210384095387886	0.0136649654011007	0.00238717281368484	0.00535844989413406	0.0106461605552931	0.00970015143850684	0.00750182113389871	0.0138160755868431	0.0141195624021569	0.00811440733334228	0.0120945212643989	0.0141069521829962	0.0306780581269373	0.0119496977327899	0.00943740912837165	0.0107448784244809	0.0101236368359161	0.01322301171679	0.00656261693083125	0.00573988559814259	0.00854247211483167	0.0125522512762311	0.00727697989404322	0.0101688361295535	0.0130364148579986	0.00835169952666968	0.0247023134046726	0.00693335298718884	0.0130472482438298	0.00300763246926393	0.00390469131458077	0.0198236108455756	0.00805374271209771	0.00383772589381695	0.00961882555029222	0.0111447820670643	0.0283157076555252	0.00601304087609048	0.0113130194362278	0.0101512485732594	0.00383147036775898	0.00898563524010729	0.000468443377866494	0.0102266291600933	0.0103865122834763	0.00734481661382589
