	RPTEC_R1_1	RPTEC_R1_2	RPTEC_R1_3	RPTEC_R2_1	RPTEC_R2_2	RPTEC_R2_3	RPTEC_R3_1	RPTEC_R3_2	RPTEC_R3_3	RPTEC_R4_2	RPTEC_R4_3	RPTEC_R5_3	RPTEC_Root1_1	RPTEC_Root1_2	RPTEC_Root1_3
RPTEC_R1_1	0	0.004685272510538	0.00569130999527158	0.00516645614729976	0.012286198013363	0.00499465144883924	0.00691444306863107	0.0137740035678446	0.0270532116987511	0.0161650525310019	0.014991140139072	0.0135403352549606	0.00160002205993518	0.00808374316092347	0.00546693466650601
RPTEC_R1_2	0.004685272510538	0	0.00292065546696206	0.00983578845488974	0.00929818900539297	0.00316238504469971	0.00288607178594568	0.00920416761644077	0.0232977247629409	0.0140029601050339	0.0106835423976962	0.0115338172373674	0.003324275526014	0.00501161592615474	0.00268917207143953
RPTEC_R1_3	0.00569130999527158	0.00292065546696206	0	0.010615315907026	0.0118496112944871	0.000964612165338533	0.00537620296377816	0.0102017171999268	0.0251251740552487	0.0167256239117598	0.0121542265091116	0.0143237689381851	0.00409867035283612	0.00772983816045889	0.000259524141808078
RPTEC_R2_1	0.00516645614729976	0.00983578845488974	0.010615315907026	0	0.0162123065018217	0.00978061169166238	0.0117995108321054	0.0187774341559274	0.0311800351479178	0.0191836891219487	0.0197690574575682	0.0166179984953035	0.00669515712548346	0.0124400320224697	0.0104209995709673
RPTEC_R2_2	0.012286198013363	0.00929818900539297	0.0118496112944871	0.0162123065018217	0	0.012373582461387	0.00649104555158614	0.00710283948095476	0.0149724938336574	0.00510580939081834	0.00584307181547718	0.00337381760302696	0.0117660416887446	0.00435234751740145	0.0116886631897285
RPTEC_R2_3	0.00499465144883924	0.00316238504469971	0.000964612165338533	0.00978061169166238	0.012373582461387	0	0.005884981789534	0.0110995355523323	0.0259123630201172	0.0171526175460739	0.0129913658045896	0.0146949882971415	0.00344436139191296	0.00814875803116086	0.000908238948200866
RPTEC_R3_1	0.00691444306863107	0.00288607178594568	0.00537620296377816	0.0117995108321054	0.00649104555158614	0.005884981789534	0	0.00699923611025492	0.0204585818051838	0.0113591623787601	0.00807840341945222	0.00900640311287168	0.00588484056723635	0.00241992970348159	0.00520531721096944
RPTEC_R3_2	0.0137740035678446	0.00920416761644077	0.0102017171999268	0.0187774341559274	0.00710283948095476	0.0110995355523323	0.00699923611025492	0	0.0153928969157733	0.0115486201617393	0.00255473535499936	0.0104356148653865	0.01252398721562	0.00723634795884092	0.0101950553049871
RPTEC_R3_3	0.0270532116987511	0.0232977247629409	0.0251251740552487	0.0311800351479178	0.0149724938336574	0.0259123630201172	0.0204585818051838	0.0153928969157733	0	0.0133431558365596	0.0130633602797681	0.0153108141767018	0.0262836145444188	0.0189747462770326	0.0250562506763159
RPTEC_R4_2	0.0161650525310019	0.0140029601050339	0.0167256239117598	0.0191836891219487	0.00510580939081834	0.0171526175460739	0.0113591623787601	0.0115486201617393	0.0133431558365596	0	0.00957109537837751	0.00262736477186485	0.0159926906404024	0.00900750836312048	0.016543200604141
RPTEC_R4_3	0.014991140139072	0.0106835423976962	0.0121542265091116	0.0197690574575682	0.00584307181547718	0.0129913658045896	0.00807840341945222	0.00255473535499936	0.0130633602797681	0.00957109537837751	0	0.00891176851150847	0.0139157282890261	0.00751831826637122	0.0121088045142657
RPTEC_R5_3	0.0135403352549606	0.0115338172373674	0.0143237689381851	0.0166179984953035	0.00337381760302696	0.0146949882971415	0.00900640311287168	0.0104356148653865	0.0153108141767018	0.00262736477186485	0.00891176851150847	0	0.0133950343165254	0.00660165927240136	0.0141291721069317
RPTEC_Root1_1	0.00160002205993518	0.003324275526014	0.00409867035283612	0.00669515712548346	0.0117660416887446	0.00344436139191296	0.00588484056723635	0.01252398721562	0.0262836145444188	0.0159926906404024	0.0139157282890261	0.0133950343165254	0	0.00743954231886458	0.00387073363669773
RPTEC_Root1_2	0.00808374316092347	0.00501161592615474	0.00772983816045889	0.0124400320224697	0.00435234751740145	0.00814875803116086	0.00241992970348159	0.00723634795884092	0.0189747462770326	0.00900750836312048	0.00751831826637122	0.00660165927240136	0.00743954231886458	0	0.0075413837480633
RPTEC_Root1_3	0.00546693466650601	0.00268917207143953	0.000259524141808078	0.0104209995709673	0.0116886631897285	0.000908238948200866	0.00520531721096944	0.0101950553049871	0.0250562506763159	0.016543200604141	0.0121088045142657	0.0141291721069317	0.00387073363669773	0.0075413837480633	0
