	RPTEC_R1_2	RPTEC_R1_3	RPTEC_R2_2	RPTEC_R2_3	RPTEC_R3_2	RPTEC_R3_3	RPTEC_R4_2	RPTEC_R4_3	RPTEC_R5_2	RPTEC_R5_3	RPTEC_Root1_2	RPTEC_Root1_3
RPTEC_R1_2	0	0.0230497600572702	0.0149686289594724	0.0289302525424711	0.0130277882410582	0.0502310657296427	0.0428542705539362	0.051109314062085	0.0535540348040268	0.0971444901377234	0.0263412986526194	0.0151594445341815
RPTEC_R1_3	0.0230497600572702	0	0.0305240156434151	0.0459889044238474	0.0332217059970607	0.0692799427929037	0.0610225791028163	0.0707058461145891	0.0713530375971661	0.11398744559171	0.00581209504076349	0.0153709969849242
RPTEC_R2_2	0.0149686289594724	0.0305240156434151	0	0.0156177655643164	0.00973231998257782	0.0388266953405833	0.0310085825550135	0.0402796449573672	0.0414347566179896	0.084598009515599	0.0344764903187512	0.0163098623093651
RPTEC_R2_3	0.0289302525424711	0.0459889044238474	0.0156177655643164	0	0.0182890719585122	0.0235448957946361	0.0166206909767998	0.0252832845865751	0.0265622775587785	0.0694576802833157	0.049922337537174	0.0313665610994112
RPTEC_R3_2	0.0130277882410582	0.0332217059970607	0.00973231998257782	0.0182890719585122	0	0.0386041235740434	0.0329582829895981	0.0396015104653786	0.0433975073153452	0.0865804996362239	0.0374575066203314	0.0219041549957228
RPTEC_R3_3	0.0502310657296427	0.0692799427929037	0.0388266953405833	0.0235448957946361	0.0386041235740434	0	0.012373393481937	0.00291199607532581	0.011283617849657	0.0490365415315289	0.0731366128799943	0.0547847932656392
RPTEC_R4_2	0.0428542705539362	0.0610225791028163	0.0310085825550135	0.0166206909767998	0.0329582829895981	0.012373393481937	0	0.0135680925002716	0.0107303333539379	0.0545347086672503	0.0643197857325557	0.0460208689645852
RPTEC_R4_3	0.051109314062085	0.0707058461145891	0.0402796449573672	0.0252832845865751	0.0396015104653786	0.00291199607532581	0.0135680925002716	0	0.0120271947082979	0.0486960693846971	0.0744911199804438	0.0563064548882032
RPTEC_R5_2	0.0535540348040268	0.0713530375971661	0.0414347566179896	0.0265622775587785	0.0433975073153452	0.011283617849657	0.0107303333539379	0.0120271947082979	0	0.0438283941738773	0.0746353473574039	0.0562372840899078
RPTEC_R5_3	0.0971444901377234	0.11398744559171	0.084598009515599	0.0694576802833157	0.0865804996362239	0.0490365415315289	0.0545347086672503	0.0486960693846971	0.0438283941738773	0	0.117234770042692	0.0988346182307793
RPTEC_Root1_2	0.0263412986526194	0.00581209504076349	0.0344764903187512	0.049922337537174	0.0374575066203314	0.0731366128799943	0.0643197857325557	0.0744911199804438	0.0746353473574039	0.117234770042692	0	0.0188558620704734
RPTEC_Root1_3	0.0151594445341815	0.0153709969849242	0.0163098623093651	0.0313665610994112	0.0219041549957228	0.0547847932656392	0.0460208689645852	0.0563064548882032	0.0562372840899078	0.0988346182307793	0.0188558620704734	0
