	RPTEC_R1_1	RPTEC_R1_2	RPTEC_R1_3	RPTEC_R2_1	RPTEC_R2_2	RPTEC_R2_3	RPTEC_R3_1	RPTEC_R3_2	RPTEC_R3_3	RPTEC_R4_1	RPTEC_R4_3	RPTEC_R5_1	RPTEC_R5_2	RPTEC_R5_3	RPTEC_Root1_1	RPTEC_Root1_2	RPTEC_Root1_3
RPTEC_R1_1	0	0.0205413054018572	0.024403282403164	0.0131294165193397	0.0187320973394604	0.0229792990103682	0.0088857452886647	0.0260029691311232	0.00901100850922832	0.012494852168947	0.016780671850838	0.0167810528263009	0.0169567664319759	0.0159642036822046	0.0309911018934413	0.0127594316668809	0.0117155923416731
RPTEC_R1_2	0.0205413054018572	0	0.00852094685720909	0.0101126063457059	0.0091166191144017	0.00387021051725925	0.0189698629666286	0.00848133194659671	0.0231398263466736	0.00954543601030676	0.0102262908557111	0.00645720486784152	0.00464066023519352	0.00565165792965963	0.0154272922741745	0.010447155804672	0.0207808696172221
RPTEC_R1_3	0.024403282403164	0.00852094685720909	0	0.0117565866713982	0.0157313723091668	0.00575342123576002	0.0253585276516863	0.00356543819679537	0.0290169800286938	0.0163100987001915	0.00842506905402724	0.0083472645101099	0.0113612712728399	0.0130719589252775	0.0128206627960021	0.0146424087694483	0.0276705685757672
RPTEC_R2_1	0.0131294165193397	0.0101126063457059	0.0117565866713982	0	0.0114615673693885	0.0117287789958443	0.0152120025072945	0.0131448607898132	0.0192066163733941	0.00932636239830102	0.00506140199506916	0.00631398922483321	0.00895193636330632	0.00838031072446835	0.0213584500333776	0.00508803945880466	0.0188567854537575
RPTEC_R2_2	0.0187320973394604	0.0091166191144017	0.0157313723091668	0.0114615673693885	0	0.0127530551111113	0.0144166076695702	0.014578178954302	0.0211297250437709	0.00986570049103154	0.0148582993267316	0.012683921117347	0.0100895745189221	0.0060962366821143	0.0245219409293734	0.00754560158400653	0.0183169110552177
RPTEC_R2_3	0.0229792990103682	0.00387021051725925	0.00575342123576002	0.0117287789958443	0.0127530551111113	0	0.0223875199903676	0.00633426332798691	0.0259391155133418	0.0126084917496674	0.0100433095712514	0.0068249538820306	0.0070862456162549	0.00931469472142324	0.0120054005183518	0.0133546600446361	0.0238716868421634
RPTEC_R3_1	0.0088857452886647	0.0189698629666286	0.0253585276516863	0.0152120025072945	0.0144166076695702	0.0223875199903676	0	0.0259678362512166	0.00807327434411688	0.0102497516262836	0.0197596598792482	0.0180409699223411	0.0157847597253712	0.0133699451375387	0.0318632720853189	0.0120391814800666	0.00680371730064818
RPTEC_R3_2	0.0260029691311232	0.00848133194659671	0.00356543819679537	0.0131448607898132	0.014578178954302	0.00633426332798691	0.0259678362512166	0	0.0304189374208383	0.0172414898104397	0.0108921399184962	0.0105019148233616	0.0123897195693579	0.0132382116054659	0.0146709530365774	0.0149499626899502	0.0286612412005094
RPTEC_R3_3	0.00901100850922832	0.0231398263466736	0.0290169800286938	0.0192066163733941	0.0211297250437709	0.0259391155133418	0.00807327434411688	0.0304189374208383	0	0.0136150426848569	0.0226994710970559	0.0208029824723027	0.0189301997344565	0.0181789173278508	0.0330564868397209	0.0178407182856077	0.00487901713326493
RPTEC_R4_1	0.012494852168947	0.00954543601030676	0.0163100987001915	0.00932636239830102	0.00986570049103154	0.0126084917496674	0.0102497516262836	0.0172414898104397	0.0136150426848569	0	0.0123311932568384	0.00885718233810879	0.00564911209101537	0.00487395095010904	0.0216788959947016	0.00810377119382917	0.0114410597608766
RPTEC_R4_3	0.016780671850838	0.0102262908557111	0.00842506905402724	0.00506140199506916	0.0148582993267316	0.0100433095712514	0.0197596598792482	0.0108921399184962	0.0226994710970559	0.0123311932568384	0	0.00497524118140464	0.0098122969884508	0.0110730613377362	0.0176696615537335	0.00988014439645267	0.0224850163683828
RPTEC_R5_1	0.0167810528263009	0.00645720486784152	0.0083472645101099	0.00631398922483321	0.012683921117347	0.0068249538820306	0.0180409699223411	0.0105019148233616	0.0208029824723027	0.00885718233810879	0.00497524118140464	0	0.00510893316867492	0.00761443913954941	0.0153082992952925	0.00951893687166494	0.0197588795494957
RPTEC_R5_2	0.0169567664319759	0.00464066023519352	0.0113612712728399	0.00895193636330632	0.0100895745189221	0.0070862456162549	0.0157847597253712	0.0123897195693579	0.0189301997344565	0.00564911209101537	0.0098122969884508	0.00510893316867492	0	0.00423233863470699	0.0164390552617696	0.00950488748348485	0.0168065980006759
RPTEC_R5_3	0.0159642036822046	0.00565165792965963	0.0130719589252775	0.00838031072446835	0.0060962366821143	0.00931469472142324	0.0133699451375387	0.0132382116054659	0.0181789173278508	0.00487395095010904	0.0110730613377362	0.00761443913954941	0.00423233863470699	0	0.0201636156041965	0.00663916389864106	0.0157375890542771
RPTEC_Root1_1	0.0309911018934413	0.0154272922741745	0.0128206627960021	0.0213584500333776	0.0245219409293734	0.0120054005183518	0.0318632720853189	0.0146709530365774	0.0330564868397209	0.0216788959947016	0.0176696615537335	0.0153082992952925	0.0164390552617696	0.0201636156041965	0	0.0243748309162183	0.0314507542144622
RPTEC_Root1_2	0.0127594316668809	0.010447155804672	0.0146424087694483	0.00508803945880466	0.00754560158400653	0.0133546600446361	0.0120391814800666	0.0149499626899502	0.0178407182856077	0.00810377119382917	0.00988014439645267	0.00951893687166494	0.00950488748348485	0.00663916389864106	0.0243748309162183	0	0.0167330572988037
RPTEC_Root1_3	0.0117155923416731	0.0207808696172221	0.0276705685757672	0.0188567854537575	0.0183169110552177	0.0238716868421634	0.00680371730064818	0.0286612412005094	0.00487901713326493	0.0114410597608766	0.0224850163683828	0.0197588795494957	0.0168065980006759	0.0157375890542771	0.0314507542144622	0.0167330572988037	0
