	RPTEC_R1_1	RPTEC_R1_2	RPTEC_R1_3	RPTEC_R2_1	RPTEC_R2_2	RPTEC_R2_3	RPTEC_R3_1	RPTEC_R3_2	RPTEC_R3_3	RPTEC_R4_1	RPTEC_R4_2	RPTEC_R4_3	RPTEC_R5_1	RPTEC_R5_2	RPTEC_R5_3	RPTEC_Root1_1	RPTEC_Root1_2	RPTEC_Root1_3
RPTEC_R1_1	0	0.00608093519403154	0.009039463059249	0.00708056086000382	0.0163142285332422	0.00600579890296057	0.00937405917333041	0.00593720433008719	0.00639911518332738	0.00532245432827466	0.00622190086041331	0.00989816970935307	0.00664120027668499	0.0153634741904794	0.00506577547981604	0.00670376208489661	0.00995904401926113	0.00786990906518595
RPTEC_R1_2	0.00608093519403154	0	0.00508454153465833	0.00788936919290404	0.0150212286762128	0.00552963529471152	0.00399599677982742	0.00242320953699882	0.00697567321736909	0.00615766592932474	0.0029629720191076	0.00985786902150554	0.00285674966000761	0.0135798062808778	0.00676448867797239	0.00421292294091863	0.00694959952064495	0.00429622255865252
RPTEC_R1_3	0.009039463059249	0.00508454153465833	0	0.0061511793127441	0.0102844247151987	0.0041862293885448	0.00773328658977578	0.00613845506433916	0.00947821468816361	0.00929769291799656	0.00801803913154129	0.007396756120408	0.00786207907750061	0.0088131974810184	0.0078472479463057	0.00901282049638031	0.00712093214651728	0.00702144028764766
RPTEC_R2_1	0.00708056086000382	0.00788936919290404	0.0061511793127441	0	0.00953253496779806	0.00257634116811908	0.0117170288722813	0.00770340287386137	0.0104813694040519	0.00807207541378481	0.0102599205866427	0.00347850251881413	0.0103740088715423	0.0086150656451584	0.00732098211141334	0.0106162116418203	0.00820265322572191	0.0105140071480801
RPTEC_R2_2	0.0163142285332422	0.0150212286762128	0.0102844247151987	0.00953253496779806	0	0.010538106642423	0.0179700859942906	0.0154263364082716	0.0174557237990192	0.0169193017414502	0.017941874278214	0.00845670653017201	0.0178773795584266	0.00216129426023098	0.0144743883797808	0.0186260505656473	0.0139257085801596	0.016608001012943
RPTEC_R2_3	0.00600579890296057	0.00552963529471152	0.0041862293885448	0.00257634116811908	0.010538106642423	0	0.00939733941818518	0.00586689688100445	0.00844718443572043	0.00733087606000833	0.00804667666732792	0.00535631088986718	0.00813545193394656	0.00944713481564931	0.00569904686723728	0.00876998523162693	0.0075426373291546	0.00797484801105821
RPTEC_R3_1	0.00937405917333041	0.00399599677982742	0.00773328658977578	0.0117170288722813	0.0179700859942906	0.00939733941818518	0	0.00479304839429498	0.00915823799893731	0.00832929575794442	0.00348063060344123	0.0132062937141197	0.00297208552639078	0.0163469812395463	0.0101523519869185	0.00424835810751441	0.00828718685039405	0.00527386560196222
RPTEC_R3_2	0.00593720433008719	0.00242320953699882	0.00613845506433916	0.00770340287386137	0.0154263364082716	0.00586689688100445	0.00479304839429498	0	0.00876729839951161	0.00405668273480681	0.00366327477215453	0.00912788208713482	0.00357286782118456	0.0138436767875563	0.00818714618252196	0.00323430358323168	0.00521186749914689	0.0066193351124248
RPTEC_R3_3	0.00639911518332738	0.00697567321736909	0.00947821468816361	0.0104813694040519	0.0174557237990192	0.00844718443572043	0.00915823799893731	0.00876729839951161	0	0.0106323471945667	0.00678467270940766	0.0137334522860699	0.00712900332379035	0.0167739693203296	0.00357829024203439	0.00900208604189408	0.013578974860027	0.0045513411767544
RPTEC_R4_1	0.00532245432827466	0.00615766592932474	0.00929769291799656	0.00807207541378481	0.0169193017414502	0.00733087606000833	0.00832929575794442	0.00405668273480681	0.0106323471945667	0	0.00629872452531297	0.00916642364604846	0.0064442095631952	0.0154414026868014	0.00961288712165515	0.00477458472523829	0.00617887056264719	0.0099204055423645
RPTEC_R4_2	0.00622190086041331	0.0029629720191076	0.00801803913154129	0.0102599205866427	0.017941874278214	0.00804667666732792	0.00348063060344123	0.00366327477215453	0.00678467270940766	0.00629872452531297	0	0.0123531263647322	0.000517036229341592	0.0165263363411981	0.0077673082783481	0.0025173370672057	0.00869200388806889	0.00452468667351207
RPTEC_R4_3	0.00989816970935307	0.00985786902150554	0.007396756120408	0.00347850251881413	0.00845670653017201	0.00535631088986718	0.0132062937141197	0.00912788208713482	0.0137334522860699	0.00916642364604846	0.0123531263647322	0	0.0123666229392755	0.00719309399333475	0.0107325194428648	0.0121959203791309	0.00742066147486569	0.0130834328047602
RPTEC_R5_1	0.00664120027668499	0.00285674966000761	0.00786207907750061	0.0103740088715423	0.0178773795584266	0.00813545193394656	0.00297208552639078	0.00357286782118456	0.00712900332379035	0.0064442095631952	0.000517036229341592	0.0123666229392755	0	0.0164226730659823	0.00808775554689714	0.0024839250084718	0.00846939912556264	0.00454051509156017
RPTEC_R5_2	0.0153634741904794	0.0135798062808778	0.0088131974810184	0.0086150656451584	0.00216129426023098	0.00944713481564931	0.0163469812395463	0.0138436767875563	0.0167739693203296	0.0154414026868014	0.0165263363411981	0.00719309399333475	0.0164226730659823	0	0.013929187902561	0.0170591984378735	0.0119815101978785	0.0155001996780706
RPTEC_R5_3	0.00506577547981604	0.00676448867797239	0.0078472479463057	0.00732098211141334	0.0144743883797808	0.00569904686723728	0.0101523519869185	0.00818714618252196	0.00357829024203439	0.00961288712165515	0.0077673082783481	0.0107325194428648	0.00808775554689714	0.013929187902561	0	0.00953351810693439	0.0121949789792434	0.00614380016120565
RPTEC_Root1_1	0.00670376208489661	0.00421292294091863	0.00901282049638031	0.0106162116418203	0.0186260505656473	0.00876998523162693	0.00424835810751441	0.00323430358323168	0.00900208604189408	0.00477458472523829	0.0025173370672057	0.0121959203791309	0.0024839250084718	0.0170591984378735	0.00953351810693439	0	0.00753889330553411	0.0069841570297288
RPTEC_Root1_2	0.00995904401926113	0.00694959952064495	0.00712093214651728	0.00820265322572191	0.0139257085801596	0.0075426373291546	0.00828718685039405	0.00521186749914689	0.013578974860027	0.00617887056264719	0.00869200388806889	0.00742066147486569	0.00846939912556264	0.0119815101978785	0.0121949789792434	0.00753889330553411	0	0.0111074805761145
RPTEC_Root1_3	0.00786990906518595	0.00429622255865252	0.00702144028764766	0.0105140071480801	0.016608001012943	0.00797484801105821	0.00527386560196222	0.0066193351124248	0.0045513411767544	0.0099204055423645	0.00452468667351207	0.0130834328047602	0.00454051509156017	0.0155001996780706	0.00614380016120565	0.0069841570297288	0.0111074805761145	0
