	RPTEC_R1_1	RPTEC_R1_2	RPTEC_R1_3	RPTEC_R2_1	RPTEC_R2_2	RPTEC_R2_3	RPTEC_R3_1	RPTEC_R3_2	RPTEC_R3_3	RPTEC_R4_1	RPTEC_R4_3	RPTEC_R5_1	RPTEC_R5_2	RPTEC_R5_3	RPTEC_Root1_1	RPTEC_Root1_3
RPTEC_R1_1	0	0.0484210817828604	0.104616524025888	0.0939697276949211	0.0756414116801734	0.0612673084812178	0.0919895513854027	0.0713671257403456	0.0593608131927148	0.0698726983073493	0.0990348604405648	0.0716429643267421	0.0998693942099578	0.103150660744207	0.0636284913833681	0.0637717783916714
RPTEC_R1_2	0.0484210817828604	0	0.0569436762682203	0.0464123483271621	0.0328152182991526	0.0154924707714367	0.045991982744212	0.0263168173782133	0.0146042300373376	0.0302570796651096	0.0521396698150087	0.0243814002295747	0.052716127187447	0.0559459156118366	0.0194914486657646	0.020608959932363
RPTEC_R1_3	0.104616524025888	0.0569436762682203	0	0.0210320224508246	0.0344352088326845	0.0454338060788402	0.0185102050858533	0.0353057706251942	0.0471300638213006	0.0416816991476603	0.00843154642037348	0.0337720214385272	0.0108486716670198	0.0104675461455712	0.0449907574726809	0.0480221451375244
RPTEC_R2_1	0.0939697276949211	0.0464123483271621	0.0210320224508246	0	0.036493943356206	0.0342403247772205	0.0185221492106227	0.0294904331491672	0.0361176160501102	0.0404962608465364	0.0225080118907637	0.0281893551726755	0.0183251132817746	0.0223287265539491	0.0366416753138796	0.0331365857857862
RPTEC_R2_2	0.0756414116801734	0.0328152182991526	0.0344352088326845	0.036493943356206	0	0.0254028800155152	0.0267015409609676	0.0144829822340072	0.0264590841496953	0.0114556895377822	0.0272672701882429	0.0176146302359755	0.0315320698972173	0.0348422024491518	0.0284389970164677	0.0370368543664619
RPTEC_R2_3	0.0612673084812178	0.0154924707714367	0.0454338060788402	0.0342403247772205	0.0254028800155152	0	0.0332059279726892	0.0152805709858406	0.00860929057086995	0.0228039715732471	0.0404421970375342	0.0178087424814686	0.040798491205238	0.0453962643444241	0.0213394286776296	0.0187597658143761
RPTEC_R3_1	0.0919895513854027	0.045991982744212	0.0185102050858533	0.0185221492106227	0.0267015409609676	0.0332059279726892	0	0.0220260318958782	0.0338930413905892	0.0294849655067944	0.013628370483007	0.0256857562588554	0.0135697357299829	0.0197775011081823	0.0361356968307894	0.0371205782712449
RPTEC_R3_2	0.0713671257403456	0.0263168173782133	0.0353057706251942	0.0294904331491672	0.0144829822340072	0.0152805709858406	0.0220260318958782	0	0.0159164133119034	0.0124742339123348	0.0290790106431588	0.0132287356194608	0.0297337693552003	0.0347065383514387	0.022307491655891	0.025795077830994
RPTEC_R3_3	0.0593608131927148	0.0146042300373376	0.0471300638213006	0.0361176160501102	0.0264590841496953	0.00860929057086995	0.0338930413905892	0.0159164133119034	0	0.023352515800884	0.0419097046396704	0.0189547367146194	0.0425720299968178	0.0470443563649998	0.0189281011190707	0.0169107916444869
RPTEC_R4_1	0.0698726983073493	0.0302570796651096	0.0416816991476603	0.0404962608465364	0.0114556895377822	0.0228039715732471	0.0294849655067944	0.0124742339123348	0.023352515800884	0	0.0342516141500267	0.0214104355022159	0.0364935307354695	0.0410517611341061	0.0293282640276884	0.0359976440217426
RPTEC_R4_3	0.0990348604405648	0.0521396698150087	0.00843154642037348	0.0225080118907637	0.0272672701882429	0.0404421970375342	0.013628370483007	0.0290790106431588	0.0419097046396704	0.0342516141500267	0	0.029394199496224	0.011208897139803	0.0140426259911015	0.041414055076986	0.0453256314628177
RPTEC_R5_1	0.0716429643267421	0.0243814002295747	0.0337720214385272	0.0281893551726755	0.0176146302359755	0.0178087424814686	0.0256857562588554	0.0132287356194608	0.0189547367146194	0.0214104355022159	0.029394199496224	0	0.0299429681265514	0.0320881806021211	0.0138815395404616	0.0217379723611727
RPTEC_R5_2	0.0998693942099578	0.052716127187447	0.0108486716670198	0.0183251132817746	0.0315320698972173	0.040798491205238	0.0135697357299829	0.0297337693552003	0.0425720299968178	0.0364935307354695	0.011208897139803	0.0299429681265514	0	0.00833384928431246	0.0407354482094669	0.0432177400118373
RPTEC_R5_3	0.103150660744207	0.0559459156118366	0.0104675461455712	0.0223287265539491	0.0348422024491518	0.0453962643444241	0.0197775011081823	0.0347065383514387	0.0470443563649998	0.0410517611341061	0.0140426259911015	0.0320881806021211	0.00833384928431246	0	0.0420288312733517	0.0460567340584831
RPTEC_Root1_1	0.0636284913833681	0.0194914486657646	0.0449907574726809	0.0366416753138796	0.0284389970164677	0.0213394286776296	0.0361356968307894	0.022307491655891	0.0189281011190707	0.0293282640276884	0.041414055076986	0.0138815395404616	0.0407354482094669	0.0420288312733517	0	0.0157623969304243
RPTEC_Root1_3	0.0637717783916714	0.020608959932363	0.0480221451375244	0.0331365857857862	0.0370368543664619	0.0187597658143761	0.0371205782712449	0.025795077830994	0.0169107916444869	0.0359976440217426	0.0453256314628177	0.0217379723611727	0.0432177400118373	0.0460567340584831	0.0157623969304243	0
