Sample	Marker	Overlap_Score
RPTEC_R1	JF06_RPTEC_0.01	0.000300483796582873
RPTEC_R1	JF21_RPTEC_0.01	0.00628524007360165
RPTEC_R1	Nax11_RPTEC_0.01	0.0127474785226026
RPTEC_R1	Nax30_RPTEC_0.01	0.0037740464093618
RPTEC_R1	Nax38_RPTEC_0.01	0.00783496867087968
RPTEC_R1	Nax4_RPTEC_0.01	0.00583053285521512
RPTEC_R1	Nax40_RPTEC_0.01	0.0112776070319162
RPTEC_R1	Nax49_RPTEC_0.01	0.0120696049978761
RPTEC_R1	Nax50_RPTEC_0.01	0.0120854477436659
RPTEC_R1	Nax56_RPTEC_0.01	0.023608049043689
RPTEC_R1	Nax68_RPTEC_0.01	0.0218555803061028
RPTEC_R1	S1-17_RPTEC_0.01	0.00605031292718669
RPTEC_R1	S14-51_RPTEC_0.01	0.00467598667851209
RPTEC_R1	Sal21_RPTEC_0.01	0.0177069608969326
RPTEC_R1	Sal22LA_RPTEC_0.01	0.0102239062170109
RPTEC_R1	Sal22UA_RPTEC_0.01	0.00396340454951355
RPTEC_R1	Sal45_RPTEC_0.01	0.00481708440552633
RPTEC_R1	Sal46_RPTEC_0.01	0.0131929745385257
RPTEC_R1	Sal57_RPTEC_0.01	0.00145149496016067
RPTEC_R1	Sal58_RPTEC_0.01	0.0386309198638484
RPTEC_R1	Sal66_RPTEC_0.01	0.0133628192766979
RPTEC_R1	Sal74_RPTEC_0.01	0.00624522774209837
RPTEC_R1	Sal78_RPTEC_0.01	0.0090214816629911
RPTEC_R1	Sal87_RPTEC_0.01	0.00217974338254523
RPTEC_R2	JF06_RPTEC_0.01	0.000772237477784155
RPTEC_R2	JF21_RPTEC_0.01	0.014177835535188
RPTEC_R2	Nax11_RPTEC_0.01	0.0281593498288635
RPTEC_R2	Nax30_RPTEC_0.01	0.00448397493958036
RPTEC_R2	Nax38_RPTEC_0.01	0.0364429589101243
RPTEC_R2	Nax4_RPTEC_0.01	0.00800501257342287
RPTEC_R2	Nax40_RPTEC_0.01	0.00486011445499721
RPTEC_R2	Nax49_RPTEC_0.01	0.0187827434445541
RPTEC_R2	Nax50_RPTEC_0.01	0.0292727627750527
RPTEC_R2	Nax56_RPTEC_0.01	0.0178386155107478
RPTEC_R2	Nax68_RPTEC_0.01	0.0142654108533632
RPTEC_R2	S1-17_RPTEC_0.01	0.00427141319632748
RPTEC_R2	S14-51_RPTEC_0.01	0.00451494007662148
RPTEC_R2	Sal21_RPTEC_0.01	0.0296219766879174
RPTEC_R2	Sal22LA_RPTEC_0.01	0.00481623041374596
RPTEC_R2	Sal22UA_RPTEC_0.01	0.00396823831826776
RPTEC_R2	Sal45_RPTEC_0.01	0.00369345857879644
RPTEC_R2	Sal46_RPTEC_0.01	0.00313602855392875
RPTEC_R2	Sal57_RPTEC_0.01	0.00912693355665189
RPTEC_R2	Sal58_RPTEC_0.01	0.0966411214188427
RPTEC_R2	Sal66_RPTEC_0.01	0.0107785517337035
RPTEC_R2	Sal74_RPTEC_0.01	0.0126450840649488
RPTEC_R2	Sal78_RPTEC_0.01	0.000167506432247
RPTEC_R2	Sal87_RPTEC_0.01	0.00429358077938898
RPTEC_R3	JF06_RPTEC_0.01	0.00908383688492051
RPTEC_R3	JF21_RPTEC_0.01	0.0087906124464428
RPTEC_R3	Nax11_RPTEC_0.01	0.0515450727373024
RPTEC_R3	Nax30_RPTEC_0.01	0.0153913961011052
RPTEC_R3	Nax38_RPTEC_0.01	0.0240407512638783
RPTEC_R3	Nax4_RPTEC_0.01	0.00620752491479931
RPTEC_R3	Nax40_RPTEC_0.01	0.0164811201173416
RPTEC_R3	Nax49_RPTEC_0.01	0.0107010899602167
RPTEC_R3	Nax50_RPTEC_0.01	0.0237337964207318
RPTEC_R3	Nax56_RPTEC_0.01	0.020001144530941
RPTEC_R3	Nax68_RPTEC_0.01	0.016026719068954
RPTEC_R3	S1-17_RPTEC_0.01	0.0089075916857547
RPTEC_R3	S14-51_RPTEC_0.01	0.00304733188285738
RPTEC_R3	Sal21_RPTEC_0.01	0.0230732610197049
RPTEC_R3	Sal22LA_RPTEC_0.01	0.00389088901478551
RPTEC_R3	Sal22UA_RPTEC_0.01	0.00624299063050315
RPTEC_R3	Sal45_RPTEC_0.01	0.00681204825427256
RPTEC_R3	Sal46_RPTEC_0.01	0.00873353433031054
RPTEC_R3	Sal57_RPTEC_0.01	0.0205225989531978
RPTEC_R3	Sal58_RPTEC_0.01	0.0647613723777684
RPTEC_R3	Sal66_RPTEC_0.01	0.00917413581593751
RPTEC_R3	Sal74_RPTEC_0.01	0.00505066859019931
RPTEC_R3	Sal78_RPTEC_0.01	0.00235378761665628
RPTEC_R3	Sal87_RPTEC_0.01	0.00949138743062411
RPTEC_R4	JF06_RPTEC_0.01	0.0145927004625364
RPTEC_R4	JF21_RPTEC_0.01	0.00780458891721431
RPTEC_R4	Nax11_RPTEC_0.01	0.045114372068399
RPTEC_R4	Nax30_RPTEC_0.01	0.0140544893508026
RPTEC_R4	Nax38_RPTEC_0.01	0.0145925974995765
RPTEC_R4	Nax4_RPTEC_0.01	0.00471777750659211
RPTEC_R4	Nax40_RPTEC_0.01	0.00961576229217084
RPTEC_R4	Nax49_RPTEC_0.01	0.0146179812449069
RPTEC_R4	Nax50_RPTEC_0.01	0.0269337437945475
RPTEC_R4	Nax56_RPTEC_0.01	0.0349822642527082
RPTEC_R4	Nax68_RPTEC_0.01	0.0157974274087843
RPTEC_R4	S1-17_RPTEC_0.01	0.00837867943355616
RPTEC_R4	S14-51_RPTEC_0.01	0.00480418748056967
RPTEC_R4	Sal21_RPTEC_0.01	0.0322920289949477
RPTEC_R4	Sal22LA_RPTEC_0.01	0.00991151209769187
RPTEC_R4	Sal22UA_RPTEC_0.01	0.00894211270636974
RPTEC_R4	Sal45_RPTEC_0.01	0.00816697630042498
RPTEC_R4	Sal46_RPTEC_0.01	0.00887981553064776
RPTEC_R4	Sal57_RPTEC_0.01	0.0172391647810113
RPTEC_R4	Sal58_RPTEC_0.01	0.0546297621005024
RPTEC_R4	Sal66_RPTEC_0.01	0.011525403524817
RPTEC_R4	Sal74_RPTEC_0.01	0.0146757061858821
RPTEC_R4	Sal78_RPTEC_0.01	0.0052147331257909
RPTEC_R4	Sal87_RPTEC_0.01	0.00911074064499896
RPTEC_R5	JF06_RPTEC_0.01	0.0131465434866281
RPTEC_R5	JF21_RPTEC_0.01	0.0196084414648006
RPTEC_R5	Nax11_RPTEC_0.01	0.0870228963776326
RPTEC_R5	Nax30_RPTEC_0.01	0.0131535956075246
RPTEC_R5	Nax38_RPTEC_0.01	0.00423289720408934
RPTEC_R5	Nax4_RPTEC_0.01	0.00448492315361294
RPTEC_R5	Nax40_RPTEC_0.01	0.00674256812711188
RPTEC_R5	Nax49_RPTEC_0.01	0.0122473301671226
RPTEC_R5	Nax50_RPTEC_0.01	0.042833883682243
RPTEC_R5	Nax56_RPTEC_0.01	0.0252472903898871
RPTEC_R5	Nax68_RPTEC_0.01	0.0292898933731637
RPTEC_R5	S1-17_RPTEC_0.01	0.00981173429059284
RPTEC_R5	S14-51_RPTEC_0.01	0.0233183520616359
RPTEC_R5	Sal21_RPTEC_0.01	0.00291175297339857
RPTEC_R5	Sal22LA_RPTEC_0.01	0.0086240966740555
RPTEC_R5	Sal22UA_RPTEC_0.01	0.00672850431539312
RPTEC_R5	Sal45_RPTEC_0.01	0.00426921978089778
RPTEC_R5	Sal46_RPTEC_0.01	0.0144526703987288
RPTEC_R5	Sal57_RPTEC_0.01	0.0211155861575622
RPTEC_R5	Sal58_RPTEC_0.01	0.0348278134646957
RPTEC_R5	Sal66_RPTEC_0.01	0.0150302733639996
RPTEC_R5	Sal74_RPTEC_0.01	0.0104381801801359
RPTEC_R5	Sal78_RPTEC_0.01	0.0213995175098466
RPTEC_R5	Sal87_RPTEC_0.01	0.00574769732581548
RPTEC_Root1	JF06_RPTEC_0.01	0
RPTEC_Root1	JF21_RPTEC_0.01	0
RPTEC_Root1	Nax11_RPTEC_0.01	0
RPTEC_Root1	Nax30_RPTEC_0.01	0
RPTEC_Root1	Nax38_RPTEC_0.01	0
RPTEC_Root1	Nax4_RPTEC_0.01	0
RPTEC_Root1	Nax40_RPTEC_0.01	0
RPTEC_Root1	Nax49_RPTEC_0.01	0
RPTEC_Root1	Nax50_RPTEC_0.01	0
RPTEC_Root1	Nax56_RPTEC_0.01	0
RPTEC_Root1	Nax68_RPTEC_0.01	0
RPTEC_Root1	S1-17_RPTEC_0.01	0
RPTEC_Root1	S14-51_RPTEC_0.01	0
RPTEC_Root1	Sal21_RPTEC_0.01	0
RPTEC_Root1	Sal22LA_RPTEC_0.01	0
RPTEC_Root1	Sal22UA_RPTEC_0.01	0
RPTEC_Root1	Sal45_RPTEC_0.01	0
RPTEC_Root1	Sal46_RPTEC_0.01	0
RPTEC_Root1	Sal57_RPTEC_0.01	0
RPTEC_Root1	Sal58_RPTEC_0.01	0
RPTEC_Root1	Sal66_RPTEC_0.01	0
RPTEC_Root1	Sal74_RPTEC_0.01	0
RPTEC_Root1	Sal78_RPTEC_0.01	0
RPTEC_Root1	Sal87_RPTEC_0.01	0
