	RPTEC_R1_1	RPTEC_R1_2	RPTEC_R1_3	RPTEC_R2_1	RPTEC_R2_2	RPTEC_R2_3	RPTEC_R3_1	RPTEC_R3_2	RPTEC_R3_3	RPTEC_R4_1	RPTEC_R4_2	RPTEC_R4_3	RPTEC_R5_1	RPTEC_R5_2	RPTEC_R5_3	RPTEC_Root1_1	RPTEC_Root1_2	RPTEC_Root1_3
RPTEC_R1_1	0	0.00427603361376879	0.00537734932958918	0.0069128418553373	0.00721938664271282	0.00255595276631653	0.00953920979524002	0.00629407179120857	0.0125840511672191	0.00954576111459985	0.00980808638458577	0.0117169070790956	0.0130450430835975	0.0102094095541449	0.0203075560912896	0.00305031662750217	0.0119053584031884	0.00317427430925432
RPTEC_R1_2	0.00427603361376879	0	0.00228234296419098	0.00279226064563318	0.00343472545893584	0.00209234554604123	0.00531135101288439	0.00432872693165699	0.00885534482127686	0.0101324175461464	0.00741312257592711	0.00779287541096316	0.00890330865391843	0.00593633804222768	0.0160584875540061	0.00607775416009543	0.0077637182843354	0.00307963981692368
RPTEC_R1_3	0.00537734932958918	0.00228234296419098	0	0.00385872458444746	0.00486782355885834	0.0039939071274017	0.0047074910859904	0.00651896777780094	0.00985005183140712	0.00840138419290052	0.00933044318946833	0.0085948960934079	0.00924276948039073	0.00584439642358753	0.0158613323283883	0.00783859140843231	0.00675688000090918	0.00522685294277582
RPTEC_R2_1	0.0069128418553373	0.00279226064563318	0.00385872458444746	0	0.00110776505020497	0.00443174535847912	0.00347317198320952	0.00386592748927496	0.00613573034775219	0.0122599372555792	0.00574801108534955	0.00501342583773658	0.00614279316447974	0.00350480605089563	0.0134226804758412	0.00808481958864068	0.0060098814167854	0.00474063467625317
RPTEC_R2_2	0.00721938664271282	0.00343472545893584	0.00486782355885834	0.00110776505020497	0	0.00466704547236783	0.00424414187917301	0.00305965850319947	0.0054503453595954	0.0132529039305638	0.00464031914116325	0.00449848258811851	0.00592937169704577	0.00389929227514208	0.013361789256135	0.00796719120710613	0.00669534752075587	0.00464581298132946
RPTEC_R2_3	0.00255595276631653	0.00209234554604123	0.0039939071274017	0.00443174535847912	0.00466704547236783	0	0.00735818310471853	0.00405408495799824	0.0100338064956286	0.010541534646097	0.00754585237637506	0.00916302455638061	0.0105278681212637	0.00784074599501317	0.0178536171985531	0.00398796448397681	0.00984085236433999	0.00138740204330595
RPTEC_R3_1	0.00953920979524002	0.00531135101288439	0.0047074910859904	0.00347317198320952	0.00424414187917301	0.00735818310471853	0	0.00727799300061052	0.00651975720619432	0.0121224202599926	0.008360910479256	0.00510371928394702	0.00497699559577612	0.00152620714422241	0.0111563982874895	0.0112730149563843	0.00255357115588937	0.00800463849122142
RPTEC_R3_2	0.00629407179120857	0.00432872693165699	0.00651896777780094	0.00386592748927496	0.00305965850319947	0.00405408495799824	0.00727799300061052	0	0.00695605932894165	0.0143412081300656	0.00351990205413926	0.00653353515432499	0.00835299256129675	0.00692560401439586	0.0158052382256064	0.00586006176531552	0.00975356740172885	0.00312654870994698
RPTEC_R3_3	0.0125840511672191	0.00885534482127686	0.00985005183140712	0.00613573034775219	0.0054503453595954	0.0100338064956286	0.00651975720619432	0.00695605932894165	0	0.0181429055431473	0.00485906996199172	0.00141685074299324	0.00278092240136234	0.00502663484437149	0.00927848635483083	0.0127867155707662	0.00752806766068561	0.00970975764951092
RPTEC_R4_1	0.00954576111459985	0.0101324175461464	0.00840138419290052	0.0122599372555792	0.0132529039305638	0.010541534646097	0.0121224202599926	0.0143412081300656	0.0181429055431473	0	0.0175442545107109	0.0168177718867471	0.017088308183757	0.013586283511878	0.0225698512634744	0.0125030271840607	0.0130031692611418	0.0118794243964111
RPTEC_R4_2	0.00980808638458577	0.00741312257592711	0.00933044318946833	0.00574801108534955	0.00464031914116325	0.00754585237637506	0.008360910479256	0.00351990205413926	0.00485906996199172	0.0175442545107109	0	0.00518152195733785	0.00718890141698544	0.00738129229133778	0.0141361377747202	0.00902056684297167	0.0104172440251868	0.0066348700082865
RPTEC_R4_3	0.0117169070790956	0.00779287541096316	0.0085948960934079	0.00501342583773658	0.00449848258811851	0.00916302455638061	0.00510371928394702	0.00653353515432499	0.00141685074299324	0.0168177718867471	0.00518152195733785	0	0.00201049324156596	0.00361043835142844	0.00929635413487218	0.012219248481621	0.00619221438417735	0.00900890153406966
RPTEC_R5_1	0.0130450430835975	0.00890330865391843	0.00924276948039073	0.00614279316447974	0.00592937169704577	0.0105278681212637	0.00497699559577612	0.00835299256129675	0.00278092240136234	0.017088308183757	0.00718890141698544	0.00201049324156596	0	0.00350646979681757	0.00747513332649284	0.0138626039763828	0.00517745579456002	0.0105685581078213
RPTEC_R5_2	0.0102094095541449	0.00593633804222768	0.00584439642358753	0.00350480605089563	0.00389929227514208	0.00784074599501317	0.00152620714422241	0.00692560401439586	0.00502663484437149	0.013586283511878	0.00738129229133778	0.00361043835142844	0.00350646979681757	0	0.0101505613491954	0.0115869240867149	0.00303827357117669	0.00824506330214559
RPTEC_R5_3	0.0203075560912896	0.0160584875540061	0.0158613323283883	0.0134226804758412	0.013361789256135	0.0178536171985531	0.0111563982874895	0.0158052382256064	0.00927848635483083	0.0225698512634744	0.0141361377747202	0.00929635413487218	0.00747513332649284	0.0101505613491954	0	0.0213208060946	0.00960037617259341	0.0180061545476519
