	RPTEC_R1_1	RPTEC_R1_2	RPTEC_R1_3	RPTEC_R2_1	RPTEC_R2_2	RPTEC_R2_3	RPTEC_R3_1	RPTEC_R3_2	RPTEC_R3_3	RPTEC_R4_2	RPTEC_R4_3	RPTEC_R5_1	RPTEC_R5_2	RPTEC_R5_3	RPTEC_Root1_1	RPTEC_Root1_2	RPTEC_Root1_3
RPTEC_R1_1	0	0.0115214412550411	0.00308951610450209	0.0100636822063426	0.000406416364229829	0.00704546307958668	0.00373478602869513	0.00147675284763245	0.00019246843746645	0.0093149606540199	0.00736130834703848	0.00137133752028052	0.0203735793140458	0.0156971406434601	0.00223657885382552	0.0111054319924272	0.0181821123833152
RPTEC_R1_2	0.0115214412550411	0	0.00843203021668184	0.0215842497590354	0.0119278380827557	0.0185663778830044	0.00778677253378086	0.0129981167632701	0.0113289816055903	0.0208356211469482	0.0188821902280694	0.0128927075374294	0.00885286854604918	0.00417596455220019	0.00928494613915456	0.00041602793076585	0.00666116136612258
RPTEC_R1_3	0.00308951610450209	0.00843203021668184	0	0.0131530557565577	0.0034959309357897	0.0101349022442907	0.000645272526285386	0.00456626167883704	0.00289704826812835	0.0124043523051131	0.0104507415619299	0.0044608470264007	0.0172844448381165	0.0126078387768991	0.000852939309769141	0.00801601215499141	0.0150928935177681
RPTEC_R2_1	0.0100636822063426	0.0215842497590354	0.0131530557565577	0	0.00965727960292865	0.00301829360793686	0.0137982874337271	0.00858697381031266	0.0102561437228485	0.000748745972748914	0.00270244353281258	0.0086923864720549	0.03043507912592	0.0257594010790308	0.0123001645670843	0.0211682883381818	0.028243987985826
RPTEC_R2_2	0.000406416364229829	0.0119278380827557	0.0034959309357897	0.00965727960292865	0	0.00663905334160939	0.00414120019757057	0.00107033670764972	0.000598884785789446	0.00890855604075336	0.00695489923506524	0.000964921343745795	0.0207799353737916	0.0161035210398412	0.00264299437911903	0.0115118301839278	0.0185884806297866
RPTEC_R2_3	0.00704546307958668	0.0185663778830044	0.0101349022442907	0.00301829360793686	0.00663905334160939	0	0.0107801501661838	0.00556873042336508	0.00723792809622226	0.0022695494181155	0.000315850970957598	0.005674144664724	0.0274176651138551	0.0227417244267657	0.00928199092972565	0.018150399038995	0.0252264450974246
RPTEC_R3_1	0.00373478602869513	0.00778677253378086	0.000645272526285386	0.0137982874337271	0.00414120019757057	0.0107801501661838	0	0.00521152884026058	0.00354231848008126	0.0130495883929799	0.0110959879752724	0.00510611441758122	0.0166392374687586	0.0119626003806626	0.00149821154773406	0.00737075298454873	0.0144476703661695
RPTEC_R3_2	0.00147675284763245	0.0129981167632701	0.00456626167883704	0.00858697381031266	0.00107033670764972	0.00556873042336508	0.00521152884026058	0	0.00166922112011675	0.00783824536777005	0.00588457779137772	0.000105415401836987	0.021850101812723	0.017173754146302	0.00371332742033655	0.0125821126853548	0.0196586803698912
RPTEC_R3_3	0.00019246843746645	0.0113289816055903	0.00289704826812835	0.0102561437228485	0.000598884785789446	0.00723792809622226	0.00354231848008126	0.00166922112011675	0	0.00950742315245535	0.00755377305450189	0.00156380581422736	0.0201811386155991	0.0155046886076385	0.00204411072307089	0.010912971713846	0.0179896660015504
RPTEC_R4_2	0.0093149606540199	0.0208356211469482	0.0124043523051131	0.000748745972748914	0.00890855604075336	0.0022695494181155	0.0130495883929799	0.00783824536777005	0.00950742315245535	0	0.00195369893417105	0.00794365848360019	0.029686569308768	0.0250108233563785	0.0115514556197377	0.0204196551587028	0.0274954449089392
