	RPTEC_R1_1	RPTEC_R1_3	RPTEC_R2_1	RPTEC_R2_2	RPTEC_R2_3	RPTEC_R3_1	RPTEC_R3_2	RPTEC_R3_3	RPTEC_R4_1	RPTEC_R4_2	RPTEC_R4_3	RPTEC_R5_1	RPTEC_R5_2	RPTEC_R5_3	RPTEC_Root1_1	RPTEC_Root1_2	RPTEC_Root1_3
RPTEC_R1_1	0	0.0299157788405795	0.0186613203094343	0.022609123474882	0.0343970602901303	0.0134982956174958	0.0242559408613889	0.0259112978756834	0.0113911498287044	0.0242311225245354	0.0171355807781616	0.0111046663126352	0.0161120115830369	0.0202106511942759	0.00231843103392799	0.0211616351837566	0.0412734463923736
RPTEC_R1_3	0.0299157788405795	0	0.0112683307627645	0.0073111514221392	0.00542683216483119	0.0180037353505408	0.00958633065330623	0.00604313632994877	0.0200685611651674	0.00866621628214586	0.0133024284251655	0.01896352543234	0.0141185509613435	0.012490509391668	0.0277397394932443	0.0103469772131845	0.0113905751691934
RPTEC_R2_1	0.0186613203094343	0.0112683307627645	0	0.00395933851492408	0.0160136154787953	0.00803467982886028	0.00796619302642511	0.00829693436236282	0.00929705654588235	0.00730423439834317	0.00295825789639082	0.00772013321589679	0.00370665090437958	0.00601032606441218	0.0165105708211214	0.00466719138293912	0.0226205004188309
RPTEC_R2_2	0.022609123474882	0.0073111514221392	0.00395933851492408	0	0.0121308696536443	0.0112118725749807	0.00677307831147483	0.00526146340544674	0.0130165955735571	0.0057624797317087	0.00627547094462017	0.0116715316663526	0.00703364859648423	0.00710835803312743	0.0204421926371878	0.00486628486270626	0.0186785091405301
RPTEC_R2_3	0.0343970602901303	0.00542683216483119	0.0160136154787953	0.0121308696536443	0	0.0217173408696645	0.0149711965226358	0.00872444268149251	0.0251310373681705	0.0140785094896873	0.0183619500497971	0.0237092747386969	0.0183135232985778	0.01789294202352	0.0321524785316552	0.0157116567030559	0.00817704838561265
RPTEC_R3_1	0.0134982956174958	0.0180037353505408	0.00803467982886028	0.0112118725749807	0.0217173408696645	0	0.0158845533915535	0.0130015858238586	0.0097775608071529	0.0153070320930108	0.00878668059489018	0.00651292266295785	0.00433472466707435	0.0130399211793444	0.0111815178634318	0.0124494680996823	0.0292600876107898
RPTEC_R3_2	0.0242559408613889	0.00958633065330623	0.00796619302642511	0.00677307831147483	0.0149711965226358	0.0158845533915535	0	0.0113293858200198	0.0130537748260817	0.00108338367641571	0.00756643282524315	0.013404519997628	0.0116237174652325	0.00411092092931644	0.0224183094647669	0.00346387667350435	0.0189832105305743
RPTEC_R3_3	0.0259112978756834	0.00604313632994877	0.00829693436236282	0.00526146340544674	0.00872444268149251	0.0130015858238586	0.0113293858200198	0	0.0175670408681579	0.0102468806483411	0.0111198898793542	0.015615764726994	0.00981853184148969	0.0123561461531028	0.0236324498392363	0.0100846179843929	0.0165107635990998
RPTEC_R4_1	0.0113911498287044	0.0200685611651674	0.00929705654588235	0.0130165955735571	0.0251310373681705	0.0097775608071529	0.0130537748260817	0.0175670408681579	0	0.0131745147309823	0.00677838954045713	0.00326811598848818	0.00880114906633987	0.00894951246311051	0.00983832011291516	0.0102580630042928	0.0310985483284611
RPTEC_R4_2	0.0242311225245354	0.00866621628214586	0.00730423439834317	0.0057624797317087	0.0140785094896873	0.0153070320930108	0.00108338367641571	0.0102468806483411	0.0131745147309823	0	0.00728508541766362	0.0132581214269148	0.0110020049873523	0.00437178022081853	0.0223298773082536	0.00311784387088186	0.0184273960403826
RPTEC_R4_3	0.0171355807781616	0.0133024284251655	0.00295825789639082	0.00627547094462017	0.0183619500497971	0.00878668059489018	0.00756643282524315	0.0111198898793542	0.00677838954045713	0.00728508541766362	0	0.00604780822337673	0.00502475484314557	0.00425674584322616	0.0151423341108858	0.00416932512143336	0.0244335716524658
RPTEC_R5_1	0.0111046663126352	0.01896352543234	0.00772013321589679	0.0116715316663526	0.0237092747386969	0.00651292266295785	0.013404519997628	0.015615764726994	0.00326811598848818	0.0132581214269148	0.00604780822337673	0	0.00612865970282642	0.00954252276994595	0.00909589634378742	0.0101501274678323	0.0302643590516833
RPTEC_R5_2	0.0161120115830369	0.0141185509613435	0.00370665090437958	0.00703364859648423	0.0183135232985778	0.00433472466707435	0.0116237174652325	0.00981853184148969	0.00880114906633987	0.0110020049873523	0.00502475484314557	0.00612865970282642	0	0.00912108751165564	0.0138493971558546	0.00823257351769383	0.0254901465258849
RPTEC_R5_3	0.0202106511942759	0.012490509391668	0.00601032606441218	0.00710835803312743	0.01789294202352	0.0130399211793444	0.00411092092931644	0.0123561461531028	0.00894951246311051	0.00437178022081853	0.00425674584322616	0.00954252276994595	0.00912108751165564	0	0.0184319875097739	0.00230402793873498	0.022759388144032
RPTEC_Root1_1	0.00231843103392799	0.0277397394932443	0.0165105708211214	0.0204421926371878	0.0321524785316552	0.0111815178634318	0.0224183094647669	0.0236324498392363	0.00983832011291516	0.0223298773082536	0.0151423341108858	0.00909589634378742	0.0138493971558546	0.0184319875097739	0	0.0192331135860006	0.0391135718729929
RPTEC_Root1_2	0.0211616351837566	0.0103469772131845	0.00466719138293912	0.00486628486270626	0.0157116567030559	0.0124494680996823	0.00346387667350435	0.0100846179843929	0.0102580630042928	0.00311784387088186	0.00416932512143336	0.0101501274678323	0.00823257351769383	0.00230402793873498	0.0192331135860006	0	0.0209467473375279
RPTEC_Root1_3	0.0412734463923736	0.0113905751691934	0.0226205004188309	0.0186785091405301	0.00817704838561265	0.0292600876107898	0.0189832105305743	0.0165107635990998	0.0310985483284611	0.0184273960403826	0.0244335716524658	0.0302643590516833	0.0254901465258849	0.022759388144032	0.0391135718729929	0.0209467473375279	0
