	RPTEC_R1_1	RPTEC_R1_2	RPTEC_R1_3	RPTEC_R2_1	RPTEC_R2_2	RPTEC_R2_3	RPTEC_R3_1	RPTEC_R3_2	RPTEC_R3_3	RPTEC_R4_1	RPTEC_R4_2	RPTEC_R4_3	RPTEC_R5_1	RPTEC_R5_2	RPTEC_Root1_1	RPTEC_Root1_2	RPTEC_Root1_3
RPTEC_R1_1	0	0.0309832942653255	0.0414784096530751	0.0286705615649337	0.0341654482780408	0.0305677798874388	0.0218744079587427	0.0342353838908514	0.0432360152815956	0.0246294727550574	0.0257846027979692	0.0277445711810614	0.0227656032347492	0.0285580130495205	0.00810742740441437	0.0283316442306915	0.0342604576216338
RPTEC_R1_2	0.0309832942653255	0	0.0106520773154585	0.0025513496621204	0.00323742328323151	0.00270732140852899	0.00956524447606821	0.00785969508487722	0.0123442413445993	0.00749615074883991	0.00617286657613085	0.0037652080581953	0.0108455656688091	0.00469704521886929	0.0291969670024711	0.004302149248892	0.00384486303693084
RPTEC_R1_3	0.0414784096530751	0.0106520773154585	0	0.0131524816664391	0.00741480751035995	0.0109970271584618	0.0197012939236025	0.00967577528587854	0.00181493239394888	0.0171236040053324	0.0158580357364553	0.013751540092631	0.021083960278897	0.0132581995631875	0.0398242348353002	0.0133390043927793	0.00723656484882
RPTEC_R2_1	0.0286705615649337	0.0025513496621204	0.0131524816664391	0	0.00575242620181422	0.00410520944441591	0.00774034984128753	0.0097505082346714	0.0148130566677518	0.00625893599841515	0.00507802976016334	0.00300802558007592	0.00834233147194043	0.00489954793449875	0.026679574644364	0.00429757409318713	0.00637564263825832
RPTEC_R2_2	0.0341654482780408	0.00323742328323151	0.00741480751035995	0.00575242620181422	0	0.00423233009755443	0.0125597190765962	0.00689942550437114	0.00911333741995011	0.0102144198520436	0.00889047692538704	0.00658727023124099	0.0138886185991491	0.00669870405531269	0.0324252165287025	0.0065604394170954	0.00149440731224768
RPTEC_R2_3	0.0305677798874388	0.00270732140852899	0.0109970271584618	0.00410520944441591	0.00423233009755443	0	0.00871997402659568	0.00565645595388485	0.0127941851524766	0.00614303031419984	0.00486229879626916	0.0028930824806767	0.0121358737422244	0.0024664202729538	0.0294999521628585	0.00237817205906436	0.00378422725703734
RPTEC_R3_1	0.0218744079587427	0.00956524447606821	0.0197012939236025	0.00774034984128753	0.0125597190765962	0.00871997402659568	0	0.0127153676153171	0.0214874418343988	0.00285497605109926	0.00391376813275537	0.00598214241008955	0.00845511679859579	0.00671135071534132	0.0214439020445762	0.00645951066901181	0.0124664729875811
RPTEC_R3_2	0.0342353838908514	0.00785969508487722	0.00967577528587854	0.0097505082346714	0.00689942550437114	0.00565645595388485	0.0127153676153171	0	0.0113758462712875	0.00986096317650226	0.00898490484159116	0.00805319135789286	0.0176942288087418	0.00626839478359241	0.0341279033447014	0.00676192093070352	0.00542178998823677
RPTEC_R3_3	0.0432360152815956	0.0123442413445993	0.00181493239394888	0.0148130566677518	0.00911333741995011	0.0127941851524766	0.0214874418343988	0.0113758462712875	0	0.018926777661946	0.0176559860331917	0.0155267007253033	0.022607225710467	0.0150691629778384	0.0414648659844853	0.0151429214387771	0.00902304748082218
RPTEC_R4_1	0.0246294727550574	0.00749615074883991	0.0171236040053324	0.00625893599841515	0.0102144198520436	0.00614303031419984	0.00285497605109926	0.00986096317650226	0.018926777661946	0	0.00133162146546476	0.00373151364387862	0.0098460224293216	0.00393663193253036	0.0242866159892503	0.00378508560550537	0.00992715605196449
RPTEC_R4_2	0.0257846027979692	0.00617286657613085	0.0158580357364553	0.00507802976016334	0.00889047692538704	0.00486229879626916	0.00391376813275537	0.00898490484159116	0.0176559860331917	0.00133162146546476	0	0.00240816818120481	0.0097477573327412	0.00281520257720997	0.0251692661663218	0.00254954936377997	0.00864162522637604
RPTEC_R4_3	0.0277445711810614	0.0037652080581953	0.013751540092631	0.00300802558007592	0.00658727023124099	0.0028930824806767	0.00598214241008955	0.00805319135789286	0.0155267007253033	0.00373151364387862	0.00240816818120481	0	0.00969760000588303	0.00212829567310552	0.0266139974644655	0.00149258463045961	0.00651988144077304
RPTEC_R5_1	0.0227656032347492	0.0108455656688091	0.021083960278897	0.00834233147194043	0.0138886185991491	0.0121358737422244	0.00845511679859579	0.0176942288087418	0.022607225710467	0.0098460224293216	0.0097477573327412	0.00969760000588303	0	0.0117253598467855	0.0192293833030222	0.0111252716905004	0.014690025722008
RPTEC_R5_2	0.0285580130495205	0.00469704521886929	0.0132581995631875	0.00489954793449875	0.00669870405531269	0.0024664202729538	0.00671135071534132	0.00626839478359241	0.0150691629778384	0.00393663193253036	0.00281520257720997	0.00212829567310552	0.0117253598467855	0	0.0279588295116054	0.000636992855456706	0.00615266924077858
