	RPTEC_R1_2	RPTEC_R1_3	RPTEC_R2_2	RPTEC_R2_3	RPTEC_R3_2	RPTEC_R3_3	RPTEC_R4_2	RPTEC_R4_3	RPTEC_R5_2	RPTEC_R5_3	RPTEC_Root1_2	RPTEC_Root1_3
RPTEC_R1_2	0	0.0148161547991011	0.0209200998715643	0.0125740911182754	0.00402276955090294	0.00962723464261038	0.0120238541624439	0.0102784219414664	0.0177271946563421	0.0110076305367399	0.00823779540065658	0.0128751872961045
RPTEC_R1_3	0.0148161547991011	0	0.00715179718808127	0.00259377591748464	0.0141067336077137	0.00633179648366658	0.00487386989487983	0.0151259278937803	0.00299931106370041	0.00805700966763256	0.00708987288996205	0.00495827209457801
RPTEC_R2_2	0.0209200998715643	0.00715179718808127	0	0.00940499285457616	0.0208796922786681	0.0116602911715061	0.00900774623646068	0.021243637770714	0.00455777010190974	0.015141910966567	0.0139413335588355	0.0117623398313733
RPTEC_R2_3	0.0125740911182754	0.00259377591748464	0.00940499285457616	0	0.0117240408950454	0.00523095787063736	0.00433527452659366	0.0139948888781938	0.00549883186510186	0.0061789553844466	0.00471565232738408	0.00332742438132062
RPTEC_R3_2	0.00402276955090294	0.0141067336077137	0.0208796922786681	0.0117240408950454	0	0.0102686141234692	0.0125976714941652	0.00970222719696341	0.0171054327551985	0.00833216247516875	0.00702600178467495	0.0109838148700022
RPTEC_R3_3	0.00962723464261038	0.00633179648366658	0.0116602911715061	0.00523095787063736	0.0102686141234692	0	0.00337083963399504	0.0111839624849236	0.00881551229433648	0.00844369757546628	0.00490623713134342	0.00763520213518798
RPTEC_R4_2	0.0120238541624439	0.00487386989487983	0.00900774623646068	0.00433527452659366	0.0125976714941652	0.00337083963399504	0	0.0144797891767708	0.006826579868611	0.00965189790995198	0.00644800322441033	0.00755152662570474
RPTEC_R4_3	0.0102784219414664	0.0151259278937803	0.021243637770714	0.0139948888781938	0.00970222719696341	0.0111839624849236	0.0144797891767708	0	0.017570599409886	0.0113120400653237	0.0107763309955547	0.0137993877737512
RPTEC_R5_2	0.0177271946563421	0.00299931106370041	0.00455777010190974	0.00549883186510186	0.0171054327551985	0.00881551229433648	0.006826579868611	0.017570599409886	0	0.0107252807589994	0.0100876491820045	0.00743604665268799
RPTEC_R5_3	0.0110076305367399	0.00805700966763256	0.015141910966567	0.0061789553844466	0.00833216247516875	0.00844369757546628	0.00965189790995198	0.0113120400653237	0.0107252807589994	0	0.00418882587942044	0.0036787735935016
RPTEC_Root1_2	0.00823779540065658	0.00708987288996205	0.0139413335588355	0.00471565232738408	0.00702600178467495	0.00490623713134342	0.00644800322441033	0.0107763309955547	0.0100876491820045	0.00418882587942044	0	0.00474559731826565
RPTEC_Root1_3	0.0128751872961045	0.00495827209457801	0.0117623398313733	0.00332742438132062	0.0109838148700022	0.00763520213518798	0.00755152662570474	0.0137993877737512	0.00743604665268799	0.0036787735935016	0.00474559731826565	0
