	RPTEC_R1_1	RPTEC_R1_2	RPTEC_R1_3	RPTEC_R2_1	RPTEC_R2_2	RPTEC_R2_3	RPTEC_R3_1	RPTEC_R3_2	RPTEC_R3_3	RPTEC_R4_1	RPTEC_R4_2	RPTEC_R4_3	RPTEC_R5_1	RPTEC_R5_2	RPTEC_Root1_1	RPTEC_Root1_3
RPTEC_R1_1	0	0.0183703342931798	0.018004743837006	0.0223166215817108	0.0133242312401849	0.0113804143630095	0.0154134914670845	0.0175663352862249	0.0231408321248358	0.00206996410427867	0.0304370034790979	0.0140862052361475	0.0163884191616121	0.0256876031978149	0.0229023870206091	0.0110741079612535
RPTEC_R1_2	0.0183703342931798	0	0.00788633651786758	0.00773586757599304	0.00927391812023346	0.0111738403760468	0.00407314673380114	0.00411500825377178	0.00769072575504604	0.0181334055582864	0.014537751528308	0.0277634217596153	0.0112497351823251	0.0131794098780171	0.009360018637394	0.0119080835224115
RPTEC_R1_3	0.018004743837006	0.00788633651786758	0	0.00481211706530469	0.00479119876371215	0.0070855415433347	0.00517905597719247	0.00377985223711615	0.00590765099265259	0.0169088620427361	0.0126216929454048	0.0303686781199273	0.00399291406436137	0.00784522140623824	0.0172439220789124	0.00768588515927823
RPTEC_R2_1	0.0223166215817108	0.00773586757599304	0.00481211706530469	0	0.00947167976846399	0.0118210703224415	0.00753913488516061	0.00518544917774915	0.00116936940481232	0.0213997320938571	0.00813179463172502	0.0338798458203212	0.00849534723728425	0.00546724921409086	0.0161926660825998	0.0124537728018954
RPTEC_R2_2	0.0133242312401849	0.00927391812023346	0.00479119876371215	0.00947167976846399	0	0.00236768670770002	0.0052274744520605	0.00599185681025447	0.0104791872898433	0.0121415098812479	0.0174095959095256	0.0261980247385842	0.00375515329975885	0.0123662529440477	0.0180239542845835	0.0030508248501001
RPTEC_R2_3	0.0113804143630095	0.0111738403760468	0.0070855415433347	0.0118210703224415	0.00236768670770002	0	0.00710986016830128	0.00823912241753411	0.012840688608972	0.0100276872752481	0.0196979144311485	0.0247222751291115	0.0050341303953713	0.0144156972077612	0.0194609422051489	0.000739595374011669
RPTEC_R3_1	0.0154134914670845	0.00407314673380114	0.00517905597719247	0.00753913488516061	0.0052274744520605	0.00710986016830128	0	0.00235838243560963	0.00809163022098992	0.0148569473215497	0.015511201906018	0.0263541803800898	0.00766342976953357	0.0123222811646268	0.0129299444862377	0.00784651839660673
RPTEC_R3_2	0.0175663352862249	0.00411500825377178	0.00377985223711615	0.00518544917774915	0.00599185681025447	0.00823912241753411	0.00235838243560963	0	0.00574392927616902	0.0168762805376854	0.0131659001725585	0.0287116290749427	0.00724417589182717	0.010118006473015	0.0134745205317033	0.00896796818857903
RPTEC_R3_3	0.0231408321248358	0.00769072575504604	0.00590765099265259	0.00116936940481232	0.0104791872898433	0.012840688608972	0.00809163022098992	0.00574392927616902	0	0.0222906469515022	0.00742225786190887	0.0344255740714235	0.00965220695667716	0.00585138160354518	0.0156928290925387	0.0134896532501432
RPTEC_R4_1	0.00206996410427867	0.0181334055582864	0.0169088620427361	0.0213997320938571	0.0121415098812479	0.0100276872752481	0.0148569473215497	0.0168762805376854	0.0222906469515022	0	0.0294723591351833	0.0160748080960071	0.014941247556978	0.0244377360018778	0.0234630465410985	0.00962717016863322
RPTEC_R4_2	0.0304370034790979	0.014537751528308	0.0126216929454048	0.00813179463172502	0.0174095959095256	0.0196979144311485	0.015511201906018	0.0131659001725585	0.00742225786190887	0.0294723591351833	0	0.0418178725858427	0.0156062910126677	0.00663244290703548	0.0206726855784118	0.0202725488100471
RPTEC_R4_3	0.0140862052361475	0.0277634217596153	0.0303686781199273	0.0338798458203212	0.0261980247385842	0.0247222751291115	0.0263541803800898	0.0287116290749427	0.0344255740714235	0.0160748080960071	0.0418178725858427	0	0.0297084373319243	0.0382025802480789	0.0277055940158284	0.0245955683724273
RPTEC_R5_1	0.0163884191616121	0.0112497351823251	0.00399291406436137	0.00849534723728425	0.00375515329975885	0.0050341303953713	0.00766342976953357	0.00724417589182717	0.00965220695667716	0.014941247556978	0.0156062910126677	0.0297084373319243	0	0.00973082842257131	0.0205078612958515	0.00532364899760627
RPTEC_R5_2	0.0256876031978149	0.0131794098780171	0.00784522140623824	0.00546724921409086	0.0123662529440477	0.0144156972077612	0.0123222811646268	0.010118006473015	0.00585138160354518	0.0244377360018778	0.00663244290703548	0.0382025802480789	0.00973082842257131	0	0.0215421515729471	0.0148690727354422
RPTEC_Root1_1	0.0229023870206091	0.009360018637394	0.0172439220789124	0.0161926660825998	0.0180239542845835	0.0194609422051489	0.0129299444862377	0.0134745205317033	0.0156928290925387	0.0234630465410985	0.0206726855784118	0.0277055940158284	0.0205078612958515	0.0215421515729471	0	0.0201384475593224
RPTEC_Root1_3	0.0110741079612535	0.0119080835224115	0.00768588515927823	0.0124537728018954	0.0030508248501001	0.000739595374011669	0.00784651839660673	0.00896796818857903	0.0134896532501432	0.00962717016863322	0.0202725488100471	0.0245955683724273	0.00532364899760627	0.0148690727354422	0.0201384475593224	0
