	RPTEC_R1_1	RPTEC_R1_2	RPTEC_R1_3	RPTEC_R2_1	RPTEC_R3_1	RPTEC_R3_3	RPTEC_R4_1	RPTEC_R4_2	RPTEC_R5_1	RPTEC_R5_2	RPTEC_R5_3	RPTEC_Root1_1	RPTEC_Root1_2	RPTEC_Root1_3
RPTEC_R1_1	0	0.0271206720657546	0.017481262178385	0.0106345421952245	0.0116776578823172	0.000531236183225549	0.00343501466104916	0.0417523481786716	7.42398691132108e-06	0.0155679418141876	0.0190111107832604	0.0161282221977927	0.00160078923488071	0.0187800187310099
RPTEC_R1_2	0.0271206720657546	0	0.0445934824265023	0.037750885532084	0.0387934412860426	0.0276517511128056	0.0305545614694249	0.0688412175716747	0.0271280939065094	0.0426814209920812	0.00811118669284439	0.0432413413325792	0.0255203191164836	0.0458913369281932
RPTEC_R1_3	0.017481262178385	0.0445934824265023	0	0.00684724550788103	0.0058040939098869	0.0169500904041977	0.0140465935283298	0.024278615583706	0.0174738391116278	0.00191353631296067	0.0364874929587849	0.00135319826956733	0.0190818333227499	0.00129893390244353
RPTEC_R2_1	0.0106345421952245	0.037750885532084	0.00684724550788103	0	0.00104316889548507	0.0101033292295217	0.00719963478183753	0.0311236398191469	0.0106271185420909	0.00493373626335367	0.0296432546750557	0.0054940685653894	0.0122352468593623	0.00814614898144432
RPTEC_R3_1	0.0116776578823172	0.0387934412860426	0.0058040939098869	0.00104316889548507	0	0.0111464498513729	0.00824277817327031	0.0300808878417082	0.011670234299782	0.00389057570780358	0.030686040155636	0.00445091030001054	0.0132783462442156	0.00710300530015101
RPTEC_R3_3	0.000531236183225549	0.0276517511128056	0.0169500904041977	0.0101033292295217	0.0111464498513729	0	0.00290378062006088	0.041221494343771	0.000523812189899873	0.0150367564311166	0.0195422686242688	0.0155970406305217	0.00213202468818891	0.0182488571283895
RPTEC_R4_1	0.00343501466104916	0.0305545614694249	0.0140465935283298	0.00719963478183753	0.00824277817327031	0.00290378062006088	0	0.0383196379600768	0.00342759070209149	0.0121331928735747	0.0224455422736177	0.0126934956737716	0.00503579272095662	0.0153454106221642
RPTEC_R4_2	0.0417523481786716	0.0688412175716747	0.024278615583706	0.0311236398191469	0.0300808878417082	0.041221494343771	0.0383196379600768	0	0.04174492959294	0.0261916269601103	0.0607436483817638	0.0256314503707927	0.0433519281032652	0.0229799953212938
RPTEC_R5_1	7.42398691132108e-06	0.0271280939065094	0.0174738391116278	0.0106271185420909	0.011670234299782	0.000523812189899873	0.00342759070209149	0.04174492959294	0	0.0155605185542497	0.0190185337124735	0.0161207989920593	0.00160821322141324	0.0187725958084304
RPTEC_R5_2	0.0155679418141876	0.0426814209920812	0.00191353631296067	0.00493373626335367	0.00389057570780358	0.0150367564311166	0.0121331928735747	0.0261916269601103	0.0155605185542497	0	0.0345749410189231	0.000560338654030216	0.017168556591248	0.00321246684639736
RPTEC_R5_3	0.0190111107832604	0.00811118669284439	0.0364874929587849	0.0296432546750557	0.030686040155636	0.0195422686242688	0.0224455422736177	0.0607436483817638	0.0190185337124735	0.0345749410189231	0	0.0351350024281871	0.0174105315138421	0.0377856945688105
RPTEC_Root1_1	0.0161282221977927	0.0432413413325792	0.00135319826956733	0.0054940685653894	0.00445091030001054	0.0155970406305217	0.0126934956737716	0.0256314503707927	0.0161207989920593	0.000560338654030216	0.0351350024281871	0	0.0177288247079107	0.00265213020409643
RPTEC_Root1_2	0.00160078923488071	0.0255203191164836	0.0190818333227499	0.0122352468593623	0.0132783462442156	0.00213202468818891	0.00503579272095662	0.0433519281032652	0.00160821322141324	0.017168556591248	0.0174105315138421	0.0177288247079107	0	0.020380557444052
RPTEC_Root1_3	0.0187800187310099	0.0458913369281932	0.00129893390244353	0.00814614898144432	0.00710300530015101	0.0182488571283895	0.0153454106221642	0.0229799953212938	0.0187725958084304	0.00321246684639736	0.0377856945688105	0.00265213020409643	0.020380557444052	0
