	RPTEC_R1_1	RPTEC_R1_2	RPTEC_R1_3	RPTEC_R2_1	RPTEC_R2_2	RPTEC_R2_3	RPTEC_R3_1	RPTEC_R3_2	RPTEC_R3_3	RPTEC_R4_1	RPTEC_R4_2	RPTEC_R4_3	RPTEC_R5_1	RPTEC_R5_2	RPTEC_R5_3	RPTEC_Root1_1	RPTEC_Root1_2	RPTEC_Root1_3
RPTEC_R1_1	0	0.00641474836053645	0.00757457678045238	0.0052340255117739	0.00875578647875627	0.00794427336591522	0.00912147240281758	0.0063510302731949	0.0114384155169473	0.00972231617360646	0.00842059655119973	0.0195599398877633	0.00939676585344971	0.00826017255386407	0.0234333678507586	0.00548396129471001	0.0046323470874318	0.0118306986807239
RPTEC_R1_2	0.00641474836053645	0	0.00425130878176165	0.00485978223312452	0.00263013005010939	0.00372120541596155	0.0123942503968616	0.0101869846718799	0.00844557048253266	0.00858192027834326	0.00221510299056937	0.0157310294535589	0.0073922446355364	0.00605255917130719	0.0199763677267154	0.00564879801134547	0.00194474164038895	0.0068487066553437
RPTEC_R1_3	0.00757457678045238	0.00425130878176165	0	0.00850433599685621	0.00507066271625328	0.00303358183847148	0.015487450950303	0.0088281015924583	0.00554215489652854	0.012270139755258	0.00435665739426373	0.0124258147741935	0.00478109680384525	0.00232844490757498	0.0163109009836188	0.00936240250259597	0.00409612088827171	0.00593591660313969
RPTEC_R2_1	0.0052340255117739	0.00485978223312452	0.00850433599685621	0	0.00633489410638033	0.0081870225351962	0.00848466744452993	0.0111729757267897	0.0128713321763294	0.00690267005234928	0.0064471790144981	0.0205422745050653	0.0103683971688915	0.00973412101730506	0.0246336757614905	0.00159161976765334	0.00444893674163908	0.0114423134519871
RPTEC_R2_2	0.00875578647875627	0.00263013005010939	0.00507066271625328	0.00633489410638033	0	0.00499367519233447	0.0144012198672913	0.0125435309198125	0.00920627217957102	0.0100353151930099	0.000774011798904988	0.0152690694274713	0.00719409800801493	0.00650851427335483	0.0192219024308778	0.00734306515788556	0.00421817483377707	0.00688889466058642
RPTEC_R2_3	0.00794427336591522	0.00372120541596155	0.00303358183847148	0.0081870225351962	0.00499367519233447	0	0.0144423259002465	0.0091309099875111	0.00480998954150905	0.0101749769510552	0.00424765156446196	0.0126599808806482	0.00774699963260852	0.00534054388200636	0.0174040820837901	0.00860621283048628	0.00435548639264637	0.00391693552989823
RPTEC_R3_1	0.00912147240281758	0.0123942503968616	0.015487450950303	0.00848466744452993	0.0144012198672913	0.0144423259002465	0	0.0132415777090257	0.0183970941921616	0.00745813617034438	0.0143747074622348	0.0269494059737403	0.017941188865524	0.0168265713414386	0.0315955205344744	0.00714701519861216	0.0116947790153176	0.0175148904940699
RPTEC_R3_2	0.0063510302731949	0.0101869846718799	0.0088281015924583	0.0111729757267897	0.0125435309198125	0.0091309099875111	0.0132415777090257	0	0.00984595255121467	0.0136100853940028	0.0119091995073119	0.0176349336752422	0.011158378678844	0.00915854302687008	0.021489185391523	0.0111758684740474	0.00867768315757944	0.0122735396189413
RPTEC_R3_3	0.0114384155169473	0.00844557048253266	0.00554215489652854	0.0128713321763294	0.00920627217957102	0.00480998954150905	0.0183970941921616	0.00984595255121467	0	0.0142547596195481	0.00847000312040015	0.00870432129676322	0.00934409067530469	0.0067000557044285	0.013830473741017	0.0132388437296394	0.00874160605758503	0.00424439371037304
RPTEC_R4_1	0.00972231617360646	0.00858192027834326	0.012270139755258	0.00690267005234928	0.0100353151930099	0.0101749769510552	0.00745813617034438	0.0136100853940028	0.0142547596195481	0	0.010048949336338	0.0221846138008008	0.0158284213254351	0.0142889962486991	0.0273479475407318	0.00553917104240186	0.0090976842669551	0.0120278928222169
RPTEC_R4_2	0.00842059655119973	0.00221510299056937	0.00435665739426373	0.0064471790144981	0.000774011798904988	0.00424765156446196	0.0143747074622348	0.0119091995073119	0.00847000312040015	0.010048949336338	0	0.0147358978643511	0.00686965022522119	0.00592886353194876	0.0187715155774153	0.00740495633761867	0.00380613491339063	0.00632251915174002
RPTEC_R4_3	0.0195599398877633	0.0157310294535589	0.0124258147741935	0.0205422745050653	0.0152690694274713	0.0126599808806482	0.0269494059737403	0.0176349336752422	0.00870432129676322	0.0221846138008008	0.0147358978643511	0	0.0138104059945131	0.0124233189477259	0.00609122005499903	0.0211875721206761	0.0163361373457896	0.0102347056334572
RPTEC_R5_1	0.00939676585344971	0.0073922446355364	0.00478109680384525	0.0103683971688915	0.00719409800801493	0.00774699963260852	0.017941188865524	0.011158378678844	0.00934409067530469	0.0158284213254351	0.00686965022522119	0.0138104059945131	0	0.00283656984501451	0.0159895579526848	0.0116874118962092	0.00682493593622334	0.010051226951966
RPTEC_R5_2	0.00826017255386407	0.00605255917130719	0.00232844490757498	0.00973412101730506	0.00650851427335483	0.00534054388200636	0.0168265713414386	0.00915854302687008	0.0067000557044285	0.0142889962486991	0.00592886353194876	0.0124233189477259	0.00283656984501451	0	0.0155212394623828	0.010786705711444	0.00549871290980456	0.00782971777749293
RPTEC_R5_3	0.0234333678507586	0.0199763677267154	0.0163109009836188	0.0246336757614905	0.0192219024308778	0.0174040820837901	0.0315955205344744	0.021489185391523	0.013830473741017	0.0273479475407318	0.0187715155774153	0.00609122005499903	0.0159895579526848	0.0155212394623828	0	0.0255345886278673	0.0203681052580947	0.0155758389430798
