Sample	JSDistance_OM1_B_B	S1038_OM1_0.01_selected	S1038_OM1_0.01_JSD	S1050_OM1_0.01_selected	S1050_OM1_0.01_JSD	S1062_OM1_0.01_selected	S1062_OM1_0.01_JSD	S1070_OM1_0.01_selected	S1070_OM1_0.01_JSD	S1074_OM1_0.01_selected	S1074_OM1_0.01_JSD	S1149_OM1_0.01_selected	S1149_OM1_0.01_JSD	S1159_OM1_0.01_selected	S1159_OM1_0.01_JSD	S1163_OM1_0.01_selected	S1163_OM1_0.01_JSD	S1181_OM1_0.01_selected	S1181_OM1_0.01_JSD	S1230_OM1_0.01_selected	S1230_OM1_0.01_JSD	S1292_OM1_0.01_selected	S1292_OM1_0.01_JSD	S1316_OM1_0.01_selected	S1316_OM1_0.01_JSD	S1322_OM1_0.01_selected	S1322_OM1_0.01_JSD	S1330_OM1_0.01_selected	S1330_OM1_0.01_JSD	S1334_OM1_0.01_selected	S1334_OM1_0.01_JSD	S1377_OM1_0.01_selected	S1377_OM1_0.01_JSD	S1411_OM1_0.01_selected	S1411_OM1_0.01_JSD	S293_OM1_0.01_selected	S293_OM1_0.01_JSD	S321_OM1_0.01_selected	S321_OM1_0.01_JSD	S438_OM1_0.01_selected	S438_OM1_0.01_JSD	S498_OM1_0.01_selected	S498_OM1_0.01_JSD	S506_OM1_0.01_selected	S506_OM1_0.01_JSD	S538_OM1_0.01_selected	S538_OM1_0.01_JSD	S542_OM1_0.01_selected	S542_OM1_0.01_JSD	S574_OM1_0.01_selected	S574_OM1_0.01_JSD	S598_OM1_0.01_selected	S598_OM1_0.01_JSD	S600_OM1_0.01_selected	S600_OM1_0.01_JSD	S644_OM1_0.01_selected	S644_OM1_0.01_JSD	S686_OM1_0.01_selected	S686_OM1_0.01_JSD	S771_OM1_0.01_selected	S771_OM1_0.01_JSD
OM1_B_B	0	NA	NA	OM1_B_B_2	0	OM1_B_B_3	0	OM1_B_B_1	0	OM1_B_B_2	0	OM1_B_B_2	0	NA	NA	OM1_B_B_2	0	OM1_B_B_2	0	OM1_B_B_2	0	OM1_B_B_2	0	OM1_B_B_2	0	OM1_B_B_1	0	NA	NA	OM1_B_B_1	0	OM1_B_B_1	0	OM1_B_B_2	0	OM1_B_B_2	0	OM1_B_B_2	0	OM1_B_B_3	0	OM1_B_B_2	0	OM1_B_B_2	0	OM1_B_B_1	0	OM1_B_B_2	0	OM1_B_B_3	0	OM1_B_B_3	0	NA	NA	OM1_B_B_2	0	OM1_B_B_3	0	OM1_B_B_3	0
OM1_B_C	0.300445045681473	NA	NA	OM1_B_C_3	0.00741045290531655	OM1_B_C_2	0.0176707287067021	OM1_B_C_2	0.0293064057557298	NA	NA	OM1_B_C_2	0.0129738838394663	NA	NA	OM1_B_C_2	0.0035842537314991	OM1_B_C_1	0.00710454876203795	OM1_B_C_3	0.0115294406580557	OM1_B_C_3	0.00707353349164541	OM1_B_C_3	0.0212259916953826	OM1_B_C_3	0.000351765936974097	NA	NA	OM1_B_C_2	0.01755629271937	OM1_B_C_1	0.00524942313522285	NA	NA	OM1_B_C_3	0.00637024195383781	OM1_B_C_1	0.0260868908992728	NA	NA	OM1_B_C_2	0.00906829851219504	OM1_B_C_2	0.0134358950046266	OM1_B_C_3	0.00918265946338875	OM1_B_C_1	0.00522150247065007	OM1_B_C_3	0.0241823996822726	OM1_B_C_3	0.00659112452451368	NA	NA	OM1_B_C_1	0.0110876391165968	OM1_B_C_3	0.0224843806681977	OM1_B_C_3	0.0256972920485187
OM1_C_1A	0.588300149046944	NA	NA	OM1_C_1A_1	0.00450031379600549	NA	NA	OM1_C_1A_3	0.061763049070917	OM1_C_1A_1	0.0512050762379982	NA	NA	NA	NA	OM1_C_1A_1	0.0138342326005523	OM1_C_1A_1	0.0322535105331005	OM1_C_1A_1	0.0103810535074332	NA	NA	OM1_C_1A_2	0.0306061374565471	OM1_C_1A_2	0.0135765314599582	NA	NA	OM1_C_1A_2	0.00615266414064147	NA	NA	OM1_C_1A_2	0.146754563433693	NA	NA	NA	NA	OM1_C_1A_2	0.0137453293960241	OM1_C_1A_2	0.0365416860860797	OM1_C_1A_3	0.0560412049830586	OM1_C_1A_1	0.00968150412643119	OM1_C_1A_2	0.0542417256647064	OM1_C_1A_2	0.0470215665537977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM1_C_1B	0.729282312022279	NA	NA	OM1_C_1B_1	0.0110863402642862	OM1_C_1B_2	0.0436914012301508	OM1_C_1B_3	0.0760005179638963	OM1_C_1B_3	0.0959567401171569	OM1_C_1B_2	0.00642398958667243	NA	NA	OM1_C_1B_1	0.0107241827922968	OM1_C_1B_1	0.0147684074390596	OM1_C_1B_1	0.0103683782828842	OM1_C_1B_1	0.00556109548343676	OM1_C_1B_2	0.0382839476142776	OM1_C_1B_2	0.0121708665845806	NA	NA	NA	NA	OM1_C_1B_1	0.0344722856761775	OM1_C_1B_1	0.0163583648981544	OM1_C_1B_3	0.0395373643313638	OM1_C_1B_1	0.0191144601950894	OM1_C_1B_2	0.0372893269758555	OM1_C_1B_2	0.0933917291673417	OM1_C_1B_3	0.0555883578061571	OM1_C_1B_1	0.0183005109259819	OM1_C_1B_1	0.0321167829301336	OM1_C_1B_2	0.0274339082574781	NA	NA	NA	NA	NA	NA	OM1_C_1B_3	0.0306433534998483	NA	NA
OM1_C_1D	0.522957778713395	NA	NA	OM1_C_1D_2	0.00644598907143837	OM1_C_1D_2	0.0332567301823798	OM1_C_1D_3	0.0061085479636522	OM1_C_1D_2	0.115380053780562	OM1_C_1D_1	0.0105716042059341	NA	NA	OM1_C_1D_2	0.016091621354272	OM1_C_1D_2	0.0192730368556405	OM1_C_1D_2	0.0410091881251638	OM1_C_1D_2	0.0133419944392369	OM1_C_1D_2	0.0152527757940997	OM1_C_1D_1	0.00109369093975461	NA	NA	NA	NA	OM1_C_1D_2	0.0489166685348634	OM1_C_1D_2	0.00995847633166294	OM1_C_1D_3	0.0167331974587574	OM1_C_1D_2	0.0308290390270338	NA	NA	OM1_C_1D_2	0.0425448763346203	OM1_C_1D_2	0.0162096398872315	OM1_C_1D_2	0.0137914647458624	OM1_C_1D_2	0.0078700892012954	OM1_C_1D_2	0.00616894254426439	OM1_C_1D_2	0.00760679679335396	NA	NA	NA	NA	OM1_C_1D_3	0.0445033551423156	NA	NA
OM1_C_1E	0.807338854788435	NA	NA	OM1_C_1E_1	0.0132451397973872	NA	NA	OM1_C_1E_1	0.0729003234556083	OM1_C_1E_2	0.107112688131779	OM1_C_1E_1	0.00635702747380178	NA	NA	OM1_C_1E_3	0.0822567404802502	OM1_C_1E_1	0.00969326909780763	OM1_C_1E_1	0.0115753543860614	OM1_C_1E_1	0.00310279715505315	OM1_C_1E_3	0.107031866035734	OM1_C_1E_2	0.00428679382858921	NA	NA	OM1_C_1E_3	0.0140124412771091	OM1_C_1E_1	0.0390115014538727	OM1_C_1E_2	0.00243414943679105	OM1_C_1E_3	0.0453263087530279	OM1_C_1E_3	0.0350715789550032	OM1_C_1E_2	0.0320472922074933	OM1_C_1E_3	0.0802799961943556	OM1_C_1E_2	0.0105979754253377	OM1_C_1E_3	0.0258140343268319	OM1_C_1E_1	0.0300342979595592	OM1_C_1E_2	0.0049772764922079	OM1_C_1E_3	0.0285910756460688	NA	NA	NA	NA	OM1_C_1E_3	0.0415789268187053	NA	NA
OM1_C_1F	0.506366029583413	NA	NA	OM1_C_1F_1	0.00331762327644703	OM1_C_1F_1	0.0111466997089556	OM1_C_1F_3	0.0308118284714867	OM1_C_1F_2	0.103475818942892	OM1_C_1F_1	0.0122409982517289	NA	NA	OM1_C_1F_2	0.0122202281695585	OM1_C_1F_1	0.00622943678731005	OM1_C_1F_1	0.00927333410025762	OM1_C_1F_2	0.0104851016735281	OM1_C_1F_1	0.0303937483676151	OM1_C_1F_1	0.00177654822670534	NA	NA	NA	NA	OM1_C_1F_1	0.0415745341775618	OM1_C_1F_1	0.0180923971351017	OM1_C_1F_2	0.0227852696041153	OM1_C_1F_2	0.0089704108050611	OM1_C_1F_1	0.0201457924173187	OM1_C_1F_2	0.0569406493782309	OM1_C_1F_3	0.0460349243378784	OM1_C_1F_1	0.0331828841040536	OM1_C_1F_2	0.00694734463109214	OM1_C_1F_1	0.018562953772346	OM1_C_1F_1	0.00175750324416797	NA	NA	NA	NA	NA	NA	NA	NA
OM1_C_2A	0.587996764958743	NA	NA	OM1_C_2A_2	0.00816259854804012	OM1_C_2A_1	0.0161794007663199	OM1_C_2A_3	0.027086749251812	OM1_C_2A_2	0.0783212884366037	OM1_C_2A_1	0.0193294859467821	NA	NA	OM1_C_2A_2	0.00813170383501225	OM1_C_2A_2	0.00938793130197537	OM1_C_2A_1	0.0128737013491215	OM1_C_2A_2	0.00875388694476304	OM1_C_2A_1	0.0316820527496654	OM1_C_2A_2	0.0814778597658276	NA	NA	OM1_C_2A_1	0.00384441288338197	OM1_C_2A_1	0.0276929018487601	OM1_C_2A_2	0.0188676206531332	OM1_C_2A_3	0.00479605435590481	OM1_C_2A_2	0.0169239737769825	NA	NA	OM1_C_2A_2	0.0447384480344464	OM1_C_2A_1	0.0143977328954471	OM1_C_2A_1	0.0268213600735267	OM1_C_2A_1	0.0316414533594948	OM1_C_2A_2	0.0112719189941449	OM1_C_2A_2	0.0159121844585392	NA	NA	OM1_C_2A_2	0.0347116178767394	OM1_C_2A_3	0.0349904268523187	NA	NA
OM1_C_2C	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM1_C_2F	0.520856842648388	NA	NA	OM1_C_2F_2	0.00445883873697736	OM1_C_2F_2	0.00894481055835665	OM1_C_2F_2	0.010333119826099	OM1_C_2F_3	0.0577074295812011	OM1_C_2F_1	0.00779394437284959	NA	NA	OM1_C_2F_2	0.00375277829914353	OM1_C_2F_2	0.00555197553578609	OM1_C_2F_1	0.0881134234862979	OM1_C_2F_1	0.0123407733871424	OM1_C_2F_1	0.026152705959524	NA	NA	NA	NA	OM1_C_2F_2	0.0135952117424132	OM1_C_2F_2	0.00557145809343537	OM1_C_2F_3	0.0036135352834475	NA	NA	OM1_C_2F_3	0.0288185826761384	NA	NA	OM1_C_2F_3	0.0370857312860109	OM1_C_2F_2	0.00200634228906251	OM1_C_2F_1	0.0429622246013585	OM1_C_2F_2	0.032877398695675	OM1_C_2F_1	0.0505697718113343	OM1_C_2F_2	0.00745329196335046	NA	NA	OM1_C_2F_2	0.0504437287096149	OM1_C_2F_3	0.00674118667610513	OM1_C_2F_3	0.013968579077064
