Sample	Marker	Overlap_Score
OM1_B_B	S1038_OM1_0.01	NA
OM1_B_B	S1050_OM1_0.01	0
OM1_B_B	S1062_OM1_0.01	0
OM1_B_B	S1070_OM1_0.01	0
OM1_B_B	S1074_OM1_0.01	0
OM1_B_B	S1149_OM1_0.01	0
OM1_B_B	S1159_OM1_0.01	NA
OM1_B_B	S1163_OM1_0.01	0
OM1_B_B	S1181_OM1_0.01	0
OM1_B_B	S1230_OM1_0.01	0
OM1_B_B	S1292_OM1_0.01	0
OM1_B_B	S1316_OM1_0.01	0
OM1_B_B	S1322_OM1_0.01	0
OM1_B_B	S1330_OM1_0.01	NA
OM1_B_B	S1334_OM1_0.01	0
OM1_B_B	S1377_OM1_0.01	0
OM1_B_B	S1411_OM1_0.01	0
OM1_B_B	S293_OM1_0.01	0
OM1_B_B	S321_OM1_0.01	0
OM1_B_B	S438_OM1_0.01	0
OM1_B_B	S498_OM1_0.01	0
OM1_B_B	S506_OM1_0.01	0
OM1_B_B	S538_OM1_0.01	0
OM1_B_B	S542_OM1_0.01	0
OM1_B_B	S574_OM1_0.01	0
OM1_B_B	S598_OM1_0.01	0
OM1_B_B	S600_OM1_0.01	NA
OM1_B_B	S644_OM1_0.01	0
OM1_B_B	S686_OM1_0.01	0
OM1_B_B	S771_OM1_0.01	0
OM1_B_C	S1038_OM1_0.01	0
OM1_B_C	S1050_OM1_0.01	0.00736196304699083
OM1_B_C	S1062_OM1_0.01	0.0183155511114723
OM1_B_C	S1070_OM1_0.01	0.0326791543253383
OM1_B_C	S1074_OM1_0.01	NA
OM1_B_C	S1149_OM1_0.01	0.0152657132877094
OM1_B_C	S1159_OM1_0.01	NA
OM1_B_C	S1163_OM1_0.01	0.00412023221603181
OM1_B_C	S1181_OM1_0.01	0.00727840851916012
OM1_B_C	S1230_OM1_0.01	0.0110986708629774
OM1_B_C	S1292_OM1_0.01	0.00789025324900888
OM1_B_C	S1316_OM1_0.01	0.0247656355593083
OM1_B_C	S1322_OM1_0.01	0.000414057629906761
OM1_B_C	S1330_OM1_0.01	0
OM1_B_C	S1334_OM1_0.01	0.0164560533862283
OM1_B_C	S1377_OM1_0.01	0.0060649415650742
OM1_B_C	S1411_OM1_0.01	NA
OM1_B_C	S293_OM1_0.01	0.00720170060338599
OM1_B_C	S321_OM1_0.01	0.0267409818596558
OM1_B_C	S438_OM1_0.01	NA
OM1_B_C	S498_OM1_0.01	0.00937486044743235
OM1_B_C	S506_OM1_0.01	0.0124647579250107
OM1_B_C	S538_OM1_0.01	0.010395988949529
OM1_B_C	S542_OM1_0.01	0.00443212469506811
OM1_B_C	S574_OM1_0.01	0.0235422699048084
OM1_B_C	S598_OM1_0.01	0.00734125446269229
OM1_B_C	S600_OM1_0.01	0
OM1_B_C	S644_OM1_0.01	0.00864586475333562
OM1_B_C	S686_OM1_0.01	0.0219099285387407
OM1_B_C	S771_OM1_0.01	0.0247966678447471
OM1_C_1A	S1038_OM1_0.01	NA
OM1_C_1A	S1050_OM1_0.01	0.00474930123750783
