	OM1_B_C_1	OM1_B_C_2	OM1_B_C_3	OM1_C_1D_1	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_2A_2	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1B_2	OM1_H_1G_3
OM1_B_C_1	0	0.0208168520326967	0.0388472406628752	0.0715004954482344	0.0118626517092567	0.0149740473527578	0.027562656434571	0.016431071907807	0.0445370335368305	0.0739935581429996	0.0785603031077349	0.0699411986188694	0.0732326327134816	0.0569717496656427	0.04802173696759	0.0314522664072798	0.0528209845132675	0.0727547473889905	0.0765514989390807
OM1_B_C_2	0.0208168520326967	0	0.0361731899526956	0.0520412425566798	0.0100457775000432	0.0357388223825421	0.025464135260736	0.00698543644874039	0.0251433073685185	0.0564518646288124	0.0583292318234003	0.088909751756489	0.0926076008987686	0.074308805283525	0.0678707096685727	0.011639715727502	0.0332883079829289	0.0534144149609455	0.0571286386626334
OM1_B_C_3	0.0388472406628752	0.0361731899526956	0	0.0655904188909774	0.0327913867693278	0.0460833054960991	0.0471522654832092	0.0398829068425628	0.0502168787063459	0.0703026917732733	0.0697799968077758	0.100242734639434	0.100841157722492	0.0896677406297711	0.0785540294451344	0.0342064595946362	0.0475117017671416	0.0612217483629242	0.0713631294582346
OM1_C_1D_1	0.0715004954482344	0.0520412425566798	0.0655904188909774	0	0.0602947141305243	0.0860649229319807	0.0558872035679794	0.0562260679098163	0.0284602440743942	0.0139675856236094	0.0118713426025122	0.139339400488271	0.143613777980098	0.124556174213169	0.118320509767792	0.0419962184643342	0.0197359655085716	0.0103093345881437	0.00582240134199573
OM1_C_1E_1	0.0118626517092567	0.0100457775000432	0.0327913867693278	0.0602947141305243	0	0.0264706227829456	0.024089198436382	0.00857865180216967	0.0339855342753972	0.0636240741054499	0.0670245380340723	0.0815279664979105	0.0847965497980735	0.0679728378422505	0.0598144374275309	0.0196998229797156	0.0412728355102518	0.0611475960686759	0.0654964873645983
OM1_C_1E_2	0.0149740473527578	0.0357388223825421	0.0460833054960991	0.0860649229319807	0.0264706227829456	0	0.037959756413194	0.0312346270467244	0.0593130155738028	0.0878919175554475	0.0932903566298367	0.0570793449288046	0.0597077295985275	0.0462447462601637	0.0345282541305515	0.0461422605549577	0.0674101754050288	0.0871244606937192	0.0911133855443167
OM1_C_1E_3	0.027562656434571	0.025464135260736	0.0471522654832092	0.0558872035679794	0.024089198436382	0.037959756413194	0	0.0214193134784447	0.0324056773088285	0.0538080976711927	0.0658013163485704	0.0893136345410887	0.0937937370190984	0.0773697659048685	0.0674685288644822	0.029941095894725	0.0411132374452511	0.0591672991912226	0.0601486189539027
OM1_C_1F_1	0.016431071907807	0.00698543644874039	0.0398829068425628	0.0562260679098163	0.00857865180216967	0.0312346270467244	0.0214193134784447	0	0.0284963442870297	0.0593476475448117	0.0633009277596005	0.0837266979386677	0.0877801806101319	0.0692994916608987	0.0626188625009314	0.0179132843988011	0.0381494545477203	0.0583813631419837	0.061087339267391
OM1_C_2A_2	0.0445370335368305	0.0251433073685185	0.0502168787063459	0.0284602440743942	0.0339855342753972	0.0593130155738028	0.0324056773088285	0.0284963442870297	0	0.0329974165884926	0.0361257703442385	0.111287359052	0.115770140661626	0.0962768647214464	0.090588077037967	0.0180937510021454	0.0141468800659633	0.032671057963667	0.0329428900900682
OM1_C_2F_2	0.0739935581429996	0.0564518646288124	0.0703026917732733	0.0139675856236094	0.0636240741054499	0.0878919175554475	0.0538080976711927	0.0593476475448117	0.0329974165884926	0	0.024434567751721	0.140838077920756	0.145404316544593	0.126883743722711	0.11954947746438	0.0476749219443855	0.0270967102514368	0.0207096714606597	0.0134136677317899
