	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_B_C_1	OM1_B_C_2	OM1_B_C_3	OM1_C_1A_1	OM1_C_1A_2	OM1_C_1A_3	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1B_3	OM1_C_1D_2	OM1_C_1D_3	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_1F_2	OM1_C_1F_3	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3D_1	OM1_C_3D_2	OM1_C_3D_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_2	OM1_H_1B_3	OM1_H_1C_1	OM1_H_1C_2	OM1_H_1C_3	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_B_B_1	0	0.00877525125033521	0.0108521993105684	0.00970125555992622	0.0027143875636928	0.00546955948923393	0.00875825349035528	0.0123339437488202	0.0180030793807415	0.0169466784155113	0.00605214079950065	0.0166772660007722	0.0106786475996151	0.0199239309541412	0.0154501050247665	0.0217539905055076	0.0290969989581214	0.0104283837213557	0.0103753291983774	0.0528895568782149	0.0153846477767827	0.0115496065574813	0.0436215588061496	0.00566459151963293	0.00525153700361395	0.011237148641984	0.00455115766079652	0.00517239363697341	0.00930711728639099	0.00872831731170272	0.017303319912265	0.00479241065031862	0.0119557213560459	0.0142263219456245	0.00897922238588877	0.00798424927914802	0.0123351657057044	0.0135599035230396	0.0185864253416782	0.0150228037091232	0.0195791269876146	0.0109717449770751	0.00506246575991098	0.0194558493305334	0.00674788151613003	0.0258223868216391	0.0211978648886762	0.0095884427280748	0.00840135532256107	0.0170559519579142
OM1_B_B_2	0.00877525125033521	0	0.00989665187105525	0.000948816413717969	0.00614573935473201	0.00741045290531655	0.00450031379600549	0.0103263326558458	0.0171485650363018	0.0110863402642862	0.00440521472297341	0.0124819313872154	0.00644598907143837	0.0158161810473112	0.0132451397973872	0.0181706212161749	0.0275526684461304	0.00331762327644703	0.00442195830441518	0.0489584402309681	0.00873825508915037	0.00816259854804012	0.041277797892458	0.00314434851045422	0.00445883873697736	0.00264938991029953	0.00493996981180246	0.00386371569175354	0.00564921074392852	0.00168235165371997	0.0117796322204853	0.00600270475958021	0.0100427823160726	0.0120162508405424	0.00258008062822592	0.002266779800462	0.005606485000373	0.0103120738275946	0.0161936940071675	0.0108847085939208	0.0154655694604717	0.00659365826965037	0.00437862558820718	0.0158396322694398	0.00603240583223752	0.0215145151576878	0.0189803977651957	0.000903613436686246	0.0106417893059887	0.0140346012911359
OM1_B_B_3	0.0108521993105684	0.00989665187105525	0	0.0100399347687186	0.0103129688722767	0.0141741367812875	0.0138483042075633	0.0195680563785082	0.0262881635803	0.0209379303953495	0.0121392142514375	0.0223329063934498	0.0160680788923645	0.0256910280158737	0.0227012396829558	0.0280136632552366	0.0370878497803991	0.0076623317658618	0.0142620466919776	0.0588320149756769	0.0185017588256768	0.0176895665621736	0.0510552572695388	0.00971432273365572	0.00730763485888143	0.0118878091171774	0.00765709536596612	0.0104206200006187	0.0149816898491361	0.00825937096900929	0.0216574559774126	0.0125986635460963	0.019229864426138	0.0214220920293557	0.0123119623284368	0.00766085049356485	0.0154747962532999	0.0199293597387793	0.0257873874247837	0.0206995936805676	0.0253385392926444	0.00425992295091406	0.00764722395068697	0.0256640021733213	0.0139883283302243	0.0314080319473344	0.028584484665441	0.0105685907658059	0.00374955055083178	0.0237239016460516
OM1_B_C_1	0.00970125555992622	0.000948816413717969	0.0100399347687186	0	0.00708656835059268	0.00827940176007115	0.00502038384117537	0.0107362961338729	0.0175292350632591	0.0109052709863145	0.00527372462354307	0.0125392501621932	0.00676206659037656	0.0158225557845457	0.0135470707125801	0.0182164519031579	0.0277651860016629	0.00289425227648659	0.00460310189955401	0.0488206245144987	0.00846604064930251	0.0084937277354553	0.0413469245620538	0.00408845461718534	0.00521310317973229	0.00198827370786857	0.00574558832394496	0.00481163462561589	0.00612799641715171	0.00184103677564085	0.0116419915191186	0.00691126211935816	0.0104742594240274	0.0123486837135763	0.00299919826657377	0.00266480809232444	0.00546933722105822	0.0105671027408394	0.0164168821382992	0.0109939690859882	0.0154765801079231	0.00644372361703034	0.00517141076099062	0.015913200338885	0.0068150225909334	0.0214292908136379	0.0191864856661	0.000640183167396614	0.0110991835894307	0.014218661565092
OM1_B_C_2	0.0027143875636928	0.00614573935473201	0.0103129688722767	0.00708656835059268	0	0.00404622783495726	0.00622892274696566	0.0105347827639614	0.0167340326479358	0.0145050515125941	0.00351265334353803	0.0145409326363624	0.00830166510251828	0.0178712508561332	0.0137385169303894	0.0198497355230691	0.0278072908006429	0.00816887265422643	0.00775442990313924	0.0510811049090554	0.0128056409865858	0.00938581040778729	0.04220146776911	0.00300353681406119	0.00341262117079315	0.00854457305944848	0.00281584384886519	0.00245802544778082	0.00692375418972327	0.00631924220309801	0.0149244721594193	0.00273533059468757	0.0101583971124229	0.0124674235127841	0.00627792647346759	0.00568699447561384	0.0096974208046095	0.0115269754053525	0.016915153282534	0.0128536172076563	0.017519329788442	0.00941264404194798	0.00311370241672699	0.0175057179348242	0.00464986511980967	0.023798412256407	0.0196243487790715	0.00692592483436909	0.00876111890460283	0.0151918352608835
OM1_B_C_3	0.00546955948923393	0.00741045290531655	0.0141741367812875	0.00827940176007115	0.00404622783495726	0	0.00464793752577611	0.00686870567837311	0.0127339098673268	0.0120222832246289	0.00300696584750554	0.0113340902324925	0.00585239428574656	0.0145110290393425	0.00998442534560371	0.0162916392945044	0.0238286972582062	0.0103999870835774	0.00644769584939277	0.047428860564117	0.0109094999196993	0.00631685650044802	0.0382849055335143	0.0050117250351826	0.00692296914357445	0.00893008022230861	0.00651762341002991	0.00410800389312819	0.00463139288412726	0.00840689200165201	0.012248829444358	0.00163215963405841	0.00649117585421672	0.00875706261792988	0.00599100083560641	0.00814551797165221	0.00831410482208051	0.00817260785121621	0.0131309632958019	0.00972521723920093	0.0141709112457617	0.0126073705073765	0.00658200431864128	0.0140056033635527	0.00194569285069411	0.0203860391019346	0.0157733689893245	0.00782916425728781	0.0128071143027644	0.0115918553919689
OM1_C_1A_1	0.00875825349035528	0.00450031379600549	0.0138483042075633	0.00502038384117537	0.00622892274696566	0.00464793752577611	0	0.00585727319519597	0.0126833047120261	0.00828873820238153	0.00272133993602416	0.00871653464839608	0.00228596381976728	0.0121119048656129	0.00888549513689142	0.0143098123460798	0.0232696529012906	0.00780813877468411	0.00180310871230583	0.045459933239464	0.00663174771199152	0.00384170416963989	0.0372429405100526	0.00443014581822499	0.00699126583238243	0.00482664238059201	0.00704169526728243	0.00415009001703174	0.00116348282191135	0.00609131106382735	0.00874991686399744	0.00414824711457439	0.00555915111853118	0.00762278274845829	0.00203287706727106	0.00635638276395802	0.00372428586996652	0.00608657753543436	0.0119427795378571	0.0070255633347275	0.0117551503122156	0.01100071067916	0.00671550511600985	0.0119399293888538	0.00271071207223968	0.0180001675429026	0.0147410665604679	0.00440171736829249	0.0137307312136881	0.00988982651684788
OM1_C_1A_2	0.0123339437488202	0.0103263326558458	0.0195680563785082	0.0107362961338729	0.0105347827639614	0.00686870567837311	0.00585727319519597	0	0.00682708834414324	0.0067741513030046	0.00754973080271076	0.00483176905506649	0.00403302853783066	0.00772970013223282	0.00321689924005186	0.00942346363397658	0.0175436455218213	0.0135987063749391	0.00628058220281524	0.0405964895574838	0.00713077466491669	0.00236209907903731	0.031754526953224	0.00989030309143958	0.012427322176706	0.00998991871174066	0.0122987916008064	0.00930352428044614	0.00469413400407568	0.0119443439767807	0.00658956687840764	0.00780483493062274	0.000379022652139717	0.00193446057359187	0.00776624194825655	0.0122017720857719	0.00669787172941055	0.00183124745857047	0.00639360805714035	0.00356400533511067	0.00740324108969134	0.0168574466686102	0.0121110219820472	0.00715108226695475	0.00591356225525864	0.0135433345094379	0.00914381096033525	0.010097753053835	0.0190142483047134	0.00472330905597565
OM1_C_1A_3	0.0180030793807415	0.0171485650363018	0.0262881635803	0.0175292350632591	0.0167340326479358	0.0127339098673268	0.0126833047120261	0.00682708834414324	0	0.0103897871123162	0.0141644297179653	0.00707146220205956	0.0107731810289064	0.00685140488314263	0.00417153559572261	0.00649546504450611	0.0111038630122733	0.0204058511391117	0.0129905432060923	0.0354128952255952	0.0121383274271062	0.00904285548944789	0.0256355340223171	0.0165763912810382	0.0190511812956356	0.0166283281606303	0.0188428482195078	0.0159070677509282	0.0115206205069612	0.0187706236775552	0.00966516423615065	0.0140418536537263	0.00712853982476318	0.00522069059085666	0.0145809785343186	0.0190179336898222	0.0129883002525485	0.00715830434110197	0.00312171139346777	0.00759388824714559	0.00679046360423665	0.0236818882007722	0.0187226322906781	0.00572653498033986	0.0123662712842508	0.0104527286403458	0.00393017060036335	0.0168892736562357	0.0254467764594009	0.00467828030111612
OM1_C_1B_1	0.0169466784155113	0.0110863402642862	0.0209379303953495	0.0109052709863145	0.0145050515125941	0.0120222832246289	0.00828873820238153	0.0067741513030046	0.0103897871123162	0	0.010992974248522	0.0033197993563308	0.00627613829133146	0.00549076151236958	0.00664177463481112	0.00796091185531034	0.0181744112121171	0.0135491987590114	0.00703212423666991	0.0379252907105486	0.00258236276060692	0.00583109580470706	0.0308487126007603	0.0125123137744354	0.0149361894252854	0.00916836628693824	0.0151272324098084	0.0123960778176036	0.00764079832272198	0.0126840741181133	0.000888696687882182	0.0121775105327593	0.00696380701956088	0.0063970230807455	0.00895958878754271	0.0133527517770011	0.00548013253181216	0.00495996180119333	0.00779738040052017	0.00335907969424734	0.00520452363181814	0.0172359776564857	0.0147125962331552	0.00603914490945826	0.0102960246535093	0.0105986586398616	0.0100221259291103	0.0103713098037846	0.0215833661109248	0.00572925902637714
