	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_B_C_1	OM1_B_C_2	OM1_B_C_3	OM1_C_1B_2	OM1_C_1D_1	OM1_C_1D_2	OM1_C_1F_1	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2H_1	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3F_1	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_B_B_1	0	0.0489092389129206	0.00566078457507928	0.0134971557433965	0.0145360547132519	0.0140645484000337	0.0428505532061108	0.0114220074172345	0.0337548597763235	0.00580357433336282	0.0141425566785301	0.0288814163085938	0.00683583706011866	0.00639880259515193	0.0365784125511161	0.0122709791370216	0.0208253231356875	0.131984498216981	0.0423698216484703	0.0134612035459021	0.0173681433123214	0.00499570405364699	0.0243052648330541	0.0139031285736222	0.03718139573495	0.0304869398393524	0.0147059263587744	0.0149768742895229
OM1_B_B_2	0.0489092389129206	0	0.0513068135770613	0.0361062886262095	0.0344083121171021	0.0349480544282234	0.0891581595175206	0.0537318148469033	0.0821385579383632	0.0446844342159814	0.0612553084045123	0.0770378958304609	0.0421479102220856	0.0428219769004632	0.0811742535587302	0.0472010526446592	0.0689572830894132	0.140296073816755	0.0875575797437905	0.0602180409240755	0.0329845774515261	0.046249003811764	0.0713043548411771	0.0548332011984222	0.084180954302623	0.0258671427534634	0.0623999341320788	0.0638213056401903
OM1_B_B_3	0.00566078457507928	0.0513068135770613	0	0.0152164965511675	0.0176707287067021	0.0165972000356566	0.0436914012301508	0.0161173566339906	0.0332567301823798	0.0111466997089556	0.0161794007663199	0.0288225932010435	0.00991942207629251	0.00894481055835665	0.0383925678276517	0.0179029681219498	0.0212123752457829	0.137221610376216	0.0437490086324867	0.00909898765060282	0.0215160210790499	0.0105923081560276	0.0254745608280307	0.0185879026413621	0.0377860502685996	0.0305145838531309	0.0161496068677073	0.0143471553395642
OM1_B_C_1	0.0134971557433965	0.0361062886262095	0.0152164965511675	0	0.00456226867452773	0.00249971143283932	0.0561328194910798	0.0220935081060188	0.0472255880521936	0.0113700747048969	0.0273264138776889	0.042370851949752	0.00680089874403318	0.00710031500638257	0.0494020183106943	0.0183062415718587	0.0343091106610106	0.136118726654339	0.0554073361491181	0.0241908023479775	0.00989289335786121	0.012766461047264	0.0376077076905933	0.024159372356309	0.0505627507101589	0.0174764018931731	0.0280751599745518	0.0283448747181767
OM1_B_C_2	0.0145360547132519	0.0344083121171021	0.0176707287067021	0.00456226867452773	0	0.00207687203011255	0.0559386017762755	0.0208751573525672	0.047936680745679	0.0106018001654569	0.0273141718379998	0.042904160135659	0.00789703014935634	0.00875032150784631	0.0486929857130102	0.0158933565300091	0.0347870785882208	0.132011135137056	0.0548782796438804	0.0267652476204225	0.00533149527315619	0.0121708502131042	0.0375787757526254	0.0226333942773071	0.0505891651227101	0.0192800084330282	0.0283033103459405	0.0294476570020294
OM1_B_C_3	0.0140645484000337	0.0349480544282234	0.0165972000356566	0.00249971143283932	0.00207687203011255	0	0.0561604937706705	0.0214895497091719	0.0477389386897376	0.010896863816866	0.0274051747918123	0.0427812649298501	0.00723685174887034	0.00788217654008487	0.0491410586145591	0.0170316020632355	0.0346753446295514	0.133946358379462	0.0552508218423928	0.0256768677379354	0.00739898179938806	0.0124143225207002	0.0377032274119945	0.0233971961172296	0.0507061034964402	0.0181796503398365	0.0282881842412095	0.0290378806747229
OM1_C_1B_2	0.0428505532061108	0.0891581595175206	0.0436914012301508	0.0561328194910798	0.0559386017762755	0.0561604937706705	0	0.0355281848504874	0.0133148788084355	0.0453608086721015	0.0288261878332602	0.0155301512319578	0.0493404201697701	0.0491521507402792	0.00919085335290867	0.0420995780349686	0.0224905313465228	0.11913311266254	0.00419473430271812	0.0388106008802686	0.0563134830757839	0.0438052358721613	0.018557259481376	0.0344455876361846	0.00604819075132101	0.0732959248602914	0.0281533189668234	0.0295313901557902
OM1_C_1D_1	0.0114220074172345	0.0537318148469033	0.0161173566339906	0.0220935081060188	0.0208751573525672	0.0214895497091719	0.0355281848504874	0	0.0294724711679263	0.0107245425724811	0.00872817851052352	0.0242122185488579	0.0157137821271318	0.0160186423973098	0.0278881263031462	0.00703097290046588	0.0165927802356554	0.12133963381926	0.0341601112638434	0.0201222749705033	0.0208048088214178	0.00938283697343815	0.0178127846373454	0.00249091722856455	0.0305522837928003	0.0395308305885709	0.0103445259718853	0.0147045289228288
OM1_C_1D_2	0.0337548597763235	0.0821385579383632	0.0332567301823798	0.0472255880521936	0.047936680745679	0.0477389386897376	0.0133148788084355	0.0294724711679263	0	0.037524352314945	0.0211092085239424	0.00526315765762996	0.0405661057018395	0.0401345391363204	0.0151235061817889	0.0364975993501108	0.0132305216897106	0.129280456008841	0.0158664243620788	0.0269192697356111	0.0494179233995783	0.0359589092358257	0.0121515237497378	0.029296047339402	0.00797850507612012	0.0636718963539845	0.0198297383638764	0.0190094558639074
OM1_C_1F_1	0.00580357433336282	0.0446844342159814	0.0111466997089556	0.0113700747048969	0.0106018001654569	0.010896863816866	0.0453608086721015	0.0107245425724811	0.037524352314945	0	0.0167286724258605	0.0324272062443981	0.00525390419229047	0.00588333196825478	0.0382530900139178	0.00813181801937011	0.0243175568859748	0.128258448712017	0.0443758022319714	0.0192537222888105	0.0121757195598444	0.00157610967484558	0.0269833374077509	0.0128290817085962	0.0399979341689437	0.028820713334684	0.0177727077914046	0.0194810445466534
OM1_C_2A_1	0.0141425566785301	0.0612553084045123	0.0161794007663199	0.0273264138776889	0.0273141718379998	0.0274051747918123	0.0288261878332602	0.00872817851052352	0.0211092085239424	0.0167286724258605	0	0.0158956715591502	0.0205276742673646	0.0203635552694295	0.0224929244220404	0.0156672549935098	0.00796984496398128	0.125003709811901	0.0282348387943154	0.0157578019219886	0.0283771892975422	0.0151538176472419	0.0103045012181197	0.00938268840740599	0.0233163073436719	0.044574250196723	0.00170350222396732	0.00709813197603537
OM1_C_2A_2	0.0288814163085938	0.0770378958304609	0.0288225932010435	0.042370851949752	0.042904160135659	0.0427812649298501	0.0155301512319578	0.0242122185488579	0.00526315765762996	0.0324272062443981	0.0158956715591502	0	0.0356536799812503	0.0352768874386837	0.014023020316291	0.031237927259028	0.00812280960903122	0.127319146764547	0.0168740743042024	0.0233164181401232	0.0442474162189884	0.0308560359266818	0.00707326797233629	0.0240487847144812	0.00948862389265549	0.0590591837780807	0.0146739598950616	0.0144782839833602
OM1_C_2F_1	0.00683583706011866	0.0421479102220856	0.00991942207629251	0.00680089874403318	0.00789703014935634	0.00723685174887034	0.0493404201697701	0.0157137821271318	0.0405661057018395	0.00525390419229047	0.0205276742673646	0.0356536799812503	0	0.00113948210580429	0.0426696990456022	0.0132153188555119	0.0275671132797715	0.132988748222424	0.0486399978496952	0.0189703793580766	0.0116506045625359	0.00635421846952642	0.0308106187569461	0.0179425499255696	0.0437738275324436	0.0241647603795728	0.02128511781645	0.021806629803067
OM1_C_2F_2	0.00639880259515193	0.0428219769004632	0.00894481055835665	0.00710031500638257	0.00875032150784631	0.00788217654008487	0.0491521507402792	0.0160186423973098	0.0401345391363204	0.00588333196825478	0.0203635552694295	0.0352768874386837	0.00113948210580429	0	0.0426395658695421	0.0139734114198572	0.0272202467626994	0.13389432065872	0.0485473975672228	0.0180292103165464	0.0127181652582551	0.00678062158656538	0.0306083920233871	0.0183141008368179	0.0435304042615944	0.0242279942602708	0.0210377420999465	0.0212802721243981
