	OM1_B_B_1	OM1_B_B_2	OM1_B_C_2	OM1_C_1A_1	OM1_C_1A_2	OM1_C_1A_3	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1B_3	OM1_C_1D_2	OM1_C_1D_3	OM1_C_1E_1	OM1_C_1E_3	OM1_C_1F_1	OM1_C_1F_2	OM1_C_1F_3	OM1_C_2A_1	OM1_C_2A_3	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3D_1	OM1_C_3D_2	OM1_C_3D_3	OM1_C_3E_2	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_3	OM1_H_1C_1	OM1_H_1C_2	OM1_H_1C_3	OM1_H_1D_1	OM1_H_1D_3	OM1_H_1G_3
OM1_B_B_1	0	0.0219986488033575	0.0293064057557298	0.124235026003211	0.0647287635631742	0.061763049070917	0.0760058475590745	0.0623656127490946	0.0760005179638963	0.00084705858868612	0.0061085479636522	0.0729003234556083	0.06960727455666	0.029363114859769	0.04180515956106	0.0308118284714867	0.0171784262375605	0.027086749251812	0.0222581414098455	0.010333119826099	0.0127787656237038	0.00496137666160842	0.00916724598496615	0.00813125426677262	0.0115261813895209	0.0211012210140722	0.0119454368103192	0.00711066927707281	0.0103742475758923	0.0274088809896081	0.00660280408406846	0.0309016346322114	0.0449016709619943	0.0176326414735313	0.0484064530420108	0.0431257003667208	0.026525676263371	0.0349011030985806	0.0536853574926059
OM1_B_B_2	0.0219986488033575	0	0.0190822681430163	0.103124805535907	0.0436462600754362	0.0412097126981035	0.0557778331600936	0.0432472412332537	0.0556702025266887	0.0222625441299644	0.0173236236248736	0.0523873187577969	0.0497225003207375	0.0499798268927559	0.0611030617667776	0.0505847381482885	0.035762081736651	0.0476784947327739	0.00653671057613067	0.0117445019296828	0.00954054853825054	0.0172545646665779	0.012835636879877	0.0157676923753559	0.0104872395490131	0.00316801876201518	0.0320438204238667	0.0150447255436109	0.0279219751201757	0.0488877589437186	0.0276248022898118	0.0509776034537911	0.0648975345562204	0.0323252045931201	0.0687412470016185	0.062669369214755	0.0462384562943925	0.0536876053126717	0.0736083871113328
OM1_B_C_2	0.0293064057557298	0.0190822681430163	0	0.0991073283446517	0.0409736998411837	0.0369451672076938	0.0498637790111757	0.0352934132538337	0.0500290695417848	0.0300258294498395	0.0283721959872717	0.0473767371285761	0.0431801592582605	0.0582212781886	0.0709966536160151	0.05998871034598	0.0463718944834365	0.056007460663254	0.0126197194646958	0.0217402811923638	0.0197178520896057	0.0268187243234073	0.0229898289702063	0.0212877114212981	0.0215562350738924	0.0161698441525732	0.0412459567625601	0.0253868066407349	0.0389501230945526	0.0554455591071773	0.0358871150136815	0.0599879217681878	0.0738491374987876	0.0453761742438676	0.07712889954626	0.0722507281803117	0.055756372112129	0.0641791898890932	0.0825756644048599
OM1_C_1A_1	0.124235026003211	0.103124805535907	0.0991073283446517	0	0.0597253349184596	0.0628510539236753	0.0493679696103578	0.0640670801703292	0.0491872320746718	0.124669108160898	0.120293174743708	0.0519292822048764	0.056065736519882	0.152739809865068	0.16352159556462	0.153300335235583	0.138578964013343	0.15045865040952	0.102146825198027	0.114096193939804	0.111599916522301	0.119939104224463	0.115367492960089	0.116616862573099	0.113052365092971	0.10338110469588	0.134940908715969	0.117800891484009	0.13084576456038	0.151381175486619	0.130335674883608	0.153723662321108	0.167447813889426	0.13447756067194	0.171297486949872	0.165137501121887	0.149008065383129	0.156097668036396	0.176010947235545
OM1_C_1A_2	0.0647287635631742	0.0436462600754362	0.0409736998411837	0.0597253349184596	0	0.00478998650863074	0.0135322837208697	0.0121450131611509	0.0131397352811167	0.0651613515774467	0.0608145856645239	0.00964193743097384	0.0101866300838046	0.093456267629038	0.104585970016113	0.0941371687724373	0.0793492618149848	0.0911589716773437	0.0425674253864082	0.0545385698457452	0.0520297958980753	0.0604150543579708	0.0558190156659783	0.0571274084548837	0.0534982931586146	0.0437862245838483	0.0755399825583624	0.0582738560009543	0.0715290489242807	0.0920307473439626	0.0708635300710667	0.0945191268810032	0.108404948021484	0.075577829784919	0.112224177355532	0.106167128657586	0.0898018176367533	0.0971581449781638	0.117080775502696
OM1_C_1A_3	0.061763049070917	0.0412097126981035	0.0369451672076938	0.0628510539236753	0.00478998650863074	0	0.0146275598546804	0.00798219368600455	0.0144826542350406	0.0622381461253468	0.0581509038165206	0.0112033892544215	0.00922954441344122	0.0907470313164301	0.102178560088339	0.0915945508851808	0.076863970094392	0.0884504105609943	0.0395301332088131	0.0516984244230981	0.0491732237251934	0.0576089569164661	0.0530064933882394	0.0539976518887645	0.0507230012318351	0.0410489189827536	0.0728419962240023	0.0555087976492438	0.0690120006277379	0.0891009565162066	0.0680270602996716	0.0919218650549336	0.10586614539741	0.0734091126999557	0.109613179658442	0.103717562394765	0.0872485444629932	0.094802043833134	0.114579766624298
OM1_C_1B_1	0.0760058475590745	0.0557778331600936	0.0498637790111757	0.0493679696103578	0.0135322837208697	0.0146275598546804	0	0.0147778191917435	0.000793145145313115	0.0765119102076132	0.0725961035946728	0.0039217388622209	0.00670945843735442	0.105089965730672	0.116644921721801	0.10602521511605	0.0913476460418604	0.102799055689757	0.0538174000852598	0.06606485268542	0.0635385332131999	0.0719771149296146	0.0673853807871293	0.06813129674763	0.0651309767002989	0.0555099739869533	0.087233212318243	0.0699076189073529	0.0834982280182414	0.103289358405193	0.0823448398607085	0.106325175941957	0.120269539203284	0.0879813075415067	0.123971128523196	0.118164788191303	0.101682983690882	0.109299141322159	0.128982858109475
OM1_C_1B_2	0.0623656127490946	0.0432472412332537	0.0352934132538337	0.0640670801703292	0.0121450131611509	0.00798219368600455	0.0147778191917435	0	0.0150603176040468	0.062925982523578	0.0594279919094736	0.0130413955590388	0.00809575712637351	0.0916331571413709	0.103595489838821	0.0928080538868429	0.0782927368106825	0.089352445914811	0.0403977701898455	0.0527150380057375	0.0502014207470774	0.0586038075340831	0.0540583742005156	0.0543484117334074	0.0518909183036753	0.0425053969800559	0.0738852318612294	0.0566188754974664	0.0704504127368297	0.0895378478012252	0.0688325986849363	0.0930256259696739	0.107010667009738	0.0754586730496483	0.110597491203115	0.105046003900103	0.0884685763545093	0.0963555984770758	0.115759309781333
OM1_C_1B_3	0.0760005179638963	0.0556702025266887	0.0500290695417848	0.0491872320746718	0.0131397352811167	0.0144826542350406	0.000793145145313115	0.0150603176040468	0	0.076499512028509	0.0725370898228972	0.00349930903351699	0.00696519562211181	0.105055000707131	0.11656141914266	0.105961648617305	0.0912691590066875	0.102763103214776	0.0537998884016406	0.0660296168166466	0.0635035575460523	0.0719412190882401	0.0673467647294193	0.0681479906224374	0.0650842242477931	0.0554470791028492	0.0871885617518792	0.0698632626966301	0.0834215323047237	0.103293398759354	0.0823212929395588	0.106271103294923	0.120209531493382	0.0878509285522659	0.123924793662527	0.118088842696275	0.101619764311976	0.109205111666772	0.12891847778823
OM1_C_1D_2	0.00084705858868612	0.0222625441299644	0.0300258294498395	0.124669108160898	0.0651613515774467	0.0622381461253468	0.0765119102076132	0.062925982523578	0.076499512028509	0	0.00590920819399738	0.0733847345064428	0.0701318848690988	0.0287825372107011	0.0411394627864414	0.0301596850081051	0.016410407304733	0.0264986329196474	0.0227435887088919	0.0106824392809274	0.013165400194183	0.00506411368765327	0.00946614800772757	0.00879423798139353	0.0118293053183555	0.0214754616986828	0.0112404182808245	0.00726579752018286	0.00953456557391561	0.0269494145638627	0.00594931710011672	0.030273314429453	0.0442878901740916	0.0167860805415336	0.0478245897407578	0.0424773266611636	0.025859037462869	0.0341960028808941	0.0530746601266027
OM1_C_1D_3	0.0061085479636522	0.0173236236248736	0.0283721959872717	0.120293174743708	0.0608145856645239	0.0581509038165206	0.0725961035946728	0.0594279919094736	0.0725370898228972	0.00590920819399738	0	0.0693333308115873	0.0663539586552206	0.0327279203779465	0.0442920481589259	0.0335448451748083	0.0189033794212153	0.0304226010374184	0.0190741817733487	0.00685690547678116	0.00929601867302233	0.00220036879779419	0.00551518693100279	0.00805775035030653	0.00755028806838556	0.0171217438390355	0.014757683876663	0.00299430676342769	0.0110606279056097	0.0316011889813077	0.0103910776739591	0.0338527091725636	0.047858833089795	0.0170170979290295	0.051613332505348	0.0457753658773594	0.0291836404179334	0.0370243058144833	0.056622895091219
OM1_C_1E_1	0.0729003234556083	0.0523873187577969	0.0473767371285761	0.0519292822048764	0.00964193743097384	0.0112033892544215	0.0039217388622209	0.0130413955590388	0.00349930903351699	0.0733847345064428	0.0693333308115873	0	0.00535043702204373	0.101896487391883	0.11331916646958	0.102751183794954	0.0880314249347915	0.0996024325653905	0.050681435730764	0.0628713373511385	0.0603464170236438	0.0687805649319776	0.0641816935230253	0.0650964439488888	0.0619042129755127	0.0522401103629691	0.084010489554914	0.0666868407784004	0.080186437051937	0.100212482094467	0.0791836948360695	0.103077503595785	0.117007994482705	0.0845327319396395	0.120748631128562	0.114859451633775	0.098409292413197	0.105944407407817	0.125711416496911
OM1_C_1E_3	0.06960727455666	0.0497225003207375	0.0431801592582605	0.056065736519882	0.0101866300838046	0.00922954441344122	0.00670945843735442	0.00809575712637351	0.00696519562211181	0.0701318848690988	0.0663539586552206	0.00535043702204373	0	0.0987748319282305	0.110482872117943	0.0997957753975691	0.085165266533488	0.0964861352311176	0.0474614742611861	0.0597521926689737	0.0572264536821378	0.0656640412968488	0.0610821892697285	0.0616789893228344	0.0588538396043481	0.0492933293828486	0.0809437699720339	0.0636207030279991	0.0773108052010071	0.0968714135544191	0.0759947417333026	0.100066457713993	0.114033424142015	0.0819885358807437	0.117695624550004	0.111978319788611	0.0954516283189096	0.103171115809106	0.122764019595057
