	OM1_B_B_2	OM1_B_B_3	OM1_B_C_1	OM1_B_C_2	OM1_B_C_3	OM1_C_1B_2	OM1_C_1D_1	OM1_C_1D_2	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2H_1	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3F_1	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_2	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_B_B_2	0	0.0159006838694481	0.0103095779814208	0.0129738838394663	0.00252492309717185	0.00642398958667243	0.0105716042059341	0.00682583347741622	0.00635702747380178	0.00466053880463385	0.00487013208468163	0.0122409982517289	0.0193294859467821	0.00922307860842215	0.00779394437284959	0.00363406452562749	0.010607192136898	0.012306913901564	0.0151151337179035	0.011349326216573	0.00683090682298662	0.0072917073179644	0.016857765590038	0.0197712918015079	0.0153015947743379	0.0168825909488786	0.00828706563026125	0.0109253256235831	0.00879501267599039	0.0192395262647248	0.0128324532443637	0.0105483060364633	0.00584502650609036	0.0180144706240423	0.0135182221883389
OM1_B_B_3	0.0159006838694481	0	0.0262087637740891	0.0288724918114554	0.0184253486667078	0.00947703291163861	0.0264707366387191	0.0227256567785254	0.0222569263437501	0.0205606908605999	0.0110308504975159	0.0281397729629138	0.0352264001233257	0.0251224775854686	0.023693603944457	0.019534354336619	0.0265063172640883	0.0282056738582768	0.0310132206629022	0.0272482958166958	0.0227307292930462	0.00860932579308462	0.0327553912735724	0.035668071727479	0.0311996339602154	0.0327802098200737	0.0241866378291722	0.026824384823422	0.0246944920712346	0.0351364675143247	0.0287310938537906	0.0053526921683076	0.0217450051360175	0.0339117716987634	0.0294167024906139
OM1_B_C_1	0.0103095779814208	0.0262087637740891	0	0.00266442963030846	0.00778472534700845	0.0167331817431719	0.000262036145385263	0.00348382970661416	0.00395264054142205	0.00564913353299171	0.015179444786542	0.00193150493343894	0.00902053190653713	0.00108653526865379	0.0025157038524286	0.00667560040998175	0.000297625462011206	0.00199742394353985	0.00480581577424231	0.00103979049596812	0.00347875630014743	0.0176008245911219	0.00654858273279103	0.00946238325826163	0.00499229024803857	0.00657341017282882	0.00202257239553505	0.000615771735391618	0.00151461302325481	0.00893056313128726	0.00252299118892176	0.0208570938473189	0.00446464498659595	0.00770538941455938	0.00320879951263305
OM1_B_C_2	0.0129738838394663	0.0288724918114554	0.00266442963030846	0	0.010449079724064	0.0193973108075828	0.00240239406665323	0.00614823952881866	0.00661704598350055	0.008313519723847	0.0178436236441932	0.000732926005451894	0.00635615525289221	0.0037509611307192	0.00518012143242908	0.00933997236438375	0.00236680481961986	0.000667006918231405	0.00214139565499502	0.00162464069595909	0.00614316616752496	0.0202649238955783	0.00388417660777473	0.00679801306131721	0.00232787135811808	0.00390900428769512	0.00468699326025214	0.00204865906111724	0.00417903680104491	0.00626618520712748	0.000141438770963378	0.0235210689594176	0.00712904518013192	0.00504099567650191	0.000544371496973434
OM1_B_C_3	0.00252492309717185	0.0184253486667078	0.00778472534700845	0.010449079724064	0	0.00894886208709746	0.00804675579193569	0.00430093616675965	0.00383212577574157	0.00213562445257092	0.00739502349219711	0.00971617955042573	0.016804847739454	0.0066982097576118	0.00526905734248087	0.00110914497045347	0.00808234430539664	0.00978209647362253	0.0125903776042803	0.00882449103752475	0.00430600956193278	0.00981656740609696	0.0143330544637971	0.0172466677533546	0.0127768432205286	0.0143578805019031	0.00576218446813413	0.0084004830976994	0.00627013800427323	0.016714885216143	0.0103076462409728	0.0130731076765353	0.00332012045689091	0.015489792292141	0.0109934295149685
OM1_C_1B_2	0.00642398958667243	0.00947703291163861	0.0167331817431719	0.0193973108075828	0.00894886208709746	0	0.0169951919824312	0.0132496206868311	0.0127808352377854	0.011084412752932	0.00155387447009265	0.0186644770033112	0.0257523636240902	0.0156467453890636	0.0142176860329509	0.0100579722791274	0.017030777718715	0.0187303880936189	0.021538395695437	0.0177728647458925	0.0132546938046073	0.000867731924846548	0.0232808782359453	0.0261941246187797	0.0217248414187748	0.023305701369851	0.0147107824822762	0.0173488913356591	0.0152187028403973	0.0256624129700548	0.019255890391743	0.00412441410578399	0.012268855598062	0.024437476691323	0.0199416091476358
OM1_C_1D_1	0.0105716042059341	0.0264707366387191	0.000262036145385263	0.00240239406665323	0.00804675579193569	0.0169951919824312	0	0.0037458646651311	0.004214675171536	0.00591116664033731	0.0154414595838437	0.00166946908100512	0.00875850294111863	0.00134857128102348	0.00277773936244634	0.00693763234137521	3.55893172305579e-05	0.00173538811309478	0.00454378161370694	0.000777754423988712	0.00374079126198224	0.0178628320928339	0.00628655032915593	0.00920035502431994	0.00473025624912219	0.00631137779820519	0.00228460812083372	0.000353735609612047	0.00177664892417939	0.00866853402127887	0.00226095556195268	0.0211190898451095	0.0047266792123553	0.00744335848175884	0.00294676422666879
OM1_C_1D_2	0.00682583347741622	0.0227256567785254	0.00348382970661416	0.00614823952881866	0.00430093616675965	0.0132496206868311	0.0037458646651311	0	0.000468813076830599	0.00216531862885474	0.0116958301617639	0.0054153219916458	0.0125042252915175	0.0023972975886298	0.000968128800521107	0.00319179649057112	0.00378145380740255	0.00548124041095198	0.00828959731802018	0.00452361451431086	5.07342347023525e-06	0.0141172960050741	0.0100323330244602	0.0129460649173928	0.00847606879833812	0.0100571599662954	0.00146126088632814	0.00409959838905708	0.00196922029118286	0.0124142588461192	0.00600680257018125	0.0173737034790764	0.000980820578486356	0.0111891149118904	0.00669260325320736
OM1_C_1E_1	0.00635702747380178	0.0222569263437501	0.00395264054142205	0.00661704598350055	0.00383212577574157	0.0127808352377854	0.004214675171536	0.000468813076830599	0	0.00169650615051283	0.0112270385032097	0.00588412988143528	0.0129730119780826	0.00286610954663776	0.00143694165076122	0.00272298482982414	0.0042502642675099	0.00595004817879657	0.00875839857920759	0.00499242391450925	0.000473886504434093	0.0136485143676601	0.0105011289588795	0.0134148497418565	0.00894486953671402	0.0105259558177022	0.00193007350386527	0.00456840841672979	0.00243803258620707	0.0128830459040729	0.00647560931539738	0.0169049383484585	0.000512007583496695	0.0116579067656516	0.00716140852894396
OM1_C_1E_2	0.00466053880463385	0.0205606908605999	0.00564913353299171	0.008313519723847	0.00213562445257092	0.011084412752932	0.00591116664033731	0.00216531862885474	0.00169650615051283	0	0.00953059553013679	0.00758060975041799	0.0146694060733362	0.00456260798973694	0.00313344514709462	0.00102648032775557	0.00594675552325169	0.00764652752244473	0.0104548507930072	0.00668891038748294	0.00217039204842436	0.0119521045692656	0.0121975596729736	0.0151112365351334	0.0106413196206785	0.0122223861997054	0.00362657552847939	0.00626489770163138	0.00413453279531576	0.0145794414580287	0.00817208428765694	0.0152085841309045	0.00118449892464261	0.0133543212371175	0.00885787730827911
