	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1B_3	OM1_C_1D_2	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_2	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_2	OM1_C_2F_3	OM1_C_3D_1	OM1_C_3D_2	OM1_H_1B_1	OM1_H_1B_3	OM1_H_1D_3
OM1_C_1B_1	0	0.0247160756438076	0.00839989325830917	0.00427583773121753	0.109192207188373	0.0762028055015796	0.0873178012075826	0.102732530996461	0.0804399284700937	0.0946836151248212	0.0711467855807435	0.0873012919152372	0.0999235071021219	0.0845455246448232	0.0964675957953821	0.101837814132558	0.0917107595515837	0.110021145874845
OM1_C_1B_2	0.0247160756438076	0	0.032927907629438	0.0209980455923591	0.101043424537549	0.0676969494178436	0.078583239186244	0.0953483572235345	0.0733188603974079	0.0871702915906077	0.064538978655343	0.0817343941662309	0.093351917737625	0.0788316788444283	0.0882673697204054	0.0951573779568801	0.0828492955098542	0.103688358132657
OM1_C_1B_3	0.00839989325830917	0.032927907629438	0	0.0119621469886708	0.114678245142805	0.082148467859131	0.0931670602510293	0.108079935127871	0.0859877980105885	0.100146799580295	0.0767252785466666	0.0923528776556857	0.105087554310409	0.0896747797649992	0.102084408480913	0.107010826349983	0.0975404791091988	0.115024613164528
OM1_C_1D_2	0.00427583773121753	0.0209980455923591	0.0119621469886708	0	0.109384540179831	0.0761632145063778	0.0873099550625466	0.103035598477941	0.080672985308673	0.0949290200608633	0.0713970657286145	0.0878456559278525	0.100356726344168	0.0850483933148635	0.0966004098898493	0.102260100440443	0.0917036708154627	0.110534455484985
OM1_C_1E_1	0.109192207188373	0.101043424537549	0.114678245142805	0.109384540179831	0	0.0336057759302564	0.0225434481992098	0.00700947018036472	0.0288718045664398	0.0146113597317967	0.0381857090400091	0.0232828763397875	0.0109502825744718	0.0255957512068349	0.0128977788041806	0.00926121388354686	0.0182721395382272	0.00836909649254873
OM1_C_1E_2	0.0762028055015796	0.0676969494178436	0.082148467859131	0.0761632145063778	0.0336057759302564	0	0.0111857695992437	0.0277276012370806	0.00665490394617816	0.0195301899871153	0.00702849324137529	0.0159979261875622	0.0259209840255364	0.0133921617859998	0.0207156632191661	0.0276620246766996	0.0155931724232933	0.0362371964712668
OM1_C_1E_3	0.0873178012075826	0.078583239186244	0.0931670602510293	0.0873099550625466	0.0225434481992098	0.0111857695992437	0	0.0170938163832744	0.00827938091525417	0.00926001197711759	0.0167944119447392	0.0113536775834652	0.0161112148656082	0.0106333237779308	0.00973828239744409	0.0175991250575691	0.00441126951503958	0.0260067884853641
OM1_C_1F_2	0.102732530996461	0.0953483572235345	0.108079935127871	0.103035598477941	0.00700947018036472	0.0277276012370806	0.0170938163832744	0	0.0224679400256233	0.00822440677913752	0.0317464026549654	0.016303200135662	0.00416151253688073	0.0186929871259015	0.00752108382402486	0.003000301776015	0.0132645835303697	0.00911861839332335
OM1_C_2A_1	0.0804399284700937	0.0733188603974079	0.0859877980105885	0.080672985308673	0.0288718045664398	0.00665490394617816	0.00827938091525417	0.0224679400256233	0	0.0143067942146432	0.00931866990423552	0.00935142983116371	0.0201083640373795	0.00675490157060314	0.0161766213466599	0.0219507605948045	0.0122018176825529	0.0304870087261747
OM1_C_2A_2	0.0946836151248212	0.0871702915906077	0.100146799580295	0.0949290200608633	0.0146113597317967	0.0195301899871153	0.00926001197711759	0.00822440677913752	0.0143067942146432	0	0.0236169656556183	0.00969762991956464	0.00687368546867932	0.0114304377012689	0.00307055177802564	0.00834766921764766	0.00633981209215054	0.0168325778006095
