	OM1_B_B_2	OM1_B_B_3	OM1_B_C_1	OM1_B_C_2	OM1_B_C_3	OM1_C_1A_1	OM1_C_1A_2	OM1_C_1A_3	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1B_3	OM1_C_1D_2	OM1_C_1D_3	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_1F_2	OM1_C_1F_3	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3D_1	OM1_C_3D_2	OM1_C_3D_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_H_1B_3	OM1_H_1C_1	OM1_H_1C_2	OM1_H_1C_3	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_B_B_2	0	0.0111819787701907	0.00096538516834831	0.0035842537314991	0.017355239366093	0.0138342326005523	0.0329238063394332	0.00636901171004358	0.0107241827922968	0.014376903119864	0.00632009968327805	0.016091621354272	0.00415197938993994	0.0606998134285079	0.0962289425986496	0.0822567404802502	0.00902179556987755	0.0122202281695585	0.0361875540813581	0.0110552568616077	0.00813170383501225	0.00778231345617206	0.0109818647484642	0.00375277829914353	0.00628685149793729	0.00762087992064779	0.00207323564796831	0.00296944264151117	0.00567272473161299	0.00110394415299647	0.00376292990451976	0.00765673391902696	0.0240508596717277	0.00291428951496504	0.0117566136434906	0.00748897575542673	0.00167110961454993	0.00642868580398588	0.00481607265953612	0.00890295532061718	0.00256037280192589	0.0138300332909847	0.0442696906528651	0.00437318999771422	0.00535324808944081	0.00767657584556159
OM1_B_B_3	0.0111819787701907	0	0.0121314994258279	0.0133722454275191	0.00729384764191028	0.024912482593327	0.0438857172627792	0.0105409274000713	0.0218463861523137	0.024039241245745	0.0168872364062066	0.0272648478526179	0.0152210515925102	0.0528458568845272	0.0870504845509228	0.0739908034964785	0.0194653062338291	0.0233660497206199	0.0263143280451682	0.0222352419914735	0.0192773578397549	0.0185556883563319	0.0218548336595979	0.00780466167114566	0.0101910492791104	0.017674090107389	0.0131705531512855	0.0131150924863969	0.0162245706651902	0.0113563891416719	0.0145274160287539	0.0175573120410428	0.0184079420237098	0.0109800807733049	0.0228586537374493	0.0167004446989086	0.0123664166721213	0.0172338866239503	0.0158781636025569	0.0190962518980102	0.0107425786672041	0.023953865559667	0.035715959684101	0.0136333357031977	0.0164094501949951	0.00360770263086605
OM1_B_C_1	0.00096538516834831	0.0121314994258279	0	0.00303157684146596	0.0182216720445917	0.0129391823088339	0.0320431620446326	0.00663203524600613	0.0097597948690886	0.013542468608701	0.00542926191414062	0.015154235413985	0.00331580353520017	0.0612946873237954	0.0969295073677171	0.0828747306231591	0.00812411818618402	0.0112582231707878	0.0369886650043049	0.0101122391998558	0.0072189620593186	0.00701373139994768	0.0101568084967868	0.00459933298526805	0.00690355847356818	0.00680053637337475	0.00112138142118152	0.00237342812363483	0.00479494167663182	0.0012340755443056	0.00287895493470365	0.00686199935860598	0.0245740187714829	0.00308050255088441	0.0107915614860338	0.00713630886733122	0.00142995793466923	0.0054961922015045	0.00397195252404578	0.00804249126972001	0.00282314852086197	0.0129455674862089	0.0449455336629472	0.00388406906525231	0.00439114595452934	0.00863791836997195
OM1_B_C_2	0.0035842537314991	0.0133722454275191	0.00303157684146596	0	0.018589820099975	0.0130319528291802	0.0320139592353471	0.00510526413745576	0.00890903621007448	0.0110570459679792	0.00355314490687012	0.0147440901220279	0.00472753553300131	0.0601378861998969	0.0961780698245498	0.0817881758168598	0.00609598527523528	0.0104643814059634	0.0368109699484916	0.00978579213417537	0.00745462489131463	0.00819100112705059	0.0108458702833262	0.00559840381877805	0.00986186061449098	0.00437668770321655	0.00244996394675204	0.000662952753247506	0.00291093865529116	0.0026189634768661	0.00178115933002787	0.00432530878566057	0.0232815076452199	0.00242087871300341	0.00983163466174884	0.00950728545958355	0.00437730866512386	0.00403174812663905	0.00518245623354744	0.00577436855362246	0.00262992712392332	0.0107127049056765	0.0441379018504238	0.000874634391634349	0.00374040560348208	0.0102033743769858
OM1_B_C_3	0.017355239366093	0.00729384764191028	0.0182216720445917	0.018589820099975	0	0.0311492763289924	0.0502502964273666	0.0142863210032601	0.0274781257815027	0.0280440407619515	0.0221039941168838	0.0332129576902857	0.0215064567654751	0.0456507332212937	0.079804674239518	0.0667325467237743	0.0243928591911228	0.0290324957986286	0.0191166254745377	0.0281756507903488	0.0254173818225191	0.0250812883692715	0.0283248827261295	0.0136228886812284	0.0174502040105406	0.0224611150309738	0.0191110947333661	0.0185375834846859	0.0214867907288078	0.0172033449658594	0.0200940175252964	0.0222567340555726	0.0128944201147098	0.0162169032420154	0.0284173154569198	0.0236934907202499	0.0187962097473257	0.0226207487235146	0.0221701740376504	0.0238564027896624	0.0161269634984887	0.0283399082329009	0.0284532576950703	0.0185644252896743	0.0221110495345114	0.0105777331067797
OM1_C_1A_1	0.0138342326005523	0.024912482593327	0.0129391823088339	0.0130319528291802	0.0311492763289924	0	0.0191168985068438	0.0181014531395777	0.00505071849542794	0.0120292962142674	0.0100835698009309	0.00304301154701419	0.00970717373059258	0.072880571036749	0.109101958999312	0.0945422310410009	0.00928891787026834	0.00410055713024693	0.0497513736044324	0.003444150468033	0.00573681892925599	0.00654515954025878	0.0034117100967995	0.0175336959836748	0.0166252167798759	0.0108162860296759	0.0120485260198535	0.0128814854206318	0.0104939347508842	0.0139567726282293	0.0113096672120527	0.01116419797201	0.0360776159427865	0.0151636826924502	0.0048743114679613	0.00990251586098591	0.0125477318265521	0.00933506770279819	0.00904505518273124	0.0100924573880245	0.0151630927532084	0.0103710655321369	0.057114209855677	0.0133991556785746	0.00929345326883009	0.0213251417908006
OM1_C_1A_2	0.0329238063394332	0.0438857172627792	0.0320431620446326	0.0320139592353471	0.0502502964273666	0.0191168985068438	0	0.0369813594315626	0.0232687195588088	0.0268469626371169	0.0287778782897429	0.0173443543243619	0.0287787235662054	0.0909283426810256	0.127540947706822	0.112546413818537	0.0271960127131672	0.0217628472066898	0.0687854475199715	0.0222316673725999	0.0248524420662789	0.0253390612147305	0.0220401978781089	0.0366392605869345	0.0348399454875235	0.0290607089905047	0.0311622347939779	0.0319254858746536	0.0292914898352202	0.0330698370479862	0.0303471243014361	0.0293710117226294	0.0544779989379323	0.0342317456322159	0.0225144293309953	0.0277439837535183	0.0315673394650655	0.0281089600766396	0.0281142781481706	0.027946363701054	0.0342521664127668	0.0254837238674347	0.0757350458467526	0.0322776496666239	0.0283135902718239	0.0402822758119318
OM1_C_1A_3	0.00636901171004358	0.0105409274000713	0.00663203524600613	0.00510526413745576	0.0142863210032601	0.0181014531395777	0.0369813594315626	0	0.0137422252218263	0.0138598511736884	0.00822067912107748	0.0196548772593817	0.00951116651235412	0.0550598311337282	0.0910998409435241	0.0767090942757944	0.0102208823666137	0.0152777661599067	0.0319195429980604	0.0147938510007388	0.0125596513494711	0.0131630512506037	0.0159389840494709	0.00464580259686923	0.0115584642416108	0.00826824657199621	0.00685534582226346	0.00539368195430012	0.00769361118670599	0.0054277433242366	0.00687966619506257	0.00803358696870458	0.0182077286015447	0.00355235928483567	0.0145757081599642	0.0137658898234505	0.00796220299227519	0.00887655900636487	0.0100665993535265	0.0096277447153269	0.00383258554635056	0.0140648820246822	0.039043603903478	0.00471430245304725	0.00883177689372271	0.00839933417280659
OM1_C_1B_1	0.0107241827922968	0.0218463861523137	0.0097597948690886	0.00890903621007448	0.0274781257815027	0.00505071849542794	0.0232687195588088	0.0137422252218263	0	0.00769115168431857	0.00552191462643826	0.00592545760753575	0.0071355998677286	0.0680998461134356	0.104522397445328	0.0897763796781394	0.004253236236819	0.00155569035765072	0.0456412501266193	0.00180885593365611	0.00360702737945008	0.00591176184162328	0.00516745870039303	0.0141077724736839	0.0151611743881445	0.00590642137652758	0.00868597108652642	0.00894538253577504	0.00606946831060152	0.0104985552656886	0.00740695862806857	0.00624215609373133	0.0313676109695707	0.011263477837209	0.00105499045101153	0.0098652107792478	0.00989241984877719	0.0048963350981262	0.0066030511090781	0.00505770937309764	0.0113682663145624	0.00616032996943422	0.0525572625392104	0.00906527474472393	0.00544365703601305	0.0183934966715062
OM1_C_1B_2	0.014376903119864	0.024039241245745	0.013542468608701	0.0110570459679792	0.0280440407619515	0.0120292962142674	0.0268469626371169	0.0138598511736884	0.00769115168431857	0	0.00817407217873256	0.0111806278080587	0.0125141407246331	0.0644179508831919	0.101429134757127	0.0860282742845263	0.00563184461812197	0.0079950847412981	0.044497401594573	0.00943419033429038	0.0106560986310541	0.0130372343625207	0.0128583081176731	0.0165106346356904	0.0202686069526815	0.00675734397437092	0.0124815227693648	0.0115329686841971	0.00876860698522812	0.0135998361528795	0.0106721044943156	0.00674724869904346	0.0285855063895017	0.0132343190802618	0.00732928217381548	0.0166999042891113	0.0144106335489292	0.0083536323563046	0.0122910624086709	0.0055224396431691	0.0135565526653008	0.00166637356592043	0.049917545253874	0.0105647602592978	0.00978625292562887	0.0211413123925168
