	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_B_C_1	OM1_B_C_2	OM1_B_C_3	OM1_C_1A_1	OM1_C_1A_2	OM1_C_1A_3	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1D_2	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_1F_2	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3D_1	OM1_C_3D_2	OM1_C_3D_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_2	OM1_H_1B_3	OM1_H_1C_1	OM1_H_1C_2	OM1_H_1C_3	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_B_B_1	0	0.00877881967947723	0.0124458539314918	0.00560790093896108	0.00370073493525007	0.0118508690720691	0.024008269264905	0.0102462821610493	0.0156304285664938	0.00658653654109654	0.00351563267835028	0.0107748759911531	0.00300555069190518	0.0079549578924002	0.00762584691615179	0.00543543369708563	0.00679054444657739	0.00435283062946953	0.000844436670986325	0.0202263565860543	0.000578927879273529	0.00667465864675198	0.0120078132924873	0.0139220232275493	0.0117615155257451	0.0120552415891177	0.00535788116391593	0.00872037064394228	0.00588916006164749	0.00107156239446962	0.00630108651980225	0.00469239668536804	0.0088892216345701	0.00625805874522102	0.0133473467632193	0.0135457297798869	0.00970652727813304	0.0114092464511807	0.00605389943482215	0.00373005048238414	0.00466181323903435	0.00168976372756092	0.0171700687140421	0.00846535122012491	0.00375504776209328	0.00813383953023247	0.00739208218232788
OM1_B_B_2	0.00877881967947723	0	0.0132060490315499	0.00710454876203795	0.00593717783836395	0.0103284854742175	0.0322535105331005	0.00961555225964449	0.0243767517625625	0.0147684074390596	0.0120621025693726	0.0192730368556405	0.00969326909780763	0.00435144534081111	0.014965899179404	0.00622943678731005	0.012234309861951	0.0102481524988698	0.00938793130197537	0.0171404762698111	0.0084056825843228	0.00555197553578609	0.00387156264673702	0.021601822012814	0.018782113269478	0.0112875051389835	0.0138373852038822	0.00855156837204897	0.0146340997387286	0.00985019432468636	0.013479569053051	0.00995659924745598	0.017419330567794	0.0130075173699602	0.0152065524709407	0.021969390943049	0.0183819667258535	0.0200626193529788	0.0133780735487041	0.00955356865669324	0.0113670923907792	0.00743308181166266	0.00952908962335403	0.00532831894870268	0.00531306729692799	0.0151444754993971	0.00892002139903475
OM1_B_B_3	0.0124458539314918	0.0132060490315499	0	0.0165358924695049	0.0139297826840771	0.00362094703743748	0.0332263413429464	0.00361518342211411	0.0214924417013456	0.017872479174687	0.0123652772144741	0.0205901409625965	0.00977261251143737	0.00885535434309672	0.0104458501531012	0.0158416011652171	0.0192317852688235	0.0167628456858754	0.012040119271902	0.00916088910617065	0.0119297355082226	0.0080130088845545	0.0167837630695496	0.0249376547408712	0.0235651982868523	0.00246245883511152	0.0163900665224314	0.00474550434317673	0.0157241667581813	0.0127529067463537	0.00981590707261597	0.0170176164050602	0.014787262873524	0.0185870621485377	0.00229690702411303	0.0231820843169846	0.0189773677467807	0.0172371319267522	0.0181835929307692	0.0160772770136823	0.0091686573926903	0.013079459404475	0.013989708002638	0.00789396980874725	0.0108927378467138	0.0202232087808758	0.0187774928628239
OM1_B_C_1	0.00560790093896108	0.00710454876203795	0.0165358924695049	0	0.00261079696031559	0.014866666994999	0.025833618374414	0.0135348026680074	0.0198313759089402	0.00892492003903931	0.00884528623422276	0.0134940073156318	0.0083884966150539	0.00919965518805005	0.0132191309183336	0.000898009434113198	0.00524957686423098	0.00382465319853558	0.00644487375385702	0.0228498499635972	0.00575894660365469	0.00894664626170532	0.00868664771809944	0.0149494969529219	0.0119150112422482	0.0154468100677155	0.00850994011438456	0.012030794718544	0.00986733541716295	0.00631225452736643	0.0119088077458715	0.00331254936157251	0.0138733340328579	0.00639411024474604	0.0179122467983476	0.0159614149063539	0.013038016066318	0.0160660674520216	0.00702718652518562	0.0034172743707655	0.0101903512089138	0.00406342429950682	0.0166324928444509	0.0101394213741713	0.00565473492874844	0.00844199511473649	0.00226442826466896
OM1_B_C_2	0.00370073493525007	0.00593717783836395	0.0139297826840771	0.00261079696031559	0	0.0123611062612191	0.0263222895217986	0.0109812237290778	0.0190409834128619	0.00887059995061961	0.0072043885297192	0.0134228173097319	0.00608197336220877	0.00695501579294729	0.0112149662382503	0.00202652163219091	0.00662478980670053	0.00438894004073377	0.0045235114503164	0.0204670789530847	0.00364220925083868	0.00646353800524195	0.00860470446269709	0.0156835851527036	0.01295139790282	0.0128937284488362	0.00804831386766078	0.0094622122839478	0.00906372575515397	0.00465709174076035	0.00981867726196619	0.00420517249253373	0.0125317008523978	0.007130792227745	0.0153060874128492	0.0160805691589376	0.0126532809159481	0.0149649964240014	0.0074478757839082	0.00365605757111107	0.00793901075512137	0.00201375770558595	0.0152035451894703	0.00781832698300904	0.00307031912459356	0.00926959775270596	0.00484998029758602
OM1_B_C_3	0.0118508690720691	0.0103284854742175	0.00362094703743748	0.014866666994999	0.0123611062612191	0	0.0344333126829688	0.00166533732054915	0.0234140717663193	0.0180216615876667	0.012791840462489	0.0213750833483372	0.00977299694375151	0.00612739718229307	0.0121614936108	0.0140694890135787	0.0183955973091164	0.0158923548245037	0.0116822653022034	0.00837794661859598	0.0112801562885035	0.00592080172533763	0.0136433276755238	0.0253406460053017	0.0235295212904148	0.00116921805937951	0.0165851376052122	0.0031330394873318	0.0162784382333321	0.0124399740428479	0.0111580079594291	0.0160191762778801	0.0163309842850256	0.0181013282226612	0.00591777421288032	0.0240956988490375	0.0198804459771567	0.0189781775512655	0.0178844568736407	0.0151453139870598	0.0098603386493151	0.0120158452500687	0.0104237132495912	0.00509023699063104	0.00932003502600173	0.0199661834541578	0.0171279134657735
OM1_C_1A_1	0.024008269264905	0.0322535105331005	0.0332263413429464	0.025833618374414	0.0263222895217986	0.0344333126829688	0	0.0327896338644458	0.0128990832185596	0.0175353511892135	0.021816131400748	0.0132786054906201	0.0249442597979518	0.0319243542337022	0.0228088092799318	0.0265215114022369	0.0207373156404579	0.0221473900700699	0.0237195204622672	0.0423233186097138	0.0245337414575066	0.0304807322234855	0.0345100192254473	0.0109569786171847	0.014238528383156	0.0341306917948901	0.0186526116856376	0.0315366289954995	0.0183997760488733	0.0230361931570483	0.0234538965247758	0.022561922866896	0.0184678008292965	0.0194495838580471	0.0326662745118824	0.0104918860703215	0.0146128574600598	0.0162595170738335	0.0189291173641769	0.0227735750952794	0.0245779677312266	0.024966792622187	0.0411628733299127	0.0323194445979848	0.0277441870773242	0.0174035810554689	0.0251627195842066
OM1_C_1A_2	0.0102462821610493	0.00961555225964449	0.00361518342211411	0.0135348026680074	0.0109812237290778	0.00166533732054915	0.0327896338644458	0	0.0218839864127608	0.0163645643525413	0.0111271898321093	0.0197140448090184	0.00811014014057116	0.0052742523692885	0.0106434879112313	0.0127703732374381	0.0168564503356161	0.0143518934797152	0.0100486648451294	0.0100080454611849	0.00968016995216039	0.00466567970540766	0.0131688915204539	0.0236782066006258	0.0218898940333333	0.00191283409438266	0.0149247888986887	0.00154929725903771	0.0146140619325572	0.0108049102475199	0.00957996528496692	0.0145055891196015	0.0147527496794882	0.0165032602035337	0.00576715423150922	0.0224384872169966	0.0182255423523115	0.0174245660248641	0.0162625934577371	0.0136142397592797	0.00821497743398801	0.0104964438396821	0.0112309665445957	0.00429038137121457	0.00791433757966055	0.0183434091818716	0.0157987914048317
OM1_C_1A_3	0.0156304285664938	0.0243767517625625	0.0214924417013456	0.0198313759089402	0.0190409834128619	0.0234140717663193	0.0128990832185596	0.0218839864127608	0	0.0112363665997215	0.0123529254349943	0.00750894270598267	0.0151569678458475	0.0225765164635646	0.011254335182977	0.0201585379199264	0.0162811515239267	0.0161676886166074	0.0149907146580566	0.0306333271371092	0.0159743568890685	0.0208765659256274	0.0275988551495618	0.0108901162877868	0.0129606718308957	0.0228610878763796	0.0113340482908635	0.0209209790083264	0.0100140728522614	0.0145634059181605	0.0123448639922573	0.0167791374328309	0.00726843870351183	0.0144068410640698	0.0205319020843081	0.00708377699335467	0.00707664303035094	0.00451286993851097	0.0134529819126193	0.0164277175561485	0.0140738722585708	0.0171437622469393	0.0318799474027038	0.02264496120308	0.0191362047501829	0.0133826010972818	0.0203305252597861
OM1_C_1B_1	0.00658653654109654	0.0147684074390596	0.017872479174687	0.00892492003903931	0.00887059995061961	0.0180216615876667	0.0175353511892135	0.0163645643525413	0.0112363665997215	0	0.00552999957715677	0.0045942928417024	0.0082703512487039	0.0145369828501355	0.00924953696064766	0.00942920143285531	0.00509893878032271	0.00511173451734985	0.00646521883561803	0.0263484065267753	0.00714472620983396	0.0132373029045101	0.0173414319695044	0.00737247738591777	0.00572024601770369	0.0180241420224668	0.00148391649959003	0.0149180598921817	0.00273110405544967	0.00572178953689582	0.00882738540512375	0.00568073995096924	0.00704712304909548	0.00321034157823575	0.018175749407501	0.00721050940680196	0.00420296205222016	0.00822637353501205	0.00222994234936558	0.00554986142954018	0.00873902352295257	0.0074331914189159	0.0236646863751699	0.0150443397910266	0.0102590456793761	0.00303262950312039	0.00912768003182235
