	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_B_C_2	OM1_B_C_3	OM1_C_1A_1	OM1_C_1A_2	OM1_C_1A_3	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1B_3	OM1_C_1D_2	OM1_C_1D_3	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_1F_2	OM1_C_1F_3	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3D_1	OM1_C_3D_2	OM1_C_3D_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_2	OM1_H_1B_3	OM1_H_1C_1	OM1_H_1C_2	OM1_H_1C_3	OM1_H_1D_1	OM1_H_1D_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_B_B_1	0	0.00708341712168956	0.0166314811914445	0.00503536087507158	0.0134426858355203	0.00672633580032086	0.00560164871017688	0.0105465627862117	0.0114105943796709	0.0123959743830024	0.0326612518498066	0.0387609209867437	0.0168768341690287	0.0122942712196043	0.00243774822109629	0.0203092496336828	0.00434683795992862	0.00539215071200264	0.024947047383459	0.0128748948209949	0.00868494319976057	0.027472254414288	0.0866111341530254	0.0758234442466483	0.0795461377361096	0.00198091543355789	0.0106122679559167	0.00782704957162928	0.0057664614824189	0.0237673159517401	0.0103771188014474	0.0197517668993302	0.0200759580091673	0.0041645300618166	0.00605243277840721	0.0097328391759951	0.0212662188128224	0.0280367066704545	0.0122898864907446	0.00944908552987155	0.017469576586742	0.0042919161412123	0.00268472667220599	0.0145237056594361	0.0111009060074112	0.0128665787832386	0.00790931522237236	0.0048468079393455	0.0080421442248273
OM1_B_B_2	0.00708341712168956	0	0.0167783016263527	0.00650785338578989	0.0115294406580557	0.0103810535074332	0.00960841831900823	0.0102192956848319	0.0103683782828842	0.0123864082909021	0.0315197876021956	0.0410091881251638	0.0206080048594836	0.0115753543860614	0.00725032980657627	0.0190422020971673	0.00927333410025762	0.0100437718819715	0.0233212180884113	0.0128737013491215	0.00934921994285573	0.0264035876801115	0.0881134234862979	0.0781354464500567	0.0812174502174287	0.0076044009059261	0.0126112180531506	0.00669283613142863	0.00801585079823619	0.0231075328249269	0.0102200228538176	0.0174617562747413	0.0170293296247914	0.00681672310189596	0.00252706833039229	0.010254790493979	0.0191174806904662	0.0276283971413332	0.010263343622627	0.0111664091681431	0.017881735071799	0.00918501894299373	0.00584880152802725	0.0160304042370834	0.0097128109034006	0.0118281647579535	0.00995039242688004	0.00780468032761473	0.00729860994150241
OM1_B_B_3	0.0166314811914445	0.0167783016263527	0	0.0145477613157455	0.0060884520183219	0.0116376066025624	0.0124237388769189	0.0112935772426633	0.00644276058862717	0.00826145045197418	0.0171979800529453	0.0552271713145202	0.0327421320641846	0.00538059703923305	0.0187571146443515	0.00474811655962261	0.0207352492338795	0.0212602124654519	0.00909749950702978	0.00564543925572236	0.0106280285117907	0.0111368194037715	0.10303620719669	0.0920910127631933	0.0960890724021194	0.0165337446069501	0.0265267781482765	0.0101915003317089	0.0115347835142831	0.00731239112143397	0.0068709687483488	0.00706381661502212	0.00833702986180498	0.0140343036714864	0.0144959543044839	0.00771111589895015	0.00735494835874168	0.0124897177873445	0.00792110989156306	0.00761011654257896	0.00206524176244493	0.0162172778554286	0.0161943563951739	0.00522312310688087	0.0106451976856197	0.00586813918447139	0.0238593429623979	0.0168616100576245	0.00984138834707471
OM1_B_C_2	0.00503536087507158	0.00650785338578989	0.0145477613157455	0	0.0111215673252478	0.00485168533655978	0.00416837798025494	0.0116107634348915	0.00911732689841654	0.0125756916667062	0.0312016431644781	0.0411990126475754	0.0189729486454076	0.00968966354506951	0.00565039453918952	0.0179017914332523	0.00748678038158615	0.0075979229911872	0.0224251607388968	0.012087622548999	0.00961856548318497	0.0252934580041686	0.088860937749978	0.078083778605905	0.0821327037131322	0.0037987441659218	0.0146436486849615	0.00617232561429386	0.00341069201887036	0.0216430891655231	0.00897509180801528	0.0177447625628244	0.0173616333148385	0.0013631027773776	0.00542936650239739	0.00685924826678626	0.0190931644370305	0.0267153971592233	0.0109977182802957	0.00734471530146552	0.0158942605407876	0.00363225210493715	0.00270252360723129	0.0140809874212324	0.0114361011991096	0.00971419878160593	0.0118290973351885	0.00263958593370353	0.00700320123928819
OM1_B_C_3	0.0134426858355203	0.0115294406580557	0.0060884520183219	0.0111215673252478	0	0.0102535509014396	0.0106293800627443	0.00807417894841378	0.00229628117368672	0.00639141149296111	0.0204942648716314	0.0516756790896851	0.0298344262882835	0.00264177018789437	0.015301170286803	0.0075183707852316	0.0175195512864518	0.0181616421402127	0.0119087038824879	0.00455868748843557	0.00763623850794697	0.0149113534273581	0.0991772106212792	0.0887481463903643	0.0922639652096992	0.0135521040134375	0.0225655119313286	0.00571831074228823	0.00885458377522044	0.0116112860529057	0.0037800525523565	0.00662430640889334	0.006738408807439	0.0108680377044192	0.00955376541282515	0.00558374390382106	0.00803265540506893	0.0165346177437611	0.00295172057345942	0.00665932651441942	0.00730651085049724	0.0137923639971835	0.0126183562735734	0.0078071498484302	0.0066974559630935	0.00326388108599532	0.0198526593770498	0.013735568645644	0.00558906425024714
OM1_C_1A_1	0.00672633580032086	0.0103810535074332	0.0116376066025624	0.00485168533655978	0.0102535509014396	0	0.00112881574357481	0.0109722715144359	0.00797093824406749	0.0109072919760801	0.0286595396508626	0.0439548191503139	0.0212187802780222	0.00806959795778135	0.00838954929670896	0.01578256389037	0.00990356846400402	0.0100877008334759	0.0203548553370448	0.00996198239855792	0.00865494484403336	0.0227516286812157	0.0918481473499053	0.0806496232359916	0.085013244120689	0.00576970772892379	0.0173048366481034	0.0065698501625368	0.00252186804004083	0.0189379307768156	0.00738260999830511	0.0164483994137939	0.0166559310082925	0.00398888563527556	0.00840256474231259	0.00488153903780032	0.017580542385733	0.0238046113127116	0.0104936397215459	0.00410917473267009	0.0127843071682654	0.00476045427608345	0.00617115340835935	0.0107125411198521	0.0111335400003138	0.00837560682053642	0.0146191233983646	0.00606603861446513	0.00690577018300593
OM1_C_1A_2	0.00560164871017688	0.00960841831900823	0.0124237388769189	0.00416837798025494	0.0106293800627443	0.00112881574357481	0	0.0106935343726337	0.00834138673232191	0.0109721317765538	0.029332867233585	0.0430036213158353	0.0203417265680327	0.00862217424040384	0.00727966663979754	0.0165008711911538	0.00882703198479999	0.00907910132713959	0.0211068009075332	0.0102856973659794	0.00837271687613307	0.0235382000635266	0.0909054164955794	0.0797646285591112	0.0840371715035594	0.00467088867612308	0.0161773388420349	0.00638637960845403	0.0021872594566859	0.0197329440042756	0.00763807644118797	0.0169340007457769	0.0171571163458441	0.00312938784196601	0.00769736493474061	0.00547844284468946	0.0181471528313233	0.0245067751398971	0.01059971027419	0.00482817117776418	0.0135173066924085	0.00389016987241433	0.0051451596374588	0.011236790378837	0.0109252239734891	0.00898930073459087	0.0134911502281195	0.00526373189997014	0.0067285294075338
OM1_C_1A_3	0.0105465627862117	0.0102192956848319	0.0112935772426633	0.0116107634348915	0.00807417894841378	0.0109722715144359	0.0106935343726337	0	0.00748015797798503	0.00334886914143229	0.0237315779983163	0.0479421631641281	0.0270955567290231	0.00872661749219713	0.0126720494231235	0.0136764967732691	0.0146919575649037	0.0158982994961478	0.0178379964301234	0.00565729513483529	0.0023506047320588	0.0199445280559313	0.0953707045233276	0.0850816983900424	0.0879928743065808	0.011789715961284	0.0174348043672739	0.00638511653688663	0.00941595876807407	0.0167257164180117	0.00586985258336495	0.0118511354701951	0.0134310260439773	0.0107354163113055	0.00816518594349788	0.0092524171150789	0.0135326642249968	0.0196175633737389	0.00534937464586399	0.00906893879581275	0.0112277942816283	0.0131776801178987	0.0113173242731649	0.00832399287804947	0.00184107974997752	0.0100729561271078	0.0151693412982096	0.0136266561392786	0.00531307714396806
OM1_C_1B_1	0.0114105943796709	0.0103683782828842	0.00644276058862717	0.00911732689841654	0.00229628117368672	0.00797093824406749	0.00834138673232191	0.00748015797798503	0	0.00612699752259354	0.0221659219300029	0.0498132910129743	0.0277754524087855	0.00148102962772457	0.0133201347232734	0.00908164929605837	0.0154916994039022	0.0160982105829064	0.0136502374860026	0.00432444584219095	0.00640937763932732	0.0164834698539555	0.0974386401202602	0.0868515045172691	0.0905240403406465	0.011429887762357	0.0209493643798952	0.00398983809177862	0.00662125016565642	0.01295682330431	0.00205731885872897	0.00873356750031815	0.00894912370939696	0.00875736783494945	0.00817869799410756	0.00343929145786441	0.0100695031714208	0.0179009547820811	0.00344914149053575	0.00448954113291856	0.00773442394393567	0.0115881143789722	0.0106267318083571	0.00730767985034801	0.00643986621538587	0.0026052388570011	0.0182016165108413	0.0116848226237384	0.00392734468618763
OM1_C_1B_2	0.0123959743830024	0.0123864082909021	0.00826145045197418	0.0125756916667062	0.00639141149296111	0.0109072919760801	0.0109721317765538	0.00334886914143229	0.00612699752259354	0	0.0208005976194008	0.050604033340053	0.0292029378262441	0.00698345678975613	0.0146746043514876	0.0107109805984464	0.016717908855952	0.0177611675672132	0.014871624771308	0.00271728874288858	0.0038467740502602	0.016800441568454	0.0981994063012858	0.0877089258343819	0.0908825201103796	0.0132722956577678	0.0203980643779117	0.00692900566515267	0.00977573230930047	0.0135033112293019	0.00458013418851784	0.00935867642309014	0.0113453105116654	0.0117086362891783	0.0101000750758349	0.00829556685073199	0.010875401482417	0.0164757893099299	0.00435242647331428	0.00796943924641978	0.00796548634689751	0.0141648803955334	0.0128952689231236	0.00530845248419433	0.00338070461761645	0.00844547027898841	0.0180276159070898	0.0147964123188223	0.00586017706739368
