	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_B_C_2	OM1_B_C_3	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1B_3	OM1_C_1D_2	OM1_C_1D_3	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_1F_2	OM1_C_1F_3	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3D_1	OM1_C_3D_2	OM1_C_3D_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_2	OM1_H_1B_3	OM1_H_1C_1	OM1_H_1C_2	OM1_H_1C_3	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_B_B_1	0	0.00859282654669736	0.0152087882281577	0.0074394807780151	0.0061851919058474	0.00305250945058012	0.00643066641899972	0.0176290421623236	0.0185312273945063	0.0065936198747774	0.00628563008412228	0.00315444163051252	0.00440050831435869	0.00950025700416814	0.0190664551047727	0.00788429552021249	0.00642873182103579	0.00164938607348934	0.0246045893190911	0.00998572566672883	0.0185419774815283	0.00443735301597233	0.0145963878451447	0.019878571582201	0.00607593326843307	0.00515691923919173	0.00734204984633503	0.00909150697361673	0.00199676797740502	0.0029034679151421	0.0110273132077924	0.0191511867567807	0.00749640449786787	0.0136778703951995	0.0153757271456178	0.0120107449461088	0.00116398553511633	0.0055478873493675	0.0238462961917293	0.0206196268357866	0.00176112685605554	0.0108448024830292	0.010107381064771	0.0025860115699046	0.0230622645683593	0.00389073110589911	0.0182030882921041
OM1_B_B_2	0.00859282654669736	0	0.0206876236521419	0.0113257146122176	0.00707353349164541	0.00556109548343676	0.00761579958054746	0.0245829608192259	0.0133419944392369	0.015184201331206	0.00310279715505315	0.00642842220260814	0.0119257053509722	0.0056003343065191	0.0104851016735281	0.014856468220025	0.00838867385231947	0.00875388694476304	0.0316709563627101	0.0123407733871424	0.0173756288401486	0.00809255920704753	0.0120087183364043	0.0155478539134912	0.0145193508447429	0.0137396496885759	0.01591534989193	0.00531638502757866	0.0102420316077318	0.0104077021114351	0.00779991591822093	0.0136774275430226	0.0043337086498321	0.0100615445707885	0.0225079310691555	0.0107001286135066	0.00841838001913653	0.0116961411838381	0.017931389654129	0.0148127102277213	0.00757844899150377	0.0191285638754212	0.00245674219720494	0.0110866585808868	0.0184640473915921	0.0124511446852863	0.0150900315654497
OM1_B_B_3	0.0152087882281577	0.0206876236521419	0	0.0220701181819078	0.0136522395497037	0.0170800348499834	0.0216320055471336	0.00578673226299481	0.0331953541729865	0.0136140097704175	0.0176052163831831	0.0149648070558574	0.0109513619966008	0.0240929168864556	0.0297531443013275	0.00760235557624811	0.0123345383905087	0.0137727628301064	0.011949444995608	0.0247923399893099	0.0336895110989995	0.0127884538937579	0.0297530885161998	0.0348390412184047	0.011764860371034	0.0139637155331933	0.0127149234515631	0.0236656009063604	0.0156744888410576	0.0168678938519339	0.0259466745801083	0.0337138934891112	0.0219435324206843	0.0286462544385311	0.0053087124971888	0.0272133498525197	0.0163329869138579	0.0193772638929144	0.0382708695523644	0.0350559720119896	0.0146454551968251	0.0100752954367011	0.020465095433103	0.0134867396920805	0.0379977225171131	0.0144069126011319	0.033354944410448
OM1_B_C_2	0.0074394807780151	0.0113257146122176	0.0220701181819078	0	0.0129587988938387	0.00775259383278405	0.00380472510387979	0.0234082609783033	0.0146728686719637	0.00984111804085994	0.0109704025802812	0.00970617381619868	0.0111740433484837	0.00790373264217608	0.0201686839485483	0.0144761956080503	0.0135583293102367	0.0090888100903984	0.0299628411136959	0.00273871527364698	0.011891429486287	0.0116729446374878	0.00942882976007186	0.0151091059038326	0.0108934809878807	0.00875214461393753	0.0109806050038011	0.00774103749493348	0.0064226226053566	0.00520526582389989	0.00778588639187735	0.0154554496343507	0.00739014890813099	0.00959725693820935	0.0211173727437807	0.00666358617285535	0.00630596133587007	0.00293679368433072	0.0200359066478016	0.0170388771755087	0.00885223477942304	0.0151873117178656	0.0136930077464654	0.00859283031288309	0.0181737310147988	0.00787228360308529	0.0127507517254554
OM1_B_C_3	0.0061851919058474	0.00707353349164541	0.0136522395497037	0.0129587988938387	0	0.00533730669867871	0.0105279771386921	0.0178758273914298	0.0200987446465783	0.0114511678150736	0.00406659775983954	0.00326620620308679	0.00667638157452362	0.011326718231994	0.0164619068687715	0.00861588837612971	0.00131911449207599	0.00494397961680308	0.0249210670745049	0.0151177919599919	0.0225145378433007	0.00217258239199198	0.0176609616350567	0.0220669597353578	0.00999078338541197	0.0102932454942609	0.0117391642109301	0.01091757587205	0.00812040746305872	0.00908317972740718	0.0134629992253714	0.0205208959306067	0.00925543611228389	0.0160944876402662	0.0159349517060544	0.0155980839325564	0.00701489350867302	0.0116192415201945	0.0249179820555189	0.0217517779637672	0.00443136224915237	0.0138188402053311	0.00693090465030742	0.00741399665895128	0.025122916480073	0.00933674020630744	0.0211080971841635
OM1_C_1B_1	0.00305250945058012	0.00556109548343676	0.0170800348499834	0.00775259383278405	0.00533730669867871	0	0.0052256833101115	0.0201180966616735	0.0161600818865885	0.00963074416343889	0.00362549673204411	0.00231665353947971	0.00692327564784349	0.00703397014981091	0.016020940872791	0.0102446615810341	0.00617672051269003	0.00360614451112271	0.0271712329935461	0.00979123605834854	0.0173882166410631	0.00463066143781024	0.0128479122676405	0.0177664767313533	0.00908936560209433	0.00818154024203777	0.0103943174985296	0.00660765682356566	0.00470987830245182	0.00505494051535927	0.00888205034999795	0.016717222535166	0.00490015835147649	0.0115847266790143	0.0179179947770376	0.0105363265173505	0.00291481137310917	0.00696457245725738	0.0213545659346074	0.0181216235717323	0.00250752357567615	0.0138134222868273	0.00724955133430161	0.00560727997626613	0.0209229397920319	0.00689057329134995	0.0164122195301957
OM1_C_1B_2	0.00643066641899972	0.00761579958054746	0.0216320055471336	0.00380472510387979	0.0105279771386921	0.0052256833101115	0	0.023889980917342	0.0125502733359558	0.0112569249824099	0.00774760966211724	0.007512575552442	0.0107970364876649	0.00439554995880526	0.016451102275353	0.0142840047386647	0.0114019511300526	0.00789011946122894	0.0307579639802189	0.00487728081147661	0.0122566489798544	0.00977740471343939	0.00818743498233359	0.013607906802715	0.0116662698500233	0.00989014672847022	0.0123164541206074	0.00414508230604181	0.00650603144200365	0.0057117113326069	0.0050396167749354	0.0132499043360656	0.00358650877931178	0.00749236817722443	0.0216097781316768	0.00558250040116335	0.00534107052346486	0.00520834863604726	0.0179601829034702	0.014793639972836	0.00719166143200651	0.0163836365779443	0.0100326559287642	0.00854382566739127	0.0167885089159134	0.00868795022418059	0.0117904135527791
OM1_C_1B_3	0.0176290421623236	0.0245829608192259	0.00578673226299481	0.0234082609783033	0.0178758273914298	0.0201180966616735	0.023889980917342	0	0.0361482668875646	0.0137843000699283	0.0214941941993825	0.0183398018726349	0.0132621532712068	0.0270688672192514	0.0343167771986926	0.00987663139811565	0.016618800064865	0.0165340954150602	0.00709378961824924	0.0261244635968668	0.0352951490942541	0.0164946883609016	0.032051603808966	0.0374690774713565	0.0125171723608378	0.0146780336962843	0.0126706841226771	0.0266502850047381	0.0174421144444947	0.0184528252539351	0.0286522334985136	0.0367534324271922	0.0249843248489955	0.0312873918645734	0.00229495723851894	0.0293457899546709	0.0186049376533832	0.0205022367671722	0.0414277549830458	0.0381969020039124	0.0176137086030406	0.00873298870077846	0.0248024991194348	0.0153476076117121	0.0406521982936274	0.0155604493095498	0.0356330453801839
OM1_C_1D_2	0.0185312273945063	0.0133419944392369	0.0331953541729865	0.0146728686719637	0.0200987446465783	0.0161600818865885	0.0125502733359558	0.0361482668875646	0	0.0237891415759292	0.0160580397893267	0.0182355962543346	0.022893806156609	0.00912716611295114	0.0126436932984162	0.0263299347053501	0.0213519872253862	0.0196619012490927	0.0431233709780846	0.0128953001934619	0.00878085478101525	0.0204600559573782	0.0056237453391086	0.00270179497369279	0.0241824668173827	0.0224372557509372	0.024860073436125	0.00955301447260044	0.0190065140247302	0.0182611057037628	0.00755359451095132	0.000832548764585187	0.0112653138074244	0.00512357193862573	0.0339018380765788	0.00810565422707425	0.0176056735950884	0.0172792694897855	0.00541902503986739	0.00238933063167553	0.0186507359531313	0.0289252686487664	0.0148747335405482	0.0209220993675821	0.00514821120970174	0.0212339709426887	0.00453052047486485
OM1_C_1D_3	0.0065936198747774	0.015184201331206	0.0136140097704175	0.00984111804085994	0.0114511678150736	0.00963074416343889	0.0112569249824099	0.0137843000699283	0.0237891415759292	0	0.0127734081094287	0.00931121951859977	0.0051414879454586	0.0152818214844772	0.025647286077461	0.00654590300692914	0.0110121594398193	0.00683603302664686	0.0201487079717864	0.012487352655295	0.0216753250025801	0.00928170494573063	0.0190167517411171	0.0246486257503701	0.00206122069157188	0.00146548527825403	0.00114153331204005	0.0149199885182994	0.00512374905296475	0.00557056990637079	0.0162946076883323	0.0245000222966156	0.0135512990871752	0.0186925703158567	0.0115281021593958	0.0162313725831969	0.00690931050201966	0.00690581553111198	0.0292036000328259	0.0260472170239111	0.00787538993052798	0.00534675406550845	0.0166347847571174	0.00423352747030085	0.0277883165278491	0.00277886015990727	0.0224841644413781
