	OM1_B_B	OM1_B_C	OM1_C_1A	OM1_C_1B	OM1_C_1D	OM1_C_1E	OM1_C_1F	OM1_C_2A	OM1_C_2C	OM1_C_2F	OM1_C_2G	OM1_C_2H	OM1_C_3D	OM1_C_3E	OM1_C_3F	OM1_H_1B	OM1_H_1C	OM1_H_1D	OM1_H_1G
OM1_B_B	0	0.00707353349164541	NA	0.00556109548343676	0.0133419944392369	0.00310279715505315	0.0104851016735281	0.00875388694476304	NA	0.0123407733871424	0.0155478539134912	0.01591534989193	0.0104077021114351	0.0043337086498321	0.0225079310691555	0.00841838001913653	0.017931389654129	0.0110866585808868	0.0150900315654497
OM1_B_C	0.00707353349164541	0	NA	0.00533730669867871	0.0200987446465783	0.00406659775983954	0.0164619068687715	0.00494397961680308	NA	0.0151177919599919	0.0220669597353578	0.0117391642109301	0.00908317972740718	0.00925543611228389	0.0159349517060544	0.00701489350867302	0.0249179820555189	0.00741399665895128	0.0211080971841635
OM1_C_1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM1_C_1B	0.00556109548343676	0.00533730669867871	NA	0	0.0161600818865885	0.00362549673204411	0.016020940872791	0.00360614451112271	NA	0.00979123605834854	0.0177664767313533	0.0103943174985296	0.00505494051535927	0.00490015835147649	0.0179179947770376	0.00291481137310917	0.0213545659346074	0.00560727997626613	0.0164122195301957
OM1_C_1D	0.0133419944392369	0.0200987446465783	NA	0.0161600818865885	0	0.0160580397893267	0.0126436932984162	0.0196619012490927	NA	0.0128953001934619	0.00270179497369279	0.024860073436125	0.0182611057037628	0.0112653138074244	0.0339018380765788	0.0176056735950884	0.00541902503986739	0.0209220993675821	0.00453052047486485
OM1_C_1E	0.00310279715505315	0.00406659775983954	NA	0.00362549673204411	0.0160580397893267	0	0.0132460454441072	0.00604043501619278	NA	0.0126136169857505	0.0180884166841017	0.0133833440541408	0.00865665122898301	0.00555395837170999	0.0194350994097562	0.00646688258282001	0.0208524539745754	0.00855833498036543	0.0172877486499724
OM1_C_1F	0.0104851016735281	0.0164619068687715	NA	0.016020940872791	0.0126436932984162	0.0132460454441072	0	0.0192001421388146	NA	0.0200671244991905	0.0153177600469379	0.0263949806210234	0.0206485241088843	0.012959336516588	0.03238900857266	0.0188086012666622	0.0141534556257246	0.0215693187416698	0.0167639237946583
OM1_C_2A	0.00875388694476304	0.00494397961680308	NA	0.00360614451112271	0.0196619012490927	0.00604043501619278	0.0192001421388146	0	NA	0.0116245875492063	0.0211410527477909	0.00736367752285058	0.0043938336795838	0.00845230055489308	0.0143218022814469	0.00279758282174196	0.0249083070708142	0.00261294357080642	0.0195857987223437
OM1_C_2C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM1_C_2F	0.0123407733871424	0.0151177919599919	NA	0.00979123605834854	0.0128953001934619	0.0126136169857505	0.0200671244991905	0.0116245875492063	NA	0	0.0129629461473756	0.0136288099002327	0.00792616039925363	0.00806136408342949	0.0238357693437298	0.00882755001436041	0.0181208167609214	0.0113082978377502	0.0104144301842198
