	OM1_B_B_1	OM1_B_B_2	OM1_B_C_3	OM1_C_1A_2	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1D_2	OM1_C_1D_3	OM1_C_1E_3	OM1_C_1F_1	OM1_C_1F_2	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_1	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_3D_1	OM1_C_3D_2	OM1_C_3D_3	OM1_C_3E_2	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1C_1	OM1_H_1C_2	OM1_H_1C_3	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_B_B_1	0	0.0179099023194011	0.00331654368455591	0.0126987538685921	0.00521222681107593	0.0203791194999851	0.00265738743666157	0.00266772846255238	0.124858539812017	0.0124863052169853	0.00255675021333456	0.0137749800661954	0.00916181580825395	0.0139809930215198	0.00824419809395217	0.0294901475869582	0.0111868593065333	0.0054394722335299	0.010583201971059	0.0184497637238407	0.00834029856883594	0.00412720987530174	0.0286054348546924	0.00875150522568285	0.0278443307298364	0.00935693945509441	0.00044497043270902	0.00906679768626495	0.0152650185679782	0.0114621141407544	0.00139241738421639	0.00572908132362591	0.00934676122414008	0.00322006606012023
OM1_B_B_2	0.0179099023194011	0	0.0212259916953826	0.0306061374565471	0.0126981010958081	0.0382839476142776	0.0152527757940997	0.0152424356048559	0.107031866035734	0.0303937483676151	0.0153534048033372	0.0316820527496654	0.0270701134459326	0.0318880044431206	0.026152705959524	0.0473909201358014	0.00672352549044466	0.0233485541699244	0.0284911521004184	0.000539925122640708	0.0262487849362866	0.0137830583964084	0.0465066503499277	0.00915891175796548	0.0457459187924589	0.00855347663285441	0.0174649819584911	0.00884361941816619	0.0331716354832254	0.0293698360709236	0.0193021463985254	0.0121812696498158	0.0272550151501532	0.0211295293096845
OM1_B_C_3	0.00331654368455591	0.0212259916953826	0	0.00938235463138959	0.00852871706744836	0.0170629990649747	0.00597391201849836	0.00598425293692832	0.128156570004358	0.00916990033212742	0.00587327582739276	0.0104586111403716	0.00584533693585287	0.0106646302222534	0.00492770355225307	0.0261745480270524	0.014503208521893	0.00212294249861199	0.00726675142540528	0.0217658276149888	0.0050238055719682	0.00744371661713793	0.0252897755878019	0.012067922182322	0.0245286216760073	0.0126733408863205	0.0037615121012166	0.0123832066664161	0.0119486963061363	0.00814568358098729	0.00192412953047497	0.00904556273801525	0.00603028575843036	9.64779988044199e-05
OM1_C_1A_2	0.0126987538685921	0.0306061374565471	0.00938235463138959	0	0.0179105491531817	0.00768109882636706	0.0153559524412473	0.0153662926054564	0.137481114258129	0.000212461024959054	0.0152553235521939	0.00107629539487198	0.0035370889438026	0.00128232283826537	0.00445472668830493	0.0167937252328711	0.0238843816152897	0.00725946513766731	0.00211565622487126	0.0311458778297644	0.00435862448404709	0.0168256425753809	0.0159088223134673	0.0214493928649932	0.0151475606222876	0.0220547413047747	0.0131436972031974	0.0217646410647539	0.00256644769499089	0.00123670580740528	0.0113064094948624	0.0184273473109151	0.00335213853892542	0.00947882948901214
OM1_C_1B_1	0.00521222681107593	0.0126981010958081	0.00852871706744836	0.0179105491531817	0	0.0255903530762333	0.00255485216338495	0.00254451113527254	0.119673443858387	0.0176981127969567	0.00265548938763925	0.0189867103923031	0.0143737931887569	0.0191927104037905	0.0134562148766444	0.0347004162705297	0.0059747579294749	0.0106515894971433	0.0157951119475054	0.0132379938674183	0.0135523113761009	0.00108502536581296	0.0338158115624422	0.00353933660465695	0.0330547978920759	0.00414478548332573	0.00476726037811917	0.00385463652325297	0.0204766515803692	0.0166739785578543	0.00660462683997491	0.000516860082821202	0.014558730272691	0.00843224158634908
OM1_C_1B_2	0.0203791194999851	0.0382839476142776	0.0170629990649747	0.00768109882636706	0.0255903530762333	0	0.0230360505031932	0.0230463895496417	0.145108414337439	0.00789355506643311	0.022935432461055	0.00660482372822991	0.0112180747774652	0.0063987994185738	0.0121356716476985	0.00911306748113484	0.0315633572741688	0.0149402557593485	0.00979669598194972	0.0388235837388149	0.0120395739468333	0.0245055758258163	0.00822810054014807	0.0291287298142069	0.00746678743706114	0.0297339914736593	0.0208240207652625	0.029443933072347	0.00511468864244156	0.00891777318686716	0.0189868996503082	0.0261070873425137	0.0110331320352401	0.0171594666795313
OM1_C_1D_2	0.00265738743666157	0.0152527757940997	0.00597391201849836	0.0153559524412473	0.00255485216338495	0.0230360505031932	0	1.03410529436196e-05	0.122215284260998	0.0151435095376029	0.000100637471056756	0.0164321481580335	0.0118190985495736	0.0166381550189145	0.0109014986738681	0.0321466089217759	0.00852956326719499	0.00809681716350046	0.0132404538322297	0.0157926545137952	0.0109975973575803	0.00146982826751227	0.0312619491043973	0.00609416892885005	0.0305008892380199	0.0066996121122385	0.00221241795133537	0.0064094659652905	0.017922140696418	0.0141193449286558	0.0040497993888645	0.00307171078400217	0.0120040401710125	0.00587743525015491
OM1_C_1D_3	0.00266772846255238	0.0152424356048559	0.00598425293692832	0.0153662926054564	0.00254451113527254	0.0230463895496417	1.03410529436196e-05	0	0.122204997010264	0.015153849726289	0.000110978523212525	0.016442488192891	0.0118294390765917	0.0166484950280022	0.0109118392794488	0.0321569460499276	0.00851922248534762	0.00810715796966453	0.0132507942248949	0.0157823143865613	0.011007937955242	0.00145948722310514	0.0312722864472466	0.00608382801465549	0.0305112267606674	0.00668927122683793	0.00222275898529688	0.00639912506574253	0.017932480537556	0.0141296852305626	0.00406014037966543	0.0030613697667465	0.0120143806814164	0.00588777617286662
OM1_C_1E_3	0.124858539812017	0.107031866035734	0.128156570004358	0.137481114258129	0.119673443858387	0.145108414337439	0.122215284260998	0.122204997010264	0	0.137270058260329	0.122315397660526	0.138550223462635	0.133966836332533	0.138754862244939	0.133054915145869	0.154149588101639	0.113726968009991	0.130267136138567	0.135379250357799	0.106494076886924	0.133150422551156	0.120753010540786	0.153271988893058	0.11615122367194	0.152516947379074	0.11554859715832	0.124415979208287	0.115837397404699	0.140030237192239	0.136252524378566	0.126243303116839	0.119159149144577	0.134150624527427	0.128060644696052
OM1_C_1F_1	0.0124863052169853	0.0303937483676151	0.00916990033212742	0.000212461024959054	0.0176981127969567	0.00789355506643311	0.0151435095376029	0.015153849726289	0.137270058260329	0	0.015042880411108	0.00128875631056338	0.00332462884111249	0.00149478371235538	0.00424226714471153	0.0170061635989331	0.023671964457626	0.0070470081164819	0.00190319551606377	0.0309334912899495	0.00414616487572341	0.0166132033164666	0.0161212630010889	0.0212369672261572	0.015360003205795	0.0218423176902791	0.0129312494383895	0.0215522164731826	0.00277890815865307	0.0010242448820017	0.0110939582653503	0.0182149124006743	0.00313967833953603	0.00926637533004314
