	OM1_B_B_1	OM1_B_C_1	OM1_B_C_2	OM1_B_C_3	OM1_C_1A_2	OM1_C_1B_2	OM1_C_1D_1	OM1_C_1D_2	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1F_1	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2H_1	OM1_C_2H_2	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_2	OM1_H_1B_1	OM1_H_1B_2	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_B_B_1	0	0.00160310715694216	0.00349767111272227	0.000351765936974097	0.0135765314599582	0.0121708665845806	0.00109369093975461	0.00403792008428474	0.00260341004214557	0.00428679382858921	0.00177654822670534	0.0649413250132667	0.0814778597658276	0.00503342581820315	0.00165812161277072	0.0041877882855134	0.0147489748229188	0.0127228973177893	0.00666783833572404	0.00434466652733143	0.00743405278638168	0.0123776166182852	0.0125245439696678	0.00283669412323965	0.0173086237530853	0.0166464114068698	0.00698705645026321	0.00610972913233316	0.0114902927131896
OM1_B_C_1	0.00160310715694216	0	0.00510076834809162	0.00125134146483838	0.0151795240731793	0.0105678310532998	0.00269679645618997	0.00243481839806769	0.00100030433415717	0.00588988694503227	0.00337965204422631	0.0665420276757063	0.0830771938686179	0.00343032826976209	5.50145062037065e-05	0.00579088195669377	0.0131459756698575	0.0143259031656093	0.00506474997476907	0.0059477593144517	0.00583096975734407	0.0107745837304933	0.0109215129894852	0.00443979427593532	0.0157056680684792	0.015043443773643	0.00538397023116133	0.00450663729946529	0.0098872488173011
OM1_B_C_2	0.00349767111272227	0.00510076834809162	0	0.00384943540679103	0.0100790262546589	0.0156683061180817	0.00240398336253847	0.00753555427113894	0.00610106188134685	0.000789126818916794	0.00172112659521889	0.061448500658652	0.077987921515628	0.00853104481667932	0.00515578235271405	0.000690120678163685	0.0182463190448854	0.00922536851648202	0.0101654271754782	0.000846999878009993	0.0109316252520674	0.015875049105611	0.0160219713863198	0.000660979263749194	0.0208058573139454	0.0201436751298742	0.0104846386417649	0.00960732900050321	0.0149877547056949
OM1_B_C_3	0.000351765936974097	0.00125134146483838	0.00384943540679103	0	0.0139282743358342	0.0118191182229368	0.00144545668377625	0.00368615596453811	0.00225164482079923	0.00463855733937568	0.00212831370219231	0.0652925731905266	0.0818288101049146	0.00468166275844373	0.00130635594028388	0.0045395519029001	0.0143972348371436	0.0130746429674299	0.00631607754157148	0.00469642997468653	0.00708229327921086	0.0120258688682547	0.0121727966606467	0.00318845895649307	0.0169568936960179	0.0162946786269249	0.0066352961748353	0.00575796749110779	0.0111385424122336
OM1_C_1A_2	0.0135765314599582	0.0151795240731793	0.0100790262546589	0.0139282743358342	0	0.0257459221987912	0.0124829047762019	0.0176141167188404	0.0161797432196599	0.00928992504572472	0.0118000818964059	0.0513805413131479	0.0679275110605124	0.0186095162964441	0.0152345341685319	0.00938892821208041	0.0283235383861911	0.000853685248470542	0.0202437342658352	0.00923205369355557	0.021009848839186	0.0259526350891165	0.026099535799021	0.0107399807183038	0.0308826366179861	0.0302205726876557	0.0205629114426827	0.019685694327571	0.0250654677428088
OM1_C_1B_2	0.0121708665845806	0.0105678310532998	0.0156683061180817	0.0118191182229368	0.0257459221987912	0	0.0132644962067952	0.00813308538326377	0.00956756186245373	0.0164573623147755	0.0139473100893248	0.0770910579287279	0.0936164843952078	0.00713759271634949	0.0105128186702536	0.0163583654055375	0.00257826927011847	0.0248924266212102	0.00550318347586792	0.0165152299284076	0.0047369627802026	0.000206760867948418	0.000353696138502457	0.0150073808028556	0.0051381339137013	0.00447586042104208	0.00518396336330445	0.00606129410096979	0.000680606973598465
OM1_C_1D_1	0.00109369093975461	0.00269679645618997	0.00240398336253847	0.00144545668377625	0.0124829047762019	0.0132644962067952	0	0.00513160315968291	0.00369709732924992	0.00319310808098361	0.000682857747112276	0.0638492084745617	0.0803866604046337	0.00612710505199105	0.00275181082109049	0.00309410226073006	0.0158425769906176	0.0116292624778124	0.00776150962921551	0.00325098094518994	0.00852771965833272	0.0134712442255896	0.0136181701252758	0.00174300505910703	0.0184021936488813	0.0177399901311773	0.00808072595591841	0.00720340336549915	0.0125839287380233
OM1_C_1D_2	0.00403792008428474	0.00243481839806769	0.00753555427113894	0.00368615596453811	0.0176141167188404	0.00813308538326377	0.00513160315968291	0	0.00143451527698021	0.00832466391968499	0.00581445383728409	0.0689729685862701	0.0855060012483108	0.000995512759124606	0.00237980400212865	0.00822566011170694	0.0107112764588581	0.0167605188221541	0.00262994284094859	0.00838253559148051	0.00339616810726309	0.00833984137020796	0.00848677302536322	0.00687458688523654	0.0132710261508632	0.0126087859658295	0.00294916526118547	0.00207182679690864	0.00745249276449035
OM1_C_1E_1	0.00260341004214557	0.00100030433415717	0.00610106188134685	0.00225164482079923	0.0161797432196599	0.00956756186245373	0.00369709732924992	0.00143451527698021	0	0.0068901771950481	0.00437995124008901	0.0675407719218779	0.0840750696059098	0.00243002683085447	0.000945289845639923	0.00679117264230877	0.0121457268496447	0.0153261313409599	0.00406445279154412	0.00694804930667882	0.00483067520873062	0.00977431600235211	0.00992124631893773	0.00544009022689048	0.0147054440604646	0.014043212907806	0.00438367409596298	0.00350633845421668	0.00888697502193377
OM1_C_1E_2	0.00428679382858921	0.00588988694503227	0.000789126818916794	0.00463855733937568	0.00928992504572472	0.0164573623147755	0.00319310808098361	0.00832466391968499	0.0068901771950481	0	0.00251025223197115	0.0606603956949384	0.0772004487501737	0.00932014987097343	0.00594490078332622	9.90061596229308e-05	0.0190353507172601	0.00843626298483921	0.0109545235088786	5.78730728360984e-05	0.0117207169927943	0.0166641034703061	0.0168110244348286	0.00145010582052203	0.0215948610217962	0.0209326864181727	0.0112737331009042	0.0103964284765293	0.0157768167670582
OM1_C_1F_1	0.00177654822670534	0.00337965204422631	0.00172112659521889	0.00212831370219231	0.0118000818964059	0.0139473100893248	0.000682857747112276	0.00581445383728409	0.00437995124008901	0.00251025223197115	0	0.0631673070235277	0.0797053248137934	0.00680995291218284	0.00343466632922334	0.0024112462803394	0.0165253726478101	0.0109464348645683	0.00844435184418446	0.00256812517508315	0.0092105587903337	0.0141540567631694	0.0143009816947027	0.00106014774954429	0.0190849680810933	0.0184227703538168	0.00876356692033582	0.00788624765070289	0.013266746904267
OM1_C_2A_1	0.0649413250132667	0.0665420276757063	0.061448500658652	0.0652925731905266	0.0513805413131479	0.0770910579287279	0.0638492084745617	0.0689729685862701	0.0675407719218779	0.0606603956949384	0.0631673070235277	0	0.0165674350450585	0.0699668147675431	0.0665969575737744	0.0607592750781154	0.0796638383738687	0.0522334287480448	0.0715984064493985	0.0606025965383828	0.07236325732343	0.0772973916801516	0.0774440220362495	0.0621086037054008	0.0822179031473761	0.0815571636358884	0.0719170596679004	0.0710412739312029	0.0764118408440577
OM1_C_2A_2	0.0814778597658276	0.0830771938686179	0.077987921515628	0.0818288101049146	0.0679275110605124	0.0936164843952078	0.0803866604046337	0.0855060012483108	0.0840750696059098	0.0772004487501737	0.0797053248137934	0.0165674350450585	0	0.086498956033844	0.0831320762912633	0.077299249198938	0.0961866998384002	0.0687798034264939	0.0881290602383489	0.0771426956830449	0.0888932035188777	0.0938226151773395	0.0939691010035016	0.0786474896560043	0.0987381447854649	0.0980780900455971	0.0884474194571422	0.0875724390067889	0.0929379320758699
