	OM1_B_C_1	OM1_B_C_2	OM1_B_C_3	OM1_C_1D_1	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_2A_2	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_2	OM1_H_1G_3
OM1_B_C_1	0	0.0313971615645974	0.0241315304624943	0.0127984042645923	0.0294488027169177	0.0636929595515608	0.0178946996716187	0.0131462981854789	0.0137072465305159	0.0165599288909882	0.0109833842567446	0.0478490118229171	0.0106666528510442	0.00880136367967623	0.00822767902755835	0.0135455926780653	0.010630860342923	0.0727709024854389	0.0424706092813498	0.0275000020967488
OM1_B_C_2	0.0313971615645974	0	0.0475138333623113	0.0405405562434559	0.042970275019729	0.0324904438548658	0.0403354303104021	0.034996032436227	0.0331318832095679	0.0241704118660542	0.0376287827146079	0.0245936333788791	0.0348769098937067	0.0371367407144027	0.0372795673059045	0.0364560115007201	0.0352412270229906	0.0457432489777365	0.0163361975140392	0.0173905848339333
OM1_B_C_3	0.0241315304624943	0.0475138333623113	0	0.0118117915672798	0.013653413463773	0.0789547945272544	0.00730340444142719	0.0359793867365497	0.0371879450863225	0.0404152356791402	0.0318721122161081	0.0535200414665834	0.0332578344680838	0.0293103760566087	0.0162479473641031	0.0357901505739612	0.0141113514541404	0.0926261700222607	0.0621164564750912	0.0344954453342801
OM1_C_1D_1	0.0127984042645923	0.0405405562434559	0.0118117915672798	0	0.0209333213069106	0.0728951329425883	0.00757487858792988	0.0241733874556703	0.0254192960961362	0.0293482977895031	0.0201182705049515	0.0517697507513937	0.0214507178195817	0.0175403343245796	0.00459604308843204	0.0239904917212862	0.00559805456277317	0.0842033565406857	0.0536370229554701	0.0312147927113865
OM1_C_1E_1	0.0294488027169177	0.042970275019729	0.013653413463773	0.0209333213069106	0	0.072021506981359	0.0133613918851801	0.042560528362784	0.0431094438118509	0.0433600482523412	0.039576226845622	0.0430982121042584	0.039993400274498	0.0370204154115782	0.0238379627165949	0.04282601885872	0.0192152227396229	0.0885835860646068	0.0589253639768478	0.0269179450373064
OM1_C_1E_2	0.0636929595515608	0.0324904438548658	0.0789547945272544	0.0728951329425883	0.072021506981359	0	0.072020123288867	0.0651063978024104	0.0629411935622351	0.0533443423273278	0.0686273772558114	0.0339230350661648	0.0656280379552884	0.0685862926928712	0.0697343816319549	0.0666096340578337	0.067505498964629	0.0244612588230286	0.0250459903371029	0.0452282896743141
OM1_C_1E_3	0.0178946996716187	0.0403354303104021	0.00730340444142719	0.00757487858792988	0.0133613918851801	0.072020123288867	0	0.0305190612130955	0.0314403305901114	0.0337041513193208	0.0269583406081899	0.0478867970078884	0.0278381476846065	0.0243649097249322	0.010906766096162	0.0305555126334319	0.00733526452993003	0.085361332365519	0.0548278442220555	0.0281102761050082
OM1_C_1F_1	0.0131462981854789	0.034996032436227	0.0359793867365497	0.0241733874556703	0.042560528362784	0.0651063978024104	0.0305190612130955	0	0.0023291351471599	0.0118297450007516	0.0050853247342362	0.0559051886749772	0.00272365287896928	0.00710282197846714	0.0198186644582855	0.00150582424317307	0.0235172312032023	0.0696458185407877	0.0412357329686099	0.0370837293763894
OM1_C_2A_2	0.0137072465305159	0.0331318832095679	0.0371879450863225	0.0254192960961362	0.0431094438118509	0.0629411935622351	0.0314403305901114	0.0023291351471599	0	0.00961475994116411	0.00724262689526298	0.0545183243481814	0.00439992121416058	0.00896413599146063	0.0209514349451573	0.00377200064555855	0.0242873023322583	0.0673208993517263	0.0389684910357764	0.0361005994096185
OM1_C_2F_2	0.0165599288909882	0.0241704118660542	0.0404152356791402	0.0293482977895031	0.0433600482523412	0.0533443423273278	0.0337041513193208	0.0118297450007516	0.00961475994116411	0	0.0159383846893213	0.0469020425755101	0.0127963798602774	0.016682913932096	0.0247860907592232	0.013330137051759	0.0264126960876716	0.0583631950380724	0.0294415721955085	0.030318637988535
OM1_C_2F_3	0.0109833842567446	0.0376287827146079	0.0318721122161081	0.0201182705049515	0.039576226845622	0.0686273772558114	0.0269583406081899	0.0050853247342362	0.00724262689526298	0.0159383846893213	0	0.0570844443322634	0.00314640468826759	0.00259564841706294	0.0160612637906687	0.00422736712969342	0.0203681946318381	0.0741992062310073	0.0452788644073215	0.0374274377858214
OM1_C_2G_1	0.0478490118229171	0.0245936333788791	0.0535200414665834	0.0517697507513937	0.0430982121042584	0.0339230350661648	0.0478867970078884	0.0559051886749772	0.0545183243481814	0.0469020425755101	0.0570844443322634	0	0.0549654074981144	0.0557729134970573	0.0503891393568253	0.0571974163286024	0.0462768598142541	0.0563567363921476	0.0357666130617516	0.0207426507057862
OM1_C_3E_1	0.0106666528510442	0.0348769098937067	0.0332578344680838	0.0214507178195817	0.039993400274498	0.0656280379552884	0.0278381476846065	0.00272365287896928	0.00439992121416058	0.0127963798602774	0.00314640468826759	0.0549654074981144	0	0.00456431658461069	0.0171060334413683	0.00288382959959544	0.0208886904116391	0.0710618667679694	0.0421646428101897	0.035696303211246
OM1_C_3E_2	0.00880136367967623	0.0371367407144027	0.0293103760566087	0.0175403343245796	0.0370204154115782	0.0685862926928712	0.0243649097249322	0.00710282197846714	0.00896413599146063	0.016682913932096	0.00259564841706294	0.0557729134970573	0.00456431658461069	0	0.0134661011564195	0.00657236851570188	0.0178154461325337	0.0750065387740523	0.0456790139410902	0.0358268942602966
OM1_C_3E_3	0.00822767902755835	0.0372795673059045	0.0162479473641031	0.00459604308843204	0.0238379627165949	0.0697343816319549	0.010906766096162	0.0198186644582855	0.0209514349451573	0.0247860907592232	0.0160612637906687	0.0503891393568253	0.0171060334413683	0.0134661011564195	0	0.0197468108881131	0.00515772541932233	0.0802347441636506	0.0497330439772185	0.0296636391402975
OM1_C_3F_2	0.0135455926780653	0.0364560115007201	0.0357901505739612	0.0239904917212862	0.04282601885872	0.0666096340578337	0.0305555126334319	0.00150582424317307	0.00377200064555855	0.013330137051759	0.00422736712969342	0.0571974163286024	0.00288382959959544	0.00657236851570188	0.0197468108881131	0	0.0236865351360516	0.0710525440408357	0.0427242880311331	0.0382139177696034
OM1_C_3F_3	0.010630860342923	0.0352412270229906	0.0141113514541404	0.00559805456277317	0.0192152227396229	0.067505498964629	0.00733526452993003	0.0235172312032023	0.0242873023322583	0.0264126960876716	0.0203681946318381	0.0462768598142541	0.0208886904116391	0.0178154461325337	0.00515772541932233	0.0236865351360516	0	0.07944889549181	0.0488420160856178	0.0256612271062507
