	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_B_C_1	OM1_B_C_2	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1B_3	OM1_C_1D_2	OM1_C_1D_3	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1F_1	OM1_C_1F_2	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3D_1	OM1_C_3D_2	OM1_C_3D_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_2	OM1_H_1C_1	OM1_H_1C_2	OM1_H_1C_3	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1G_1	OM1_H_1G_2
OM1_B_B_1	0	0.0183151250163068	0.00751817125125469	0.00524942313522285	0.0278597660734237	0.0344722856761775	0.0298127185692677	0.032535656080698	0.0489166685348634	0.0143691929005713	0.0390115014538727	0.038158720030092	0.0415745341775618	0.0150287337672302	0.0276929018487601	0.00329917929345646	0.0143721846705983	0.0421976928594237	0.00557145809343537	0.0128321776126411	0.0193428286433282	0.0160248872228421	0.0234699737953685	0.0443850511481351	0.0272063218638564	0.0363687927498404	0.0241686525248359	0.0393765459887137	0.0211661269089224	0.00549227472971076	0.0370500775058496	0.0112778581611592	0.0605513527270736	0.0455646517256148	0.0423003838904429	0.0169137392408055	0.0338805015956202	0.0133247967277869	0.0251436754455244	0.0124383688426478	0.0285984988392398
OM1_B_B_2	0.0183151250163068	0	0.0107975030719328	0.0130661665960718	0.00954642148237633	0.0161608778323504	0.0114998863962793	0.0142236217939543	0.0306114668294457	0.00394631439631765	0.0207017532307902	0.0198486396019514	0.0232658410771511	0.00328672413105796	0.00937951579881182	0.0216138188271036	0.00394332241536899	0.0238892691284097	0.0127441479045778	0.00548342215894988	0.0010278373035926	0.00229048502052849	0.00515566062838057	0.026077612587773	0.00889281700947135	0.0180580457368278	0.00585447650117288	0.0210669428512191	0.00285140730554839	0.023806508418552	0.0187395793050069	0.00703780283388863	0.0422530959544994	0.0272577700277196	0.0239920050302925	0.0014015453688956	0.0155688971358868	0.00499077685933108	0.00682970158937563	0.00587724951539862	0.0102853421891184
OM1_B_B_3	0.00751817125125469	0.0107975030719328	0	0.00226878144394296	0.0203431609729853	0.0269566734464758	0.0222963822752646	0.0250197287859356	0.0414040348220662	0.00685129570687783	0.0314967061183651	0.03064376285858	0.0340602484682547	0.0075108766312125	0.0201762747335539	0.0108172501691326	0.00685428765320529	0.0346835363163099	0.00194674350370321	0.00531419636019641	0.0118252923831114	0.00850709512098395	0.0159528396160162	0.0368713642406958	0.0196896314104333	0.0288535084742417	0.016651595575306	0.0318618211098837	0.0136487568490211	0.0130102447385106	0.0295349157229935	0.00375980515626118	0.0530419152913196	0.0380512285636451	0.0347862488299376	0.00939600976564954	0.0263647909621259	0.00580684099901577	0.0176267306937094	0.00492036814884629	0.0210819930041286
OM1_B_C_1	0.00524942313522285	0.0130661665960718	0.00226878144394296	0	0.0226115598825356	0.0292248019488356	0.0245647086995351	0.0272879438154691	0.0436713280977253	0.00912002481270798	0.033764608127512	0.0329117099458184	0.0363280079791952	0.00977959657112291	0.0224446795487502	0.00854854696621117	0.00912301671909554	0.0369512595926366	0.000322038468005949	0.00758294402155094	0.0140939346015801	0.0107757998488864	0.0182213787684886	0.0391389554214441	0.0219580531877324	0.0311215463781453	0.0189201145137285	0.0341297034661568	0.0159173569860856	0.0107415816925274	0.0318029196672296	0.00602856758192141	0.0553082949817388	0.040318745341968	0.0370539660755624	0.0116646995322197	0.0286329465476271	0.00807558314111998	0.0198952200879203	0.00718911993182332	0.0233503652241916
OM1_B_C_2	0.0278597660734237	0.00954642148237633	0.0203431609729853	0.0226115598825356	0	0.00661482342703859	0.00195354221035827	0.00467742895040361	0.0210672468323183	0.013492551389499	0.0111561232823588	0.0103029192414098	0.0137205124985309	0.0128329995163039	0.000166911074959434	0.0311578865271715	0.0134895595895693	0.0143440205344288	0.0222895809683823	0.0150295578827329	0.00851861444590245	0.0118368126366308	0.00439083896183699	0.0165326654910649	0.00065362449484906	0.00851215165050106	0.00369201953647075	0.0115213531109821	0.00669508011408108	0.0333501517746428	0.00919374877898235	0.0165838193252879	0.0327113721846549	0.0177129989050024	0.0144467698687488	0.0109479137499597	0.00602279771538664	0.0145369468398635	0.00271678386554292	0.0154233566315366	0.000738946870868104
OM1_C_1B_1	0.0344722856761775	0.0161608778323504	0.0269566734464758	0.0292248019488356	0.00661482342703859	0	0.00466130278079732	0.00193741591374789	0.0144531393344692	0.0201067282358885	0.00454141940953711	0.00368818551018156	0.00710591891751281	0.0194472283102893	0.0067817318193077	0.0377698825252376	0.020103736676349	0.00772945842391693	0.0289028629507202	0.0216436055024065	0.0151331312811235	0.018451115907161	0.0110055476595505	0.00991822823344018	0.00726843665972539	0.00189736637256823	0.0103067526451123	0.00490666306384731	0.0133096917761503	0.0399617698452207	0.00257898134341731	0.0231977246212993	0.0260985482302119	0.0110986382618054	0.00783221311886126	0.0175622794323025	0.000592034142119002	0.0211510371226088	0.00933154714395219	0.0220373692998127	0.00587588684345032
OM1_C_1B_2	0.0298127185692677	0.0114998863962793	0.0222963822752646	0.0245647086995351	0.00195354221035827	0.00466130278079732	0	0.00272389565742779	0.0191139847043184	0.0154459466096485	0.00920265274585602	0.00834943710624881	0.0117670828905779	0.0147864079305497	0.00212045303724711	0.0331106950840589	0.0154429548709717	0.0123906022520412	0.0242427405273483	0.0169829199421347	0.0104720938743997	0.0137902398019502	0.00634436160177437	0.014579291210875	0.00260716550993555	0.00655864845540394	0.00564554710800943	0.00956788784783918	0.00864858160600106	0.0353028558220598	0.0072402530748929	0.0185371444108382	0.0307585269777451	0.0157596510953863	0.0124933535042545	0.0129013564522536	0.0040692726494477	0.0164903198953829	0.00467031716834315	0.0173767096505593	0.00121459596868922
OM1_C_1B_3	0.032535656080698	0.0142236217939543	0.0250197287859356	0.0272879438154691	0.00467742895040361	0.00193741591374789	0.00272389565742779	0	0.0163903923733084	0.018169566834517	0.00647881502299906	0.0056255871043442	0.00904329053571608	0.0175100495596382	0.00484433866930972	0.0358334169167019	0.018166575194889	0.00966682284449137	0.0269659920865198	0.0197064869231098	0.0131958541990991	0.0165139121189166	0.00906820101297767	0.0118555631746526	0.00533104759973747	0.00383477726139344	0.00836939658482935	0.00684405581127592	0.0113723810145586	0.0380254219856563	0.00451638921513529	0.0212606527543883	0.0280354629756583	0.0130359545856628	0.00976957630219183	0.0156250544869163	0.001345382322229	0.0192139044540732	0.00739417908751275	0.0201002622312995	0.00393848695912769
OM1_C_1D_2	0.0489166685348634	0.0306114668294457	0.0414040348220662	0.0436713280977253	0.0210672468323183	0.0144531393344692	0.0191139847043184	0.0163903923733084	0	0.0345562802773545	0.00991195031222104	0.0107651570887174	0.00734748741579975	0.0338969650735622	0.02123413130216	0.0522127669950679	0.0345532895660856	0.00672394663880731	0.0433495109940679	0.036092709264824	0.0295839635118959	0.0329011229864864	0.025457245386045	0.00453514092280436	0.0217207647341247	0.0125558949963929	0.0247585792898508	0.0095467159864334	0.0277609283195248	0.0544035932975529	0.01187431482598	0.0376463496887785	0.0116469546820018	0.0033546912373642	0.00662119135296747	0.0320125188988072	0.0150451278112684	0.0356002872741921	0.0237835451971987	0.036486354193042	0.0203284126865236
OM1_C_1D_3	0.0143691929005713	0.00394631439631765	0.00685129570687783	0.00912002481270798	0.013492551389499	0.0201067282358885	0.0154459466096485	0.018169566834517	0.0345562802773545	0	0.0246473405267337	0.0237942807338861	0.0272112543325011	0.000659593389907072	0.0133256511595673	0.0176680601247143	2.99199795313239e-06	0.0278346372977699	0.00879799589491859	0.00153711992418182	0.00497414434705941	0.00165583483938785	0.00910190767094269	0.0300228139376988	0.0128389678222007	0.0220037932419836	0.00980070857004622	0.0250125064800567	0.00679769385024113	0.0198608828822892	0.0226852873808346	0.00309151985586593	0.0461966537931281	0.0312028758912891	0.0279373656659861	0.00254477416305647	0.0195147775782763	0.0010444699823852	0.0107759104372269	0.00193095149710407	0.0142314470038773
