	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_C_1A_1	OM1_C_1A_2	OM1_C_1A_3	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1B_3	OM1_C_1D_2	OM1_C_1D_3	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_1F_2	OM1_C_1F_3	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3D_1	OM1_C_3D_2	OM1_C_3D_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_2	OM1_H_1B_3	OM1_H_1C_1	OM1_H_1C_2	OM1_H_1C_3	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_B_B_1	0	0.00735866681530233	0.0220074758318242	0.0865349852988657	0.140986675314548	0.142633368980198	0.0224854321915053	0.0132305083218572	0.0386646992930453	0.0170119565482427	0.0369955256134155	0.0223576247367506	0.00845521199942354	0.0130771367336158	0.0245516426351153	0.0163252003793449	0.0330057773729716	0.0371214324573729	0.0255224379097612	0.0311312705584187	0.00945167924718724	0.00693833193711021	0.00926647126947153	0.003932730749626	0.014305318916343	0.0283110099174699	0.0176330202069423	0.0309306747743952	0.0140584463924564	0.0203642550337896	0.0283904869016689	0.00160125936506907	0.00829565031322688	0.0318544796084632	0.0188091388517439	0.0260712862420257	0.0157684584451363	0.0155282284915309	0.0205342571454171	0.025797019254014	0.0109308886754979	0.0328365247861027	0.0136682937791805	0.0167461292787917	0.0321727320886102	0.0685983891583177	0.0725925426496333	0.065159535828407
OM1_B_B_2	0.00735866681530233	0	0.015148310178805	0.0918966464337449	0.146754563433693	0.148714074723524	0.0163583648981544	0.0105886625908298	0.0322902293408663	0.00995847633166294	0.0307902719282219	0.0154324637424604	0.00243414943679105	0.00647893747691675	0.0180923971351017	0.00944207201006413	0.0259492582293054	0.030049852857297	0.0188676206531332	0.0251153229786783	0.00258439963356931	0.0129270562973326	0.0036135352834475	0.00429500368352954	0.00697481139904171	0.0219731997467765	0.0106375725175847	0.0236994302844408	0.00681342911873823	0.0136128231184243	0.0216758683871682	0.00734989123608621	0.0032995373240327	0.025115006744918	0.0117667860857333	0.0195634370970951	0.00855837384825639	0.00933598028734074	0.0139514895692332	0.018443060355938	0.00473407816171895	0.0263593266217115	0.00754003958206217	0.00955169854998485	0.025310734071119	0.0619809063172288	0.0659649062672987	0.058309673482886
OM1_B_B_3	0.0220074758318242	0.015148310178805	0	0.106495779134224	0.161483834821338	0.163591003975201	0.00413132094661832	0.02155371164594	0.0173722168579218	0.0111819967768252	0.016109286820416	0.000569473977980756	0.0135585749590188	0.00893235345601564	0.00373920524228571	0.0121539822941884	0.0110872841231847	0.0151978024107803	0.00389070888082183	0.0110339217200584	0.0143476928022833	0.0280712731859798	0.0158909143911931	0.0194426739678776	0.0088254880157829	0.00743933332964836	0.00454072919468643	0.00966878897470134	0.00857058360442496	0.0132946607240269	0.0065603746055683	0.0214067845079576	0.0166339355153587	0.00997425414706937	0.00353035256734301	0.00485116079655464	0.0104136851985523	0.0147005526089925	0.00211197144965525	0.00763226813215382	0.0148810668850694	0.0114125381296761	0.0147749700307336	0.00595399836094198	0.0101834437969531	0.0468567053430711	0.0508410903492336	0.0432107958042716
OM1_C_1A_1	0.0865349852988657	0.0918966464337449	0.106495779134224	0	0.0560336248811151	0.0599827418345912	0.108176047689052	0.0857744440367413	0.123762689506535	0.0967737923120042	0.122422964905997	0.106649138675025	0.0940039973523269	0.0983390012435163	0.109770108120587	0.09567656563772	0.116125720715768	0.119889757641666	0.110347339384971	0.116877603242454	0.092251208418408	0.0796599148102714	0.0906760840536136	0.0877933443546046	0.0977146460695665	0.11365539913299	0.1020232389456	0.113055211990337	0.0979952115837809	0.0972869910416549	0.112978167256813	0.0877839284868532	0.0899589438106605	0.116249858498229	0.102984055156012	0.111171777915598	0.0967892369290753	0.0931960919569487	0.105643897989837	0.106720707415315	0.0917385559218556	0.117841530166666	0.0924220341971985	0.100575823202379	0.116167242965005	0.152348551362274	0.156204791028439	0.147915090879155
OM1_C_1A_2	0.140986675314548	0.146754563433693	0.161483834821338	0.0560336248811151	0	0.0109259061254835	0.162902996923866	0.141228144717773	0.178593753728378	0.15212502264879	0.177168176446787	0.161667998612127	0.148743040184518	0.153162668822179	0.164619385547815	0.151037194090323	0.171300648004808	0.175094944725314	0.165278974802117	0.171545638880679	0.147296914521108	0.134270094055934	0.145794116164888	0.142589446213396	0.152790449478555	0.168464530004105	0.157011171634858	0.168324905292192	0.153013964318415	0.152777282147868	0.16795165727155	0.14211476916927	0.14503431826278	0.171252055358114	0.158007304421025	0.166045733424641	0.152059729522162	0.148606609628181	0.160518337644488	0.162067927774382	0.146930615175548	0.172720191229795	0.147760893322855	0.155629622946549	0.171232421408778	0.207266080000024	0.211112525277783	0.202984499597984
OM1_C_1A_3	0.142633368980198	0.148714074723524	0.163591003975201	0.0599827418345912	0.0109259061254835	0	0.164755222399905	0.143859775703383	0.180597494545645	0.154654504311347	0.179076279401335	0.163809652958198	0.150598432911925	0.155092252528055	0.1665913768048	0.153574861666167	0.17369238592603	0.177566487551954	0.16733760263352	0.173361659816782	0.149435666337139	0.136053808585904	0.148006943252184	0.144498735030658	0.154969921622073	0.170407165688572	0.159106178837162	0.170842558697405	0.1551329552154	0.155568910949502	0.170065981077304	0.143673380542405	0.147201486942104	0.173414690030497	0.160142538329908	0.168046569620999	0.154472354675449	0.151209368435088	0.162505716024536	0.164664795147142	0.149228250724981	0.174749561603111	0.150249562426106	0.157791872893538	0.173472694858414	0.209614378754854	0.213494772260397	0.205558259654132
OM1_C_1B_1	0.0224854321915053	0.0163583648981544	0.00413132094661832	0.108176047689052	0.162902996923866	0.164755222399905	0	0.024247531130323	0.0161921755857687	0.0146174642590766	0.0145292986520322	0.0045896111226096	0.0143325944653387	0.00988616298527902	0.00259493150533804	0.0154811466498168	0.0123211850001525	0.0161780920256084	0.00409031259469089	0.00876032706414726	0.016186366157203	0.0290122531017449	0.0178999022397524	0.0205386402253083	0.0111794495358	0.00586505488365253	0.00689259515832154	0.0120504291992684	0.0106365565903045	0.0171604749108147	0.0066896641307132	0.0216173508329134	0.0184799541279303	0.0099539178835325	0.00644590838522315	0.00401056582559682	0.0135579538219462	0.0179075744380612	0.00312328517715319	0.0115521433222922	0.0172002234337222	0.0104465270078496	0.0176612291794475	0.00857766150709308	0.0106427070946544	0.0462092416398917	0.0502103428294796	0.0430314533729844
OM1_C_1B_2	0.0132305083218572	0.0105886625908298	0.02155371164594	0.0857744440367413	0.141228144717773	0.143859775703383	0.024247531130323	0	0.0386555511879685	0.0110513782474998	0.0375835286656096	0.0215813452689018	0.0128801404872065	0.0152578090392301	0.025179554370974	0.00994948312245921	0.0305065026564031	0.0342769948016608	0.0254120699850616	0.0325401797259892	0.00896170518428689	0.0134129508214333	0.00721947521810995	0.00981522050794934	0.0130709409840575	0.0289886131133938	0.0174091874714622	0.0274072318528235	0.0136662219614548	0.0119917034689321	0.0278006823293816	0.0144336821331362	0.00729037987468856	0.0309083839106252	0.0181212842945166	0.026402767187357	0.0112509215436674	0.00745306449437999	0.0212557136613125	0.0210695231111969	0.00722563320779381	0.0327767877225703	0.00681355039711826	0.0157600646112941	0.0306946207662566	0.0669680003174897	0.0708635261220994	0.0625937264538803
OM1_C_1B_3	0.0386646992930453	0.0322902293408663	0.0173722168579218	0.123762689506535	0.178593753728378	0.180597494545645	0.0161921755857687	0.0386555511879685	0	0.0277710863250888	0.00220924372542101	0.0172293795575818	0.0304206131699536	0.0258471056037101	0.0142048112976804	0.0288471840519568	0.00966381915843514	0.00855970392618864	0.0135051367250925	0.00790648302346234	0.0316971071754977	0.045106947112521	0.0332586023197852	0.0365488941594827	0.026194837049444	0.0103640548339261	0.0218764082434191	0.0132196037476986	0.0259222963761373	0.0285522148171217	0.0108863624764909	0.0378016343575391	0.0339906453378625	0.00781831534795969	0.0209014557850052	0.0127326987568071	0.0274109917232073	0.0314378816895133	0.0183429242418699	0.0190300666326495	0.032224143967877	0.00596223275197098	0.0318481736037393	0.0233221413909054	0.00832325080047952	0.0300646121079576	0.0340669532283303	0.0272342788663846
OM1_C_1D_2	0.0170119565482427	0.00995847633166294	0.0111819967768252	0.0967737923120042	0.15212502264879	0.154654504311347	0.0146174642590766	0.0110513782474998	0.0277710863250888	0	0.0268336900508226	0.0110768162465137	0.0103825624814923	0.0087557138297988	0.0149202837292765	0.00110215287626222	0.0194584595492652	0.0232565901709421	0.0148606451138334	0.0221620013617449	0.00757523412153057	0.0210757452793116	0.00798588058897738	0.013260058684801	0.00512163627981847	0.0185129448256376	0.00794278269025039	0.0164017465354329	0.00601789742936446	0.00393562934430096	0.0170066091020938	0.0172524567535377	0.00899994234164004	0.0199740728950858	0.00817380823285392	0.0159447975472567	0.00170897438167503	0.00367090839420234	0.0114951216077717	0.0101591432720384	0.00633124508748451	0.0219739134699564	0.0044778907584251	0.00634320489180203	0.019694384918223	0.0559534235648072	0.0598611308291547	0.0516529432614548
