	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_B_C_1	OM1_B_C_2	OM1_B_C_3	OM1_C_1B_1	OM1_C_1B_3	OM1_C_1D_2	OM1_C_1D_3	OM1_C_1E_3	OM1_C_1F_2	OM1_C_1F_3	OM1_C_2A_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3D_1	OM1_C_3D_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1B_3	OM1_H_1C_3	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_3
OM1_B_B_1	0	0.0157482369230783	0.0272153962752602	0.116338402918784	0.0104276533490141	0.0162759252319469	0.0477569055138942	0.0547240997150001	0.0536759659772395	0.0315402068989438	0.0609392195631391	0.038401657109655	0.054173687128752	0.0192366128428492	0.0178782031139877	0.0449933351774641	0.0368547720484021	0.0322493719868013	0.0365803322653544	0.0581753213142817	0.0282755995039106	0.0198375615904138	0.0258402307598793	0.0567917442825057	0.0427528686705809	0.0486370558860204	0.0509628247873228	0.0413824861924974	0.0508538351167964	0.0446443152240864	0.0286535177620614
OM1_B_B_2	0.0157482369230783	0	0.0115105536661775	0.100674845029092	0.0244450888054488	0.00637024195383781	0.0323501908417432	0.0395373643313638	0.0379807663652986	0.0167331974587574	0.0453263087530279	0.0227852696041153	0.0384912087183027	0.00479605435590481	0.00279499242625231	0.0293647603417981	0.0263234881361024	0.0165346719405612	0.0209644571173029	0.0424764720468671	0.0127079017491255	0.00433039982013392	0.0101315914456771	0.0410605787665063	0.0271445620790727	0.0331948868394394	0.0353908545169409	0.0260120305176418	0.0352125835156686	0.0289271867706184	0.0130656491962117
OM1_B_B_3	0.0272153962752602	0.0115105536661775	0	0.0892700651272849	0.0353108966372021	0.0131944249210962	0.0210144093373138	0.0283568193388484	0.0264818876665224	0.00731087508194534	0.0343061709239776	0.0113087391343494	0.0269880343841052	0.00861895005094141	0.00943538246891696	0.0184716499295892	0.0215380073625532	0.00503677402418408	0.00949601211089298	0.0309834161697949	0.00182434198842988	0.00795133982180378	0.00137905053788955	0.0296670775729344	0.0156625389748489	0.0227088352086138	0.0239174624918602	0.0159508495235759	0.0237098780248665	0.0177136222693147	0.00197284940076286
OM1_B_C_1	0.116338402918784	0.100674845029092	0.0892700651272849	0	0.124046047373018	0.101521196107143	0.0697145477024153	0.0640168814946798	0.0629411436370109	0.0861144055059861	0.0564488004567631	0.0782938359644294	0.0624904988671369	0.0975530374392865	0.0986461739042169	0.0719427763467204	0.0899552602988952	0.0842519019242852	0.0800920703988164	0.0584373263005783	0.088334161980702	0.0967058719535436	0.0906355179103472	0.0597418972878741	0.0740200140642953	0.0691010156192038	0.0660616130651674	0.0761976170006883	0.0659298245616376	0.0719727426891657	0.0879434367303434
OM1_B_C_2	0.0104276533490141	0.0244450888054488	0.0353108966372021	0.124046047373018	0	0.0226565814634053	0.0547270398662737	0.0612061390795915	0.0613443581924373	0.0382215724774519	0.0695467676468266	0.0459844991035593	0.0617788820706917	0.02676475526332	0.0259397652583819	0.0536455813276897	0.0398513171972372	0.0402623596314089	0.044198950045317	0.0658401129827614	0.0360288571070761	0.0287611761080846	0.0339889152053457	0.0648430273529878	0.0502383130810326	0.0575920795450744	0.0582411649425662	0.0504386666048615	0.0583318910848603	0.0530073135512754	0.0364294663543987
OM1_B_C_3	0.0162759252319469	0.00637024195383781	0.0131944249210962	0.101521196107143	0.0226565814634053	0	0.0321382949241131	0.0388165203464876	0.0387296190118613	0.0156439574018556	0.0473551825557471	0.023374121531035	0.0391563395473262	0.00474340641818121	0.00520406217072743	0.031633447511213	0.0215825864166927	0.0179105969626056	0.0216047555331947	0.0432253629661091	0.0135939478157174	0.00925044551672998	0.0120086999686163	0.0423268279127218	0.0276047091614884	0.0358970523621614	0.0356117888883205	0.0290528602382828	0.0356987697717404	0.0307331074843168	0.0139995424818273
OM1_C_1B_1	0.0477569055138942	0.0323501908417432	0.0210144093373138	0.0697145477024153	0.0547270398662737	0.0321382949241131	0	0.00752464278902342	0.00811854557727291	0.0165213844348904	0.0197343588200706	0.00984749995288508	0.00821473582795224	0.0285388319919132	0.0299423858148253	0.0125070445067405	0.0233183051136846	0.0162683767448396	0.0115879159941896	0.0120419237749527	0.0196523914473686	0.028958137201804	0.0223646788695341	0.0127697559962888	0.00581718500532572	0.0157611271638267	0.00400064841087955	0.0163350953273683	0.00491599137269161	0.0101994327293889	0.0193055392334488
OM1_C_1B_3	0.0547240997150001	0.0395373643313638	0.0283568193388484	0.0640168814946798	0.0612061390795915	0.0388165203464876	0.00752464278902342	0	0.00898691585407056	0.0232242310269925	0.0198565596294763	0.017334629268828	0.00849814348719489	0.0355213680731594	0.0370391037165571	0.0185332798965297	0.0265683804600945	0.023722386624316	0.0190359880088529	0.0101535313964684	0.026906070705386	0.0363028963795807	0.0296851020422737	0.0128779881452228	0.0133286370881732	0.0205713564319247	0.00664133995130322	0.0229624842076143	0.00799437696799757	0.0165400813861626	0.0265785766828676
OM1_C_1D_2	0.0536759659772395	0.0379807663652986	0.0264818876665224	0.0629411436370109	0.0613443581924373	0.0387296190118613	0.00811854557727291	0.00898691585407056	0	0.0234822570840336	0.0118222276568967	0.0153875416380233	0.000694237898682332	0.0347091150649864	0.0358454357531626	0.0115275044926161	0.0314283745788885	0.0214522282913501	0.0171899297489603	0.0045128332375108	0.0254694847877735	0.0341581515241548	0.0278591644363168	0.00469812483912228	0.0111372199131272	0.0122224177986827	0.00419944399338434	0.0163904693156279	0.003289172596018	0.0103052033069163	0.0250806464557134
OM1_C_1D_3	0.0315402068989438	0.0167331974587574	0.00731087508194534	0.0861144055059861	0.0382215724774519	0.0156439574018556	0.0165213844348904	0.0232242310269925	0.0234822570840336	0	0.0332030857165087	0.0086476384195633	0.0238466556821642	0.0123926457210036	0.0140665344041775	0.0186380434112848	0.0150639068010458	0.006549242048213	0.00722421848807952	0.0279201230993136	0.00549161974881362	0.0142876219147547	0.00816689270621484	0.0274393166265584	0.0124239703445353	0.0233342686898759	0.020105474263582	0.0179926779419694	0.0203273180328077	0.0170319955404145	0.00543075190281962
