	OM1_B_B_2	OM1_B_C_1	OM1_C_1B_1	OM1_C_1D_2	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_2	OM1_C_1F_3	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_3D_1	OM1_C_3D_2	OM1_H_1B_1	OM1_H_1B_3	OM1_H_1C_1	OM1_H_1C_2	OM1_H_1C_3	OM1_H_1D_3	OM1_H_1G_2	OM1_H_1G_3
OM1_B_B_2	0	0.0260868908992728	0.0191144601950894	0.0308290390270338	0.0122812828069196	0.0497052929030298	0.0350715789550032	0.0089704108050611	0.0223286158002822	0.00470297419774213	0.0169239737769825	0.01226378683505	0.0426601810534195	0.0288185826761384	0.0139195960560209	0.0172757651129884	0.00896043044935333	0.0120820859764258	0.0268159829190014	0.0175384626029906	0.0264920541369905	0.0213067098131552	0.00604595223336421	0.0109660453574447	0.012080876171652	0.0132495399316163	0.00804499812186116	0.0277190625806448
OM1_B_C_1	0.0260868908992728	0	0.0448757472579283	0.0566216569736426	0.038335353293785	0.025468410791302	0.0596908106223195	0.0197453370920766	0.0160875976977556	0.0241601463693225	0.0423017530242983	0.0382812064900034	0.0685626706199974	0.0138536401554247	0.0138987849849614	0.0427453246359275	0.0317118284625394	0.0169770958863919	0.0522542643422532	0.0435416014926439	0.0519738136356584	0.0471363987106952	0.0306122917454287	0.0370472831498042	0.0356550993592857	0.0390002533842618	0.0335426478015085	0.0016349428973375
OM1_C_1B_1	0.0191144601950894	0.0448757472579283	0	0.0117635035070026	0.0072535633778414	0.0687859833439518	0.0167864144255875	0.027557797428703	0.0405272486337508	0.0208538550038726	0.00321486716614452	0.00879904602310658	0.0237421624112467	0.0475298589119759	0.0329768773461947	0.00262987148851614	0.0142180108285158	0.0308431817380584	0.00786566825329131	0.00670698524089444	0.00750315962517736	0.00230209797286322	0.0143528017290821	0.00891769689525449	0.0108160652396091	0.00589220951913169	0.0138001590076379	0.0465073342287098
OM1_C_1D_2	0.0308290390270338	0.0566216569736426	0.0117635035070026	0	0.0186882215025621	0.0804346133581135	0.00905089593913653	0.0390709436794913	0.0517585840813896	0.0325700801416933	0.0144610341938562	0.0195744213618813	0.0120475941169264	0.0589379803564126	0.0446208936924619	0.0139692238674639	0.0255922094513756	0.0423729241043071	0.00516185389221535	0.0151669128106516	0.0052424299446201	0.00952745226214045	0.026072546931514	0.0202301428012785	0.0218535213052642	0.0176529911217115	0.0248157570139601	0.0582518588088492
OM1_C_1E_1	0.0122812828069196	0.038335353293785	0.0072535633778414	0.0186882215025621	0	0.0618027694981141	0.023974616520191	0.0204010800213851	0.0332864105401528	0.0148544124279633	0.0062360735416819	0.00249596974182771	0.0304124511572349	0.0403375532189355	0.025954532049642	0.00628253622217413	0.0100558644057673	0.0237011253931034	0.0151172301021742	0.00601287430915173	0.0147504927542925	0.00924681413140532	0.00869182019434991	0.00169345144821095	0.00842862618248475	0.00265390557122249	0.00662719778560911	0.0399685065550122
OM1_C_1E_2	0.0497052929030298	0.025468410791302	0.0687859833439518	0.0804346133581135	0.0618027694981141	0	0.084395398229267	0.0415577527229741	0.0303564695853857	0.0487951379021553	0.0665342160591657	0.0612172960096597	0.0920835522502752	0.022720504963447	0.0358742699715695	0.0669164171780285	0.056558126051661	0.0382607657845223	0.0764582723538995	0.066270473779281	0.0761419910053972	0.0709512287911696	0.0549897900187296	0.0603153071366793	0.060462937259428	0.0629358021920901	0.0560771304697434	0.0240318250644649
OM1_C_1E_3	0.0350715789550032	0.0596908106223195	0.0167864144255875	0.00905089593913653	0.023974616520191	0.084395398229267	0	0.0438720300342937	0.0570527168060689	0.0356899884981597	0.0182324577118018	0.0255623065204569	0.0140012560390686	0.0638341222513972	0.0489440283307025	0.0179615499049283	0.0280063428602528	0.0470939984928093	0.00918042613993173	0.0222444338362547	0.00959329482619641	0.0151970919188142	0.0294876507080355	0.0256604600428952	0.0240640633675644	0.0221168122093341	0.0305717077646558	0.0612915260172395
OM1_C_1F_2	0.0089704108050611	0.0197453370920766	0.027557797428703	0.0390709436794913	0.0204010800213851	0.0415577527229741	0.0438720300342937	0	0.0133595276725396	0.0107284020317503	0.0256553577460899	0.0196849763041586	0.0506335701801381	0.0200046968830815	0.00597563341894741	0.0259573337188457	0.0176337096092743	0.00330783514595375	0.0353833418889665	0.0247599151983724	0.0350376628759234	0.0296381259006348	0.014978929081283	0.0188498005738255	0.0210057321421488	0.021832634729396	0.0145438750268424	0.0212962871392728
OM1_C_1F_3	0.0223286158002822	0.0160875976977556	0.0405272486337508	0.0517585840813896	0.0332864105401528	0.0303564695853857	0.0570527168060689	0.0133595276725396	0	0.023513231560344	0.0388425201858409	0.0321986236833989	0.0629588272321111	0.0076469629706044	0.00997883007339455	0.0391086779859721	0.0308758286771484	0.0104138844557423	0.0483857058997863	0.0369212239497829	0.0480237329403846	0.0425001995989448	0.0283275288254287	0.0316537682842029	0.0343428574787433	0.0349575660443757	0.026957901267178	0.0169309685578155
OM1_C_2A_1	0.00470297419774213	0.0241601463693225	0.0208538550038726	0.0325700801416933	0.0148544124279633	0.0487951379021553	0.0356899884981597	0.0107284020317503	0.023513231560344	0	0.0181690264237629	0.0155055872344698	0.0445792786222754	0.0291737799607715	0.0140020873425895	0.018627807746	0.00781235039822334	0.0131437006571935	0.0281151066191742	0.0206445500151691	0.0278390342273977	0.0231432838706327	0.00650286767132874	0.0139073434850919	0.0116875398986144	0.0150429048673708	0.0121710860878794	0.025784093979129
