	OM1_B_B_3	OM1_C_1A_1	OM1_C_1A_2	OM1_C_1B_2	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_2G_1	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3E_1	OM1_C_3F_3	OM1_H_1B_2	OM1_H_1C_1	OM1_H_1D_3	OM1_H_1G_2
OM1_B_B_3	0	0.0191939714620561	0.0137453293960241	0.0372893269758555	0.0286531939141467	0.0320472922074933	0.0470518227039389	0.0201457924173187	0.0303226279476144	0.0102666935199188	0.00838458563841531	0.0250124047250652	0.0390768225940123	0.0287514467610652	0.0306575538825012	0.0404187386613244	0.0323878260596496
OM1_C_1A_1	0.0191939714620561	0	0.0295536204583853	0.053522666669305	0.0446538315162819	0.0502209001803065	0.0637314200332981	0.0384125448691473	0.0198418155483981	0.0181094531102417	0.0257878108585057	0.0412403637393987	0.0548329779385157	0.0470356065662931	0.048209914822377	0.0577093151579628	0.0499674466095292
OM1_C_1A_2	0.0137453293960241	0.0295536204583853	0	0.0402878660179196	0.0330486512993046	0.0314802476895239	0.0485476472226401	0.02010433051219	0.0329844488831881	0.0123334574206039	0.00596779324342501	0.0295835858651083	0.0425011440444249	0.0279043491212236	0.032113546018066	0.0413331769668684	0.0329253439974925
OM1_C_1B_2	0.0372893269758555	0.053522666669305	0.0402878660179196	0	0.00891444001334832	0.0131496281952599	0.010305233469994	0.0226997942615171	0.0671191445119684	0.0463713928315635	0.0372694754522102	0.0128467591337484	0.00554141890478767	0.0163288056491623	0.00856266476328678	0.00656337762535267	0.0127025983583762
OM1_C_1E_1	0.0286531939141467	0.0446538315162819	0.0330486512993046	0.00891444001334832	0	0.0130030339596396	0.019145416635741	0.0168074392009695	0.0584127732224237	0.0379732300646304	0.0293773083517035	0.0043683450372343	0.0116880507023647	0.0140361924960305	0.00697098194684516	0.0138520855698331	0.0126552350325944
OM1_C_1E_2	0.0320472922074933	0.0502209001803065	0.0314802476895239	0.0131496281952599	0.0130030339596396	0	0.0185918495359105	0.0131460529611968	0.0616969316192282	0.0399402528111169	0.0300270135746919	0.0145668262128123	0.0140823017686476	0.00416340609407651	0.00678091582131095	0.0114017272806526	0.00373190193130487
OM1_C_1E_3	0.0470518227039389	0.0637314200332981	0.0485476472226401	0.010305233469994	0.019145416635741	0.0185918495359105	0	0.0308109070656396	0.0768068010025156	0.0557474194369617	0.0461997386533258	0.0228216982273688	0.0109371435288095	0.0226452658190687	0.016700623490684	0.00734645061569819	0.0185285749945242
OM1_C_1F_1	0.0201457924173187	0.0384125448691473	0.02010433051219	0.0226997942615171	0.0168074392009695	0.0131460529611968	0.0308109070656396	0	0.0494571154314735	0.0277855926428285	0.018433468333693	0.0154054798283219	0.023559320872655	0.00921872383509539	0.0149074721580961	0.0236463881214918	0.0134347586971633
OM1_C_2G_1	0.0303226279476144	0.0198418155483981	0.0329844488831881	0.0671191445119684	0.0584127732224237	0.0616969316192282	0.0768068010025156	0.0494571154314735	0	0.0219076859578521	0.0321470738625281	0.0544637307965113	0.0692368798280683	0.0582472454646631	0.0604624582600977	0.0702023409453467	0.0623635784648786
OM1_C_2H_2	0.0102666935199188	0.0181094531102417	0.0123334574206039	0.0463713928315635	0.0379732300646304	0.0399402528111169	0.0557474194369617	0.0277855926428285	0.0219076859578521	0	0.0103421471165331	0.0341298543677924	0.0484825837071243	0.0364562170373776	0.0391536233122461	0.0488839701605542	0.0407656729599402
OM1_C_2H_3	0.00838458563841531	0.0257878108585057	0.00596779324342501	0.0372694754522102	0.0293773083517035	0.0300270135746919	0.0461997386533258	0.018433468333693	0.0321470738625281	0.0103421471165331	0	0.0256522865423434	0.0395661634850467	0.0266176132109418	0.0295740281908995	0.0391761009886628	0.0311938279592054
OM1_C_3E_1	0.0250124047250652	0.0412403637393987	0.0295835858651083	0.0128467591337484	0.0043683450372343	0.0145668262128123	0.0228216982273688	0.0154054798283219	0.0544637307965113	0.0341298543677924	0.0256522865423434	0	0.0160173343904284	0.0146836136734395	0.00882198504667282	0.0171852539355948	0.0148724095553374
OM1_C_3F_3	0.0390768225940123	0.0548329779385157	0.0425011440444249	0.00554141890478767	0.0116880507023647	0.0140823017686476	0.0109371435288095	0.023559320872655	0.0692368798280683	0.0484825837071243	0.0395661634850467	0.0160173343904284	0	0.0170527791914487	0.0115509309218867	0.00856416574496565	0.0122410230502414
OM1_H_1B_2	0.0287514467610652	0.0470356065662931	0.0279043491212236	0.0163288056491623	0.0140361924960305	0.00416340609407651	0.0226452658190687	0.00921872383509539	0.0582472454646631	0.0364562170373776	0.0266176132109418	0.0146836136734395	0.0170527791914487	0	0.00894481239548285	0.0154489128457381	0.00540522726397324
OM1_H_1C_1	0.0306575538825012	0.048209914822377	0.032113546018066	0.00856266476328678	0.00697098194684516	0.00678091582131095	0.016700623490684	0.0149074721580961	0.0604624582600977	0.0391536233122461	0.0295740281908995	0.00882198504667282	0.0115509309218867	0.00894481239548285	0	0.00978222229238202	0.00789162036031891
OM1_H_1D_3	0.0404187386613244	0.0577093151579628	0.0413331769668684	0.00656337762535267	0.0138520855698331	0.0114017272806526	0.00734645061569819	0.0236463881214918	0.0702023409453467	0.0488839701605542	0.0391761009886628	0.0171852539355948	0.00856416574496565	0.0154489128457381	0.00978222229238202	0	0.0118275728178211
OM1_H_1G_2	0.0323878260596496	0.0499674466095292	0.0329253439974925	0.0127025983583762	0.0126552350325944	0.00373190193130487	0.0185285749945242	0.0134347586971633	0.0623635784648786	0.0407656729599402	0.0311938279592054	0.0148724095553374	0.0122410230502414	0.00540522726397324	0.00789162036031891	0.0118275728178211	0
