	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_B_C_1	OM1_B_C_2	OM1_B_C_3	OM1_C_1A_1	OM1_C_1A_2	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1D_2	OM1_C_1D_3	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_1F_2	OM1_C_1F_3	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3D_1	OM1_C_3D_2	OM1_C_3D_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_3	OM1_H_1C_1	OM1_H_1C_2	OM1_H_1C_3	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_B_B_1	0	0.00918516529198121	0.0386105719139565	0.0159225166785268	0.000785955585475306	0.0211832833265534	0.0502956204486013	0.0305612822371932	0.050059247944312	0.0888403476848276	0.0392763493886109	0.0742449737418779	0.053581043129526	0.0644417727689797	0.0764304854210601	0.0408979744217039	0.0530295731935696	0.0919122490520295	0.0390108362159168	0.0413645468732223	0.117266121296628	0.00897730092101111	0.0321279141108224	0.0164503430321384	0.00916315737083102	0.00516944859138474	0.0731551792218768	0.0545234654408586	0.030121275460568	0.0527402872199911	0.0926181289774161	0.041120668700095	0.0657777549627672	0.0738263089719116	0.0502588759342051	0.0513627749067728	0.0496515545040119	0.0689412894617547	0.0382652895985271	0.0380990552939407	0.119614087310494	0.0250086343555763	0.0557779815696273	0.0595400640994874	0.0287435840874381	0.0213119525229118	0.0821812669128912
OM1_B_B_2	0.00918516529198121	0	0.0427280130382109	0.00765981045278988	0.00906829851219504	0.0278373398594397	0.055301076702886	0.0365416860860797	0.0541770631556163	0.0933917291673417	0.0425448763346203	0.0781372294191623	0.0585938240465263	0.0689436952675981	0.0802799961943556	0.0458265321441643	0.0569406493782309	0.0959308991163602	0.0436407558073058	0.0447384480344464	0.121519988225999	0.0092774851545986	0.0370857312860109	0.0230266597881541	0.0147570562936483	0.00965648569084642	0.0776405538758657	0.0573370602340761	0.0339382847067707	0.0566528670416873	0.0973050004937563	0.045725136116876	0.0703448962960337	0.0788124786006485	0.0544294397900998	0.0569581202757126	0.0529743154766978	0.0724075247798096	0.0422753823709319	0.0410366900688918	0.120898057010634	0.027721344302125	0.0598726959141178	0.0636693080712837	0.0317426120222462	0.0216080391655179	0.0867320934504478
OM1_B_B_3	0.0386105719139565	0.0427280130382109	0	0.0485681347978002	0.0392431450285404	0.0208297897442811	0.0144028716740607	0.0123140278470186	0.0520808657577225	0.0518898816974353	0.00413095791964533	0.0370843109062652	0.0167926561962325	0.0269314818693906	0.0381462818350229	0.00601016318642626	0.0163945830297263	0.0541115530381071	0.00446244589571207	0.00465778226372875	0.0792517684417698	0.0474786768354493	0.00852188737535083	0.0231289234004975	0.0296180577826174	0.0347536644285227	0.0364375976693049	0.0174397674166913	0.00915687268998988	0.0148324398259538	0.0552701112972494	0.00452028817698403	0.0282828205055647	0.0377157064168263	0.0128200662411573	0.0171052950128471	0.0119778312769008	0.0316342765124806	0.0079990778068208	0.00799193530403805	0.0842547806280286	0.0154108519267399	0.0181843561711671	0.021552766390847	0.01577461778005	0.0232113975617459	0.0445328797589681
OM1_B_C_1	0.0159225166785268	0.00765981045278988	0.0485681347978002	0	0.0158028229329918	0.0350365631958108	0.0617043619094924	0.0433417555360203	0.0611171578760346	0.0996280577145361	0.0480400057098904	0.0841728641470725	0.0643535568535472	0.0750714858596303	0.0859719676957379	0.052148265968757	0.0630614420636132	0.101812559154635	0.0499143132496808	0.0503763834721512	0.127265732345048	0.0124008210898525	0.042916629465356	0.0297022169559627	0.021361938782474	0.017091497857746	0.0839280023092174	0.0627374211154214	0.0395945887939672	0.0625677503729701	0.103439401639259	0.0518889712932878	0.0764795081720057	0.0852716114851019	0.0605141397748672	0.0635150337022245	0.0586039479594422	0.0782366182140348	0.0486593608696468	0.046878054934361	0.12554185912591	0.033395563155432	0.0659105785679953	0.069617840763519	0.038214324719897	0.0266454245855367	0.0927834306807336
OM1_B_C_2	0.000785955585475306	0.00906829851219504	0.0392431450285404	0.0158028229329918	0	0.0216423501476401	0.0508481248777704	0.0310987669306899	0.0498348159309329	0.0893638557036715	0.0399158504554504	0.0747768499579664	0.0542279049109807	0.0650043607479154	0.0770196193649859	0.0414790999440897	0.0535729937152717	0.0924675566778868	0.0395927250220243	0.0419836231036433	0.117843844490173	0.00842630204963378	0.0328023778590233	0.0170683179972499	0.00986756907405991	0.00556096863307846	0.0736769037896374	0.0551174225408467	0.0307907316343188	0.0533232733787277	0.0931661958304375	0.0417164440177958	0.066341042844184	0.0743402710582547	0.0508303248368873	0.0519043893496507	0.0502516456672612	0.0694877289579666	0.0387906911287423	0.0386612420430906	0.120129272082356	0.0256397896541471	0.0563450647822775	0.0601200257844501	0.0291978744781386	0.0218843065815162	0.0827442056977182
OM1_B_C_3	0.0211832833265534	0.0278373398594397	0.0208297897442811	0.0350365631958108	0.0216423501476401	0	0.0299315650700367	0.0100250647432595	0.0410390334753776	0.0683278789033746	0.0229183253382065	0.0544020071866625	0.0345568201916486	0.0443274975781791	0.0569607296815319	0.0211615296300906	0.0336326765538022	0.0719268737854479	0.0197118592977207	0.0242222176555189	0.0971882272388276	0.0299841612267159	0.0155095856553054	0.00714763572306989	0.0141857963158181	0.0182661032775164	0.0527586544751716	0.0370017403122355	0.0153602374486616	0.0336383564752822	0.0721267548794695	0.0218982576829451	0.0456039499380955	0.0530718070298222	0.0308360745033375	0.0306132190344844	0.0316756328508141	0.0497053783461583	0.0194903330975611	0.0215651623548818	0.102587048397525	0.0141639977757271	0.0362364754800974	0.0399807082993497	0.0141107395998148	0.0183036544932615	0.0618988825313534
OM1_C_1A_1	0.0502956204486013	0.055301076702886	0.0144028716740607	0.0617043619094924	0.0508481248777704	0.0299315650700367	0	0.0201202576166998	0.0512733628036583	0.0388329544594488	0.0166307906610367	0.0252859773650132	0.0109654352208778	0.0144653625985727	0.0274412051341526	0.00971831091702093	0.0079214977686886	0.0421871186667698	0.0118631491252691	0.0143406868105335	0.0673586244924698	0.0592554796569741	0.0208226853356918	0.0343717399982291	0.0418012694060024	0.0466061558584093	0.0233579404264752	0.0149420666299246	0.0231248696163019	0.00776130209156951	0.04242062872358	0.0101818130291881	0.0156992135909674	0.0239034335693963	0.00559428334859429	0.00443586833465638	0.0112335656186407	0.0214389929205251	0.0141939634872485	0.0175489876078065	0.0762492962537239	0.0288698199189522	0.00809518778230254	0.0109900444700412	0.0256528604937723	0.03657548522214	0.0320253308494491
OM1_C_1A_2	0.0305612822371932	0.0365416860860797	0.0123140278470186	0.0433417555360203	0.0310987669306899	0.0100250647432595	0.0201202576166998	0	0.0438742342417309	0.0587667119104192	0.0154489569248291	0.0449934737817693	0.0246942644911914	0.0345497231536764	0.0472086201784995	0.0113879581942433	0.0244554596963315	0.0622569995089199	0.0103982638273911	0.0161653084230517	0.0873575211890858	0.0394929857820309	0.00906311932586504	0.0146173404914944	0.022458729699458	0.0273318173288047	0.0432509239102978	0.0283368759323634	0.0110827458741959	0.0241910531151188	0.0623897688531648	0.0123797918868485	0.0358008648870858	0.0435432952977558	0.0213453928977685	0.0208256136375368	0.0228060650084356	0.0404335214634914	0.0118054404983155	0.0151382660912562	0.0941387938641955	0.0144918473413351	0.0266878740231582	0.03028333995547	0.0133873687940973	0.0217594928507029	0.0520892993392014
OM1_C_1B_1	0.050059247944312	0.0541770631556163	0.0520808657577225	0.0611171578760346	0.0498348159309329	0.0410390334753776	0.0512733628036583	0.0438742342417309	0	0.0760735541025944	0.0536794084658868	0.065520680802251	0.0614245794067391	0.0607277215606684	0.0721956380812662	0.0490648003020269	0.0524484420620093	0.0816041374636789	0.0484246441830908	0.0529690363137183	0.105902285379072	0.0546614716042998	0.0524980863360046	0.0469464403985591	0.0493239429397637	0.0478294950883228	0.0635055746838872	0.0587518253513592	0.0517289574388609	0.0553741507464167	0.0814042001212797	0.0502352318330714	0.0617039017763821	0.0633802068543114	0.0529090590284105	0.0513767984205222	0.05567239998255	0.0633220617223988	0.0449270466764564	0.0485436556566086	0.107778765162018	0.0496219898036569	0.0557194908052664	0.0590960441410574	0.0414102277897189	0.0510438269307969	0.0740863650584926
OM1_C_1B_2	0.0888403476848276	0.0933917291673417	0.0518898816974353	0.0996280577145361	0.0893638557036715	0.0683278789033746	0.0388329544594488	0.0587667119104192	0.0760735541025944	0	0.0525399020867122	0.0164641949111239	0.0395489929479825	0.0250012843305564	0.0170865769699092	0.0484042816913171	0.0367332028172377	0.00794427058464674	0.0502826921857946	0.0499333202415064	0.0303553976732919	0.0977460908192673	0.0590544548410257	0.0731358073299505	0.0804354061270675	0.0849512077322206	0.0158179824028629	0.0390174996081252	0.0610167656216114	0.0374832579269379	0.00604380127593714	0.0484275172180685	0.0237113420790594	0.0155756591909149	0.0393434101458297	0.0384864699035763	0.0419561554868792	0.0231840088493343	0.0512280721295984	0.0531224584371509	0.049272742726742	0.0664952331677994	0.0339664868407719	0.0305677363621077	0.0622724461992779	0.07356141439435	0.00897015344888893
