	OM1_B_B_1	OM1_B_B_2	OM1_B_C_1	OM1_B_C_2	OM1_B_C_3	OM1_C_1A_1	OM1_C_1A_2	OM1_C_1A_3	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1B_3	OM1_C_1D_2	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_1F_2	OM1_C_1F_3	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_3D_2	OM1_C_3D_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_2	OM1_H_1B_3	OM1_H_1C_1	OM1_H_1C_2	OM1_H_1C_3	OM1_H_1D_1	OM1_H_1D_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_B_B_1	0	0.015765559364107	0.00632773181155635	0.00574359414863143	0.0362347686389008	0.0386672618140824	0.0550811315130955	0.071680439735179	0.0506942284652813	0.0235261282707117	0.0707928574683318	0.0312278791358798	0.0393049893172647	0.0250647727421916	0.0786256744298552	0.04525282939073	0.0539857374789668	0.0614151696454608	0.0298613564233458	0.0318914435556587	0.0545619349461738	0.0273754869995692	0.0166439979510611	0.0277632267637008	0.0448088331901377	0.0370986810428308	0.0177280541229633	0.0303978760846069	0.0340573033569497	0.0285198009058018	0.0113083055286496	0.0710473493171203	0.0247881154618417	0.0348453573630985	0.0142301380496771	0.0404017607590744	0.0722281854729759	0.0298796406270089	0.0505800111466804	0.0728293435024526	0.0206910188981546	0.048057579781023	0.0211560608130132	0.0423947811219789	0.0731393215339911
OM1_B_B_2	0.015765559364107	0	0.0150162300263249	0.0134358950046266	0.0206389126035963	0.0248556079403878	0.0396038620426656	0.0560412049830586	0.0353296922754311	0.00779508831907512	0.0555883578061571	0.0162096398872315	0.0236971933848023	0.0105979754253377	0.0632779124180535	0.0295039547307042	0.0384615934674445	0.0460349243378784	0.0143977328954471	0.0162590363582223	0.0391282793977775	0.0122865286392033	0.00200634228906251	0.0128890200882362	0.0292832317774711	0.0214810704551994	0.00937368911274304	0.016658065771264	0.0189836538012354	0.014369789190385	0.0123514789513931	0.0553724524508211	0.00917120673442135	0.0192706985398564	0.00530081826417019	0.0248424413786104	0.056732488779286	0.0152921832865583	0.0348330245294188	0.0574736029340175	0.0063038771821191	0.0327903031195566	0.00654305413926063	0.0269521728009105	0.0576462505086419
OM1_B_C_1	0.00632773181155635	0.0150162300263249	0	0.00409535465102636	0.0341142885338704	0.0377034406152076	0.0543686038079684	0.0703586140497992	0.0489183034789552	0.0222101132301381	0.0694512183494154	0.0298830270926852	0.0379474040228923	0.0234849038213764	0.0771049703321026	0.0436512416561953	0.0522670571138559	0.0599729623049458	0.0292168739135169	0.0307236724483943	0.0533116045926393	0.0272014482080495	0.0153616271536619	0.0267126925503676	0.0439311207296373	0.0361378967283447	0.0146011339038714	0.028916751176504	0.0338062675131098	0.0277393379541242	0.00955624414070603	0.0696341847296889	0.0233455037793219	0.0326844710783848	0.0124651926443563	0.0392612910180314	0.0710045193271808	0.0286449241361987	0.0490562923171438	0.0713763852917592	0.0200317254671316	0.0464423892363737	0.0192013570894009	0.0411915501205452	0.0722031634379106
OM1_B_C_2	0.00574359414863143	0.0134358950046266	0.00409535465102636	0	0.0330946054959677	0.0375188738475894	0.0528530215575457	0.06914590287212	0.0482726815057697	0.0206810464414189	0.0687683436151797	0.0292384836178525	0.0368767259943646	0.0230675108961122	0.0763849790216198	0.0423910561555248	0.0514523711014927	0.0591891956572596	0.0278020526191237	0.029521853649594	0.0523735873165787	0.0256554027821509	0.0136575883322679	0.0259832619843755	0.0426041688640117	0.0347665499777398	0.0155654326216973	0.0288712858998078	0.0323942679970684	0.0272107254226574	0.00614037165913358	0.0684114834646534	0.0217092293207937	0.0315429605996506	0.0102706895876048	0.0381232541596028	0.0699573662957903	0.0281578129423849	0.0477357042828659	0.0706181502729463	0.0191558487946466	0.0458158155380054	0.0175277683501363	0.0402197524285198	0.0709011970580012
OM1_B_C_3	0.0362347686389008	0.0206389126035963	0.0341142885338704	0.0330946054959677	0	0.0148083720632648	0.0220346100846782	0.0365921807500775	0.0161533107616514	0.0130659860270044	0.0368133139047224	0.00873677371791044	0.00634053917203782	0.0129596272795263	0.0439271627602062	0.00991633656399636	0.0188416964779956	0.026991838962628	0.00964828832841409	0.00668198603269936	0.0205292922304324	0.0125921458632462	0.0198105331984485	0.0112652414593005	0.0123473477177366	0.00699346759167925	0.0218298741666804	0.012555069963536	0.010798124149094	0.0129340050567756	0.0302899604942495	0.0357631380470647	0.0120636287080002	0.00203716421494128	0.0231800151546134	0.00809466664209951	0.0375977269180325	0.0107388320916596	0.0152785795552479	0.0382549363526458	0.016872080666636	0.0144026053082443	0.0158912360298281	0.0098384593581591	0.0389405017965497
OM1_C_1A_1	0.0386672618140824	0.0248556079403878	0.0377034406152076	0.0375188738475894	0.0148083720632648	0	0.0230869756061861	0.0369547196832967	0.0156188653661919	0.019818338705449	0.0333017750281058	0.00973155514108998	0.0111314351934216	0.0148401518674133	0.0414436702584471	0.0167258405956444	0.0193114558548322	0.0249040516704598	0.0138879418487341	0.0126489457963857	0.0190798565986895	0.0155240531701047	0.0252401871876086	0.0122157252578222	0.0142024755972268	0.0125294132750001	0.024022919826394	0.0090269521734919	0.011737138725186	0.0105250229722182	0.0369365979783219	0.0366740522050152	0.0200856888074614	0.0162607033876912	0.0294223696165792	0.0111352212248385	0.0362174047099941	0.00982414651321296	0.0203453655008805	0.0357932219092681	0.0186671121549431	0.0126488941542604	0.0237981123972681	0.0103141101460003	0.0381526043884227
OM1_C_1A_2	0.0550811315130955	0.0396038620426656	0.0543686038079684	0.0528530215575457	0.0220346100846782	0.0230869756061861	0	0.0175462731025323	0.0127648601137731	0.032291154282306	0.0201711951987174	0.025722015150257	0.017093822912217	0.0319888480445831	0.0267194711350308	0.0125258449876098	0.0105165030020645	0.012235178116566	0.0253158382389598	0.023761287846826	0.00794168486793659	0.0277731352967809	0.0392392546834811	0.028581697367448	0.0106416441475703	0.0182682705911083	0.0423227236256049	0.0289497825473923	0.021310483101044	0.0286594635640507	0.0499373186343171	0.0171854026183343	0.0313914761221571	0.0234431614568299	0.0429272157468814	0.0155974247783865	0.0185776744929281	0.0274537006844644	0.00852769380545998	0.0212032934600451	0.035007651002226	0.0135561622834202	0.0359547166180037	0.0144854403845394	0.0183484812122378
OM1_C_1A_3	0.071680439735179	0.0560412049830586	0.0703586140497992	0.06914590287212	0.0365921807500775	0.0369547196832967	0.0175462731025323	0	0.0227869569805223	0.0485107383350559	0.0107886500199897	0.0412072190301671	0.0325407661240083	0.0475716507763814	0.0117764061619896	0.0269007428523463	0.0189262147739017	0.0127814944552195	0.0419139638022581	0.0398611148910389	0.01796433466902	0.0446145575757112	0.0555382974591654	0.0444907297558	0.0270335216810007	0.0346425032865066	0.0574783780394318	0.0437584099692909	0.0381844929435482	0.044453066178507	0.0661297344292333	0.00154868278177897	0.047531423771504	0.0381743769756866	0.059125794195535	0.0313819000518998	0.00442624806789645	0.0429261754864718	0.0216166559455376	0.00878234669656649	0.0513033607710907	0.0252780202405258	0.051893934092028	0.0296455459003737	0.00486313609849571
OM1_C_1B_1	0.0506942284652813	0.0353296922754311	0.0489183034789552	0.0482726815057697	0.0161533107616514	0.0156188653661919	0.0127648601137731	0.0227869569805223	0	0.0281579693540448	0.0209095115824003	0.0195685351049951	0.0121558926815241	0.0257838155819844	0.0282696357990194	0.00941471957386562	0.00399488947041462	0.0113274644519113	0.0219743861610672	0.0194114986463263	0.00627118989935898	0.0248695104507919	0.0349429288537134	0.0231147156576027	0.0101093453494556	0.0154290475921078	0.0352808941450583	0.0215150582257813	0.0191170560408642	0.0229948273813566	0.0460731258795952	0.0222231883684651	0.027470752155435	0.0181185418431359	0.0387159463168681	0.0115735807103268	0.0227814480737187	0.0211648779066638	0.00875714561733354	0.0225879921673042	0.0301597445214475	0.00304235365717428	0.0316308892413666	0.00925896574794358	0.0251329262416958
OM1_C_1B_2	0.0235261282707117	0.00779508831907512	0.0222101132301381	0.0206810464414189	0.0130659860270044	0.019818338705449	0.032291154282306	0.0485107383350559	0.0281579693540448	0	0.0485193048470084	0.0102560373021782	0.0163690133297023	0.00698314444818599	0.0560342601676948	0.0218188745254746	0.0310915455049201	0.0388269478515455	0.00777140348679015	0.00907299034504743	0.0319152558746874	0.00690491211410755	0.00703900406246885	0.00784626810459974	0.0220274132015954	0.014174399175053	0.0127227239744557	0.0125230720237217	0.0127374440914206	0.0102678359325265	0.0182271324450557	0.0477922506672064	0.00168897033640856	0.0116420918436366	0.0108140438166673	0.0176010592216546	0.0493760083636864	0.0102270167800069	0.0271478493799718	0.0502450368730961	0.00625761248481048	0.0257840308546394	0.00440424595933033	0.0198548188170027	0.050278305198579
OM1_C_1B_3	0.0707928574683318	0.0555883578061571	0.0694512183494154	0.0687683436151797	0.0368133139047224	0.0333017750281058	0.0201711951987174	0.0107886500199897	0.0209095115824003	0.0485193048470084	0	0.0396984419666224	0.0321894390142386	0.0460648073836439	0.00831568520628171	0.0281366838841204	0.0180903277843192	0.00986430117378126	0.0416248765712127	0.0395142103254044	0.0167638877491386	0.0442451742526009	0.0553570350187788	0.0430841392801386	0.0273833881001064	0.0348042569235027	0.0557023123571488	0.0411915129889547	0.0377122832777618	0.0424808534467063	0.0666201787849326	0.0116135265601514	0.0478432370121214	0.0386929598445469	0.0592445190567837	0.0310465125466914	0.00691398229571216	0.041075613177261	0.0238527516740129	0.00329302355878911	0.0501412684717069	0.0230998132817441	0.052201818088087	0.0287229329976591	0.0113297267193011
OM1_C_1D_2	0.0312278791358798	0.0162096398872315	0.0298830270926852	0.0292384836178525	0.00873677371791044	0.00973155514108998	0.025722015150257	0.0412072190301671	0.0195685351049951	0.0102560373021782	0.0396984419666224	0	0.0090650019422054	0.00647726807283998	0.0475004177981798	0.0158253446193026	0.0230009131317791	0.0302999455893854	0.00578246213076983	0.00447509124266363	0.0236288621570885	0.00766387236287883	0.0162037127615791	0.00360779848326708	0.0151102553984178	0.00851963921847086	0.0168213819449776	0.00466863465002695	0.00754014589552135	0.00431244342793614	0.0278647222995776	0.0406387911863576	0.0104300664839443	0.009103824272316	0.0203019471008092	0.0102199924182227	0.0414343376893325	0.00210925403301205	0.0209918577885219	0.0417188008744155	0.0106412482781673	0.016854091783663	0.0141734034926205	0.0116179160985991	0.0428746911865716
OM1_C_1E_1	0.0393049893172647	0.0236971933848023	0.0379474040228923	0.0368767259943646	0.00634053917203782	0.0111314351934216	0.017093822912217	0.0325407661240083	0.0121558926815241	0.0163690133297023	0.0321894390142386	0.0090650019422054	0	0.0152012593557638	0.0396986988416752	0.00694069805443985	0.0149015885492215	0.0224728644919495	0.00997884847898682	0.00746679054182452	0.0155675284508603	0.0129776138321968	0.0233034900610544	0.012193388655271	0.00667459877406748	0.00362774064813836	0.0253337094482023	0.0127962410411753	0.00794263754036943	0.0127976255566953	0.0344934433455182	0.0319062621567652	0.0156726207547271	0.00796153498020807	0.0271316616845766	0.00183429250371337	0.0331380246912298	0.0110407656800935	0.0119631440808523	0.0338955322823807	0.0188881317898155	0.0098791972353486	0.0200983229634833	0.00378923865021094	0.034356161899398
OM1_C_1E_2	0.0250647727421916	0.0105979754253377	0.0234849038213764	0.0230675108961122	0.0129596272795263	0.0148401518674133	0.0319888480445831	0.0475716507763814	0.0257838155819844	0.00698314444818599	0.0460648073836439	0.00647726807283998	0.0152012593557638	0	0.0538436053215752	0.0216521959875439	0.029261283184872	0.036683184235151	0.00832078002318601	0.0087390249637192	0.0300714395026777	0.00807227417415167	0.0107697034787195	0.00380697849258741	0.0213506370806782	0.0140997641040808	0.010507111273001	0.00625450908834872	0.0122484893540868	0.00527118363576518	0.0222441003080349	0.0469619515001981	0.00803533199541163	0.0124282336036215	0.0147772414785842	0.0164681415993061	0.0478670586022951	0.00526069638783564	0.0269872714559602	0.0480875630511911	0.00524713318943588	0.0231428047712588	0.00992793314886468	0.0180463629976432	0.049307312433193
