	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_B_C_3	OM1_C_1A_1	OM1_C_1A_2	OM1_C_1A_3	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1B_3	OM1_C_1D_2	OM1_C_1D_3	OM1_C_1E_3	OM1_C_1F_1	OM1_C_1F_2	OM1_C_1F_3	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3D_1	OM1_C_3D_2	OM1_C_3D_3	OM1_C_3E_2	OM1_C_3F_3	OM1_H_1B_2	OM1_H_1C_1	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_B_B_1	0	0.00905005774260316	0.00422007323141821	0.00918265946338875	0.00968150412643119	0.00902851819843823	0.0129855589812127	0.0183005109259819	0.0156162612967805	0.0238893080050702	0.0137914647458624	0.0147166352998993	0.0258140343268319	0.0331828841040536	0.0106205280286172	0.0310906637031887	0.0268213600735267	0.02368565886695	0.0243191200598551	0.0429622246013585	0.038497048878416	0.0324481767118487	0.00781327375162521	0.0102141294602972	0.00652988552938042	0.00906001853093407	0.0211191306345904	0.0261228344145051	0.0275429001169972	0.0279972429369802	0.0312694054291423	0.00955250256353928	0.0145577806208022	0.0259619482689888	0.0154928093685927	0.00706012747062167	0.0109173636636861	0.0152172368496443	0.0126262642748452	0.0319404324751558
OM1_B_B_2	0.00905005774260316	0	0.00842471728495448	0.00936217511306981	0.00126355444115995	0.000425099371157292	0.00418285658547049	0.00925358029696745	0.00677210193678271	0.0156223078915262	0.00474387142262347	0.00966763690608287	0.0172471372067292	0.0242391743395	0.0106749737425273	0.0230004481215307	0.0184335867866844	0.0146378164881582	0.0162561986711759	0.0513234007916543	0.0467712452515716	0.0404319563518111	0.00944233462321591	0.00964765641045204	0.00266316194311283	0.00131574052244575	0.0122070016322531	0.0172223764085081	0.0185069380132234	0.0189842052508025	0.0397723578994713	0.00144090949267551	0.0173924298803072	0.0173933251804229	0.00739007770232647	0.00261929722741911	0.00219752626020528	0.00656591612414666	0.00381374777662567	0.0232747199103019
OM1_B_B_3	0.00422007323141821	0.00842471728495448	0	0.0123134655258075	0.0084954182225809	0.00820800688576975	0.0115027222818679	0.0170939727251425	0.0151505397509453	0.0213474020188497	0.0127600327187187	0.0164890889329851	0.0234973027252021	0.0313212373456923	0.0138494524762211	0.0282844631290368	0.024315373180695	0.0224906199864595	0.0216170720072381	0.0461191672174328	0.0417476852392005	0.0359330419367154	0.0112216316695769	0.0132206916991582	0.00674926733619624	0.00903855225581765	0.0204718185743265	0.0242552364788454	0.0264250395726138	0.0269979260665912	0.0343670562677929	0.00825991428827401	0.0185747458507209	0.0236440815683297	0.0157332545419149	0.00757904095532222	0.00962469132649886	0.0149892463644513	0.0111909539480165	0.0296398682650886
OM1_B_C_3	0.00918265946338875	0.00936217511306981	0.0123134655258075	0	0.0106234278442907	0.00971569452053432	0.0129831796386256	0.0162897806468149	0.0126018281038925	0.024197509486056	0.0125580796425678	0.00710691068664873	0.0253776731201878	0.0311276271891714	0.00155121302642129	0.0315397717974832	0.0267734008141965	0.020859929540437	0.0249941505166087	0.0444988253628342	0.0398600059799359	0.0331985908734727	0.00161992371234724	0.00108780641183904	0.00766874148217998	0.00820532532778996	0.0174235776688502	0.0245789156810618	0.0241853022030542	0.0243487346098916	0.0334388799850846	0.0107657938720261	0.00805926475046113	0.0255152376047561	0.0109720680180764	0.00707500780333357	0.0113982851817483	0.0117963093879046	0.0126580745185039	0.0310202089594706
OM1_C_1A_1	0.00968150412643119	0.00126355444115995	0.0084954182225809	0.0106234278442907	0	0.0009245351875464	0.00330782642925103	0.00872189204819696	0.00671632597669245	0.0145840558003293	0.00428189866177267	0.0106638878551548	0.0163039866704116	0.0235053313482323	0.0119382121289435	0.021941420994083	0.0174358064967971	0.0141405229718531	0.0151741771207538	0.0522524700084886	0.0477170953484254	0.0414264577310849	0.0106750100077133	0.0109098765005066	0.00363791852537416	0.00252823709111648	0.0119772087439951	0.0164497351284424	0.0180524583875078	0.0185809210385587	0.0406620605022271	0.000301893953462402	0.0186478119213771	0.0164511340035155	0.00776662333569779	0.00377740364388451	0.00123591637745719	0.00667998850300588	0.00294591586024197	0.0223796549457031
OM1_C_1A_2	0.00902851819843823	0.000425099371157292	0.00820800688576975	0.00971569452053432	0.0009245351875464	0	0.00405984360239199	0.00928063663305634	0.00694880107187186	0.0154421817072603	0.00477818664932062	0.0100872756549035	0.0171143211474809	0.0241990808856618	0.0110461777720591	0.0228105933713119	0.0182747324637458	0.0146835751154431	0.0160527111819671	0.0514428071534522	0.046898558395654	0.040583335685329	0.00975098954332293	0.0100245780958923	0.00278041963682544	0.0017377233932309	0.0123408934917488	0.0171642688661828	0.0185701714783329	0.019065470888291	0.0398724595150947	0.00105308189017365	0.017731634712016	0.0172610036311417	0.00768908821040737	0.00285904613177309	0.00201142773562414	0.00679173535294576	0.00369062232766155	0.0231654964772208
OM1_C_1A_3	0.0129855589812127	0.00418285658547049	0.0115027222818679	0.0129831796386256	0.00330782642925103	0.00405984360239199	0	0.00559756293872904	0.00465107775719518	0.0114726946872977	0.00176872117821041	0.0111960353750738	0.01306518949132	0.0202007140046684	0.0141132966228705	0.0188608587283146	0.0142583554181516	0.0109894600246073	0.0121529661128896	0.0554936952126589	0.0509461945528378	0.0446107774164634	0.0133271058067853	0.0130500113814942	0.00683025054277017	0.00493243907703827	0.00921957663340357	0.0131422891128681	0.0149240233333743	0.0155048417969537	0.0439292378209676	0.00343707350639352	0.0210267381547054	0.0132114838811832	0.00664878110740036	0.00677275820761137	0.00207516573344915	0.00504156322115058	0.000369664371898178	0.019106568719353
OM1_C_1B_1	0.0183005109259819	0.00925358029696745	0.0170939727251425	0.0162897806468149	0.00872189204819696	0.00928063663305634	0.00559756293872904	0	0.00376451136262587	0.00864250299890963	0.00450988468931277	0.0119481942637844	0.00924910150517898	0.0151410556302872	0.0170409499040304	0.0156091880273954	0.0107701809437701	0.00541925199195854	0.00967766226045627	0.0601611716938021	0.0555684506245767	0.0490789879586828	0.0170778502014294	0.016010459708893	0.0118550746253669	0.00947392170448984	0.00406227595282067	0.00832202934105947	0.00934087048617134	0.00990783544409016	0.048738864329869	0.00891179128990254	0.0239434950694604	0.00937736326092298	0.0061107164913917	0.0115405103020275	0.00751695957556381	0.00465192183264516	0.00590345748773294	0.0147344561748575
OM1_C_1B_2	0.0156162612967805	0.00677210193678271	0.0151505397509453	0.0126018281038925	0.00671632597669245	0.00694880107187186	0.00465107775719518	0.00376451136262587	0	0.0122606649956633	0.00288545436677981	0.00832639413938921	0.013009214972568	0.018597860345722	0.0132988628006658	0.019350549586874	0.0145144671546994	0.00843422575714002	0.0132357491994533	0.0567367708729995	0.0521260786911913	0.0455764546581911	0.0134772443643433	0.0122770229765785	0.00909092814815481	0.0065569849788069	0.00550516727086081	0.011982502433189	0.0120952276658928	0.0124613635129681	0.0454050753715909	0.00698487844212115	0.020185415496668	0.0131385512532353	0.00260472883079592	0.00859175180793972	0.00576152823654201	0.000906841113571154	0.00474765100472469	0.0184481271276145
OM1_C_1B_3	0.0238893080050702	0.0156223078915262	0.0213474020188497	0.024197509486056	0.0145840558003293	0.0154421817072603	0.0114726946872977	0.00864250299890963	0.0122606649956633	0	0.0116415401145346	0.020561575945429	0.00255814311630361	0.0109243987229688	0.0251543444051544	0.00739077536212719	0.00296892216020708	0.00817648747490067	0.00115744402681933	0.0667510477575033	0.0622414590873677	0.0559913719287817	0.0247087157490418	0.0240953253848927	0.0182162108764063	0.0163899889453954	0.0107251682714338	0.00516624041450496	0.0102676512788742	0.0112097415311517	0.0551151667338497	0.0146161410695627	0.0321171785291576	0.0026758563486825	0.0147355339677857	0.0182333757382724	0.0134358626065456	0.0131674073419444	0.0118352842675476	0.00839531187306038
OM1_C_1D_2	0.0137914647458624	0.00474387142262347	0.0127600327187187	0.0125580796425678	0.00428189866177267	0.00477818664932062	0.00176872117821041	0.00450988468931277	0.00288545436677981	0.0116415401145346	0	0.00988705308116272	0.0129293167640434	0.0195533420641257	0.0135435607263281	0.0189962008998082	0.0142598912846555	0.00990567794098994	0.0124517530652415	0.0558444003930969	0.0512684391301084	0.0448428904753879	0.0131103598724011	0.0124802950742479	0.0073580625730585	0.00505175442257787	0.00773480096312805	0.0125908537367919	0.0137964689383384	0.0143071826202874	0.0443602137631327	0.00450265480307234	0.0205073873200066	0.0130712933102582	0.00495749785213166	0.00709147564770759	0.00314241337372946	0.00329326880123507	0.00187046242870379	0.0188046656709177
OM1_C_1D_3	0.0147166352998993	0.00966763690608287	0.0164890889329851	0.00710691068664873	0.0106638878551548	0.0100872756549035	0.0111960353750738	0.0119481942637844	0.00832639413938921	0.020561575945429	0.00988705308116272	0	0.0211172345687049	0.0255464696985248	0.00687070340268793	0.0275149507559163	0.0226823385119757	0.0153540459866631	0.0215542816779213	0.0510989401194533	0.0464524244478106	0.0396989866207768	0.00863250273726904	0.00620722229160013	0.00992491778742642	0.00842102583658079	0.0116651514059813	0.019628540188756	0.018156010725158	0.0181571439834841	0.0402754141117988	0.0109412463879691	0.0128827721481446	0.0212374742731126	0.00583807472829444	0.00905604755126985	0.0106766508167431	0.00742480102011273	0.011022559481731	0.0261208137345067
OM1_C_1E_3	0.0258140343268319	0.0172471372067292	0.0234973027252021	0.0253776731201878	0.0163039866704116	0.0171143211474809	0.01306518949132	0.00924910150517898	0.013009214972568	0.00255814311630361	0.0129293167640434	0.0211172345687049	0	0.0083798647001083	0.0262194416156347	0.0064101620440063	0.00164921621591741	0.00716315964533638	0.0031880394247146	0.068528442736068	0.0639897519820437	0.0576550444574327	0.0260236023663915	0.0251754598813462	0.0198915789270193	0.0178801304760837	0.0103495671704389	0.00310100840305487	0.00837225994286971	0.00930886692445796	0.0569460733725968	0.0163722431776342	0.0331517522149264	0.000147977291439892	0.0152991007207213	0.0198187663441427	0.0151064584311099	0.0139004710056883	0.0134346036362627	0.0061502389534775
OM1_C_1F_1	0.0331828841040536	0.0242391743395	0.0313212373456923	0.0311276271891714	0.0235053313482323	0.0241990808856618	0.0202007140046684	0.0151410556302872	0.018597860345722	0.0109243987229688	0.0195533420641257	0.0255464696985248	0.0083798647001083	0	0.0316655742475615	0.00873317330043326	0.00843615551751617	0.0102903553743424	0.0113260494763222	0.0752627785962401	0.0706671844144562	0.0641472240326723	0.0320678359800659	0.0306948318310437	0.0268895885697556	0.0245882528812293	0.0138992206849799	0.007080968688643	0.00767104440820327	0.00804087668115619	0.063859843560024	0.0236350210835851	0.0383230383658899	0.00825414117618918	0.0202307666690237	0.0266413655096322	0.0222699433260045	0.0193551324647971	0.0205602349815234	0.00404441161525822
OM1_C_1F_2	0.0106205280286172	0.0106749737425273	0.0138494524762211	0.00155121302642129	0.0119382121289435	0.0110461777720591	0.0141132966228705	0.0170409499040304	0.0132988628006658	0.0251543444051544	0.0135435607263281	0.00687070340268793	0.0262194416156347	0.0316655742475615	0	0.0324532592819006	0.027656138683128	0.0213787194874996	0.0259903395552398	0.0443026818762262	0.0396564416115183	0.0329344061357736	0.00283488194014755	0.00106550843997189	0.0091362595662638	0.00946531541001295	0.0178446229307477	0.0252624337708155	0.02455893024517	0.0246645874426512	0.0334120287208956	0.0120991702883111	0.00696681118746529	0.0263540859127312	0.0114387101884188	0.00850003385185055	0.0126381610758288	0.0124520278882222	0.0138030620353488	0.0317406440231169
OM1_C_1F_3	0.0310906637031887	0.0230004481215307	0.0282844631290368	0.0315397717974832	0.021941420994083	0.0228105933713119	0.0188608587283146	0.0156091880273954	0.019350549586874	0.00739077536212719	0.0189962008998082	0.0275149507559163	0.0064101620440063	0.00873317330043326	0.0324532592819006	0	0.00483963680193435	0.0132121284109883	0.00678825523633236	0.0739966425336112	0.0695110856478662	0.0633122685649232	0.0320846800324767	0.0313999024631886	0.0255775509618479	0.0237791680539409	0.0166444880101505	0.00861023378164039	0.0131703607755896	0.0139900525882195	0.0623324690067135	0.0219609047837547	0.039406013495786	0.00629652277173044	0.0216896584136633	0.0256143814768444	0.0208095466829692	0.0202495393819797	0.0192225200290887	0.00468883406526798
