	OM1_B_B_2	OM1_B_B_3	OM1_B_C_1	OM1_B_C_2	OM1_B_C_3	OM1_C_1A_1	OM1_C_1A_2	OM1_C_1A_3	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1B_3	OM1_C_1D_2	OM1_C_1D_3	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_1F_2	OM1_C_1F_3	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3D_2	OM1_C_3D_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_2	OM1_H_1B_3	OM1_H_1C_1	OM1_H_1C_2	OM1_H_1C_3	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_B_B_2	0	0.0295530048177451	0.00522150247065007	0.0127216358953142	0.0127533341377726	0.0287635909305478	0.0542417256647064	0.0574789063686398	0.0321167829301336	0.0723725182682952	0.0209969623453961	0.0078700892012954	0.0255311875264583	0.0300342979595592	0.0367512435453099	0.0298686108339217	0.00941786610916018	0.00694734463109214	0.0710299469942863	0.0316414533594948	0.0361017860497204	0.0221277284320054	0.0292897543902212	0.032877398695675	0.0667807827158958	0.0339364131509856	0.0150815025977945	0.0192983786917693	0.0185436120228208	0.0386324941825311	0.0550772236291603	0.0898175474784243	0.0371328459530341	0.0411307412369503	0.0528914761827364	0.0646797614978572	0.0628551706535831	0.0951488489449275	0.0961023989156193	0.0903458468185089	0.0320743164509066	0.0376403394525405	0.0496894579163119	0.0522177128769748	0.0438111284172963	0.11667625846857	0.035529092021861	0.0335975651215963	0.0482352879321619
OM1_B_B_3	0.0295530048177451	0	0.0335785571472376	0.0187772969938834	0.0301262838722601	0.0130151185931312	0.0276881966583607	0.0317150496037971	0.0614039262588969	0.101044992214197	0.0479309311466967	0.0372359087015167	0.0103263693700393	0.0107685489427831	0.0171388338753775	0.013324686623338	0.038046009105274	0.0310994571012833	0.0441107988395763	0.05922901621077	0.0628589777858741	0.0482709346448208	0.0100480754950516	0.0105209343013072	0.0385589235518422	0.0627188459057137	0.0432283729316944	0.0428814026651142	0.0131421701506754	0.00978082576207121	0.0283381030160944	0.0619514483019629	0.0636922203193035	0.0673680451939277	0.0792708463823217	0.0387062273865847	0.0349831925343799	0.0713940802973712	0.0701408830551702	0.0617366836108728	0.0142706166465212	0.0110466800226081	0.0229867866584991	0.0296466041162295	0.0184911834534154	0.0909665630810737	0.00968591290322458	0.00846650438878654	0.0203013604339687
OM1_B_C_1	0.00522150247065007	0.0335785571472376	0	0.0166242050825436	0.0108754419879641	0.0335741514840649	0.0588513474818863	0.0621207537819652	0.0283913488647249	0.0683188829953216	0.0158899375081	0.00525728419264367	0.0290982671889764	0.0345785572170021	0.0416588704216417	0.0325092866084868	0.00520438294057249	0.0047543291690211	0.0757388312899213	0.0269586002789862	0.0312798990097116	0.0170944488176987	0.0340354623538045	0.0375367397701555	0.0713247928161553	0.0297605157503767	0.0101831373551548	0.0147394166834219	0.0229785246307479	0.0425475562856022	0.0596122864705701	0.0944046911600264	0.0323231824187222	0.036230874446645	0.0478858733753463	0.0695163588874337	0.067381976485248	0.100031819643152	0.100933221873689	0.0948184216622124	0.0367503495101604	0.0419634215418377	0.0543626831200821	0.057172984069333	0.0484242799435976	0.12152506767606	0.0400545110491825	0.0380365084477788	0.0527888151217363
OM1_B_C_2	0.0127216358953142	0.0187772969938834	0.0166242050825436	0	0.0163153878330371	0.0193340772156416	0.0428792125599501	0.0469619072615861	0.0444689966837042	0.0847464603813512	0.0314987757087614	0.0197623768220035	0.0130087804942373	0.0194238021256899	0.0274845839603518	0.0187034855969969	0.0215867264721266	0.0144753769086516	0.0600575094109938	0.0434646507710078	0.0472639233125539	0.0324925791589826	0.0193583094882337	0.0225437172015064	0.05565407957433	0.0462907886373861	0.0264755646686076	0.0267157481574793	0.00767650480920955	0.0269049296559533	0.0435723329832099	0.0787033468675587	0.0484513262023654	0.0519860698936897	0.0637671857213838	0.0543518005294044	0.0521528659256455	0.0850642052483597	0.0854299975765175	0.07908634273028	0.021232556479773	0.0258596147410531	0.0387943311066878	0.0423253113713366	0.0327018984320964	0.106760774661053	0.0249576729221825	0.0221595120571139	0.0373684669170988
OM1_B_C_3	0.0127533341377726	0.0301262838722601	0.0108754419879641	0.0163153878330371	0	0.0334275511787185	0.0566376628711584	0.0600630388885403	0.0359808467438653	0.0740811786204861	0.0193698659930226	0.0155682805820072	0.0254005557384932	0.0331664625915209	0.0415543169438192	0.0265322525592779	0.0139352336014511	0.0066501264050777	0.0735984027705377	0.0311862157028247	0.0345309668790896	0.0196989005209676	0.0332283750612532	0.0361654450286879	0.0685746121382254	0.036059687659607	0.0165157044226941	0.014857234501939	0.0222225318956169	0.0383348356284835	0.0571179215602682	0.0915335867516582	0.0353014078523676	0.0387141151790266	0.0499235378063426	0.0680500012167182	0.0645245634801357	0.0992643483810037	0.0993300426940726	0.091524726301911	0.0361368551621004	0.0391479816331798	0.0523648520346183	0.056867413729007	0.0465053135632347	0.120022845408004	0.0379070489969869	0.0357631260991732	0.0503317097758637
OM1_C_1A_1	0.0287635909305478	0.0130151185931312	0.0335741514840649	0.0193340772156416	0.0334275511787185	0	0.0265574477580874	0.0289577369085543	0.0593576180137508	0.0995851451654523	0.0493064891308339	0.0356159263477637	0.0156372236972053	0.00432974648864123	0.00834613454576756	0.0236407913262647	0.0375749034646126	0.0321347343279333	0.0428815124224797	0.0595717685248903	0.0645135443384832	0.0502179968406865	0.00331711861442487	0.00568744961576067	0.040474766217833	0.061756716239957	0.0437171137418229	0.0456697470420902	0.0118092729213233	0.0178662606638705	0.0275044974885767	0.0618672320800521	0.0652511575113224	0.0694403708094597	0.0810092201799121	0.0365082352733921	0.0353084321902438	0.0666929278704632	0.067663533236345	0.0635573526803241	0.00625607788916548	0.0132357523324292	0.022079560603161	0.0238446061291519	0.0159942312144723	0.0883124752169958	0.00964852664588098	0.00928224645798686	0.0222562323197752
OM1_C_1A_2	0.0542417256647064	0.0276881966583607	0.0588513474818863	0.0428792125599501	0.0566376628711584	0.0265574477580874	0	0.00886371976806948	0.0855807472427016	0.125786934675849	0.0740775730434133	0.0614124731414121	0.0324381818618637	0.0248073456632771	0.0202307592186697	0.0356135715935019	0.0632759010206639	0.0567433582324642	0.0174430123860791	0.0852206146406188	0.0894444110408435	0.0747983743382708	0.0254464189963273	0.0218910702062251	0.016420547829122	0.0878290453163583	0.0689337501480841	0.0689682598121203	0.0359473478331854	0.0205251175558024	0.00200759068586157	0.0361548920038971	0.0903332020443881	0.0941347362674593	0.105899263450817	0.0139788187516066	0.0126616168972176	0.0445787624994135	0.0430739412548951	0.0379247774593855	0.0231497727971885	0.0176203674435188	0.00621554202063837	0.0114142428966325	0.0107043894619339	0.0651669470378135	0.0197071407220487	0.0210255822696448	0.0104320197983059
OM1_C_1A_3	0.0574789063686398	0.0317150496037971	0.0621207537819652	0.0469619072615861	0.0600630388885403	0.0289577369085543	0.00886371976806948	0	0.0880475327018705	0.127885884432612	0.0775295236484485	0.064451846652976	0.0374316554621114	0.0277590016938068	0.0216521517495659	0.0412309487860998	0.0661621335401481	0.0601427379459151	0.0155080859520064	0.0878044980304768	0.0926688701714166	0.0782331516120493	0.028308776746587	0.0247208891641196	0.0186060198058879	0.0903394960390782	0.0722374272871481	0.0731531651536064	0.03953239922055	0.0256820611033465	0.00896730068051359	0.0336304342897698	0.0932590523776131	0.0974256752609959	0.108891858309154	0.0109077379308175	0.00975137173164438	0.0402670732843744	0.0398946680568798	0.0372300172075088	0.0268063582273421	0.0226711641108614	0.0105253296650114	0.0108100619600617	0.0146947333450595	0.0604772523925238	0.022774345500038	0.0253187549130941	0.0150743538702231
OM1_C_1B_1	0.0321167829301336	0.0614039262588969	0.0283913488647249	0.0444689966837042	0.0359808467438653	0.0593576180137508	0.0855807472427016	0.0880475327018705	0	0.0407553526498928	0.0196006838952392	0.0247653698736468	0.0572389297825515	0.0611881951237726	0.0668627581709202	0.0606828639058052	0.0236685369199145	0.031998025050885	0.101987670921961	0.0124219979189281	0.0180618967006472	0.020692806313667	0.0604308515573053	0.0640723829427276	0.0983066743567653	0.00592666584514643	0.0202261634535549	0.0280997997219019	0.0502913512694608	0.0706061613365895	0.0864666187294876	0.12088470306032	0.0182680518928636	0.0221084637209642	0.0294505895072648	0.0951945897076283	0.0939506697120998	0.124031408593074	0.126230627634371	0.121814979897496	0.062942520748576	0.0694954103007917	0.0809788607023816	0.0821030544112098	0.0750643492670281	0.145901019200758	0.0669759159255051	0.0653704583167284	0.0797902066062681
OM1_C_1B_2	0.0723725182682952	0.101044992214197	0.0683188829953216	0.0847464603813512	0.0740811786204861	0.0995851451654523	0.125786934675849	0.127885884432612	0.0407553526498928	0	0.0557071440213041	0.06527596734818	0.0972685922360178	0.101478091467309	0.106857336067393	0.0996511427789639	0.0634915056314067	0.0714879621350205	0.141871822784467	0.0431014159379298	0.0421211022768692	0.0555929136803887	0.100581066922431	0.104205651240514	0.137951836943346	0.0386213343111382	0.0589772633751433	0.0639496375830333	0.0906525987694559	0.110356626015839	0.12669348780321	0.160528769595545	0.0409857789962021	0.0400577921333486	0.0324544350088859	0.134850876717006	0.133527235369125	0.163308537052939	0.165801999265638	0.16127954866868	0.103430788856035	0.109705179228028	0.120987578935357	0.122010263001465	0.115299471412171	0.184507263404365	0.106945485316149	0.105590602725443	0.119564972900619
