	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_B_C_2	OM1_B_C_3	OM1_C_1A_1	OM1_C_1A_2	OM1_C_1B_2	OM1_C_1D_2	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2F_1	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2H_1	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_2	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_B_B_1	0	0.0316368017204282	0.00117829982679428	0.0160772754943073	0.0235062479240203	0.0398454815142228	0.0464883318543753	0.0279977531974644	0.00623080232112229	0.0142431132774287	0.00514872021466645	0.0102183148944343	0.0178988434995611	0.00700676620813955	0.0102626485027186	0.0500340893222131	0.0140607729414594	0.00612022307271632	0.00229599078894083	0.014401412732887	0.00796160506597754	0.0165139550698025	0.0266433693193565	0.020202252038504	0.0121833244393544	0.0336242875699636	0.00674280664914662	0.00829942778812475	0.0222345552215002	0.00514627941041101	0.00823665486258632	0.0141676596612446
OM1_B_B_2	0.0316368017204282	0	0.0313171539786614	0.0470601518533693	0.0545266711672166	0.0708020738955517	0.0778153599720102	0.00760725017626214	0.0373653656433726	0.0185942263992824	0.0264931364319211	0.0413197643415802	0.0490790243891016	0.0384433050968203	0.0399942657016258	0.0813366499338216	0.0181269262878482	0.0344841156831725	0.0319474192503638	0.0449457607840269	0.039315265458916	0.0470999636607439	0.0572052769873794	0.0516792060134448	0.0357859898754171	0.00908782317757561	0.0250402012308096	0.0247615659793421	0.009480904473351	0.0267954781378239	0.0398280327179339	0.0456659884647054
OM1_B_B_3	0.00117829982679428	0.0313171539786614	0	0.0168081944662833	0.0241823996822726	0.0404856594505851	0.0470215665537977	0.0274339082574781	0.00616894254426439	0.0143124818246042	0.0049772764922079	0.0109837653142814	0.018562953772346	0.00769314776277564	0.0112719189941449	0.0505697718113343	0.0135323460872548	0.00729278514852536	0.00345981731313319	0.0152388786145242	0.00804362794033047	0.0173233698498211	0.0273949043828725	0.0207381638793466	0.0133536460279166	0.0330082223728309	0.00671756350766519	0.00863710096960378	0.0218721923285019	0.00530639992149802	0.00852749448141785	0.0147241515345098
OM1_B_C_2	0.0160772754943073	0.0470601518533693	0.0168081944662833	0	0.0074931084420647	0.02385757437757	0.0308236849147967	0.0439881061921628	0.0124912813620745	0.0286952548779408	0.0209445860821884	0.00586699708853533	0.00216433132599789	0.00911656879361526	0.0074051690442569	0.0343437139640872	0.0300634558148491	0.0127290388003046	0.015224207331481	0.00249408171547983	0.010829603703134	0.00154453164615507	0.0105920324260175	0.0054082795914707	0.0145737700380007	0.0496574664778665	0.0221531258667534	0.0223738442524854	0.037878681677761	0.0203768559052564	0.00943582510529682	0.00338203034316944
OM1_B_C_3	0.0235062479240203	0.0545266711672166	0.0241823996822726	0.0074931084420647	0	0.0163694567324517	0.0234033421301627	0.0514534668021941	0.0193585174240529	0.0361165719769261	0.02842382161093	0.0133375717663736	0.00562217318950261	0.0165072345638434	0.0146684205827059	0.0269063565383675	0.0375269759642084	0.0201240209596592	0.0227150783860756	0.00963479705306563	0.0174929462295689	0.0075225198769406	0.00377753001078847	0.00456345942032692	0.0210164504715715	0.0571040116745682	0.0296439779968764	0.0298179436030594	0.0453647609471162	0.0278680227845862	0.0162895663216107	0.00966086474107018
OM1_C_1A_1	0.0398454815142228	0.0708020738955517	0.0404856594505851	0.02385757437757	0.0163694567324517	0	0.00800402155464089	0.0677909466237106	0.0353564692849517	0.052331442406646	0.0447831513021612	0.0297034190411117	0.0219553333738836	0.0328432413162257	0.0308601369600653	0.0111380584534332	0.0538736093329939	0.0363641966552581	0.0390751694130566	0.0258949894582428	0.0334061554762723	0.0237377651614825	0.013706993016814	0.019924395682666	0.0363521757534584	0.0734224825362231	0.0459962885197104	0.0460817112936464	0.0616959463333739	0.0442210798879567	0.0323525773609876	0.0258097948081935
OM1_C_1A_2	0.0464883318543753	0.0778153599720102	0.0470215665537977	0.0308236849147967	0.0234033421301627	0.00800402155464089	0	0.0744112700657277	0.0415240155549143	0.05948829625724	0.0515405546009563	0.036551160652039	0.0287850010192125	0.0395254063130579	0.038064776248123	0.00355289527976241	0.0605206299445431	0.0435137254210632	0.0459386652595321	0.0330347319920679	0.039530527581971	0.0309168178153998	0.0212570107637824	0.0262999674568189	0.0439816550449109	0.0799435582038317	0.0528660656408527	0.0531809146966562	0.0685814325250645	0.0510981792145842	0.0386410955882736	0.0323303731163003
OM1_C_1B_2	0.0279977531974644	0.00760725017626214	0.0274339082574781	0.0439881061921628	0.0514534668021941	0.0677909466237106	0.0744112700657277	0	0.0331223404148665	0.0173456521900179	0.0230573345502332	0.0381306833031035	0.0458695544249903	0.0349973274336493	0.0373899907483753	0.0779538789446781	0.0139427635326033	0.031965648953667	0.0288124803190081	0.0421069625391462	0.0351216325353446	0.0442640354325601	0.0544525485637021	0.0481575012211755	0.0345754578478345	0.00581724242621083	0.0219763219993626	0.0225821212527173	0.00730090916487675	0.023737013440429	0.035870788345607	0.0421394141219296
OM1_C_1D_2	0.00623080232112229	0.0373653656433726	0.00616894254426439	0.0124912813620745	0.0193585174240529	0.0353564692849517	0.0415240155549143	0.0331223404148665	0	0.0204367860966351	0.011145845987637	0.00745448054213563	0.0138348986521288	0.00461181125195797	0.00956857877532514	0.045071267967168	0.0193898959691464	0.00890561589339678	0.00732400898355773	0.0116630883825015	0.00200317991440152	0.0134268467473359	0.0228649558697782	0.0154374459551639	0.015084391839241	0.0385508000474425	0.0128671841628291	0.0145196664313151	0.0278962375880938	0.0113553488479054	0.00308136663592892	0.00970209047658804
OM1_C_1E_1	0.0142431132774287	0.0185942263992824	0.0143124818246042	0.0286952548779408	0.0361165719769261	0.052331442406646	0.05948829625724	0.0173456521900179	0.0204367860966351	0	0.00939934194679864	0.0230919114948713	0.030770566274417	0.020486007823734	0.0214894133226778	0.0629948068380704	0.00728629886829103	0.0159989216344936	0.0139452179351028	0.026491734356766	0.0222032487464189	0.0286321660600639	0.0386822288154157	0.0335460956814764	0.0174127892904419	0.0231109504980367	0.00760241843597776	0.00634907603919202	0.0101743752691073	0.00909723338758219	0.0223762097998296	0.0276167346260882
