	OM1_B_C_2	OM1_C_1A_2	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1F_1	OM1_C_2G_2	OM1_C_2H_3	OM1_C_3E_2	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1C_1	OM1_H_1D_1
OM1_B_C_2	0	0.02526419941321	0.0131640745782939	0.0336457418840059	0.0127216078298036	0.0736253853763112	0.0204750357216386	0.0371882859656975	0.0258216682194058	0.025724342471506	0.0256161141549027	0.0193191735115556
OM1_C_1A_2	0.02526419941321	0	0.0160852412325983	0.0139931807031648	0.0142152829006592	0.0653745741254423	0.00847134953549928	0.0141948463407029	0.0127986944068857	0.00673226126095477	0.00729554171712897	0.0122200811603731
OM1_C_1E_1	0.0131640745782939	0.0160852412325983	0	0.0255163402518195	0.00534131782589007	0.0710335174180642	0.0128514364510341	0.0267121168194223	0.0175068086476358	0.0175136545812337	0.0166957202560723	0.0121515442732135
OM1_C_1E_2	0.0336457418840059	0.0139931807031648	0.0255163402518195	0	0.0220163635932451	0.0765669589439312	0.0134041967178622	0.00847883680817321	0.00972529456626576	0.00870440900342189	0.00893594875085397	0.0150127142082305
OM1_C_1F_1	0.0127216078298036	0.0142152829006592	0.00534131782589007	0.0220163635932451	0	0.072562848066106	0.00880326808637398	0.0247292467897356	0.0139571673150998	0.014074620010608	0.0135097084777815	0.00777169528609944
OM1_C_2G_2	0.0736253853763112	0.0653745741254423	0.0710335174180642	0.0765669589439312	0.072562848066106	0	0.0723980879569719	0.0736928409333183	0.0781306109501158	0.0716086925052238	0.0726026915709547	0.0758662597992848
OM1_C_2H_3	0.0204750357216386	0.00847134953549928	0.0128514364510341	0.0134041967178622	0.00880326808637398	0.0723980879569719	0	0.0170777039423576	0.0072563302835275	0.00544481910304703	0.00522714375447574	0.00400743136341805
OM1_C_3E_2	0.0371882859656975	0.0141948463407029	0.0267121168194223	0.00847883680817321	0.0247292467897356	0.0736928409333183	0.0170777039423576	0	0.0139913119350725	0.012304550582332	0.0118733644502644	0.0190709057527601
OM1_C_3F_2	0.0258216682194058	0.0127986944068857	0.0175068086476358	0.00972529456626576	0.0139571673150998	0.0781306109501158	0.0072563302835275	0.0139913119350725	0	0.00707402761568778	0.00568195439120399	0.00652157699181571
OM1_C_3F_3	0.025724342471506	0.00673226126095477	0.0175136545812337	0.00870440900342189	0.014074620010608	0.0716086925052238	0.00544481910304703	0.012304550582332	0.00707402761568778	0	0.00202943293308307	0.00854923751809669
OM1_H_1C_1	0.0256161141549027	0.00729554171712897	0.0166957202560723	0.00893594875085397	0.0135097084777815	0.0726026915709547	0.00522714375447574	0.0118733644502644	0.00568195439120399	0.00202943293308307	0	0.00773520436737978
OM1_H_1D_1	0.0193191735115556	0.0122200811603731	0.0121515442732135	0.0150127142082305	0.00777169528609944	0.0758662597992848	0.00400743136341805	0.0190709057527601	0.00652157699181571	0.00854923751809669	0.00773520436737978	0
