	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_B_C_1	OM1_B_C_2	OM1_B_C_3	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1B_3	OM1_C_1D_3	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_2A_3	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_2	OM1_C_3F_3
OM1_B_B_1	0	0.0291413904069881	0.0330955288107433	0.0204518369364407	0.00810403473719995	0.0121323941192579	0.0285735441666748	0.0543706404770877	0.0596673339895377	0.0767045199087397	0.0248526128720943	0.0552800667897098	0.0725473490323974	0.0653909171590886	0.0185385837777896	0.0049127305083428	0.0352491876599103	0.0428414432434166	0.0283475487415875	0.00278459600938581	0.0551280626719235	0.0269888147094679	0.0061805897590441	0.0440520322742369	0.0378562916877372	0.061520273473876
OM1_B_B_2	0.0291413904069881	0	0.00751904468882292	0.0132545014066252	0.0342891800194036	0.0204620655001907	0.00144890696991376	0.0264103359735251	0.0310870060952833	0.0476393583564071	0.0108754716055062	0.0264624684146806	0.0435350925999915	0.0364600247321649	0.0159602482603085	0.0332370395402639	0.00614081284843539	0.0713821808184668	0.0562191840745167	0.0312864865592188	0.026708157104268	0.00585007012021981	0.0271312503730618	0.0150933868206371	0.0107584708656347	0.0341415687576258
OM1_B_B_3	0.0330955288107433	0.00751904468882292	0	0.013737797430096	0.0368703187687123	0.0224843806681977	0.00668161138132035	0.0271874952097952	0.0306433534998483	0.0445033551423156	0.00953647349082836	0.0257472979346147	0.0415789268187053	0.0349904268523187	0.0164776075761087	0.036570662383695	0.00674118667610513	0.0739245765424972	0.0584740569883298	0.0348371468916517	0.0267914203631873	0.00611961176836982	0.0298213489464681	0.0122361977985207	0.0147267714879626	0.0351286086255055
OM1_B_C_1	0.0204518369364407	0.0132545014066252	0.013737797430096	0	0.0232572972383782	0.00890371096056124	0.0119861699745329	0.0393663458628892	0.0435918632005486	0.0582239333299071	0.0044900213510959	0.0387895682983201	0.0551590820772591	0.0484069352942814	0.0028159581098864	0.0233181748235839	0.0181513169566971	0.0602370521550817	0.0447582908788689	0.0217771801389229	0.0394154470184466	0.00830752152424613	0.0163451734322364	0.0258067405339542	0.024000727032897	0.0472009404983412
OM1_B_C_2	0.00810403473719995	0.0342891800194036	0.0368703187687123	0.0232572972383782	0	0.0143944014865504	0.0334636199004023	0.0603378303521141	0.0653038061316953	0.0812253170842165	0.0277137158225233	0.0607241765720157	0.077677213945074	0.0706854929153543	0.0207204211326826	0.00389540165315427	0.0401812451824686	0.0372118370466539	0.0219543258894779	0.00546494495427137	0.0608631872168115	0.0309967745536873	0.00716770050746473	0.0485960437802255	0.0439075865793652	0.0677574180578102
OM1_B_C_3	0.0121323941192579	0.0204620655001907	0.0224843806681977	0.00890371096056124	0.0143944014865504	0	0.0194762667621029	0.0468380605709201	0.0514919671810857	0.0669058424184718	0.0133886368194077	0.0468002947216854	0.0635402420738763	0.0566394264339031	0.00656459483626934	0.014478352306539	0.0261100303904801	0.0515124532619097	0.0361046773834728	0.0130659896897614	0.047151876853943	0.0166650554169461	0.00744712303556195	0.0343103595029949	0.0307150607675176	0.0544895794984024
OM1_C_1B_1	0.0285735441666748	0.00144890696991376	0.00668161138132035	0.0119861699745329	0.0334636199004023	0.0194762667621029	0	0.027502241433191	0.0320316228368821	0.0481815726343759	0.00944765887792889	0.027346933036044	0.0442792922304195	0.0372665916905055	0.0147292353031735	0.0325508339138442	0.00673430496204517	0.07060454496436	0.0553774303586689	0.030638606708953	0.0277090623913564	0.00440324492595218	0.0262990575927002	0.0154998215147311	0.0120968689626247	0.0352844657029614
OM1_C_1B_2	0.0543706404770877	0.0264103359735251	0.0271874952097952	0.0393663458628892	0.0603378303521141	0.0468380605709201	0.027502241433191	0	0.00621759358534304	0.0268246894277766	0.0360173910092275	0.0052974324927582	0.0200842880773454	0.0129088202930679	0.0421553906598241	0.0588561981500321	0.0212999447082334	0.0970561667125172	0.0821936079090805	0.0567924605530348	0.00247591317502407	0.0311486910218988	0.0532500896806008	0.0163171356307304	0.0165319846947995	0.00794562992981503
OM1_C_1B_3	0.0596673339895377	0.0310870060952833	0.0306433534998483	0.0435918632005486	0.0653038061316953	0.0514919671810857	0.0320316228368821	0.00621759358534304	0	0.0206776838466383	0.0399131651617829	0.00491300092138547	0.013889596867237	0.00669548097215941	0.046404025369357	0.0640325202902801	0.0254781656168067	0.102212252303977	0.0871935556524954	0.062006863612782	0.00461553859812789	0.0352921609710459	0.0581694405271117	0.0187390044426725	0.0219732333972796	0.00729382514697919
OM1_C_1D_3	0.0767045199087397	0.0476393583564071	0.0445033551423156	0.0582239333299071	0.0812253170842165	0.0669058424184718	0.0481815726343759	0.0268246894277766	0.0206776838466383	0	0.0539407747945222	0.0231785586699176	0.00819259706731373	0.0140542890501669	0.0609420919644456	0.0806185507330804	0.0415140278679896	0.118225603220684	0.102850520831247	0.07874868695803	0.0247803519653757	0.0502868659662658	0.0741253601278525	0.0327462604543974	0.0407309445320953	0.024965119063021
OM1_C_1E_1	0.0248526128720943	0.0108754716055062	0.00953647349082836	0.0044900213510959	0.0277137158225233	0.0133886368194077	0.00944765887792889	0.0360173910092275	0.0399131651617829	0.0539407747945222	0	0.0350545603711865	0.0511027025676571	0.0444722254690891	0.00704361142731712	0.0278044674168839	0.0147352574252933	0.0646033687829963	0.0490989341424564	0.0262463197287539	0.0358773384464994	0.00510501798792767	0.0208324914581443	0.0217508609809003	0.0214514040072302	0.043925650920474
OM1_C_1E_2	0.0552800667897098	0.0264624684146806	0.0257472979346147	0.0387895682983201	0.0607241765720157	0.0468002947216854	0.027346933036044	0.0052974324927582	0.00491300092138547	0.0231785586699176	0.0350545603711865	0	0.0174816084543851	0.0101795874055375	0.0416032391817932	0.059564488102081	0.0207218076179181	0.0977216527172503	0.0826213422681643	0.0575638459960926	0.00288378246988456	0.0304872489955069	0.0535752499881906	0.0138335862699854	0.0179222156588079	0.0109706864005626
OM1_C_1E_3	0.0725473490323974	0.0435350925999915	0.0415789268187053	0.0551590820772591	0.077677213945074	0.0635402420738763	0.0442792922304195	0.0200842880773454	0.013889596867237	0.00819259706731373	0.0511027025676571	0.0174816084543851	0	0.0073406111712006	0.0579481166069641	0.0767192373766688	0.0375540678012682	0.114712588482081	0.099501063831853	0.074759271253671	0.0183941772319187	0.046956824983088	0.0705294101052844	0.0293805377764653	0.0353958975681312	0.0170433889168007
OM1_C_2A_3	0.0653909171590886	0.0364600247321649	0.0349904268523187	0.0484069352942814	0.0706854929153543	0.0566394264339031	0.0372665916905055	0.0129088202930679	0.00669548097215941	0.0140542890501669	0.0444722254690891	0.0101795874055375	0.0073406111712006	0	0.0512120717826522	0.0696249057992457	0.0305651019272816	0.107707391549545	0.0925516396892744	0.0676428768219919	0.0110886485659918	0.0401427833117781	0.0635338840816324	0.0227647805357164	0.0280779353544505	0.0115557264804627
OM1_C_2F_1	0.0185385837777896	0.0159602482603085	0.0164776075761087	0.0028159581098864	0.0207204211326826	0.00656459483626934	0.0147292353031735	0.0421553906598241	0.046404025369357	0.0609420919644456	0.00704361142731712	0.0416032391817932	0.0579481166069641	0.0512120717826522	0	0.0210353641590553	0.0209609341789895	0.0575723419128493	0.0420662914376529	0.0196210181068705	0.0422218608871362	0.0111232458044368	0.0139696335099417	0.028593649720553	0.0266753478472655	0.0499768101069146
OM1_C_2F_2	0.0049127305083428	0.0332370395402639	0.036570662383695	0.0233181748235839	0.00389540165315427	0.014478352306539	0.0325508339138442	0.0588561981500321	0.0640325202902801	0.0806185507330804	0.0278044674168839	0.059564488102081	0.0767192373766688	0.0696249057992457	0.0210353641590553	0	0.039274609341427	0.0383179441742237	0.0235692569477403	0.00215485523078293	0.0595270066465699	0.0305395160094244	0.0071079714668027	0.0479299406268643	0.0423504075305232	0.0661068721735518
OM1_C_2F_3	0.0352491876599103	0.00614081284843539	0.00674118667610513	0.0181513169566971	0.0401812451824686	0.0261100303904801	0.00673430496204517	0.0212999447082334	0.0254781656168067	0.0415140278679896	0.0147352574252933	0.0207218076179181	0.0375540678012682	0.0305651019272816	0.0209609341789895	0.039274609341427	0	0.0773167890938859	0.0620772368023446	0.0373517958791288	0.0212721215406423	0.00987137583163442	0.0330185074729385	0.00898446409403994	0.00805484805909763	0.0292018379034373
OM1_C_2G_1	0.0428414432434166	0.0713821808184668	0.0739245765424972	0.0602370521550817	0.0372118370466539	0.0515124532619097	0.07060454496436	0.0970561667125172	0.102212252303977	0.118225603220684	0.0646033687829963	0.0977216527172503	0.114712588482081	0.107707391549545	0.0575723419128493	0.0383179441742237	0.0773167890938859	0	0.0155827487234019	0.0403771269536951	0.097729156464729	0.0681418446977956	0.0443651998173651	0.0857250734557065	0.0805897572897494	0.104221302722931
OM1_C_2G_2	0.0283475487415875	0.0562191840745167	0.0584740569883298	0.0447582908788689	0.0219543258894779	0.0361046773834728	0.0553774303586689	0.0821936079090805	0.0871935556524954	0.102850520831247	0.0490989341424564	0.0826213422681643	0.099501063831853	0.0925516396892744	0.0420662914376529	0.0235692569477403	0.0620772368023446	0.0155827487234019	0	0.0257047309726743	0.082752515987715	0.0527523972254708	0.029110785255675	0.0703726514159568	0.0657488060919621	0.0895305658141366
OM1_C_2G_3	0.00278459600938581	0.0312864865592188	0.0348371468916517	0.0217771801389229	0.00546494495427137	0.0130659896897614	0.030638606708953	0.0567924605530348	0.062006863612782	0.07874868695803	0.0262463197287539	0.0575638459960926	0.074759271253671	0.0676428768219919	0.0196210181068705	0.00215485523078293	0.0373517958791288	0.0403771269536951	0.0257047309726743	0	0.0574898848967495	0.0287708774985692	0.00601689590422044	0.0460625966441193	0.0402805429525408	0.0640148120739847
OM1_C_2H_3	0.0551280626719235	0.026708157104268	0.0267914203631873	0.0394154470184466	0.0608631872168115	0.047151876853943	0.0277090623913564	0.00247591317502407	0.00461553859812789	0.0247803519653757	0.0358773384464994	0.00288378246988456	0.0183941772319187	0.0110886485659918	0.0422218608871362	0.0595270066465699	0.0212721215406423	0.097729156464729	0.082752515987715	0.0574898848967495	0	0.0311347105132782	0.0537399291815185	0.015348040466953	0.0173758870758962	0.00875530863625999
OM1_C_3E_1	0.0269888147094679	0.00585007012021981	0.00611961176836982	0.00830752152424613	0.0309967745536873	0.0166650554169461	0.00440324492595218	0.0311486910218988	0.0352921609710459	0.0502868659662658	0.00510501798792767	0.0304872489955069	0.046956824983088	0.0401427833117781	0.0111232458044368	0.0305395160094244	0.00987137583163442	0.0681418446977956	0.0527523972254708	0.0287708774985692	0.0311347105132782	0	0.0238885506238468	0.01765365980174	0.0163472899498747	0.0390244463824371
OM1_C_3E_2	0.0061805897590441	0.0271312503730618	0.0298213489464681	0.0163451734322364	0.00716770050746473	0.00744712303556195	0.0262990575927002	0.0532500896806008	0.0581694405271117	0.0741253601278525	0.0208324914581443	0.0535752499881906	0.0705294101052844	0.0635338840816324	0.0139696335099417	0.0071079714668027	0.0330185074729385	0.0443651998173651	0.029110785255675	0.00601689590422044	0.0537399291815185	0.0238885506238468	0	0.0414616291880625	0.0368572410016789	0.0607249303737281
OM1_C_3E_3	0.0440520322742369	0.0150933868206371	0.0122361977985207	0.0258067405339542	0.0485960437802255	0.0343103595029949	0.0154998215147311	0.0163171356307304	0.0187390044426725	0.0327462604543974	0.0217508609809003	0.0138335862699854	0.0293805377764653	0.0227647805357164	0.028593649720553	0.0479299406268643	0.00898446409403994	0.0857250734557065	0.0703726514159568	0.0460625966441193	0.015348040466953	0.01765365980174	0.0414616291880625	0	0.0120548335780149	0.0240461503122391
OM1_C_3F_2	0.0378562916877372	0.0107584708656347	0.0147267714879626	0.024000727032897	0.0439075865793652	0.0307150607675176	0.0120968689626247	0.0165319846947995	0.0219732333972796	0.0407309445320953	0.0214514040072302	0.0179222156588079	0.0353958975681312	0.0280779353544505	0.0266753478472655	0.0423504075305232	0.00805484805909763	0.0805897572897494	0.0657488060919621	0.0402805429525408	0.0173758870758962	0.0163472899498747	0.0368572410016789	0.0120548335780149	0	0.0238939141900048
OM1_C_3F_3	0.061520273473876	0.0341415687576258	0.0351286086255055	0.0472009404983412	0.0677574180578102	0.0544895794984024	0.0352844657029614	0.00794562992981503	0.00729382514697919	0.024965119063021	0.043925650920474	0.0109706864005626	0.0170433889168007	0.0115557264804627	0.0499768101069146	0.0661068721735518	0.0292018379034373	0.104221302722931	0.0895305658141366	0.0640148120739847	0.00875530863625999	0.0390244463824371	0.0607249303737281	0.0240461503122391	0.0238939141900048	0
