	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_B_C_1	OM1_B_C_2	OM1_B_C_3	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2H_2	OM1_C_3D_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3F_1	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1D_3	OM1_H_1G_2	OM1_H_1G_3
OM1_B_B_1	0	0.0284731698020246	0.00489340143427086	0.023924108685855	0.0114699589119823	0.0253773611793917	0.0142786543506846	0.0159521860771337	0.0214714175544371	0.0132971764131484	0.0163563378474148	0.0077214785484985	0.00283377514566002	0.0144427646719847	0.00952248336246623	0.0173565098852997	0.00729817572665321	0.0231641834350836	0.0065703457304946
OM1_B_B_2	0.0284731698020246	0	0.0299306873725721	0.00621950980378502	0.0170673765964642	0.00743359658678843	0.0427429477058965	0.029411303152285	0.0132576738325967	0.0202248022166244	0.044313710391509	0.0216851784957351	0.0280064989465285	0.0197350611194727	0.0189816136297018	0.0457264731368103	0.0217331827828359	0.0129945914718056	0.0350196497333549
OM1_B_B_3	0.00489340143427086	0.0299306873725721	0	0.0246995532666065	0.0137426231397886	0.0256972920485187	0.013968579077064	0.0117221666555701	0.0208677209029936	0.0118613995957124	0.0144901474685581	0.0113677351316419	0.00772709287840402	0.0129480446114522	0.0113711776075229	0.0176035870530248	0.00828989903786588	0.0224864329467877	0.00689160572566485
OM1_B_C_1	0.023924108685855	0.00621950980378502	0.0246995532666065	0	0.0130862579259728	0.00263953236077172	0.0380563513490049	0.023245543090948	0.00713449126584867	0.0142492526337717	0.0391818579026172	0.0180280484829769	0.023944177446154	0.0136660579977709	0.0144809049466535	0.0412677082580154	0.0167922476830824	0.0071552788608721	0.0303301157337145
OM1_B_C_2	0.0114699589119823	0.0170673765964642	0.0137426231397886	0.0130862579259728	0	0.015010479367276	0.025733061235294	0.0182836739383611	0.0130392385985131	0.00958341727191168	0.0276420112031154	0.00496129633432841	0.0109858987585476	0.0102130612765255	0.00245743549591886	0.0286695190673888	0.00565786189628417	0.014632712174508	0.0180395529065584
OM1_B_C_3	0.0253773611793917	0.00743359658678843	0.0256972920485187	0.00263953236077172	0.015010479367276	0	0.0393249584470093	0.0229955149525781	0.00621133338859702	0.0145916990338793	0.040152098044263	0.0199697874347313	0.0256397778659131	0.0138353476118811	0.0161251397562358	0.0426499371392869	0.0181207773668749	0.00563078663327145	0.0316440574803146
OM1_C_2F_3	0.0142786543506846	0.0427429477058965	0.013968579077064	0.0380563513490049	0.025733061235294	0.0393249584470093	0	0.0234955575153204	0.0347868457221557	0.0258277929778048	0.0049912528098182	0.0215744362665082	0.0151760964517392	0.0269124538972983	0.023782297083405	0.00384044389635812	0.0212720666267851	0.0364224138775727	0.00774174705621548
OM1_C_2G_1	0.0159521860771337	0.029411303152285	0.0117221666555701	0.023245543090948	0.0182836739383611	0.0229955149525781	0.0234955575153204	0	0.0168526655794396	0.00963912619568627	0.0217863839392956	0.019086418107771	0.0185583559626473	0.00981459494322694	0.0161129783358247	0.0273346426378067	0.0135475912497598	0.0179363527723805	0.0180421433834994
OM1_C_2G_2	0.0214714175544371	0.0132576738325967	0.0208677209029936	0.00713449126584867	0.0130392385985131	0.00621133338859702	0.0347868457221557	0.0168526655794396	0	0.0091360176689851	0.0350917338505496	0.017637802747788	0.0223272515168503	0.00818912823699868	0.0132081006721612	0.0383060749927958	0.0142519204261744	0.00169976649534238	0.0272937920925783
OM1_C_2H_2	0.0132971764131484	0.0202248022166244	0.0118613995957124	0.0142492526337717	0.00958341727191168	0.0145916990338793	0.0258277929778048	0.00963912619568627	0.0091360176689851	0	0.0259633749493747	0.0121884826434519	0.0148349533461869	0.00114636282378175	0.00800390574103917	0.0294363216415061	0.00696275302529711	0.0106934580300919	0.0185193394213547
