	OM2_B_B	OM2_B_C	OM2_C_4A	OM2_C_4B	OM2_C_4C	OM2_C_4E	OM2_C_4F	OM2_C_4G	OM2_C_4H	OM2_C_5A	OM2_C_5F	OM2_C_5G	OM2_C_6E	OM2_C_6F	OM2_C_6G	OM2_C_6H	OM2_H_2A	OM2_H_2B	OM2_H_2C	OM2_H_2F
OM2_B_B	0	0.0124100724614124	0.0204366487966054	0.0288069575889969	0.0317308967044684	0.0314775176198393	0.0307326013376702	0.0161874125904098	0.0337200465701958	0.0249532650194756	0.0224679048489893	0.0251449371343825	0.0271819515263772	0.0215793430877582	0.0203288831339897	0.0234807078207913	0.0327071156567465	0.036408935827612	0.0260861084807454	0.0282814426950124
OM2_B_C	0.0124100724614124	0	0.0160027872544297	0.0213717235258321	0.0240988558119293	0.0221672740046914	0.0231357363971118	0.0130836674669672	0.0269441793077266	0.0220883121475615	0.0190312645973745	0.0184685660726897	0.0219556673140992	0.0158204051567645	0.0222931658821263	0.0229221348607195	0.023415970243463	0.0273486641126521	0.0203298693328809	0.02267489285344
OM2_C_4A	0.0204366487966054	0.0160027872544297	0	0.0225804384197046	0.0239638214381613	0.0234029066620063	0.0207777162586729	0.0244896868623562	0.0289017309254439	0.0204020474236745	0.0197877195139254	0.0220581692697493	0.0289849820154058	0.0160424115723169	0.0228843992620643	0.0221825030371541	0.0232368971606655	0.027914865133749	0.0213292418725112	0.0257275099394548
OM2_C_4B	0.0288069575889969	0.0213717235258321	0.0225804384197046	0	0.0220883458578047	0.0166779161217184	0.0240449099811831	0.0285448043446578	0.0246545666779495	0.0222553768093938	0.0265138816838379	0.0246534410272819	0.0356003182491949	0.0200521759868468	0.0254962173991603	0.0371239593800132	0.0184805930230721	0.0204284257235812	0.0200543093797634	0.025044278208537
OM2_C_4C	0.0317308967044684	0.0240988558119293	0.0239638214381613	0.0220883458578047	0	0.0191907149313439	0.0154005781452272	0.0320968600309932	0.032702836799002	0.0239279700816393	0.0229619076552123	0.0190656758083498	0.0345623060614761	0.0232716329046888	0.0216247041493198	0.0411701006948744	0.0176366613815496	0.0170722915278638	0.0262088555257542	0.0252834057723229
OM2_C_4E	0.0314775176198393	0.0221672740046914	0.0234029066620063	0.0166779161217184	0.0191907149313439	0	0.0233075786019945	0.0274413791128431	0.0321426079874778	0.0274163068336136	0.0270121755215881	0.0227639846118779	0.0332728273840452	0.020662699574507	0.0239296754264706	0.0372666431046155	0.0135072077758857	0.0177734535493681	0.01592161146544	0.0263127872232019
OM2_C_4F	0.0307326013376702	0.0231357363971118	0.0207777162586729	0.0240449099811831	0.0154005781452272	0.0233075786019945	0	0.0291819756500245	0.0294988186541161	0.021588173790516	0.0175103293646604	0.0170362834025289	0.0338402554027529	0.0233336024513141	0.0271263646851216	0.0355692446875089	0.0172279495233768	0.0196542173665747	0.0243605407194814	0.023437811178075
OM2_C_4G	0.0161874125904098	0.0130836674669672	0.0244896868623562	0.0285448043446578	0.0320968600309932	0.0274413791128431	0.0291819756500245	0	0.0337270163742809	0.0288569030002249	0.0254070426677462	0.0235601064834105	0.0180555844755293	0.0211117041152771	0.0296038542433559	0.02551835523213	0.0261924816708709	0.0318194048296286	0.0243073646696906	0.0291916293742347
OM2_C_4H	0.0337200465701958	0.0269441793077266	0.0289017309254439	0.0246545666779495	0.032702836799002	0.0321426079874778	0.0294988186541161	0.0337270163742809	0	0.0318023613659608	0.0239659954415262	0.0241702522844486	0.0422633690571519	0.0286657625909204	0.0357191338819973	0.0348407187476144	0.0308077492814489	0.0334984196352931	0.0299575699014114	0.0264578486890373
OM2_C_5A	0.0249532650194756	0.0220883121475615	0.0204020474236745	0.0222553768093938	0.0239279700816393	0.0274163068336136	0.021588173790516	0.0288569030002249	0.0318023613659608	0	0.0203591142415916	0.0257896737352496	0.0345499455110113	0.0218698694254864	0.0251977783119464	0.0328769562020234	0.0236524332466859	0.0253747342557234	0.0285987842737437	0.0276532845926924
OM2_C_5F	0.0224679048489893	0.0190312645973745	0.0197877195139254	0.0265138816838379	0.0229619076552123	0.0270121755215881	0.0175103293646604	0.0254070426677462	0.0239659954415262	0.0203591142415916	0	0.012942190909161	0.03260701568667	0.0203891947202799	0.0292667542249066	0.0273204110548065	0.0244389752159887	0.0237177425887095	0.0287536899246924	0.0194574966257307
OM2_C_5G	0.0251449371343825	0.0184685660726897	0.0220581692697493	0.0246534410272819	0.0190656758083498	0.0227639846118779	0.0170362834025289	0.0235601064834105	0.0241702522844486	0.0257896737352496	0.012942190909161	0	0.0284245125146269	0.0205875105906918	0.0279432796513589	0.0321795712821725	0.0198423498098508	0.0178800696594603	0.0268979963123294	0.0167879809448286
OM2_C_6E	0.0271819515263772	0.0219556673140992	0.0289849820154058	0.0356003182491949	0.0345623060614761	0.0332728273840452	0.0338402554027529	0.0180555844755293	0.0422633690571519	0.0345499455110113	0.03260701568667	0.0284245125146269	0	0.0278970706008125	0.0347676172527676	0.0306462606182595	0.0310331099415086	0.0348257057362001	0.0317362198723279	0.0340560607384216
OM2_C_6F	0.0215793430877582	0.0158204051567645	0.0160424115723169	0.0200521759868468	0.0232716329046888	0.020662699574507	0.0233336024513141	0.0211117041152771	0.0286657625909204	0.0218698694254864	0.0203891947202799	0.0205875105906918	0.0278970706008125	0	0.0215371081103466	0.0251647194685665	0.022633563038512	0.0265926747817201	0.0229805982771358	0.0266685528227142
OM2_C_6G	0.0203288831339897	0.0222931658821263	0.0228843992620643	0.0254962173991603	0.0216247041493198	0.0239296754264706	0.0271263646851216	0.0296038542433559	0.0357191338819973	0.0251977783119464	0.0292667542249066	0.0279432796513589	0.0347676172527676	0.0215371081103466	0	0.0342233906548175	0.0244659915820335	0.030560658162081	0.0240691111781859	0.0329373844783374
OM2_C_6H	0.0234807078207913	0.0229221348607195	0.0221825030371541	0.0371239593800132	0.0411701006948744	0.0372666431046155	0.0355692446875089	0.02551835523213	0.0348407187476144	0.0328769562020234	0.0273204110548065	0.0321795712821725	0.0306462606182595	0.0251647194685665	0.0342233906548175	0	0.0370296980270904	0.0422516647606942	0.0330831452516714	0.0346419273902506
OM2_H_2A	0.0327071156567465	0.023415970243463	0.0232368971606655	0.0184805930230721	0.0176366613815496	0.0135072077758857	0.0172279495233768	0.0261924816708709	0.0308077492814489	0.0236524332466859	0.0244389752159887	0.0198423498098508	0.0310331099415086	0.022633563038512	0.0244659915820335	0.0370296980270904	0	0.0153047811819094	0.0188632174346237	0.0236655195604405
OM2_H_2B	0.036408935827612	0.0273486641126521	0.027914865133749	0.0204284257235812	0.0170722915278638	0.0177734535493681	0.0196542173665747	0.0318194048296286	0.0334984196352931	0.0253747342557234	0.0237177425887095	0.0178800696594603	0.0348257057362001	0.0265926747817201	0.030560658162081	0.0422516647606942	0.0153047811819094	0	0.0251405872031076	0.0249995306676561
OM2_H_2C	0.0260861084807454	0.0203298693328809	0.0213292418725112	0.0200543093797634	0.0262088555257542	0.01592161146544	0.0243605407194814	0.0243073646696906	0.0299575699014114	0.0285987842737437	0.0287536899246924	0.0268979963123294	0.0317362198723279	0.0229805982771358	0.0240691111781859	0.0330831452516714	0.0188632174346237	0.0251405872031076	0	0.0263451100404755
OM2_H_2F	0.0282814426950124	0.02267489285344	0.0257275099394548	0.025044278208537	0.0252834057723229	0.0263127872232019	0.023437811178075	0.0291916293742347	0.0264578486890373	0.0276532845926924	0.0194574966257307	0.0167879809448286	0.0340560607384216	0.0266685528227142	0.0329373844783374	0.0346419273902506	0.0236655195604405	0.0249995306676561	0.0263451100404755	0
